accession,Entry,normal,tumor
MYO1F_HUMAN,O00160,0,2
NB5R3_HUMAN,P00387,0,2
NLTP_HUMAN,P22307,0,2
PDXK_HUMAN,O00764,0,2
PEDF_HUMAN,P36955,0,2
PGAM2_HUMAN,P15259,0,2
PLST_HUMAN,P13797,0,2
PRDX6_HUMAN,P30041,0,2
PRS8_HUMAN,P62195,0,2
PUR9_HUMAN,P31939,0,2
QOR_HUMAN,Q08257,0,2
RAB10_HUMAN,P61026,0,2
RAB1B_HUMAN,Q9H0U4,0,2
RAB8B_HUMAN,Q92930,0,2
RHG01_HUMAN,Q07960,0,2
RL23_HUMAN,P62829,0,2
ROA0_HUMAN,Q13151,0,2
RPN2_HUMAN,P04844,0,3
RS3A_HUMAN,P61247,0,2
RS7_HUMAN,P62081,0,2
S10AA_HUMAN,P60903,0,2
SAHH_HUMAN,P23526,0,2
SC22B_HUMAN,O75396,0,2
SEP14_HUMAN,Q6ZU15,0,2
SEPT2_HUMAN,Q15019,0,2
SODE_HUMAN,P08294,0,2
SPTN4_HUMAN,Q9H254,0,2
SURF4_HUMAN,O15260,0,2
SYAC_HUMAN,P49588,0,2
TBA4B_HUMAN,Q9H853,0,2
TCPB_HUMAN,P78371,0,3
TCPH_HUMAN,Q99832,0,2
TSP2_HUMAN,P35442,0,2
UGPA_HUMAN,Q16851,0,2
VATA_HUMAN,P38606,0,2
