Gene.Symbol,GenBank,UniProt,Name,Transcription.down,Transcription.up,translation.down,translation.up
AARS,NM_001605,P49588,SYAC_HUMAN,,,,TRUE
ABCC1,NM_004996,P33527,MRP1_HUMAN,,,,TRUE
ABCC2,NM_000392,Q92887,MRP2_HUMAN,,,,TRUE
ABCC4,NM_000389,O15439,MRP4_HUMAN,,,,TRUE
ABCC5,NM_005689,O15440,MRP5_HUMAN,,,TRUE,
ABHD11,NM_148912,Q8NFV4,ABHDB_HUMAN,,,TRUE,
ABHD12,NM_001042472,Q8N2K0,ABD12_HUMAN,,,,TRUE
ABHD5,NM_016006,Q8WTS1,ABHD5_HUMAN,,,TRUE,
ACAP2,NM_012287,Q15057,ACAP2_HUMAN,,,,TRUE
ACER3,NM_018367,Q9NUN7,ACER3_HUMAN,,,,TRUE
ACIN1,NM_014977,Q9UKV3,ACINU_HUMAN,,,,TRUE
ACO1,NM_001001734,P21399,ACOC_HUMAN,,,,TRUE
ACO2,NM_001098,Q99798,ACON_HUMAN,,,,TRUE
ACOX2,NM_003500,Q99424,ACOX2_HUMAN,,,TRUE,
ACSL3,NM_004458,O95573,ACSL3_HUMAN,,,,TRUE
ACSL5,NM_016234,Q9ULC5-3,ACSL5_HUMAN,,,,TRUE
ACTN1,NM_001102,P12814,ACTN1_HUMAN,,,,TRUE
ACTN4,NM_004924,O43707,ACTN4_HUMAN,,,,TRUE
ACTR3B,NM_020445,Q9P1U1,ARP3B_HUMAN,,,TRUE,
ACVR1,NM_001105,Q04771,ACVR1_HUMAN,,,,TRUE
ACYP2,NM_138448,P14621,ACYP2_HUMAN,,,TRUE,
ADAM10,NM_001110,O14672,ADA10_HUMAN,,,,TRUE
ADAM17,NM_003183,P78536,ADA17_HUMAN,,,,TRUE
ADAM19,NM_033274,Q9H013-2,ADA19_HUMAN,TRUE,,,
ADAM9,NR_027638,Q13443,ADAM9_HUMAN,,,,TRUE
ADM,NM_001124,P35318,ADML_HUMAN,,TRUE,,TRUE
AGPAT2,NM_001012727,O15120-2,PLCB_HUMAN,,,,TRUE
AGPAT9,NM_032718,Q53EU6,GPAT3_HUMAN,,,,TRUE
AGTRAP,NM_020350,Q6RW13,ATRAP_HUMAN,,,,TRUE
AHCTF1,NM_015446,Q8WYP5-3,ELYS_HUMAN,,,,TRUE
AIG1,NM_016108,Q9NVV5-2,AIG1_HUMAN,,,,TRUE
AK1,NM_000476,P00568,KAD1_HUMAN,,,TRUE,
AKAP8L,NM_014371,Q9ULX6,AKP8L_HUMAN,,,,TRUE
