ProteinID,Log2Rep1
Q96IU4;F8W9U3;B4DQI4;Q96IU4-2,1.6179857733
Q5T4U5;P11310-2;P11310;B7Z9I1;B4DJE7;E9PJM9;E9PRX4;H0YDT5,1.4305866835
P49753;Q86TX2;G3V4F2;P49753-2;B3KSA0,1.3658714425
O14734;E9PJN0;E9PIS4;E9PMC4;Q9BR14;H0Y698;H7C5A7,1.0350469471
Q15067-2;Q15067-3;F5H0M0;Q15067;K7ESC7;K7ENF1;I3L0T4;K7ELT1,1.1077721973
B4DFQ6;Q96CM8;B4DHT5;E9PF16;B4DUF5;D6RF87,1.5503805226
Q9ULC5-3;Q9ULC5;Q9ULC5-4;B4DX30;Q9UKU0-1;Q9UKU0-8;Q9UKU0-6;J3KPG3;Q9UKU0;Q9UKU0-3;Q9UKU0-5;E7ERD7;Q9UKU0-2;G3V1S9;C9J8C7,1.3713477036
C9JMV9;B4DNW0;Q03154;C9J6I6;C9JWD4;C9J9D8,1.8330532283
Q4JM47;O95994;B5MC07;C9J3E2;H7C3Z9,1.4875404803
Q8TD06;B5MC62;H7C040,1.7296743948
P54819;F8W1A4;P54819-2;P54819-5;P54819-3;P54819-6;F8VZG5;F8VY04;P54819-4;G3V213;F8VPP1,1.2632998861
Q9UIJ7;Q9UIJ7-3;Q9UIJ7-2,1.4109652341
P13716-2;P13716;B7Z3I9;B7ZBK6,1.0861704049
P05091;E7EUE5;F8VXI5;F8W0A9;F8VP50;O94788;P47895;O94788-3;H0YMG7;O94788-2;H0YM00;H0Y2X5,2.0852824135
P49419;P49419-2;P49419-4;F8VS02;P49419-3;F8VVF2,1.5414500062
P04075;J3KPS3;H3BQN4;H3BPS8;H3BUH7;H3BR04;H3BMQ8;H3BU78;H3BR68;P05062;Q5T7D5,1.2185647437
P09972;A8MVZ9;J3QKP5;J3KSV6;C9J8F3;K7EKH5;J3QKK1,3.0457292299
P27216-2;P27216;E5RIN3,2.1543132541
P09525;Q6P452;B4DDF9,1.6327184066
F5H6I0;P61769;H0YLF3,2.5495356555
M0QXF9;O15382;B3KSI3;O15382-2;M0QZ10;M0QZP4;M0R2K7,1.870281767
P21953,1.7362924935
Q02338;E9PCG9;C9K0G7;H7C2W1;C9JQ90;C9JM78;C9JEB9,1.9311503681
P30043;M0R192;M0QZL1,1.4409683563
Q9H0W9;Q9H0W9-2;E9PQS1;Q9H0W9-4;E9PJU8;Q9H0W9-3;E9PPB5;E9PIP1,1.1445205171
Q9UKR5,1.9335181054
Q96GQ5;H3BSM7;H3BR29;Q96GQ5-2,1.5289478393
Q8IV36;Q8IV36-2;Q8IV36-3,1.5410301177
P30042;H7C1F6;P30042-2;H7BYH1;F2Z2Q0;H7C2G3,1.2927932908
Q16790,2.538848665
E9PF82;Q13557-11;Q13557-4;Q13557-6;E9PBG7;Q13557-3;Q13557;D6R938;Q13557-5;Q13557-10;Q13557-9;Q13557-12;Q13557-8;H0Y9J2;Q9UQM7-2;Q9UQM7;B7Z1Z6;H7BXS4;H7BZC6,1.1858023468
H0Y9C2,1.4751740443
P40121;P40121-2;B4DU58;E7ENU9;B8ZZL6;H7C0X8,1.8776851007
O14618;J3KNF4;E9PK03;E9PP76,1.1471382018
P13688;P13688-10;P13688-8;P13688-2,1.8160879652
Q99828,1.8697016831
Q8N5K1;D6RCF4;I3L1N9,1.4801964514
Q07065,1.986444839
P12277;G3V4N7;H0YJG0;G3V461;P06732;H0YJK0;G3V2I1,1.9657279305
P12532-2;P12532;F8WCN3;E9PCP8;C9JSQ1;C9JT96;C9J6W7;J3KQ93;C9J8F6;C9J995,1.5835493519
O95833;Q5SQ17,2.4168853318
Q8NFW8;Q8NFW8-2;F5GYM0,2.2128350356
P30085;Q5T0D2;E9PGI8,1.336682709
P09543;P09543-2;B4DFN6;K7ERZ0;C9K0L8;K7EN66,1.0970851743
P21964;P21964-2;E7EMS6;E7EUU8;H7BZ45;F8WBW9,1.2615693718
P09669,1.4658188422
H0UI06;D6RGV5;D6RIE3;P14406;D6R9C3,1.0008947483
P23786,1.5755723278
P29373;Q5SYZ4;P29762;B5MCB5,1.3907367346
P43155;P43155-2;P43155-3;A6PVN3,2.0171834372
B7Z6C0;P52943;H0YFA4,1.2169205701
Q08257;A6NN60;A6NP24;C9JH92;Q08257-2,1.6351362568
P00387-3;P00387;P00387-2;B1AHF3,1.2300590396
P99999;C9JFR7;CON__P62894,1.5419540338
Q16850;Q16850-2;H7C0D0;C9IYR8,1.6370644842
Q3LXA3;H0YCY6;I3L252,1.2566315278
Q7Z4W1;J3QS36;J3KS22;J3QL34;J3KSZ5;J3KRZ4;J3QS45,1.3115779067
O95786;O95786-2;B3KWW1;A2A376;F5H5W6,2.6957226119
Q8IY21;H0Y8Z7;D6R944,1.0264989282
Q9UBM7;E9PM00;E9PMT8;E9PJ54;H0YE57;E9PIP9;E9PQ71;E9PRL8;E9PLZ2,1.7848308625
Q6UWP2,1.0459675146
D3DS54;Q13268;Q13268-2;C9JZP6;H0YJG9;H0YJP4,3.0358749605
P27487;F8WE17,2.8333102603
Q8TDB6;Q8TDB6-2,2.8465318725
Q15125;C9JJ78;C9J719,1.4601314955
Q13011;M0R248;M0QZW4;M0R1A2;M0QXS7;M0R280,2.2825089118
P42126;H3BP91;P42126-2;Q96DC0;H3BS70,1.5161816436
P19525;P19525-2;C9JZT2;F8WBH4,1.8058625049
Q14240-2;Q14240;E7EQG2;Q9NZE6;E7EMV8;F8WE11;E9PBH4;C9JUF0,1.5988064489
K7ERL7;O95834-2;K7EIK7;O95834;C9JRL6;K7EKG3;K7EII6;K7ELI8;K7EKU5;K7ERY9;K7ERR9,1.9842740838
O94919,1.4267418246
P09104;B7Z2X9;F5H0C8;F5GZ30;F5GWQ3;F5H5U1;F5H1C3,2.2460532279
Q96HE7;G3V3E6;G3V5B3;G3V2H0;G3V503;Q86YB8;Q5TAE8,2.987245415
Q9BS26,1.0435269596
H7BXI1;A0FGR8-6;A0FGR8-2;A0FGR8;A0FGR8-4;A0FGR8-5;F2Z3K9,1.571150106
O95571;M0QXB5;M0QY80,1.3416468258
P07148;A8MW49;Q9NQV6-6,2.7859746943
Q96A26;F8W7Q4;E9PH05,1.4652610479
J3KPF5;J3KQD0;Q8TBF2-6;Q8TBF2-3;J3KPF6;Q8TBF2-7;Q8TBF2;J3KRV9;Q8TBF2-5;Q8TBF2-2;Q8TBF2-4;J3QKK8,1.1504009888
Q86V20-2;Q86V20;H0Y2W3,2.0855885557
O75955;B4DVY7;B0V109;F8VSI6;B0S8A9;A2AB09;B0V111;A2AB10;A2AB12;H0Y4S3;B0V2I8;A2AB13;B0S8B0;A2AB11;B0V110;B0V112;B0V2J0;A2ABJ5;B0V113;B0V114;B0V108,1.4793916904
P04066,2.0373547389
Q14376;Q5QPP2;Q5QPP1;Q5QPP4;Q5QPP3;Q5QPP9,2.3092164104
P30047;H0YNM1;B7ZLM8,1.8777911383
Q9Y2T3-3;Q9Y2T3;J3QSY3;Q9Y2T3-2;Q5SZC6;Q5SZC5;Q5SZC3;H0YDZ7,1.4332335454
Q8TF65,1.4657391441
P00367;B4DGN5;B3KV55;P49448,1.1692903552
P06744-2;P06744;K7EP41;K7ERC6;K7ELR7;K7ERK8;K7EIL4;K7ENR8;K7ESF4,1.4460301052
Q9UBQ7;Q5T946,1.0543623346
Q9Y2Q3-2;Q9Y2Q3;Q9Y2Q3-3;E9PFN5;Q9Y2Q3-4;C9JNT3,1.6938077674
Q16836-2;J3KQ17;Q16836;E9PF18,1.3540586038
Q16775;Q16775-2;H3BPQ4;H3BPK3;H3BQW8;E7EN93,1.1703614827
P31937;H7BZL2,2.2110303716
Q6NVY1;Q6NVY1-2;B8ZZZ0;B9A058;F8W8A6;H7C1A5;H7BYI7;H7C400;H7C126,1.3570119967
P05534;P30447,1.7731462511
Q5SRN5;Q5SUL4;P04439;P30443;P30455;Q5SRN7;Q5SUL6;P13746-2;P13746;Q09160;P01893,1.9116412688
P30504;Q29865;Q29718,2.6836225181
P35914;B1AK13;P35914-2,2.7675848292
P50135,1.628742253
Q8NBQ5;D6RCD0,1.6113585719
Q53GQ0;E9PI21;Q96EA9,1.4838234416
P51659;P51659-2;P51659-3;E7EWE5;E7ER27;E7ET17;G5E9S2;E7EPL9,1.1677337699
P14735;P14735-2;Q5T5N3,1.3528052403
O75874;C9J4N6;C9JLU6;C9JJE5,1.2733082648
P09914;D3DR31,3.9022813424
O14879,1.5409881355
P29218-3;P29218;H0YBL1;E5RIP7;E5RG13,1.1479691922
Q13576;E7EWC2;F5H7S7;J3KR91;Q13576-2;D6R939;E9PDT6,2.931700658
P05161,3.2339222236
Q96AB3;Q96AB3-2;K7EKW4;Q96AB3-3;K7ENV7,2.399425752
J3KR54;P26440;P26440-2;H7C4G6;H0YN10;H0YLC3;H0YKV0,1.2118321658
P08727;C9JM50;K7EMS3;CON__P19001;CON__Q99456;Q99456;C9JTG5;CON__Q8N1A0;Q8N1A0;Q8N1A0-2,1.5540614627
P28838;P28838-2;H0Y9Q1;H0Y983,1.275576736
P00338-3;P00338;F5H308;P00338-4;P00338-2;P00338-5;F5GXY2;F5GYU2;F5GXH2;F5H6W8;F5H5J4;F5GZQ4;F5GWW2;F5GXC7;F5H8H6;F5GXU1,1.5792319707
Q8NC56;H7C2Z0;D6RBV0,1.1001437946
P56470;M0QZ93,1.9096343236
Q05469;Q05469-2;M0R201;M0QY29,1.4098914578
P49257,1.280369689
O60449-2;O60449-3;O60449,2.2738314416
Q5VWZ2;Q5VWZ2-2,1.5467932494
Q9BQ69,1.92768836
P21397;P21397-2;P27338;B7Z242;B7Z5H3,1.987245415
Q5VV89;O14880,1.5872726614
P14174,1.1512018188
Q15800;Q15800-2;D6R952;D6RDP9,2.9206253025
P00403,1.2846513112
Q9H3R2;C9IZG1,1.8419732632
Q14764;H3BQK6;H3BRL2;H3BNF6;H3BUK7;H3BP76;H3BQE7;H3BUP3;H3BNF2;H3BPZ2,1.8461168577
P20591;F8W8T1;P20591-2;H9KVC9;H9KVC7;B7Z5D3;C9JEL4;H9KVC4;H9KVD0;C9JZQ9;C9JS04;H9KVD3;H9KVC3,2.7640524176
Q7Z406-6;Q7Z406-2;Q7Z406;G8JLL9;F2Z2U8;Q7Z406-4;Q7Z406-5;M0QY43,1.8108649374
O94832;J3QRN6;K7EIG7;J3KRL0,1.2677394849
Q92597;E9PDL6;Q92597-2;Q92597-3;E7ESM1;E5RJY1;E5RIM2;E5RIV1;E5RK17;E5RGM5;E5RIR1;E5RH82;E5RI76;E5RJ98,3.3592088088
E7ENQ6;J3KN00;B4DF76;K7EJE1;Q9P0J0;B4DEZ3,1.3868078447
P51970;F5H7V7,1.4775424419
Q16795;F5H0J3;F5GY40;H3BRM9,1.0491882168
P28331-2;P28331;P28331-5;P28331-4;P28331-3;B4DJ81;C9JPQ5,1.3257563114
O43920,1.3988930411
O00217;E9PPW7;E9PKH6;F8W9K7;E9PN51,1.3968781302
P49821;G3V0I5;P49821-2;B4DE93;E9PMX3;E9PQP1;E9PPR0;E9PLC6;H0YE81;H0YD04;E9PJL9;E9PPS5;E9PPD6,1.1744585729
E7EPT4;P19404,1.3154146255
Q9BPW8;H7C2U6;F8WCR5;C9JDV8,1.8080836671
Q13287;C9JW17,2.8892893221
Q13423;E9PCX7;D6RAI5;D6RHU2,1.3153428174
B4DFL0;O60936;O60936-2;H3BUN4;H3BUP2;H3BM67;H3BQJ5,1.2047982739
Q9H0P0;Q9H0P0-1;Q9H0P0-2;Q9H0P0-3,1.1270530723
P21589;P21589-2;Q96B60,1.3910015638
Q02818;H7BZI1;C9JKZ2;C9J3C1;C9JBD3,1.248861961
P29728;P29728-2;F8W1C5,1.7853280693
Q9Y6K5;F8VS35;F8VWK9;H0YHL3;F8VW22,2.5649902175
Q15646,1.751368016
P13674;P13674-2;P13674-3,2.9791458129
