IPI,Gene.Symbol,UniProt,Isch.Ctrl,Reper60.Ctrl,Reper120.Ctrl
IPI:IPI00125929.2,Ndufa4,Q62425,1.72,1.53,0.89
IPI:IPI00331332.6,Ndufa5,Q9CX78,1.74,1.42,1.34
IPI:IPI00876323.1,Atp5l;LOC100042348,Q9CPQ8,1.77,1.15,0.9
IPI:IPI00344004.3,Ndufa12,Q8BME2,1.84,1.59,0.97
IPI:IPI00785410.1,Cox5b,Q9D881,1.86,1.47,1.38
IPI:IPI00271986.6,Atp5j2,P56135,1.89,1.76,1.1
IPI:IPI00120984.5,Ndufa8,Q9DCJ5,1.91,1.78,1.97
IPI:IPI00131771.3,Cox6c,Q9CPQ1,1.96,1.76,1.1
IPI:IPI00453777.2,Atp5d,Q9D0J2,1.99,1.38,1.65
IPI:IPI00116896.1,mt-Atp8,A3R457,2.19,1.69,1
IPI:IPI00224210.5,Uqcrq,Q9CQ69,2.62,2.67,1.15
IPI:IPI00132390.5,Ndufb4;LOC100041273;LOC100042503,Q9CQC7,2.98,1.61,0.91
IPI:IPI00226993.5,Txn1,P10639,0.49,0.5,1.14
IPI:IPI00117264.1,Park7,Q99LX0,0.69,0.65,0.8
IPI:IPI00129517.1,Prdx5,Q91YU9,0.74,0.72,0.85
IPI:IPI00121788.1,Prdx1,P35700,0.75,0.75,1.29
IPI:IPI00116192.1,Prdx3,P20108,0.75,0.75,1.23
IPI:IPI00315550.3,Glrx3,Q9CQM9,0.76,0.73,0.9
IPI:IPI00130589.8,Sod1,Q8C355,0.76,0.79,1.3
IPI:IPI00230108.6,Pdia3,P27773,0.86,0.89,0.77
IPI:IPI00109109.1,Sod2,Q4FJX9,0.9,0.83,1.21
IPI:IPI00331556.5,Hspa4,Q99L75,0.77,0.73,0.72
IPI:IPI00128522.1,Hspb1,Q9Z2L3,0.81,0.85,0.69
IPI:IPI00263863.8,Hspe1,Q4KL76,0.83,0.84,1.36
IPI:IPI00880839.1,Hspa9,P38647,0.89,0.82,0.83
IPI:IPI00323357.3,Hspa8,Q3TF16,0.89,0.81,0.73
IPI:IPI00121420.1,Hspb2,Q99PR8,1.58,0.84,1.2
IPI:IPI00228820.5,Gstm2,Q7M0F4,0.58,0.6,0.75
IPI:IPI00323911.3,Gsta4,P24472,0.59,0.62,0.72
IPI:IPI00555023.2,Gstp1,P19157,0.67,0.63,0.58
IPI:IPI00649135.2,Gstm1,P10649,0.81,0.86,0.79
IPI:IPI00121051.3,Gstk1,Q9DCM2,0.85,0.83,0.75
IPI:IPI00119667.1,Eef1a2,P62631,0.77,0.79,0.67
IPI:IPI00115564.5,Slc25a4,P48962,1.23,1.36,0.8
IPI:IPI00308882.4,Ndufs1,Q3UIQ2,1.38,1.4,1.56
IPI:IPI00129577.1,Aifm1,Q1L6K5,1.44,1.36,1.13
IPI:IPI00116228.1,Ppif,Q99KR7,1.55,1.36,1.12
IPI:IPI00122549.1,Vdac1,Q60932,1.68,1.7,0.83
IPI:IPI00554989.3,Ppia,Q3UAJ1,2.83,3.58,1.48
