"Protein IDs","Gene Names","t-test P2-Adh Difference","t test P2 Adh p value","t-test Difference_P5-Adh","t-test p value_P5-Adh"
P00338-3;P00338;E9PH51;P00338-2;F5H308;B4DKQ2;A8MXQ4;F8W819;F5GXY2;F5GYU2;F5GXH2;F5H6W8;F5H5J4;F5GZQ4;F5GWW2;F5GXC7;F5H8H6;F5GXU1;Q6ZMR3;P07195;A8MW50;P07864;F5H245;G3XAP5;F5H155;F5H5G7;C9J7H8,LDHA;PIG19;hCG_96677,-2.17,0.000102,-2.48,0.000503
P00492,HPRT;HPRT1,-0.35,0.00113,NA,NA
P00558;B7Z7A9;B4E1H9;E7ERH5;B4DHM5;P07205,MIG10;OK/SW-cl.110;PGK1;PGKA,-1.81,0.00252,-2.03,0.00164
P01033;Q5H9A7;H0Y789;Q5H9B5;B4DJK3;Q5H9B4,CLGI;TIMP;TIMP1;RP1-230G1.3-003,NA,NA,-10.97,2.33E-05
P01034,CST3,-0.81,0.00345,NA,NA
P02144;B0QYF8;B4DUI1;Q8WVH6;F2Z2F1;B0QYF7;F2Z337,MB;RP4-569D19.7-003;RP4-569D19.7-002;RP4-569D19.7-006,NA,NA,-1.3,0.00489
P02545;P02545-3;Q6UYC3;E7EUI9;D6RAQ3;Q5TCJ4;H0YAB0,LMN1;LMNA;RP11-54H19.1-004;RP11-54H19.1-003,1.24,0.00344,2.54,0.00115
P02786;G3V0E5;F5H6B1;F8WBE5,TFRC,-1.25,0.00153,-1.8,0.000231
P02787;C9JVG0;F8WCI6;F8WEK9;C9JB55;F8WC57,PRO1400;TF,-7.59,0.000381,-8.45,0.00025
P02792;F5H1X1,FTL,10.36,1.97E-05,NA,NA
P04040,CAT,NA,NA,1.06,0.00431
P04075;P05062;C9J4K3;Q5T7D5,ALDA;ALDOA,-1.53,0.000319,-1.91,0.000191
P04080,CST6;CSTB;STFB,-0.89,0.00647,NA,NA
P04181;Q68CS0;REV__P51003;REV__F5H5I8;REV__G3XAH6;REV__Q8NGR3;REV__P51003-2;Q8WVP5;REV__G3V3I9;REV__G3V457,OAT;DKFZp781A11155,NA,NA,-1.7,0.00953
P04350;B4DJ43;B4DFH6;F8W813;G3V3W7;G3V3J6;G3V4U2,TUBB4;TUBB5,NA,NA,-0.98,9.63E-05
P04406;E7EU54,CDABP0047;GAPD;GAPDH;OK/SW-cl.12,-1.58,0.000484,-1.83,0.000311
P04424;E7EMI0;E9PE48;F8W943;Q6XYD2,ASL,NA,NA,-1.27,0.000738
P04626;P04626-4;B4DTR1;F5H1T4;P04626-2;P04626-3,ERBB2;HER2;MLN19;NEU;NGL,NA,NA,9.67,3.73E-05
P04632;Q96L46,CAPN4;CAPNS;CAPNS1,NA,NA,-0.79,0.00887
P04843;F5H6I5;B7Z4L4;B4DNJ5;F8WF32,RPN1,NA,NA,-0.2,0.00827
P05026;P05026-2;A6NGH2;B7Z9S8,ATP1B;ATP1B1,NA,NA,-0.7,0.00943
P05161,G1P2;ISG15;UCRP,-2.2,0.00466,-1.93,0.00541
P05455;E9PFH8;E7ERC4;E9PFL9;E9PGX9;F5H673,SSB,NA,NA,0.62,0.0037
P05783;F8VZY9;CON__H-INV:HIT000015463;CON__Q2M2I5;Q2M2I5;Q92764;CON__Q92764;C4AM86;Q96J66;Q96J66-2;Q7RTW8;E9PF51;B3KWU3;F5H410;CON__O76014;CON__O76013;O76013;CON__A2AB72;O76014;CON__Q14532;Q14532;O76013-2,CYK18;KRT18;PIG46,NA,NA,0.51,0.00983
P06280,GLA,NA,NA,1.12,0.00114
P06731;E7ESE8;P40198;G5E978;P40198-3;P40198-2,CEA;CEACAM5,NA,NA,-10.4,2.25E-06
P06733;E5RGZ4;E5RG95;E5RI09,ENO1;ENO1L1;MBPB1;MPB1,-1.39,0.000516,-1.39,0.000859
P06744;B4DG39;Q59F85,GPI,-1.58,0.000234,-1.66,0.00016
P06748;P06748-2;Q9BYG9;E5RI98;E5RGW4;E9PDN6;Q9C0A0;F5H107;E9PFZ6,NPM;NPM1,NA,NA,0.88,0.00276
P07237;E7EPA8;F5H8J2;B4DUA5;H0Y3Z3,ERBA2L;P4HB;PDI;PDIA1;PO4DB,NA,NA,-0.94,0.0052
P07305;F5H022;P07305-2,H1F0;H1FV,NA,NA,9.22,0.000463
P07339;C9JH19;F8WD96;F8W787,CPSD;CTSD,1.19,0.00204,NA,NA
P07384;E9PRM1;E9PQB3;E9PLQ6;E9PSA6;E9PJA6;E9PMC6;E9PLC9;E9PJJ3;E9PLX0;E9PL37;E9PIA9,CANPL1;CAPN1;PIG30,NA,NA,-0.72,0.01
P07858;F5GWW0;E9PQM1;E9PSG5;E9PLY3;E9PHZ5;E9PNL5;E9PKQ7;E9PKD0;E9PCB3;E9PJ67;E9PR54;E9PS78;E9PL32;E9PKX0;E9PIS1;E9PID0;E9PR00,CPSB;CTSB,NA,NA,-0.58,0.00394
P07910;G3V2Q1;B2R603;P07910-2;G3V4C1;B4DY08;G3V4W0;G3V576;P07910-4;P07910-3;O60812;G3V2D6;G8JL89;G3V575;G3V5V7;G3V555;B4DSU6;G3V251;G3V3K6;G3V5X6;G3V4M8;Q569J8;G3V2H6,HNRNPC;HNRPC;HNRNPCL1;HNRPCL1,1.22,0.00344,2.13,0.000431
P08069;C9J5X1;H0YNR0;P14616;H0YMJ5,IGF1R,8.65,3.89E-05,8.65,4.43E-05
P08195-4;F5H4J7;P08195;F5GZS6;P08195-3;P08195-2;B4E2Z3;H0YFS2;F5H0E2;F5GZI0;F5H867;H0YFX4;F5GZR9,MDU1;SLC3A2,2.21,8.68E-05,2.29,7.72E-05
P08238;Q58FF7;Q58FF8;E9PHI1;H0Y6E4;E9PHI2;H0Y5S7;E9PHH7;H0Y598;Q5T9W8,HSP90AB1;HSP90B;HSPC2;HSPCB,-0.61,0.0034,-0.69,0.00874
P08621;P08621-2;P08621-3;P08621-4,RNPU1Z;RPU1;SNRNP70;SNRP70;U1AP1,1.02,0.00118,1.15,0.00379
P08708;P0CW22;H0YK46;H0YN88;H0YN73,RPS17,NA,NA,-0.47,0.00846
P08758;D6RBL5;E7ENQ5;D6RBE9;E9PHT9;D6RCN3,ANX5;ANXA5;ENX2;PP4,-0.77,0.000871,-1.05,0.000336
P09104;B7Z2X9;F5H0C8;F5GZ30;F5GWQ3;F5H5U1;F5H1C3,ENO2,-3.32,0.0002,-3.72,0.000141
P09467;Q5VZC3,FBP;FBP1,-2.06,0.000366,-1.98,0.000359
P09651;F8W6I7;P09651-2;F8VRQ1;F8VXY0;P09651-3;F8W1S7;F8VSB5;F8VZ49;Q32P51;F8VTQ5;F8W646;F8VYN5;H0YH80,HNRNPA1;HNRPA1;HNRNPA1L;HNRNPA1L2,1.29,0.000401,1.34,0.000455
P09661;H0YMA0;H0YKK0;H0YLR3;O95485;Q9UEN1,SNRPA1,NA,NA,0.78,0.00505
P09668;E9PBP2;E9PKT6,CPSB;CTSH,NA,NA,-1.03,0.00423
P09874;F8WC10;Q5VX85;Q5VX84,ADPRT;PARP1;PPOL,1.04,0.00216,0.93,0.00404
P09972;B7Z1N6;A8MVZ9;B7Z3K7;C9J8F3,ALDC;ALDOC,-3.02,0.000135,-3.17,2.81E-05
P10412;P16402;Q02539;P22492,H1F4;HIST1H1E;H1F3;HIST1H1D;H1F1;HIST1H1A;H1FT;H1T;HIST1H1T,NA,NA,0.77,0.00752
P10620;G5EA53;F5H6X2;F5H7F6;F5H760;F5H613;F5GX73,GST12;MGST;MGST1,-1.96,0.00538,-2.11,0.00257
P10644,PKR1;PRKAR1;PRKAR1A;TSE1,-1.85,0.00201,NA,NA
P11117;E9PHY0;F5H1S6;E9PQY3;B7Z7D2;E9PP23;F5GWV7;B7Z6U3;E9PCI1;E9PQW9;E9PKW9;G5EA28,ACP2,-0.35,4.75E-05,NA,NA
P11216;H0Y4Z6,PYGB,-0.62,0.00103,-0.88,0.000439
P11233;C9JYR1;C9JPE8;F8WEQ6,RAL;RALA,0.73,0.0021,0.63,0.00203
P11387;Q969P6;E7ES89;E7ESI1;E5RIC7;E5RFS0;E5RJ95;H0YAR3,TOP1,1.91,0.000492,1.27,0.000936
P12270;Q5SWX9,TPR,0.79,0.00629,0.84,0.00222
P12277;E7EUJ8;G3V4N7;H0YJG0;G3V461;H0YJK0,CKB;CKBB,-9.94,9.37E-06,-9.49,6.14E-06
P12532;P12532-2;F8WCN3;B4DFE8;E7EVM3;E9PCP8;C9JSQ1;C9J8F6;C9J995;C9JJX8;C9JT96;C9J6W7;P17540,CKMT;CKMT1A;CKMT1B,NA,NA,-0.49,0.00615
P12956;B1AHC9;B1AHC8;B1AHC7;F5H1I8,G22P1;XRCC6;CTA-216E10.7-005;CTA-216E10.7-002;hCG_2013151;CTA-216E10.7-004,0.77,0.000645,0.56,0.000964
P13010;C9JZ81,G22P2;XRCC5,0.56,0.000709,0.54,0.00133
P13473-2;B4E2S7;P13473-3;P13473;B7Z2R9;E7EVR5;H0YCG2,LAMP2,-0.78,0.000509,-1.08,0.000674
P13489;H0YCR7;E9PIM9;E9PLZ3;E9PMJ3;E9PIK5;E9PMN0;E9PMA9;E9PMI1;E9PR82,PRI;RNH;RNH1,NA,NA,-0.77,0.000766
P13639;B4DPU3;F5H370;F5GZG3;B4DMC6,EEF2;EF2,-0.62,0.00324,-0.7,6.38E-05
P13674;P13674-2;C9JL12,P4HA;P4HA1,-2.06,6.59E-05,-2.31,4.15E-05
P13716;P13716-2;B7ZBK6,ALAD,-1.8,0.00525,-1.77,0.00614
P13995;B8ZZU9;Q7Z650;B9A062;B4DY35,MTHFD2;NMDMC;hCG_40734,NA,NA,1.25,0.00527
P14324;E9PCI9,FDPS;FPS;KIAA1293,NA,NA,-1.11,0.000326
P14550;Q5T621;P15121;E9PCX2;E9PEF9,AKR1A1;ALDR1;ALR,NA,NA,-0.46,0.00171
P14618;B4DUU6;E9PF79;E7ESY9;P30613;P30613-2,OIP3;PK2;PK3;PKM;PKM2,-1.38,0.000346,-1.52,0.000221
P14866;A6NIT8;B4DPK8;B4DVF8,HNRNPL;HNRPL;P/OKcl.14,1.16,0.000513,1.1,0.000382
P15289;F8WCC8,ARSA,-9.52,9.57E-06,-9.63,1.66E-05
P15311;E7EQR4;Q5TZA2;B1AKD8;Q5TZA2-2;E9PNP4,EZR;VIL2,-0.78,0.00145,-0.86,0.00122
P15586;F6S8M0;B4DYH8;B4DTT0;F5H260;H0YFA9;F5H4C6,GNS,-1.56,0.0009990000000000001,-2,0.000139
P15941-2;P15941;P15941-3;P15941-4;E7EUW3;B1AVQ5;P15941-8;Q0VAP5;B6ECA1;P15941-7;B1AVQ7;P15941-6;A5YRV1;P15941-10;A6ZID9;P15941-9;Q7Z548;Q7Z550;P15941-5,MUC1;PUM;RP11-263K19.2-001;RP11-263K19.2-002;RP11-263K19.2-003,-11.18,7.57E-06,-11.96,1.53E-05
P16144;P16144-2;P16144-4;P16144-3;P16144-5;H0Y6G1,ITGB4,NA,NA,0.36,0.00464
P16989;P16989-3;P16989-2;H0YG22,CSDA;DBPA,NA,NA,0.93,0.00527
P17174;B7Z7E9;B7Z1I2,GOT1,-0.77,0.00347,-0.78,0.00299
P17301;E7ESP4;E7EMF1;E9PB77;D6RG08,CD49B;ITGA2,2.52,0.000291,2.64,0.00036
P17480;E9PKP7;P17480-2;E9PLT2;E9PMM2;H0YDH7,UBF;UBF1;UBTF,NA,NA,1.79,0.00119
P17612;P17612-2;P22694-2;B4DKB0;C9JK39;P22694-6;P22694-7;P22694-5;P22694;P22694-3;P22694-4;B1APG4;F8W831;B7Z708;P22612;B1APG3;P22694-8;B1APF9;B1APF8;B1APG2;B1APG0;B1APG1;B1APF7;B1APF6,PKACA;PRKACA;PRKACB;RP11-82H13.1-005,NA,NA,-0.78,0.00568
P17858;P17858-2;F5H3H2;E9PDI3;H0YIX6,PFKL,-1,0.00584,-1.1,0.00334
P17931;G3V3R6,LGALS3;MAC2,-0.72,0.0035,-1.42,0.00127
P17936;F5H4S6;B3KWK7;B3KRZ1;B3KTS0;H0Y5K2;H0Y485;C9JMX4,IBP3;IGFBP3;hCG_1735376,NA,NA,-8.68,0.000365
P18065;C9JMY1;C9JW52,BP2;IBP2;IGFBP2,-11.86,8.74E-05,-11.62,8.79E-05
P18206;P18206-2;F5H7T3;G8JLL3;Q5JQ13;F5H5H8;B4DTM7;P18206-3,VCL;RP11-178G16.3-002,NA,NA,-0.77,0.00305
P18754-2;E9PAT9;P18754;C9JW69;C9JQZ4;C9J3R0;C9JMJ4;C9JRH2,CHC1;RCC1,1.48,0.000153,1.12,0.000105
P19338;E7EX81;Q9BQ02,NCL,NA,NA,0.76,0.0073
P19367;B4DG62;E7ENR4;P19367-3;P19367-2;P19367-4;B1AR63;B1AR61;B1AR62;P52790,HK1,-0.37,0.0025,-0.47,0.00226
P20073;P20073-2;B4DHY4;B4DT77,ANX7;ANXA7;OK/SW-cl.95;SNX,NA,NA,-0.45,0.00123
P20618;H0Y3J2,PSC5;PSMB1,NA,NA,-0.52,0.0011
P20700;E9PBF6;A8K979-2,LMN2;LMNB;LMNB1,2.2,0.000622,3.94,0.0009990000000000001
P21291;B3KVC9;E9PND2;E9PS42;E9PP21,CSRP;CSRP1;CYRP,-1.81,0.00121,-2.06,0.000133
P21333;P21333-2;Q5HY54;E9PHF0;E7EWU2;H0Y5C6;H0Y5F3,FLN;FLN1;FLNA;XX-FW83128A1.1-010,-0.4,0.00411,NA,NA
P21399;Q59FI0;Q9HBB2;Q5VZA6,ACO1;IREB1;IRP1,-1.04,0.00373,-1.36,0.00148
P21964;P21964-2;E7EMS6;E7EUU8;F8WBW9,COMT,-1.43,0.000884,-1.65,0.000153
P22061-2;P22061;B7Z972;F8WAX2;F8WAV5;F8WDT3;C9J0F2,PCMT1,NA,NA,-0.66,0.00902
P22087;A6NHQ2,FBL;FIB1;FLRN,1.57,0.00446,1.92,0.00108
P22234;P22234-2;E9PBS1;D6RF62;REV__Q8NBF6;REV__Q8NBF6-2;REV__F8WCK7;REV__Q9Y2W6;REV__Q5SZR4;REV__Q9Y2W6-3;REV__Q8N6Z3,ADE2;AIRC;PAICS;PAIS,-0.61,0.000912,-0.55,0.00115
P22314;E7ERL1;B4DDE4;Q5JRR6;Q5JRS0;Q5JRR9;Q5JRS2;Q5JRS3;Q5JRS1,A1S9T;UBA1;UBE1,NA,NA,-0.49,0.00643
P22626;P22626-2,HNRNPA2B1;HNRPA2B1,1.33,0.00406,1.72,7E-05
P23246;P23246-2;H0Y9K7;H0Y9U2,PSF;SFPQ,1.5,0.00185,2.02,0.00135
P23919;G5E9E9,CDC8;DTYMK;TMPK;TYMK,NA,NA,-0.46,0.00126
P23921;E9PD78;H0YFI0;E9PL69;F5H861;H0YCY7;E9PP77,RR1;RRM1,NA,NA,-0.77,0.00319
P24539;Q5QNZ2,ATP5F1;RP11-552M11.5-005,NA,NA,-0.37,0.00967
P24593;C9JXX4,IBP5;IGFBP5,-10.75,3.55E-06,-10.9,4.64E-06
P24666;B5MCC7;G5E9R5;P24666-2;P24666-3;C9JNS5;F2Z2Q9;D3YTI2,ACP1,NA,NA,-0.67,0.00425
P24928;F5H841,POLR2;POLR2A,0.65,0.00608,NA,NA
P25325;E7ERL2;E7ENL2;B1AH49,MPST;TST2;LL22NC01-146D10.4-005,NA,NA,1.47,0.00901
P25786-2;P25786;F5GX11;B4DEV8,HC2;NU;PROS30;PSC2;PSMA1,NA,NA,-0.6,0.00562
P25788;P25788-2;G3V4X5;G3V5N4;G3V3W4,HC8;PSC8;PSMA3,NA,NA,-0.62,0.00865
P26368;P26368-2,U2AF2;U2AF65,1.13,0.00372,1.11,0.000208
P26447;F5H3J5,CAPL;MTS1;S100A4,NA,NA,-15.39,4.3E-06
P26639;B4DEG8;G3XAN9;E7ERI3;D6R9F8;A2RTX5;A2RTX5-2;D6RDJ6;D6RCA5;B7ZLP8,TARS,NA,NA,0.66,0.00803
P26885;F5H0N4,FKBP13;FKBP2,-1.72,0.00225,-1.86,0.000522
P27144;D3DQ64,AK3;AK3L1;AK3L2;AK4;hCG_2031840,NA,NA,-1.66,0.0043
P27361;P27361-3;E9PQW4;E9PJF0;E9PBK7;H0YDL8;B3KR49;H0YD87;H0YDH9;H0YEX6;E9PRH7;P35916;P35968;E9PD35;P35916-1;P09619;P16234;P10721;P10721-2;H0YFZ2;Q8TD08;Q9UBE8;H0YD75;Q8TD08-3;Q8TD08-2;D6RFF2;Q96KX1;D6RGW9,ERK1;MAPK3;PRKM3;hCG_1983753,NA,NA,-1.13,0.00581
P27708;F8VPD4,CAD,NA,NA,0.88,0.00222
P28331;E7ENF3;B4DUC1;B4DPG1;B4DJ81;C9JPQ5,NDUFS1,NA,NA,0.44,0.00942
P29373;Q5SYZ4,CRABP2;RP11-66D17.4-002,NA,NA,-1.16,0.00697
P29762;B5MCB5,CRABP1;RBP5,-1.53,0.000795,-1.68,0.000715
P30044;P30044-2;A6NG06;A6NC19,ACR1;PRDX5;SBBI10,NA,NA,-0.66,0.00432
P30046;B5MC82;A6NHG4;B7Z522,DDT;DDTL;hCG_41098,-1.17,0.00363,-1.33,0.00435
P30047;B7ZLM8;H0YNX7;H0YNM1,GCHFR;GFRP,-11.88,3.13E-06,-11.35,3.85E-06
P30085;E7EVE6;Q5T0D2;E9PGI8,CMK;CMPK;CMPK1;UCK;UMK;UMPK;RP11-511I2.1-004,NA,NA,-0.53,0.0105
P30086;B4DRT4,PBP;PEBP;PEBP1,NA,NA,-0.35,0.00574
P30405;Q2YDB7;H0Y548;Q6BAA4,CYP3;PPIF;hCG_22611,1.28,0.005,1.48,0.00288
P30419;P30419-2;B7Z8J4;E9PE74,NMT;NMT1,-0.82,0.000601,-0.51,0.00268
P30533;D6REW6,A2MRAP;LRPAP1,-1.26,0.00212,-1.25,0.00192
P30711;E9PH92;Q6IC69;G3XAK0;C9JA47;A8MPT4;G5E9K8;E9PGP8;Q4W251;F8WCF3;G5E9P7;G5E9I8,GSTT1,-0.94,0.00382,-0.98,0.00248
P30740;B4E3A8;B4DNT0;O75830;C9J7N5,ELANH2;MNEI;PI2;SERPINB1,NA,NA,-1.14,0.00453
P30837;B4DLJ0,ALDH1B1;ALDH5;ALDHX,NA,NA,1.15,0.00341
P31150;B4DHX4;G5E9U5,GDI1;GDIL;OPHN2;RABGDIA;XAP4,-1.32,0.000814,-1.28,0.000554
P31153;B4DN45;E9PBA7;E7EPQ0;Q00266,AMS2;MAT2A;MATA2,NA,NA,1.2,0.00469
P31350;C9JXC1;H0Y855,RR2;RRM2,-0.87,0.000858,-0.7,0.00244
P31749;B7Z5R1;G3V4I6;Q9Y243;Q9Y243-2;G3V2I6;G3V3X1;G3V3K5;C9K000;F8VS91;C9J258,AKT1;PKB;RAC,NA,NA,-0.49,0.000359
P31939;E9PBU3;F5GWY2;C9JLK0;F8WEF0,ATIC;OK/SW-cl.86;PURH,-0.61,0.000849,-0.81,0.000271
P31942;P31942-2;P31942-3;B4DHY1;P31942-4;P31942-5;P31942-6,HNRNPH3;HNRPH3,NA,NA,1.68,0.007
P31944,CASP14,-8.95,0.000406,-9.34,0.000363
P31947;P31947-2,HME1;SFN,-1.82,0.00131,-2.26,0.000728
P31949,MLN70;S100A11;S100C,NA,NA,-1.04,0.00108
P32119;A6NIW5;A8K0C0,NKEFB;PRDX2;TDPX1;hCG_172488,-1.12,0.000131,-1.21,0.00115
P32519;E9PDQ9,ELF1,NA,NA,1.19,0.0018
P33176,KIF5B;KNS;KNS1,-0.45,0.00577,-0.41,0.00147
P33240;P33240-2;B4DUD5;E7EWR4;E9PID8,CSTF2,NA,NA,0.76,0.00855
P34059;F5H325,GALNS,NA,NA,-0.36,0.0101
P34896;A8MYA6;P34896-2;P34896-3;B4DPM9;E7EW08;A8MX84;E7ER17,SHMT1,-0.76,0.00401,-0.99,2.13E-05
P34897;B7Z9F1;Q8N1A5;B4DLV4;G3V4W5;G3V2Y4;G3V5L0;H0YIZ0;G3V540;G3V2W0;G3V2E4;G3V4X0;G3V4T0;G3V3Y8;G3V241;G3V2D2,SHMT2;hCG_41231,NA,NA,0.6,0.00133
P34949;F5GX71;P34949-2;Q8NHZ6;REV__P48643;REV__E7EWW2;REV__E7ENZ3;REV__H0Y914;REV__D6RIZ7,MPI;PMI1,-1.39,0.00448,-1.56,0.00212
P35221;B4E2G8;P35221-2;F6XBD8;F8W845;G3XAM7;F5GXI1;Q8N1C0;E5RIB1;H0YBB8;E5RGD2;E5RIC3;E5RG03;E5RGY6;E5RGY7;E5RHV7;E5RJP7;E5RIE0;E5RFM5;E5RJL0;P26232-6;P26232-4;E5RJ41;E5RFK9;E5RFM3;E5RFG3;E5RHJ5;E5RGU3;E5RGS1;E5RJ43;E5RGG4;Q9UI47;REV__Q9P2T0;REV__Q9P2T0-2;A6NKP0;E5RIT8;E5RJZ2,CTNNA1;hCG_1782385,0.6,0.00425,0.55,0.00151
P35237;E9PD07;H0Y3G3;C9JVA8;C9JTJ8,PI6;PTI;SERPINB6,-0.95,0.00101,-1.29,0.000367
P35568,IRS1,1.81,0.00536,1.42,0.00324
P35606;B4DZI8;D6R997;H0YAC7;D6RBT6;D6RBG7;D6RCL6;D6RBZ7;H0Y938,COPB2;hCG_17220,NA,NA,-0.46,0.00201
P35637;P35637-2;E7EUX0;B4DR70;A6NMX6,FUS;TLS,NA,NA,0.8,0.00059
P35659;B4DFG0;B4DN37;H0Y993;D6R9L5;D6RDA2;H0Y8X0,DEK,0.64,0.00175,0.8,0.00238
P36542;P36542-2;B4DL14,ATP5C;ATP5C1;ATP5CL1,0.38,0.000693,NA,NA
P36776;B3KXS5;F5GZ27,LONP1;PRSS15,0.5,0.0057,NA,NA
P36969;P36969-2,GPX4,-1.01,0.00158,NA,NA
P38159;P38159-2;B4E3U4;O75526;Q8N7X1,HNRPG;RBMX;RBMXP1,0.95,0.00253,1.35,0.00427
P38646;B7Z4V2;F5H3L8;H0YBG6;H0Y8S0;D6RJI2;D6RA73,GRP75;HSPA9;HSPA9B,NA,NA,0.41,0.00444
P38919;F8WE11;E9PBH4,DDX48;EIF4A3;KIAA0111,NA,NA,1.35,0.00141
P40121;B8ZZS7;B4DU58;E7ENU9;E7EUE9;E7EUR2;B8ZZL6;REV__P40121;REV__B8ZZS7;REV__B4DU58;REV__E7ENU9;REV__E7EUE9;REV__E7EUR2;REV__B8ZZL6,AFCP;CAPG;MCP,-1.12,0.000803,-1.63,7.57E-05
P40199,CEACAM6;NCA,NA,NA,-11.83,6.5E-05
P40763;P40763-2;G8JLH9,APRF;STAT3,-0.93,0.00157,-0.86,0.000862
P42025;G5E9Q5,ACTR1B;CTRN2,-9.7,2.46E-05,-9.84,2.87E-05
P42166,LAP2;TMPO,0.43,0.00122,0.74,0.000243
P42224;P42224-2;D2KFR9;E7EPD2;E7ENM1;H0YG89;E9PH66,STAT1,-1.02,0.00558,-1.04,0.00524
P42704;F5H4J6;B8ZZ38;C9JCA9,LRP130;LRPPRC,1.61,0.00043,1.7,0.000271
P43246;E9PHA6;B4E2Z2;E7EU21;E7EQQ1;B4DL39;B4DSB9;E9PCI8;C9J809;P56199,MSH2,NA,NA,0.47,0.00558
P43490;Q5SYT8;F5H246;C9JG65;C9JF35,NAMPT;PBEF;PBEF1;RP11-92J19.4;RP11-92J19.4-001,NA,NA,-0.95,0.00572
P43897-2;P43897;F8W6R3;C9JT21;F8VS27;F5H2T7;F8VPA7;C9JG32;B4E391;F8WCK2,TSFM,0.41,0.0061,NA,NA
P45954;B4DQ51;H0Y6T4,ACADSB,NA,NA,1.08,0.00127
P45974;P45974-2;F5H571,ISOT;USP5,NA,NA,-0.44,0.00238
P46060;F8W7I9;H0Y4Q3;B0QYT4;B0QYT5;B0QYT6,KIAA1835;RANGAP1;SD,NA,NA,0.47,0.00166
P46781;C9JM19;B5MCT8;A8MXK4;F2Z3C0,RPS9;hCG_2009111,-0.82,0.00583,NA,NA
P47897;B4DWJ2;B4DNN3;B7Z840;C9J165;C9JSG9;F2Z2V6,QARS,-0.7,0.00385,-0.68,0.00421
P48200;H0YKU0;H0YNL8;H0YL48;H0YMA8;H0YLE0,IREB2,-10.48,6.98E-07,-11.35,3.87E-06
P48449;E9PEI9;G5E9Q9;C9J315,LSS;OSC,-0.76,0.00237,-0.98,0.00102
P49005;F8W8R3;C9JLE1;C9J8Z7;C9IZD2;C9JHC7,POLD2,7.87,0.000281,NA,NA
P49327;F5H0D4,FAS;FASN,-1.12,0.000825,-1.33,3.89E-05
P49406,KIAA0104;MRPL15;MRPL19,NA,NA,1.07,0.00293
P49411,TUFM,NA,NA,0.72,0.00416
P49750-4;P49750;P49750-3;F8VU51;H0YIQ2;H0YI23,C14orf170;YLPM1;ZAP3,NA,NA,1.43,0.00565
P49756;P49756-3;P49756-2;E9PQU5;E9PSE8;H0YE46,RBM25;RNPC7,0.76,0.00259,0.73,0.0087
P49790;F6QR24;Q4LE47,"NUP153;NUP153 variant protein",NA,NA,0.8,0.0039
P49792;E9PGT0;C9JRL5;F8WBP7,NUP358;RANBP2,NA,NA,0.73,0.00157
P50148;B1AM21,GAQ;GNAQ;RP11-494N1.1-002,9.02,3.09E-06,8.99,0.000611
P50402;Q5HY57,EDMD;EMD;STA,NA,NA,1.19,0.00217
P50570;P50570-2;E9PEQ4;F5H4R9;A8K1B6;F5H722,DNM2;DYN2,-1.06,0.000731,-1.77,0.0001
P50583,APAH1;NUDT2,NA,NA,-1.01,0.00607
P51398;B4DP59;E7EM60,DAP3;MRPS29;hCG_17177,1.08,0.00418,1.15,0.00094
P51452;Q8IYJ9,DUSP3;VHR,-1.71,0.000144,-2.15,0.000122
P51570;A6NJD0,GALK;GALK1,-0.84,0.00343,-1.09,0.00239
P51610;P51610-2;A6NEM2;P51610-3,HCF1;HCFC1;HFC1,NA,NA,0.69,0.0049
P51991,HNRNPA3;HNRPA3,1.36,0.00343,1.29,0.00143
P52209;B4DQJ8;F5H7U0;F5H0L3;B4DV68,PGD;PGDH,NA,NA,-0.69,0.00237
P52272;P52272-2;Q59ES8;F5H7Z1,HNRNPM;HNRPM;NAGR1,0.97,0.000354,1.17,9.89E-05
P52597;B4DKS8,HNRNPF;HNRPF,1.12,0.00304,1.24,0.00178
P52789;E9PB90,HK2,NA,NA,-8.63,0.000193
P52943;B7Z6C0;H0YFA4;H0YHD8,CRIP2;CRP2,-0.72,0.00394,-0.98,0.00339
P52948;P52948-5;P52948-2;P52948-6;P52948-3;P52948-4;H0YEN4;H0YCR0;H0YDA1,ADAR2;NUP98,NA,NA,1.16,0.00277
P53367;B4DS69,ARFIP1,NA,NA,-1.07,0.00365
P53582;F5GXS7;H0Y955;H0Y903,KIAA0094;METAP1,NA,NA,0.6,0.000357
P53602;E7ES45,MPD;MVD,-1.19,0.00228,-1.6,0.000109
P53621-2;P53621,COPA,NA,NA,-0.64,0.000689
P54764;E9PG71;P29323;Q9UF33;Q15375;Q15375-4;Q15375-2;P29323-3;P29323-2;P54762;B1AKC9;A6NJM0;C9JCC7;B3KTB2;D6RAL5;Q9UF33-2;P29317,EPHA4;HEK8;SEK;TYRO1,NA,NA,9.41,0.000123
P54802;H0Y3D8,NAGLU;UFHSD1,NA,NA,-0.55,0.00471
P55011;P55011-3;G3XAL9,NKCC1;SLC12A2,-2.09,0.00299,-1.93,0.00204
P55072;C9IZA5;C9JUP7;Q8IYT4;Q8IYT4-2;F8WBL0,VCP,-0.42,0.00179,-0.51,0.0011
P55795;B4DFK9,FTP3;HNRNPH2;HNRPH2,1.06,0.00503,1.15,0.00415
P56159-2;P56159;B7Z856;O00451;E9PD47;E5RGR6;E5RGW2;E5RJ44,GDNFRA;GFRA1;RETL1;TRNR1,2.4,0.000134,3.2,0.00192
