Accession,Gene,114:113,"PVal 114:113",115:113,"PVal 115:113",116:113,"PVal 116:113",117:113,"PVal 117:113",118:113,"PVal 118:113",119:113,"PVal 119:113",121:113,"PVal 121:113"
Q15149,PLEC1,1.222,0,1.284,0,1.048,0.0227,2.454,0,2.024,0,1.986,0,2.266,0
P78527,PRKDC,1.144,0,0.821,0,0.925,0,1.03,0.4171,1.366,0,1.339,0,1.062,0.1157
P05787,KRT8,1.355,0.002,1.4,0.0003,0.999,0.9838,3.165,0,3.206,0,3.631,0,3.355,0
Q60FE2,MYH9,1.347,0,1.318,0,1.029,0.4477,3.504,0,2.999,0,2.613,0,3.452,0
Q6P2Q9,PRPF8,0.72,0,0.552,0,0.708,0,0.454,0,0.545,0,0.476,0,0.528,0
O75643,SNRNP200,0.841,0,0.639,0,0.835,0,0.516,0,0.586,0,0.545,0,0.567,0
Q09666,AHNAK,1.446,0,2.067,0,2.387,0,0.433,0,0.474,0,0.566,0,0.556,0
P15924,DSP,1.228,0.0009,1.232,0.0022,1.04,0.1941,2.284,0,2.245,0,2.44,0,2.16,0
A1A4E9,KRT13,1.27,0.0233,1.432,0.0061,0.915,0.2087,3.769,0.0001,3.933,0.0001,3.819,0.0002,3.598,0.0004
P02545,LMNA,1.451,0.0003,1.632,0.0003,1.001,0.9881,3.716,0.0001,4.681,0,4.979,0,4.073,0.0001
P13647,KRT5,1.173,0.0577,1.385,0.0126,0.895,0.0783,5.978,0,4.515,0,3.982,0,5.008,0
P62805,HIST1H4A,0.765,0.0006,0.782,0.0043,0.559,0,3.532,0,3.732,0,3.774,0,2.458,0
B2RA03,-,1.208,0.0021,1.281,0.0029,1.006,0.9238,3.057,0,2.657,0.0001,2.464,0.0001,3.104,0
P49327,FASN,1.105,0.0216,1.14,0.1517,1.053,0.2395,1.864,0,2.036,0,1.569,0,1.572,0
Q13813,SPTAN1,1.079,0.0376,1.158,0.0022,1.447,0,0.396,0,0.379,0,0.356,0,0.437,0
Q08211,DHX9,1.011,0.8113,0.787,0.0044,1.086,0.0344,0.316,0,0.38,0,0.354,0,0.37,0
P20700,LMNB1,1.224,0.0131,1.337,0.0122,0.976,0.7091,2.686,0,2.598,0,2.582,0,2.164,0.0001
Q01082,SPTBN1,1.132,0.0001,1.109,0.0026,1.228,0,0.45,0,0.441,0,0.429,0,0.518,0
P22626,HNRNPA2B1,1.074,0.7028,0.691,0.022,1.118,0.3667,0.152,0.0013,0.142,0.0004,0.14,0.0014,0.14,0.0004
Q00839,HNRNPU,0.753,0.0911,0.612,0.0043,1.138,0.1754,0.419,0,0.569,0,0.481,0.0001,0.576,0
Q9BQG0,MYBBP1A,0.726,0.0003,0.654,0.0001,0.74,0.0015,1.073,0.2703,1.157,0.0388,0.992,0.916,1.141,0.0658
P21333,FLNA,1.342,0,1.391,0,1.927,0,0.827,0.0066,1.009,0.9045,1.097,0.1598,1.502,0.0001
Q8TEM1,NUP210,1.124,0.1173,1.213,0.0066,0.917,0.1635,2.672,0,2.843,0,2.631,0,2.364,0
Q14839,CHD4,0.807,0.0855,0.69,0.0047,0.837,0.1097,0.455,0.0004,0.425,0.0002,0.39,0.0001,0.403,0
P52272,HNRNPM,1.125,0.2079,0.69,0.0001,1.025,0.6556,0.226,0,0.239,0,0.264,0,0.226,0
Q00610,CLTC,0.936,0.195,1,0.991,1.273,0,0.625,0,0.838,0.0078,0.866,0.024,0.929,0.3119
Q2TTR7,-,1.248,0.0047,1.49,0,1.297,0.0007,1.764,0.0001,2.211,0,2.634,0,2.233,0
Q9H583,HEATR1,0.598,0,0.531,0,0.585,0,1.222,0.1061,1.45,0.0042,0.969,0.7219,1.108,0.3651
P43243,MATR3,0.98,0.814,0.564,0,1.147,0.0014,0.357,0,0.412,0,0.358,0,0.358,0
Q9NR30,DDX21,0.763,0.0041,0.773,0.0436,0.84,0.036,1.424,0.0012,1.133,0.1558,0.951,0.5821,1.462,0.0004
Q14690,PDCD11,0.824,0.0099,0.717,0.0001,0.771,0,1.224,0.0013,1.512,0,1.214,0.0021,1.267,0.0007
P13010,XRCC5,1.659,0,1.324,0.0009,1.457,0,0.249,0,0.358,0,0.301,0,0.232,0
Q14683,SMC1A,1.15,0.0275,1.122,0.2303,0.889,0.0142,0.772,0.0004,0.779,0.0002,0.735,0.0002,0.702,0
P68363,TUBA1B,0.888,0.3599,0.794,0.3224,0.724,0.1065,2.779,0.0064,2.23,0.012,2.715,0.0146,2.07,0.006
O75367,H2AFY,0.881,0.1079,1.008,0.9413,0.747,0.0008,2.112,0,2.425,0,2.322,0,2.058,0
Q12906,ILF3,1.172,0.3734,0.778,0.2922,1.373,0.0158,0.144,0,0.154,0,0.144,0,0.154,0
P14923,JUP,1.273,0.0029,1.523,0.0012,1.419,0.0002,1.454,0.0017,1.579,0.0001,1.52,0.0008,1.385,0.0019
Q03252,LMNB2,1.334,0.0003,1.593,0,1.076,0.031,2.995,0,2.938,0,2.898,0,2.552,0
P25705,ATP5A1,0.815,0.0285,0.945,0.488,0.866,0.0395,2.199,0.0001,1.245,0.022,2.003,0.0001,2.278,0
B2ZZ83,FLNB,1.498,0.0002,1.349,0.0045,1.639,0,0.62,0.0026,0.841,0.0996,0.873,0.1685,0.902,0.2507
P46940,IQGAP1,1.488,0,1.784,0,1.842,0,0.537,0.0002,0.728,0.0174,0.746,0.0098,0.717,0.0038
O00159,MYO1C,1.011,0.7662,1.118,0.0335,0.92,0.022,3.103,0,2.543,0,2.85,0,2.89,0
P58107,EPPK1,1.281,0.0084,1.305,0.0193,1.248,0.039,1.243,0.1511,1.476,0.0291,1.423,0.0444,1.423,0.0499
P23246,SFPQ,1.865,0,1.416,0.0072,1.254,0.0024,0.323,0,0.243,0,0.19,0,0.322,0
P04843,RPN1,0.974,0.7142,1.242,0.0114,0.96,0.4538,2.982,0,2.5,0,3.336,0,2.958,0
A8KAP3,-,0.76,0,0.664,0.0034,0.794,0,0.498,0,0.562,0,0.514,0,0.543,4.49
P11142,HSPA8,0.86,0.1171,0.617,0.0002,1.25,0.0005,0.425,0,0.415,0,0.381,0,0.45,0.0091
A8K6V3,-,0.968,0.6005,0.597,0,0.986,0.7022,0.345,0,0.424,0,0.366,0,0.391,0
P35221,CTNNA1,1.258,0.0007,1.44,0.0001,1.586,0,0.811,0.0008,0.765,0.0014,0.841,0.0081,0.855,0.0054
Q9UQE7,SMC3,1.197,0.0052,0.976,0.7584,0.856,0.0004,0.788,0.0001,0.743,0,0.75,0.0001,0.689,0.0001
P06576,ATP5B,0.606,0,0.848,0.0317,1.077,0.0626,1.377,0.004,0.758,0.0051,0.981,0.8376,1.27,0.01
B4DZC0,-,0.735,0.0129,0.611,0.0017,0.692,0.0014,1.345,0.0215,1.254,0.035,1.073,0.4451,1.158,0
O43795,MYO1B,0.961,0.6081,0.97,0.6504,0.997,0.9825,2.344,0.001,2.008,0.0017,2.244,0.0011,2.188,0.001
Q99968,tpr,1.442,0,1.364,0.0003,1.405,0,0.457,0,0.494,0,0.414,0,0.446,0
Q4LE64,NUMA1,1.064,0.4976,1.062,0.3755,1.313,0.0012,0.63,0.1054,0.592,0.0576,0.578,0.0344,0.622,0.0788
P19338,NCL,0.782,0.0181,0.82,0.1338,0.993,0.9208,0.465,0,0.526,0.0001,0.563,0,0.475,0
Q9H0A0,NAT10,0.771,0.0195,0.717,0.0135,0.762,0.0004,1.149,0.2243,1.485,0.0243,1.288,0.1564,1.166,0.3113
P17844,DDX5,0.701,0.0984,0.588,0.0063,1.153,0.1714,0.944,0.2453,0.763,0.0017,0.687,0.0006,1.002,0.9849
P42704,LRPPRC,0.384,0,0.5,0,1.453,0,0.375,0,0.382,0,0.321,0,0.306,0
Q8IY21,DDX60,0.676,0.0013,0.669,0.0003,0.699,0.0013,1.319,0.0046,1.03,0.7677,1.014,0.8539,0.963,0.6608
Q59EC0,-,0.858,0.2967,0.519,0.0001,0.992,0.9446,0.424,0,0.469,0.0001,0.511,0.0001,0.535,0.0004
P14866,HNRNPL,1.422,0.0119,0.947,0.5843,1.421,0.0022,0.159,0,0.187,0,0.177,0,0.216,0
P09874,PARP1,1.327,0.0012,1.374,0.001,1.012,0.7531,1.181,0.0872,0.806,0.0595,0.697,0.0071,0.793,0.0117
B4DR52,-,0.789,0.2524,0.746,0.1365,0.575,0.0624,3.193,0.0296,3.634,0.0248,3.595,0.0398,2.591,0.0328
Q9NTI5,PDS5B,0.932,0.1653,0.715,0.0002,0.807,0.0086,0.772,0.0451,0.741,0.0093,0.705,0.0049,0.749,0.0327
O76021,RSL1D1,0.583,0.0017,0.506,0.0009,0.589,0,0.858,0.116,1.174,0.2852,1.019,0.8567,1.04,0.6835
