Accession,Name,X115.114,PVal.115.114,X116.114,PVal.116.114,X117.114,PVal.117.114
Q09666,AHNK,1.498,0,1.395,0,1.343,0
P49327,FAS,0.46,0,0.567,0,0.489,0
P78527,PRKDC,1.218,1.44E-43,1.127,2.68E-31,1.096,1.46E-10
P21333,FLNA,1.005,0.736,1.013,0.336,1.25,1.29E-28
P58107,EPIPL,1.081,7.18E-05,1.216,1.16E-30,1.203,9.61E-21
Q14204,DYHC1,0.783,8.52E-18,0.87,3.33E-14,0.926,0.000509
P08238,HS90B,0.456,0.0736,0.477,0.0235,0.67,0.0761
P14618,KPYM,0.767,5.14E-11,0.968,0.138,0.919,0.00695
P13647,K2C5,0.967,0.741,1.34,9.22E-05,1.163,0.00135
Q6P2Q9,PRP8,1.12,1.89E-06,1.154,1.06E-13,1.215,1.44E-18
Q9BQE3,TBA1C,0.565,3.17E-05,0.82,0.000687,0.814,0.0042
Q92616,GCN1L,0.791,5.92E-14,0.851,2.29E-12,0.882,0.000296
Q9NZM1,MYOF,1.32,5.42E-14,1.344,4.23E-21,1.208,1.58E-13
Q00839,HNRPU,1.302,1.05E-20,1.151,5.92E-12,1.084,8.18E-05
P13639,EF2,0.721,1.95E-23,0.774,5.69E-33,0.881,1.22E-07
Q08211,DHX9,1.259,1.03E-21,1.219,4.43E-26,1.138,7.93E-09
P07355,ANXA2,1.233,2.27E-09,1.315,4.72E-13,1.103,0.00436
P55072,TERA,0.805,1.44E-16,0.831,2.37E-22,0.845,9.22E-10
P16144,ITB4,1.246,0.00366,1.239,0.000553,1.102,0.084
P08195,4F2,1.295,3.7E-14,1.185,6.44E-21,0.98,0.404
P52272,HNRPM,1.354,9.32E-33,1.209,8.16E-26,1.082,8.17E-06
P35221,CTNA1,1.3,6.07E-08,1.299,1.24E-16,1.14,1.05E-06
P07237,PDIA1,0.985,0.732,0.827,0.000183,1.253,9.38E-05
P22314,UBA1,0.726,3.54E-17,0.809,8.47E-19,0.897,1.5E-05
P11142,HSP7C,0.841,1.93E-10,0.843,9.34E-13,0.815,4.17E-13
P14923,PLAK,1.358,9.9E-15,1.323,1.67E-22,1.066,0.00972
P02545,LMNA,1.526,7.06E-39,1.389,2.63E-37,1.064,0.00405
P29966,MARCS,1.617,6.08E-11,1.582,3.99E-13,1.897,2.33E-19
Q6YHK3,CD109,1.228,1.79E-09,1.417,1.16E-24,1.518,9.55E-24
Q16777,H2A2C,1.273,0.0558,1.226,0.0791,1.284,0.0116
Q59G75,Q59G75,0.592,0.011,0.761,0.0443,0.887,0.428
Q4LE58,Q4LE58,0.715,2.8E-09,0.745,2.15E-07,0.858,0.000528
P00338,LDHA,1.069,0.0364,1.604,1.58E-31,1.521,6.81E-22
Q9BSJ8,ESYT1,1.04,0.224,1.267,4.21E-12,1.262,7.61E-10
A8MXP9,A8MXP9,1.494,1.66E-08,1.174,0.000167,1.124,0.00586
P07900,HS90A,0.659,6.48E-08,0.724,4.55E-11,0.842,0.000104
P34932,HSP74,0.712,1.4E-10,0.745,1.13E-11,0.807,1.93E-07
Q86UP2,KTN1,1.232,2.16E-08,1.106,0.00173,1.043,0.247
Q12906,ILF3,1.2,5.89E-06,1.074,0.0026,1.062,0.0395
C9JZR2,C9JZR2,1.316,4.28E-20,1.175,5.92E-13,1.043,0.0362
O43795,MYO1B,1.217,2.77E-05,1.269,0.00159,1.163,0.000995
P09651,ROA1,0.756,0.0371,0.943,0.605,0.89,0.164
Q5SZY0,Q5SZY0,0.858,0.094,0.829,0.014,0.873,0.025
Q13085,ACACA,0.66,1.71E-07,0.73,9.71E-08,0.746,1.19E-09
P07814,SYEP,0.795,9.21E-05,0.752,2.55E-10,0.807,7.22E-10
P23229,ITA6,1.159,4.85E-05,1.242,1.06E-14,1.196,9.61E-12
P00558,PGK1,1.026,0.351,1.368,7.56E-26,1.337,1.29E-19
Q9Y4L1,HYOU1,0.847,6.06E-06,0.775,3.75E-16,1.047,0.11
Q4LE36,Q4LE36,1.041,0.105,0.946,0.00401,0.823,1.2E-10
Q14126,DSG2,1.287,4.61E-14,1.304,8.12E-17,1.172,6.09E-07
Q96HX3,Q96HX3,1.13,4.31E-08,1.214,8.2E-23,1.053,0.00954
Q8IY21,DDX60,0.552,2.56E-16,0.772,2E-10,0.79,1.18E-10
P55884,EIF3B,0.698,1.54E-10,0.795,1.72E-10,0.99,0.746
Q59F66,Q59F66,1.265,0.0112,1.217,0.00363,1.409,0.000598
Q6FG96,Q6FG96,0.877,7.02E-05,0.772,7.88E-18,0.863,0.00021
P23246,SFPQ,1.294,6.04E-14,1.198,5.96E-13,1.118,0.000105
Q5JTH9,RRP12,1.174,0.000812,1.175,1.35E-06,1.269,8.59E-08
P53621,COPA,0.792,2.82E-05,0.887,0.000151,0.87,4.43E-05
Q15233,NONO,1.209,2.22E-11,1.153,3.42E-11,1.081,0.00542
Q14690,RRP5,1.3,8.12E-08,1.218,6.21E-07,1.192,3.27E-08
Q14573,ITPR3,1.147,0.000299,1.219,8.63E-07,1.251,2.45E-07
P14866,HNRPL,1.367,2.53E-20,1.209,1.02E-17,1.088,0.000108
Q2Q9H2,Q2Q9H2,0.498,1.24E-27,0.548,5.62E-27,0.473,3.32E-24
Q9Y2X3,NOP58,1.333,1.79E-12,1.216,3.81E-13,1.165,1.34E-06
Q9H583,HEAT1,1.239,2.49E-06,1.152,1.87E-06,1.126,0.000368
A8K6Q8,A8K6Q8,0.96,0.264,0.93,0.0253,1.684,1.48E-13
P17987,TCPA,0.787,2.5E-07,0.795,2.4E-10,0.869,4.4E-05
Q6IAT1,Q6IAT1,0.57,1.17E-06,0.691,4.08E-06,0.715,1.56E-06
A8K916,A8K916,0.989,0.86,1.126,0.0335,1.239,0.00663
B3KMX0,B3KMX0,0.844,1.72E-05,0.819,4.15E-11,0.97,0.363
Q5TZZ9,Q5TZZ9,0.788,5.68E-20,0.991,0.566,0.951,0.0193
O43175,SERA,0.56,1.67E-17,0.641,2.15E-20,0.6,6.96E-19
P78371,TCPB,0.826,1.47E-09,0.786,2.23E-16,0.794,7.83E-12
P18206,VINC,0.739,1.01E-11,0.835,1.7E-08,0.777,3.62E-07
O15031,PLXB2,1.343,5.18E-06,1.343,6.44E-07,1.188,5.13E-07
Q9Y446,PKP3,1.323,4.34E-14,1.229,1.53E-12,1.18,1.49E-07
Q549T6,Q549T6,0.92,0.00179,0.739,1.28E-21,1.117,8.6E-05
P07339,CATD,1.747,0.000139,1.143,0.0012,1.035,0.512
Q86VP6,CAND1,0.78,1.21E-08,0.853,3.31E-07,0.878,0.000669
P08758,ANXA5,0.773,5.66E-06,1.113,0.000147,0.949,0.311
P01024,CO3,1.212,7.44E-06,1.227,1.51E-07,1.346,2.07E-08
P63244,GBLP,0.868,0.00416,0.801,1.41E-08,0.932,0.0753
B3KTJ9,B3KTJ9,1.247,3.38E-09,1.097,0.00834,1.141,2.52E-05
B3KNN9,B3KNN9,1.456,6.41E-11,1.29,9.99E-15,1.298,1.98E-09
O60841,IF2P,0.703,0.000273,0.79,0.00093,0.962,0.49
