"Accession","Entry","median.115.114","median.116.114","median.117.114"
"EIF2A_HUMAN","Q9BY44",0.76,0.84,0.9
"IF39_HUMAN","P55884",1.23,1.28,1.35
"IF4B_HUMAN","P23588",0.86,0.68,0.42
"SSRP1_HUMAN","Q08945",0.93,0.74,0.97
"FUBP2_HUMAN","Q92945",1,0.85,0.69
"FLNA_HUMAN","P21333",0.87,0.86,0.75
"LG3BP_HUMAN","Q08380",1.08,1.04,1.35
"LEG4_HUMAN","P56470",1.17,1.15,1.93
"GELS_HUMAN","P06396",1.32,1.32,1.4
"G6PI_HUMAN","P06744",1.13,1.33,1.5
"DHE3_HUMAN","P00367",1.08,1.08,1.45
"GSTK1_HUMAN","Q9Y2Q3",1.21,1.37,1.62
"GSTP1_HUMAN","P09211",1.06,1.13,1.35
"G3P_HUMAN","P04406",1.13,1.3,1.35
"PYGB_HUMAN","P11216",1,1.19,1.4
"GBB1_HUMAN","P62873",1.06,1.3,1.35
"GBB2_HUMAN","P62879",1.09,1.25,1.31
"GNAS1_HUMAN","Q5JWF2",0.93,1.33,1.35
"NOLA2_HUMAN","Q9NX24",1,0.89,0.75
"HEAT1_HUMAN","Q9H583",0.92,0.74,0.86
"HS90A_HUMAN","P07900",1.09,1.11,1.5
"HS90B_HUMAN","P08238",1.06,1.06,1.45
"HBA_HUMAN","P69905",0.87,0.35,0.23
"HBG2_HUMAN","P69892",0.72,0.2,0.24
"HDGF_HUMAN","P51858",0.97,0.96,0.65
"ROA1_HUMAN","P09651",1.11,1.11,1.35
"HNRPF_HUMAN","P52597",1.04,1.16,1.5
"HNRH1_HUMAN","P31943",1.09,1.12,1.31
"HNRPL_HUMAN","P14866",0.97,1.19,1.35
"HNRPQ_HUMAN","O60506",1.13,1.3,1.4
"HNRPR_HUMAN","O43390",1.19,1.22,1.5
"HNRPU_HUMAN","Q00839",1.06,1.25,1.4
"HXK1_HUMAN","P19367",0.96,0.74,0.69
"HMGB1_HUMAN","P09429",0.92,0.84,0.65
"HMGB2_HUMAN","P26583",0.86,0.71,0.35
"HMGA1_HUMAN","P17096",0.96,0.99,0.56
"HINT1_HUMAN","P49773",1.03,0.94,0.75
"HINT2_HUMAN","Q9BX68",0.76,0.81,0.59
"HDAC1_HUMAN","Q13547",1.09,1.12,1.31
"H10_HUMAN","P07305",0.8,0.72,0.5
"H2A2B_HUMAN","Q8IUE6",0.82,0.8,0.75
"H32_HUMAN","Q71DI3",1.01,1.16,1.62
"H4_HUMAN","P62805",0.98,0.99,1.84
"RBBP4_HUMAN","Q09028",0.83,1.33,1.1
"TIM50_HUMAN","Q3ZCQ8",1.08,0.76,0.72
"IPYR2_HUMAN","Q9H2U2",1.13,1.27,1.62
"ITA1_HUMAN","P56199",1.81,2.16,2.53
"IDH3A_HUMAN","P50213",1.32,1.41,1.56
"IDHC_HUMAN","O75874",1.13,1.23,1.35
"IDHP_HUMAN","P48735",1.19,1.32,1.76
"SYIM_HUMAN","Q9NSE4",1.23,1.33,1.27
"IVD_HUMAN","P26440",1.06,1.25,1.62
"PLAK_HUMAN","P14923",0.77,0.83,0.74
"JAM1_HUMAN","Q9Y624",0.86,0.93,0.62
"K1C10_HUMAN","P13645",1.03,0.7,0.84
"K2C1B_HUMAN","Q7Z794",1.08,1.71,2.7
"KIF14_HUMAN","Q15058",0.71,0.73,0.69
"LMNA_HUMAN","P02545",1.03,1.19,1.31
"LRC47_HUMAN","Q8N1G4",0.78,0.72,0.64
"LIMA1_HUMAN","Q9UHB6",0.79,1.01,0.76
"MIF_HUMAN","P14174",0.88,0.76,0.52
"MDHM_HUMAN","P40926",1.19,1.28,1.35
"DCMC_HUMAN","O95822",0.84,0.76,0.64
"MRP_HUMAN","P49006",1.09,1.35,1.07
"PGRC2_HUMAN","O15173",1.17,1.27,1.35
"RT34_HUMAN","P82930",0.7,0.65,0.69
"RM27_HUMAN","Q9P0M9",1.32,0.93,1.04
"DIC_HUMAN","Q9UBX3",1.08,1.22,1.56
"IMMT_HUMAN","Q16891",1.06,1.2,1.35
"MPPA_HUMAN","Q10713",1.27,1.04,1.4
"MPPB_HUMAN","O75439",0.98,0.77,0.74
"MOT4_HUMAN","O15427",1.06,1.32,1.69
"MYO1C_HUMAN","O00159",0.75,0.56,0.88
"MARCS_HUMAN","P29966",1.3,2.32,2.13
"NAT10_HUMAN","Q9H0A0",1.15,1.13,1.4
"NNTM_HUMAN","Q13423",0.91,1.05,1.31
"NDUS6_HUMAN","O75380",0.89,0.67,0.64
"NCB5R_HUMAN","P00387",1.09,1.41,2.9
"ADRO_HUMAN","P22570",1.23,1.33,1.19
"NCALD_HUMAN","P61601",1.64,1.52,2.13
"GANAB_HUMAN","Q14697",1.13,1.11,1.56
"AAAT_HUMAN","Q15758",0.59,0.62,1.01
"HMGN1_HUMAN","P05114",0.81,1.15,0.64
"NU133_HUMAN","Q8WUM0",1.43,0.96,0.83
"NUP93_HUMAN","Q8N1F7",1.06,1.09,1.4
"YBOX1_HUMAN","P67809",0.91,0.79,0.75
"NOC2L_HUMAN","Q9Y3T9",1.17,1.5,1.16
"NOL11_HUMAN","Q9H8H0",1.25,1.35,1.4
"NOP56_HUMAN","O00567",1.11,1.23,1.4
"NUDT8_HUMAN","Q8WV74",0.65,0.75,0.69
"OSGI1_HUMAN","Q9UJX0",0.89,0.92,0.46
"HTAI2_HUMAN","Q9BUP3",0.89,0.81,0.74
"PDLI1_HUMAN","O00151",0.76,0.83,0.5
"PPIB_HUMAN","P23284",1.08,1.25,1.62
"PRDX2_HUMAN","P32119",1.19,1.25,1.45
"PRDX4_HUMAN","Q13162",1.21,1.87,1.62
"DHB4_HUMAN","P51659",1.27,1.35,1.19
"PGK1_HUMAN","P00558",1.32,1.23,1.31
"PAIRB_HUMAN","Q8NC51",0.86,1.11,0.72
"PARP1_HUMAN","P09874",0.92,0.96,0.76
"PDIP2_HUMAN","Q9Y2S7",0.76,0.73,0.58
"GALT2_HUMAN","Q10471",0.86,1.06,0.72
"GALT3_HUMAN","Q14435",1.09,1.03,1.35
"PTBP1_HUMAN","P26599",0.96,1.2,1.69
"PFD2_HUMAN","Q9UHV9",0.78,0.48,0.43
"PREP_HUMAN","Q5JRX3",1.21,2.03,1.45
"SYCM_HUMAN","Q9HA77",0.82,1.22,1.56
