Order,Family,Accession,Organism,"Respiration type","Habitat type"
Conexivisphaerales,Conexivisphaeraceae,GCA_015522695.1,"Thaumarchaeota archaeon S016_59_esom",Anaerobic,Thermal
Conexivisphaerales,Conexivisphaeraceae,GCA_009903775.1,"Thaumarchaeota archaeon EvPrim.Bin14",Anaerobic,Thermal
Conexivisphaerales,Conexivisphaeraceae,GCA_013340765.1,"Conexivisphaera calida NAS-2",Anaerobic,Thermal
Conexivisphaerales,DTJL01,GCA_011333845.1,"Nitrososphaeria archaeon SpSt-831",Aerobic,Thermal
Conexivisphaerales,UBA164,GCA_002499005.1,"Thaumarchaeota archaeon UBA164",Microaerobic,Thermal
Conexivisphaerales,UBA164,GCA_009903795.1,"Thaumarchaeota archaeon EvPrim.Bin21",Anaerobic,Thermal
Nitrososphaerales,JAAOZN01,GCA_011605775.1,"Thaumarchaeota archaeon SJ3.Bin66",Anaerobic,Thermal
Nitrososphaerales,JAAOZN01,GCA_011355215.1,"Nitrososphaerales archaeon SpSt-89",Anaerobic,Thermal
Nitrososphaerales,JACAEJ01,GCA_013388925.1,"Nitrososphaerales archaeon L.E.AR.22",Anaerobic,Thermal
Nitrososphaerales,JACAEJ01,GCA_011358735.1,"Nitrososphaerales archaeon SpSt-912",Anaerobic,Thermal
Nitrososphaerales,UBA141,GCA_002495315.1,"Thaumarchaeota archaeon UBA141",Anaerobic,Nonthermal
Nitrososphaerales,JACQRY01,GCA_016206275.1,"Thaumarchaeota archaeon NC_groundwater_1371_Ag_S-0.2um_48_37",Anaerobic,Nonthermal
Nitrososphaerales,JACQRY01,GCA_016184315.1,"Thaumarchaeota archaeon NC_groundwater_291_Ag_S-0.65um_49_13",Aerobic,Nonthermal
Nitrososphaerales,JACPRH01,GCA_016190055.1,"Thaumarchaeota archaeon NC_groundwater_674_Ag_B-0.1um_49_231",Aerobic,Nonthermal
Nitrososphaerales,UBA57,GCA_016871995.1,"Thaumarchaeota archaeon K_DeepCast_65m_m2_187",Aerobic,Nonthermal
Nitrososphaerales,UBA57,GCA_016180375.1,"Thaumarchaeota archaeon NC_groundwater_254_Ag_S-0.2um_46_8",Aerobic,Nonthermal
Nitrososphaerales,UBA57,GCA_002713205.1,"Thaumarchaeota archaeon SAT139",Aerobic,Nonthermal
Nitrososphaerales,UBA57,GCA_013378375.1,"Thaumarchaeota archaeon ASW2_bin45",Aerobic,Nonthermal
Nitrososphaerales,UBA57,GCA_002495905.1,"Thaumarchaeota archaeon UBA223",Aerobic,Nonthermal
Nitrososphaerales,UBA57,GCA_013306035.1,"Thaumarchaeota archaeon ATL",Aerobic,Nonthermal
Nitrososphaerales,UBA183,GCA_016193005.1,"Thaumarchaeota archaeon NC_groundwater_720_Ag_S-0.2um_54_9",Aerobic,Nonthermal
Nitrososphaerales,UBA183,GCA_003164815.1,"Thaumarchaeota archaeon bog_1369",Aerobic,Nonthermal
Nitrososphaerales,UBA183,GCA_003135575.1,"Thaumarchaeota archaeon palsa_1368",Aerobic,Nonthermal
Nitrososphaerales,UBA183,GCA_005877225.1,"Thaumarchaeota archaeon TA_8",Aerobic,Nonthermal
Nitrososphaerales,UBA183,GCA_016200045.1,"Thaumarchaeota archaeon NC_groundwater_1048_Pr1_S-0.65um_58_13",Aerobic,Nonthermal
Nitrososphaerales,UBA183,GCA_016200025.1,"Thaumarchaeota archaeon NC_groundwater_1049_Pr1_S-0.65um_60_11",Aerobic,Nonthermal
Nitrososphaerales,Nitrosocaldaceae,GCA_002906215.1,"Candidatus Nitrosocaldus islandicus 3F",Aerobic,Thermal
Nitrososphaerales,Nitrosocaldaceae,GCA_003695185.1,"Thaumarchaeota archaeon J079",Anaerobic,Thermal
Nitrososphaerales,UBA213,GCA_011331095.1,"Nitrososphaerales archaeon SpSt-435",Aerobic,Thermal
Nitrososphaerales,UBA213,GCA_002494485.1,"Nitrososphaerales archaeon UBA213",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_014523625.1,"Nitrososphaerales archaeon TH5896",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_014523665.1,"Nitrososphaerales archaeon TH526",Anaerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_009377575.1,"Nitrososphaeraceae archaeon Dino_bin45",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_014523685.1,"Nitrososphaerales archaeon TH5893",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_009898475.1,"Nitrososphaera sp. AFS",Anaerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_009665115.1,"Nitrosopumilales archaeon AHI_AL_Thaum02",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_013114715.1,"Nitrososphaera sp. WS208",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_013388945.1,"Nitrososphaera sp. L.E.AR.1",Aerobic,Thermal
Nitrososphaerales,Nitrososphaeraceae,GCA_000730285.1,"Candidatus Nitrososphaera evergladensis SR1",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_000698785.1,"Nitrososphaera viennensis EN76",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_000303155.1,"Candidatus Nitrososphaera gargensis Ga9.2",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_005877425.1,"Thaumarchaeota archaeon TA_3",Anaerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_013114725.1,"Nitrososphaeraceae archaeon WS9",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_014523485.1,"Nitrososphaerales archaeon TH5894",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_005877345.1,"Thaumarchaeota archaeon TA_15",Anaerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_014523495.1,"Nitrososphaerales archaeon TH1920",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_005877385.1,"Thaumarchaeota archaeon TA_12",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_013694585.1,"Nitrosopumilus sp. MGR_bin297",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_007826885.1,"Candidatus Nitrosocosmicus arcticus Kfb",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_009379865.1,"Candidatus Nitrosocosmicus sp. Dino_bin19",Anaerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_000802205.2,"Candidatus Nitrosocosmicus oleophilus MY3",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_008389435.1,"Candidatus Nitrosocosmicus sp. SS",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_900696045.1,"Candidatus Nitrosocosmicus franklandus C13",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_902826075.1,"Candidatus Nitrosocosmicus sp. RBC071",Aerobic,Nonthermal
Nitrososphaerales,Nitrososphaeraceae,GCA_013821245.1,"Nitrosopumilus sp. MGR_bin428",Anaerobic,Nonthermal
