Entry,GN,"log of 113:114","log of 115:114","log of 116:114"
Q15149,PLEC,0.84,1.27,2.01
P15559,NQO1,0.46,1.31,1.76
Q9NR30,DDX21,1.12,2.08,1.75
P55060,CSE1L,1.06,1.85,1.58
P27824,CANX,0.83,0.98,1.53
Q14204,DYNC1H1,1.2,1.67,1.49
P50454,SERPINH1,0.41,2.2,1.46
P42704,LRPPRC,0.11,1.21,1.41
Q15582,TGFBI,0.7,1.73,1.36
Q92616,GCN1L1,0.66,1.47,1.34
P07814,EPRS,0.44,1.39,1.33
Q00610,CLTC,0.72,1.01,1.33
P33991,MCM4,1.08,1.75,1.3
O00410,IPO5,0.78,1.63,1.29
Q7KZF4,SND1,0.43,1.46,1.24
P02786,TFRC,-0.13,1.62,1.21
P26641,EEF1G,0.44,1.57,1.17
Q92598,HSPH1,0.92,1.47,1.17
Q96AG4,LRRC59,0.62,0.99,1.14
P49327,FASN,0.55,1.63,1.13
O00571,DDX3X,0.61,1.51,1.08
Q08211,DHX9,0.36,1.71,1.06
Q6P996,PDXDC1,-0.1,0.72,1.06
P13639,EEF2,0.46,1.65,1.04
P56192,MARS,0.65,1.28,1.04
Q96QK1,VPS35,-0.08,1.81,1.02
P20042,EIF2S2,1.22,1.38,1.02
P62805,HIST1H4A,0.94,1.93,0.97
P08238,HSP90AB1,-0.19,1.69,0.97
P09525,ANXA4,1.77,2.01,0.96
Q9Y5B9,SUPT16H,1.03,1.95,0.88
P58107,EPPK1,0.7,2.17,0.87
P34897,SHMT2,0.91,1.37,0.87
P05413,FABP3,-0.05,3.02,0.84
P23588,EIF4B,1.06,1.77,0.84
O14980,XPO1,-0.03,1.02,0.84
Q04637,EIF4G1,-0.19,0.59,0.79
P33993,MCM7,0.91,1.58,0.78
O00567,NOP56,1.38,1.53,0.77
P12814,ACTN1,0.39,1.95,0.76
P22087,FBL,1.85,1.88,0.76
P26639,TARS,0.13,0.83,0.76
P41091,EIF2S3,0.35,1.02,0.75
P21810,BGN,-1.73,1.77,0.74
Q13045,FLII,0.35,1.04,0.73
Q9Y446,PKP3,0.79,1.21,0.72
O43143,DHX15,-0.17,0.92,0.72
P10809,HSPD1,2.26,1.31,0.71
Q14978,NOLC1,1.14,1.88,0.67
Q8IUX7,AEBP1,-1.2,2.15,0.66
P55884,EIF3B,-0.15,1.16,0.65
P61247,RPS3A,1.89,1.74,0.62
Q93009,USP7,-0.81,1.1,0.62
Q9ULC5,ACSL5,0.7,1.21,0.6
O75533,SF3B1,0.31,0.88,0.6
P18124,RPL7,1.53,1.49,0.58
P05388,RPLP0,0.85,1.02,0.56
Q99613,EIF3C,-0.06,0.89,0.53
O43707,ACTN4,0.19,2.08,0.52
P52597,HNRNPF,1.13,1.3,0.52
Q9BUQ8,DDX23,-0.01,0.93,0.52
P11940,PABPC1,0.59,0.84,0.51
P15880,RPS2,2.27,1.87,0.5
P49736,MCM2,-0.15,0.94,0.5
P40227,CCT6A,0.88,0.94,0.47
P12270,TPR,0.81,0.8,0.47
O75643,SNRNP200,-0.1,0.67,0.43
Q01105,SET,1.77,1.87,0.39
P29401,TKT,0.83,1.26,0.39
P49368,CCT3,0.64,1.06,0.39
Q8N1G4,LRRC47,0.18,0.78,0.38
P37802,TAGLN2,1.55,1.79,0.33
P53396,ACLY,-0.86,0.72,0.32
P23246,SFPQ,0.88,0.89,0.27
P42166,TMPO,0.52,0.82,0.26
Q12906,ILF3,0.7,0.91,0.25
Q6P2Q9,PRPF8,-0.25,0.8,0.24
P14866,HNRNPL,0.49,0.78,0.23
P07942,LAMB1,-0.62,1.02,0.22
P04075,ALDOA,-1.14,0.74,0.2
O00264,PGRMC1,0.61,1.73,0.17
P07237,P4HB,1.75,0.71,0.17
Q9Y230,RUVBL2,0.54,1.1,0.16
Q01995,TAGLN,-1.39,2.01,0.07
P19338,NCL,2.39,2.46,0.06
P60842,EIF4A1,-1.06,0.99,0.05
P11586,MTHFD1,0.39,0.86,0.02
Q15942,ZYX,0.23,1.32,0.01
Q9BQG0,MYBBP1A,0.36,1.75,0
P07900,HSP90AA1,0.33,1.59,-0.01
P04181,OAT,-0.86,1.3,-0.02
Q13263,TRIM28,0.63,1.79,-0.03
Q9UQ80,PA2G4,1.18,0.8,-0.03
Q08945,SSRP1,0.61,1.47,-0.06
P06748,NPM1,2.11,1.93,-0.11
Q08J23,NSUN2,-0.13,1.14,-0.11
Q9Y2W1,THRAP3,-0.5,1.05,-0.13
P62910,RPL32,0.99,1.46,-0.6
P52272,HNRNPM,0.52,0.93,-0.65
P62701,RPS4X,1.12,1.29,-0.74
Q8WXF1,PSPC1,1.02,1.61,-0.89
Q02543,RPL18A,0.62,1.3,-0.9
P55072,VCP,1.32,1.03,-0.98
P07910,HNRNPC,0.63,0.93,-1.08
P63104,YWHAZ,0.53,1.1,-1.13
P00738,HP,-1.02,-4.1,0.15
P01009,SERPINA1,-1.24,-3.41,-0.22
O75363,BCAS1,-0.16,-3.5,-0.25
P02774,GC,-1.26,-3.22,-0.39
Q02817,MUC2,-0.8,-5.21,-0.39
P00918,CA2,-2.86,-5.08,-0.62
Q8NBS9,TXNDC5,-0.64,-2.84,-0.7
P07339,CTSD,0.03,-3.62,-0.8
Q96KP4,CNDP2,0.31,-3.81,-0.8
Q13011,ECH1,-0.52,-3.87,-0.82
O60701,UGDH,-0.6,-2.73,-0.85
P24752,ACAT1,-0.82,-3.77,-0.87
Q09666,AHNAK,-1.77,-2.19,-0.92
Q99798,ACO2,0.06,-3.57,-1.02
Q6NZI2,PTRF,-1.95,-2.14,-1.03
Q05707,COL14A1,-4.25,-3.42,-1.06
Q9C002,NMES1,-1.89,-3.99,-1.06
