Entry,GN,"log of 113:114","log of 115:114","log of 116:114"
P00390,GSR,-0.66,-3,-1.08
P30041,PRDX6,-1.12,-3.28,-1.08
P19404,NDUFV2,-1.03,-3.31,-1.16
A8K7I4,CLCA1,0.5,-4.2,-1.16
P49189,ALDH9A1,-0.74,-2.58,-1.17
P48637,GSS,-1.06,-2.95,-1.2
P04066,FUCA1,-1.47,-3.47,-1.24
P80303,NUCB2,-0.75,-2.58,-1.27
P11310,ACADM,-0.78,-2.46,-1.34
Q9Y6R7,FCGBP,-0.06,-4.14,-1.35
P36871,PGM1,-1.24,-2.23,-1.38
Q9HCB6,SPON1,-1.01,-3.44,-1.45
Q13642,FHL1,-2.86,-2.19,-1.51
Q13228,SELENBP1,0.47,-4.53,-1.58
Q9NR45,NANS,-0.91,-2.98,-1.74
P00915,CA1,-2.63,-4.96,-1.74
P48047,ATP5O,-0.33,-2.58,-1.91
Q8WWA0,ITLN1,-2.18,-5,-1.91
P14550,AKR1A1,-0.94,-3.55,-1.94
Q15661,TPSAB1,-2.52,-3.87,-2.01
P00326,ADH1C,-2.17,-4.35,-2.19
P20774,OGN,-4.35,-4.71,-2.29
P12277,CKB,-1.26,-2.98,-2.76
P10645,CHGA,-3.44,-4.84,-3.2
P69905,HBA1,0.74,-3.38,0.66
O75367,H2AFY,0.62,-1.23,0.26
P38646,HSPA9,0.74,-1.49,0.21
Q12864,CDH17,1.2,-2.54,0.17
P11021,HSPA5,0.35,-1.42,0.13
P20700,LMNB1,0.31,-1.57,0.06
P20810,CAST,0.59,-1.44,0.05
O43704,SULT1B1,-0.47,-1.95,0.03
Q9Y4L1,HYOU1,0.04,-1.46,0.02
Q16762,TST,-0.07,-1.73,0.02
P35221,CTNNA1,0.06,-1.28,0.01
Q6NUK1,SLC25A24,0.03,-1.31,0.01
O15511,ARPC5,0.67,-1.43,-0.01
P01833,PIGR,0.2,-2.31,-0.01
P04264,KRT1,-0.15,-1.73,-0.03
P06396,GSN,-0.65,-2.19,-0.08
P40926,MDH2,0.92,-1.57,-0.09
P35527,KRT9,-0.56,-2.57,-0.09
Q01518,CAP1,0.21,-0.84,-0.13
Q9ULZ3,PYCARD,-0.12,-2.08,-0.2
P01008,SERPINC1,0.21,-1.75,-0.21
P23284,PPIB,-0.17,-1.9,-0.21
P07355,ANXA2,-0.56,-1.77,-0.24
P25774,CTSS,-0.23,-1.9,-0.25
Q8WU39,PACAP,-0.69,-1.67,-0.26
P05091,ALDH2,0.3,-2.68,-0.26
P13667,PDIA4,0.04,-2.05,-0.27
Q9UNF0,PACSIN2,-0.51,-1.3,-0.3
Q9NYL9,TMOD3,0.14,-1.01,-0.31
P62993,GRB2,-0.09,-0.92,-0.32
P14625,HSP90B1,-0.6,-1.51,-0.33
Q16698,DECR1,-0.5,-2.42,-0.33
P37837,TALDO1,0.1,-1.49,-0.35
P09467,FBP1,-0.35,-1.94,-0.35
P02545,LMNA,-0.88,-1.93,-0.37
P01903,HLA-DRA,-0.67,-1.83,-0.44
P02787,TF,-0.31,-2.12,-0.46
P00558,PGK1,0.03,-1.55,-0.5
P12532,CKMT1A,0.03,-1.92,-0.51
Q13510,ASAH1,-0.24,-2.41,-0.52
Q02818,NUCB1,-0.01,-2.39,-0.53
P40925,MDH1,0.06,-1.75,-0.56
Q9H2U2,PPA2,0.27,-2.23,-0.56
P13645,KRT10,-0.45,-1.97,-0.57
P36957,DLST,0.56,-1.44,-0.58
P04424,ASL,-0.39,-1.24,-0.59
Q9Y2J8,PADI2,-1.3,-2.15,-0.62
P22307,SCP2,0.19,-1.39,-0.63
P38117,ETFB,-0.13,-2.15,-0.64
Q0VD83,APOBR,-1.03,-2.39,-0.66
P04040,CAT,-0.11,-1.96,-0.68
P22695,UQCRC2,-0.74,-1.53,-0.71
Q16555,DPYSL2,-0.75,-2.48,-0.72
P47985,UQCRFS1,-0.6,-1.26,-0.76
Q9UHB6,LIMA1,-0.17,-1.57,-0.76
Q9HC38,GLOD4,0.01,-1.34,-0.8
O14773,TPP1,0.01,-1.58,-0.8
P09497,CLTB,-0.51,-2.29,-0.9
P02790,HPX,-0.9,-1.86,-0.93
P07686,HEXB,0,-1.78,-0.94
P30084,ECHS1,0.43,-1.61,-0.95
O60547,GMDS,-0.03,-1.52,-0.98
O75947,ATP5H,0.17,-2.09,-1.01
P06576,ATP5B,-0.07,-1.75,-1.02
Q6NVY1,HIBCH,0.01,-2.98,-1.02
P50135,HNMT,-0.57,-1.91,-1.18
Q06323,PSME1,0.38,-2.68,-1.2
P13804,ETFA,0.23,-1.46,-1.26
Q02252,ALDH6A1,-0.35,-1.99,-1.39
Q16836,HADH,0.8,-1.36,-1.42
P30085,CMPK1,0.88,-2.34,-1.65
P02751,FN1,-3.08,2.3,1.32
P04004,VTN,-2.64,0.92,0.86
P98160,HSPG2,-2.21,1.05,0.63
P21333,FLNA,-2.14,1.68,0.62
P12109,COL6A1,-2.43,0.83,0.17
P17661,DES,-1.9,1.46,0.13
Q9Y6C2,EMILIN1,-1.24,0.69,0.01
P08670,VIM,-3.2,-0.99,-0.21
P12111,COL6A3,-3.1,0.68,-0.29
P15088,CPA3,-2.61,-1.4,-0.76
P35555,FBN1,-2.31,-1.51,-0.78
P18206,VCL,-2.21,0.01,-0.82
Q15063,POSTN,-3.57,0.66,-1
P07585,DCN,-3.67,-2.03,-1.06
P51884,LUM,-3.9,-1.4,-1.21
Q96CX2,KCTD12,-3.25,-1.97,-1.24
P51911,CNN1,-3.47,0.98,-1.3
Q9BXN1,ASPN,-3.59,-1.36,-1.91
Q9UGM3,DMBT1,3.12,3.43,4.82
P06702,S100A9,2.56,2.52,4.67
Q05315,CLC,4.21,2.5,4.54
P05109,S100A8,1.51,1.46,3.72
P06731,CEACAM5,2.13,3.18,3.04
Q6UX06,OLFM4,3.89,3.01,3.02
P00338,LDHA,1.93,3.69,2.92
P36952,SERPINB5,4.32,2.69,2.78
P11678,EPX,3.16,2.82,2.73
Q99715,COL12A1,0.57,4.35,2.68
P35579,MYH9,1.03,1.95,2.55
P13727,PRG2,1.94,1.49,2.35
P24821,TNC,-0.48,4.41,2.33
Q7Z406,MYH14,1.65,2.87,2.19
P09651,HNRNPA1,2.69,3.55,2.16
P78527,PRKDC,1.31,2.2,1.95
O76021,RSL1D1,1.63,2.13,1.93
P12429,ANXA3,2.54,2.1,1.9
Q9Y6E2,BZW2,1.06,2.44,1.84
Q13283,G3BP1,2.18,2.7,1.75
Q8NC51,SERBP1,2.77,2.76,1.73
P05164,MPO,1.22,0.09,3.12
P02788,LTF,1.19,0.58,2.78
P35900,KRT20,1.08,-0.64,1.39
P31146,CORO1A,-0.19,-0.91,1.35
P16615,ATP2A2,0.35,0.08,1.31
Q14764,MVP,0.05,-0.69,1.07
O60763,USO1,0.43,-0.45,1.03
P01024,C3,-0.83,0.1,0.96
P04843,RPN1,0.27,0.31,0.9
P28331,NDUFS1,-1.43,-0.8,-0.66
P07954,FH,-0.66,-1.09,-0.72
P13489,RNH1,-0.82,-0.68,-0.78
P11216,PYGB,-0.7,-0.82,-0.8
P40939,HADHA,-1.22,-1.41,-0.85
P23526,AHCY,-0.17,-0.83,-0.88
P36542,ATP5C1,-0.63,-0.98,-0.9
Q9NZN4,EHD2,-1.64,-0.94,-0.91
P13073,COX4I1,-0.79,-1.22,-1.08
P17931,LGALS3,-0.35,-1.04,-1.1
P21397,MAOA,-1.56,-1.4,-1.11
P53597,SUCLG1,-0.37,-1.48,-1.16
P08559,PDHA1,-0.77,-0.64,-1.2
P11766,ADH5,-0.62,-1.04,-1.21
P16219,ACADS,-1.08,-1.64,-1.23
P55084,HADHB,-0.7,-1.26,-1.25
Q96I99,SUCLG2,-0.94,-2.11,-1.31
P60953,CDC42,-0.54,-1.6,-1.35
Q53EL6,PDCD4,-0.76,-1.27,-1.37
Q9Y224,C14orf166,-0.04,-0.21,-1.39
Q13813,SPTAN1,-0.03,0.27,-1.42
P21291,CSRP1,-1.28,-1.04,-1.42
P09622,DLD,-0.76,-0.97,-1.44
P16152,CBR1,-1.82,-1.95,-1.46
P60660,MYL6,-0.51,0.05,-1.47
P30044,PRDX5,-0.02,-1.43,-1.47
O00299,CLIC1,0.06,0.36,-1.49
P18669,PGAM1,-0.41,-0.75,-1.51
Q96C23,GALM,-0.72,-1.93,-1.51
P17174,GOT1,-1.1,-1.51,-1.56
Q15907,RAB11B,-0.92,-0.83,-1.59
P10768,ESD,-0.01,-1.47,-1.59
P14854,COX6B1,-0.08,-1.06,-1.69
P62280,RPS11,0.04,0.17,-1.73
O00151,PDLIM1,0.45,-0.86,-1.79
O95571,ETHE1,-1.12,-1.65,-1.83
P61978,HNRNPK,0.29,0.6,-1.84
O75874,IDH1,-0.66,-1.49,-1.87
P00352,ALDH1A1,-1.32,-0.62,-1.9
P62258,YWHAE,-1.22,-0.19,-2
P48147,PREP,-0.71,-1,-2.1
Q93052,LPP,-1.51,-0.37,-2.13
P54868,HMGCS2,-0.37,-1.2,-2.15
P07602,PSAP,-1.39,-1.63,-2.25
P0DMV8,HSPA1A,-0.67,-0.8,-2.26
P31040,SDHA,-1.36,-1.11,-2.29
P09211,GSTP1,-1.36,-1.06,-2.73
P07737,PFN1,-0.47,0.3,-2.84
P60174,TPI1,-0.88,-2.32,-3.75
P02671,FGA,-1.9,0.07,2.86
P02675,FGB,-1.83,-0.08,2.64
P02679,FGG,-1.59,-0.49,2.56
P04003,C4BPA,-0.77,1.19,1.59
O60844,ZG16,-2.68,-2.05,1.28
P01011,SERPINA3,-0.78,-1.37,1.19
P01834,IGKC,-0.29,-1.46,0.98
P08603,CFH,-0.78,-0.54,0.92
P01871,IGHM,-0.23,-2.14,0.81
P00751,CFB,-0.68,-0.71,0.7
P01023,A2M,-1.3,-1.71,0.05
Q16851,UGP2,-0.92,-0.7,-0.04
