accession.numbera,UniProt,protein.ratio..G.P.
IPI00000105,Q9BQT1;Q9BPW6;Q96BG4;Q14764;Q9UBD1,3.02
IPI00000230,Q9UCI1;Q9UCI2;Q6ZP76;Q15657;P10469;Q9Y427;Q96IK2;Q6DV90;O15513;Q86W64;P09494;P09493;Q7Z6L8;B7Z5T7;Q07413;Q07414;Q9UCY9;Q8TCG4;Q1ZYL5;Q6DV89;Q6ZN40;Q59GR8,0.17
IPI00002821,NA,3.19
IPI00003918,P36578;P39029;Q53G74;Q59GY2;Q969Z9;Q4VBR0;A8K502,3.03
IPI00004457,Q45F94;B2RCI5;Q9UEU7;Q16853,0.41
IPI00004471,O43590;Q8N6Y6;B2R866;Q9BVP4;O60440;Q53GG5;O60439,0.4
IPI00006690,P11678;Q4TVP3,5.16
IPI00007702,Q9UE78;P54652;Q53XM3;Q15508,0.43
IPI00007797,Q01469;B2R4K0,0.46
IPI00008580,P07757;P03973;Q6LDI0;B2R5H8,3.58
IPI00009027,P05451;A8K7G6;Q0VFX1;P11379;Q2TBE1;Q4ZG28,6.64
IPI00011062,B7Z818;Q59HF8;P31327;Q53TL5;Q7Z5I5;Q5R209;Q5R208;Q05CV6;Q6PEK7;Q5R207;Q5R206;Q5R210;O43774;Q5R211,8.46
IPI00012315,Q13232;Q9NUF9;Q9BWH4,2.11
IPI00012490,Q7Z3S1;B1APW5;B1APW6;P23634;Q68DH9;Q13455;Q16817;Q13450;Q13452,0.36
IPI00012501,Q5T3X5;Q9BYZ8;Q8NER7;Q8NER6,7.69
IPI00012540,Q6SV49;Q6SV50;Q96EN6;Q6SV52;O43490;Q6SV51;Q6SV53,3.23
IPI00013219,P57043;Q13418;Q68DZ3;Q59FP4,0.47
IPI00013991,P06468;A6NM85;P07951;Q9UH67;Q5TCU4;Q5TCU3;Q53FM4;Q5TCU7;Q13894,0.19
IPI00015018,Q5SQT6;Q9Y5B1;Q5SQT7;Q2M348;Q9UQJ5;Q6P7P4;Q15181,0.47
IPI00015141,Q6ICS8;P17540;Q8N1E1,0.33
IPI00016077,O43801;O75323;Q53X96,2.34
IPI00017963,P62316;A8K797;P43330,2.08
IPI00018219,O14471;O14472;O14476;Q53XM1;Q59F63;Q53GU8;O43219;O43217;Q15582;O43218;O43216,0.44
IPI00018909,Q07654;Q9UDA5;Q96NX0,7.03
IPI00020501,Q16086;Q3MNF0;Q3MNF1;Q66K75;Q16085;O00396;Q4G140;P78422;O94944;Q7Z7R0;Q68D89;Q3MIV8;P35749,0.18
IPI00021264,Q53FP8;O00638;Q99438;Q15416;B2R868;P51911;Q8IY93,0.18
gi|2119209|pir||I37358,NA,0.45
IPI00021890,A6NLX7;Q9UIQ1;Q92506;Q5STP7,2.15
IPI00022200,Q8N4Z1;Q6MZG6;A8MT30;P12111;B7ZW00;B4E3U5;B7ZMJ7;Q59F25;Q16501;Q53QF6;Q53QF4;Q63HQ4,0.49
IPI00022283,P04155,9.72
IPI00022774,Q969G7;Q2TAI5;Q0V924;Q9NTC4;Q9HAP0;Q0IIN5;Q9HAP1;B2R5T8;Q96IF9;P55072,2.05
IPI00022977,A8K236;P12277;Q6FG40;Q2LE07;B2R5R4;Q9UC66,0.31
IPI00023122,Q5XG82;Q14250;Q9BXB9;Q9NR12;Q9BXB8;Q96C91;Q6NVZ5,0.48
IPI00023704,Q8NFX5;B7Z8W0;A1L4L6;Q93052,0.49
IPI00024284,Q2VPA1;Q9H3V5;Q5SZI3;Q5SZI5;Q8TEU3;Q59EG0;Q16287;P98160,0.43
IPI00024915,Q9UKX4;Q6IAF2;P30044;B7ZVW3;Q14CK0;B7ZLJ4;Q9UJU4;Q9UBU5,2.16
IPI00025057,B1AQQ9;Q59EC0;Q9BYM3;O43859;Q9BYM4;P55265;O15223;B1AQR0;O43860,0.33
IPI00025091,P62280;P04643;Q6IRY0;Q498Y6;B2R4F5,2.12
IPI00027201,Q99322;Q9UMI9;Q14884;Q14883;Q02817;Q9HBC6;Q14878;Q9HBC5;Q9HBC7,10.2
IPI00027223,Q7Z3V0;Q93090;Q6FIA4;Q6FHQ6;O75874;Q9UKW8;Q6FI37;Q567U4;Q9NTJ9;Q9H302;Q0QER2,2.94
IPI00029111,Q9NR93;Q93012;Q6DEN2;Q8IXW6;Q14195,0.34
IPI00030207,Q5TGM9;Q6FH09;O60547;Q9UGZ3;O75357;Q9UJK9;Q5T954,3.04
IPI00030730,Q6ZWJ5;B4DNV0;Q2TAB3;Q1ET64;P50224;Q1ET63;O95603;Q1ET66;Q1ET65;Q1ET62;Q1ET61,2.39
IPI00103067,NA,2.23
IPI00141318,Q07065;Q504S5;Q6NWZ1;Q8TB01;Q53ES6,2.29
IPI00171438,NA,2.46
IPI00171611,Q6NWP9;Q6NWP8;Q71DJ3;P02296;A0PK91;A5PLR1;P02295;Q6FGY6;Q71DI3;A0PJT7;P20671;Q93081;Q6ISV8;A6NFS4;P68431;Q6NXU4;A2BDF6;Q6B053;P16106;P57754,0.44
IPI00178352,Q14315;Q9Y503;Q9NS12;B2ZZ88;Q9NYE5;O95303;Q07985;Q59H94;Q9UMR8,0.24
IPI00178926,P01591,4.06
IPI00215743,A2A2S6;Q9BWP1;Q96SB2;Q9P2E9;O75300;O75301;A6NCN6;Q9H476;Q5W165;Q32NB1;Q05DK7,2.12
IPI00217030,P55831;Q96IR1;P12750;P12631;Q14727;P27576;Q6IPY4;B2R491;Q53HV1;P62701,2.32
IPI00220278,Q9H136;P24844;Q9BUF9;Q71U02;Q9BQL9;Q6IBG1,0.3
IPI00242956,O95784;Q9Y6R7,35.84
IPI00291175,Q5SWX2;P18206;Q5JQ13;Q16450;B3KXA2;Q8IXU7;Q7Z3B8,0.48
IPI00291737,Q9NP67;Q8WWA0;Q6YDJ3;Q5IWS4;Q5VYI4;Q5IWS5,41.38
IPI00291972,Q8WZ66;Q96RL8;Q9BRA4;Q8WWV3;Q8N9B3,2.12
IPI00292009,Q9Y3E9;B3KTG2;Q8N1M2;B2RTX2;Q8WX93;Q86WE8;Q9Y2J6;Q4W5A6;Q9UGA0;B5MD56;Q7L3E0;Q7L8P5;B7ZMM5;Q7Z3W0;Q9UQF5,0.42
IPI00296922,Q15483;P55268;Q16321;Q8N9Q8,0.39
IPI00299301,O15061;Q8TE62;Q8TE61;A7E2Y2;Q2TBJ4;Q5NJJ9,0.11
IPI00299547,Q5SYW0;P80188;P30150;Q92683;Q6FGL5;Q5SYV9,4.31
IPI00299573,Q5T8U2;P11518;Q5T8U4;Q9BY74;P62424,2.41
IPI00300086,Q15274;Q9BSG6;Q96G22;Q53XW7,4.85
IPI00302592,Q86TQ3;Q6NXF2;Q8NF52;Q96C61;Q60FE6;Q5HY53;P21333;Q2VP91;Q8TES4;Q5HY55;Q60FE5;Q5HY54,0.35
IPI00306604,P08648;Q96HA5,0.48
IPI00307545,Q59G71;A1L0S7;Q9P1L6;Q9NV48;Q0VG55;Q9UFN8;Q0VG54;Q9HBL0;Q4ZG71;Q86VB0;Q6PJM3;Q6IPI5,0.37
IPI00329719,Q8N618;Q8NHP9;Q7Z3N6;A6H8V3;O94832,2.26
IPI00374260,NA,2.14
IPI00395865,Q5JNZ6;Q5JNZ9;Q5JP00;Q16576;Q6FHQ0;Q5JP02,2.54
IPI00396399,Q9BPW3;Q9Y2V5;O43294;B2R8D5,0.43
