accession.numbera,UniProt,protein.ratio..G.P.
IPI00412498,Q6PJL1;A7BFI3;Q6XQN6;Q8WY82;Q9BRG0;Q6XQN4;Q6XQN5;Q8N5E8,2.84
IPI00418431,Q9BXN1;Q9NXP3;Q5TBF2;Q96K79;Q5TBF3;Q6P528;Q05CQ6;Q96LD0,0.31
IPI00442073,B4E2T4;Q6AWD1;Q6ZMS3;Q59EQ5;Q9BTA4;Q6AI18;Q5U0J2;P21291,0.3
IPI00455050,NA,0.17
IPI00465084,Q8IZR6;Q45VM8;Q8TD99;Q45VM7;Q45VM6;Q549R8;Q8NES2;Q549R7;Q9GZR6;Q8NEU6;Q8TCX2;Q2PUK1;Q5RLN1;Q5RLN0;Q8IZR1;Q5RLN2;Q8TAC4;Q15787;Q9UJ80;Q9UHN5;P17661;Q549R9;Q9H319;Q53SB5,0.15
IPI00470535,Q9UDQ3;Q9UDL7;Q9UD82;Q9UD81;Q17R45;P54289;Q9UDU5;Q9UIU0;Q9UD80,0.47
IPI00479877,Q5VV90;P49189;B9EKV4;Q9NZT7;B2R6X1;Q6LCL1,2.03
IPI00641829,Q5HYT6;Q0EFA1;Q5HYT9;Q71V76;Q59G92;Q5ST94;Q5STA2;Q5STA0;Q5HYU0;B0S8C0;Q7KYK3;Q13838;Q5STU6;Q5RJ68;Q5STU4;Q5RJ66;Q5STU5;Q5STB4;Q5RJ64;Q5STU2;Q5STU3;Q5RJ65;Q53GL9;Q2L6F9;Q5STU1;Q5RJ61;O43496;Q5STB5;Q5STU8;Q5STB7;Q5STU9;Q5STB8,2.5
IPI00743696,Q14051;B1AM70;Q1P9S9;Q8NF88;Q59F15;Q9NYC5;Q5VWF6;A7E2W4;Q86X41;P02462,0.49
IPI00759776,P12814;Q1HE25;Q9BTN1;Q86TX4;Q5ZEZ4;B3V8S3,0.49
IPI00783665,Q9H1P1;O15230;Q8TDF8;Q5JTP4;Q5U4N9;Q8WZA7,0.46
IPI00855918,Q99552;Q14881;Q9NYE4;Q7M4S5;O15494;O00573;Q9HC84;O95291;Q93043;O14985;O95451;Q9UE28;O00447;Q14879,4.82
IPI00867509,Q53G58;Q9ULV4;B3KU12;Q9NSK5;Q59EA2,0.44
IPI00867560,Q14583;P24821;Q15567;Q6MZI1;Q5T7S3;Q4LE33,0.25
IPI00008603,P62736;P04108;P03996;Q13707;B2R8A4;Q5T9N7;Q6FI19,0.17
IPI00012493,P60866;B4DW28;B2R4F4;P17075;Q5M8S9,3.08
IPI00026602,NA,0.22
IPI00329482,Q14731;Q05CF9;Q9UE18;Q6LET9;Q5H8X0;Q14735;Q9UJN9;Q15335;Q99737;Q9BTB8;Q5D044;Q16363;Q5SZG8;Q4LE44,0.48
IPI00789605,P24573;P24572;Q6IPY5;P16475;P60660;Q6IAZ0;Q6IBG5;Q561V9;Q12790,0.37
IPI00376503,Q96DI6;Q8TBX0;Q2TU78;A6NFM2;Q9HBQ4;Q6FHI4;P32322,2.25
IPI00220038,Q8TDQ5;Q32MI4;Q9HBI2;Q9BWP6;Q9BXP5;B4DJL4;Q7Z4Y3;A4D2E5;Q9BXP4;A4D2E6;O95808;B4DZA6;Q6NT74;Q9Y4S4;A6NK22,2.17
IPI00328391,Q68VJ4;Q4W5F7;B3KQU3;Q7Z5W7;Q9UJ28;Q86SF2,2.54
IPI00398135,NA,2.29
IPI00880101,P06731;Q68DM9;Q13984;Q8N4D0;Q7KZ28;Q53G30;P78448,100.2
IPI00012035,Q9NNW4;Q9NNW3;Q53GV9;Q9NNW2;Q7Z3R5;Q6N0A1;Q5VWS8;Q06C42;Q5VWS9;Q5HY94;Q5VWS6;Q15429;Q5VWS7;Q9UCJ4;Q5VWT0;P15529;Q5VWT1;Q5VWT2;Q92494;A0T1T1;A0T1T0;A0T1T2,2.1
IPI00026156,Q6IBK9;Q53Y93;P14317,2.25
IPI00027486,P06731;Q68DM9;Q13984;Q8N4D0;Q7KZ28;Q53G30;P78448,52.58
IPI00008298,Q01523;Q3KNV2;A0JDY6,7.98
IPI00010130,Q499Y9;P15104;Q5T9Z1;Q8IZ17;Q7Z3W4;Q9NSP3;A8YXX4;Q2TU80,2.04
IPI00014398,Q6IB30;Q13230;Q5JXI2;Q13642;Q5JXI0;Q9UKZ8;B7Z9A1;Q13645;Q53FI7;O95212;Q5JXI3;B7Z793;Q5JXI7;Q5JXH8;Q5JXI8;Q5JXH9;Q5JXH7;B7Z5T4;Q9Y630;Q5M7Y6;Q9NZ40,0.23
IPI00014852,Q8N527;B1AM46;Q5VYV3;B4DLQ6;Q9UDH4;Q15124,0.19
IPI00017337,Q53FB5;Q6FHB6;P27216;Q9BQR5,2.34
IPI00018780,Q9H8G0;Q53FA2;Q9HBR9;Q9H3F8;Q96JB5,2.08
IPI00020687,P00995,4.24
IPI00103436,Q17RR2;Q5VYI0;Q8WWU7,42.2
IPI00159072,O95758;Q68DB9;B1ALY5;Q86YH9;B1ALY3;Q86YB3,0.35
IPI00219153,Q6IBD1;Q7Z4W8;P35268;Q8WYP0;B2R495;Q9BYF5,2.01
IPI00221394,O60832;Q9Y505;O43845;Q96G67,2.01
IPI00257903,Q8N5T5;B2RNA4;Q9H5M1;Q4VXJ7;Q6ZMD3;B3KSB1;Q7Z2K6,4.66
IPI00297284,Q59FF1;Q9UCL3;P18065;Q14619,0.33
IPI00297910,Q6FG48;Q7Z7Q4;Q15658;Q96QD2;P09758,3.63
IPI00329208,Q4F6X7;Q86XE2;Q8N4Q9;Q6P996;Q6XYB5;Q86YF1;O00236;Q8TBS5;Q6PID7,2.39
IPI00473011,NA,2.17
IPI00021435,P35998;Q3LIA5;A4D0Q1;Q9UDI3;Q75L23,0.25
IPI00026962,Q6DN24;Q6DN23;P14555;Q96RW9;Q9UCD2;Q96RW8;A8K5I7;Q8NI47;Q6IBD9;Q9C011,3.45
IPI00216587,Q5JR95;P09058;Q9P1D6;P62241;Q9BS10;Q6IRL7;Q5JR94,3.54
IPI00293260,Q96K38;Q17RJ6;Q6YPB0;Q86T61;Q4ZG06;Q8N4C5;Q71S60;Q6UWZ6;Q8TD87;Q8IXB1;Q8NC82;Q86XS7;Q9NSY6;Q3B7W8;Q96K54;Q96K44;Q53QT7,2.32
IPI00306774,Q9NWB8;Q53FW8;Q9BX59;Q53GH5,0.34
IPI00339297,NA,2.65
IPI00107531,Q6P5X3;Q32P42;Q92878;Q6GMT7;Q9UP86;O43254;B9EGF5,0.43
IPI00386786,Q9BUG1;Q13190;Q5U0D4;Q7Z3T6;B2R8T2,0.4
IPI00412713,Q53HC4;Q9Y512;Q96I46;Q9UQM9;Q9NW85;Q56VW7;Q969Y9,0.4
IPI00478817,Q9NVT3;Q9HCE6;Q66K51;Q6P0L7;Q5VXI4;Q5VXI5;Q17RW1;Q5VXI6;Q8NAV5;B7ZKS1;Q3YFJ4,0.1
IPI00025344,Q6IBC4;O75380,0.48
IPI00103142,Q8WVJ2;B2R4V0,0.34
IPI00173549,Q9UK89;B2RWP6;Q9UMS6,0.21
IPI00306332,B2R4Y3;P83731;Q6IBS3;P38663,3.32
IPI00456641,Q76MJ5;Q6ZNC0,5.56
IPI00010341,Q14227;Q6ICT2;P13727;P81448,3.18
IPI00412579,P52859;Q8J013;Q1JQ76;Q5TZT6;P62906;P53025;B2R801,2.12
IPI00006212,Q8WYS7;O15393;Q9BXX1;Q96T73;B2R8E5;Q6GTK7,5.11
IPI00023647,Q86TC7;A6N8M7;Q8N9E4;Q6UV21;Q8N5T3;Q4W5K0;Q9NVC9;Q86T78;A0AVT1;Q9H3T7;B2RAV3,0.29
IPI00149849,Q9H9E3;B4DMN8;Q9H5Y4;Q9BVZ2;Q96D40;Q9Y3W3;Q6PIW8;Q8N8L9;Q9BRF0,2.13
IPI00216546,Q9H923;Q9UFI7;Q9C0B5;Q2TGF0;Q8TAK8;Q6ZMF0,3.52
IPI00883637,Q8WWW1;Q9UIT2;Q9P1S8;Q8N4H8;Q9UIT1;O00569;Q8WWW2;Q59F18;Q96EQ7;P53814;O95769;O95937,0.18
IPI00011200,Q96RV5;Q96RV6;Q96RV7;Q9UMY2;Q9UMY3;Q96RV8;Q5SZU1;Q96RV9;Q5SZU3;Q8N5M8;O43175;Q9BQ01;B2RD08,5.2
IPI00293971,Q58I19;O60444;A0AV17;P14415;A8K278,117.4
IPI00177008,A6NDG6,0.49
IPI00100453,A2A3R2;A2A3R1;Q5VZ89;Q8NCY7;Q9NWT3;B3KXP9;Q9NWQ5;A2A3R3;A2A3R9;Q6AI48;Q9H6N4;Q6ZUB3;Q9NWA5;Q9NUT1,2.05
IPI00015580,Q6B097;Q6R4Q4;Q6P653;Q5T0N5;B4DSI7;Q5T0N6;Q9NXG1,2.61
IPI00006154,Q03591;Q3B774;Q6LBM9;Q9UJ17;A8K465,0.47
IPI00003590,O00391;Q8TDL6;Q5T2X0;Q59G29;Q8WVP4;Q5T2X6;Q13876;Q8TCH8,2.09
IPI00029702,Q59GM4;Q6PID4;Q14289;Q16709;Q13475;Q14290,0
IPI00045051,A4D2L7;Q96QR8,2.08
IPI00455473,Q5JRB1;Q5JRB0;Q6UVY8;Q5JRB2;A8K2S0;Q92580;B7Z430;Q86Y60;Q14083;Q3S4X3;Q5JRA5;Q5JRA6;A8MT05;Q8N8M5;A8MT13,2.23
IPI00106913,Q71UQ6;Q6UWU3;B2RB10;Q9BTZ2;B7WNS9;Q8TD03;Q2LC19;Q6E0Y0;Q20CR0;O95162;Q9H3N5;Q58IU4;Q9NV08;Q2LE81;Q6E0Y1,3.98
IPI00025311,Q05CL3;Q68CZ3;O75363;A0AVG5,4.39
IPI00219160,P49207;Q9BUZ2;Q6FG66;Q5MK14,9.01
