identifier,uniprot,gene,invratio
ENSP00000382104,Q9Y3R5,DOPEY2,0.4134
ENSP00000215565,P17568,NDUFB7,0.4066
ENSP00000274364,Q13576,IQGAP2,0.4057
ENSP00000355802,P07099,EPHX1,0.4051
ENSP00000233190,P28331,NDUFS1,0.396
ENSP00000312326,Q16853,AOC3,0.3914
ENSP00000285379,P00918,CA2,0.3767
ENSP00000255040,P02743,APCS,0.3759
ENSP00000252590,Q9BX97,PLVAP,0.3722
ENSP00000265729,P30626,SRI,0.3706
ENSP00000374981,P01877,IGHA2,0.369
ENSP00000323587,Q8WWA0,ITLN1,0.3646
ENSP00000220325,Q9H223,EHD4,0.3609
ENSP00000376899,Q9P2B2,PTGFRN,0.3581
ENSP00000413255,P12532,CKMT1A,0.3507
ENSP00000262551,P20774,OGN,0.3503
ENSP00000266718,P51884,LUM,0.3492
ENSP00000432708,Q9NZM1,MYOF,0.3402
ENSP00000400717,Q14344,GNA13,0.3326
ENSP00000393887,P02765,AHSG,0.3319
ENSP00000440180,NA,NA,0.3293
ENSP00000338934,P15311,EZR,0.3252
ENSP00000356030,P08174,CD55,0.324
ENSP00000302833,Q8WWP7,GIMAP1,0.3216
ENSP00000271064,Q9GZM7,TINAGL1,0.3198
ENSP00000335304,P36957,DLST,0.3168
ENSP00000246533,P04632,CAPNS1,0.3099
ENSP00000006724,Q14002,CEACAM7,0.298
ENSP00000363603,P04066,FUCA1,0.2979
ENSP00000426638,Q16134,ETFDH,0.2962
ENSP00000284031,O94760,DDAH1,0.2951
ENSP00000292147,O95571,ETHE1,0.2951
ENSP00000232564,Q9HAV0,GNB4,0.2889
ENSP00000167588,P35900,KRT20,0.2871
ENSP00000299198,P12277,CKB,0.2856
ENSP00000278505,O94919,ENDOD1,0.2813
ENSP00000415183,Q02817,MUC2,0.2729
ENSP00000431538,P25189,MPZ,0.2689
ENSP00000384363,Q7L5L3,GDPD3,0.2668
ENSP00000393861,Q8N335,GPD1L,0.2606
ENSP00000027335,Q12864,CDH17,0.2606
ENSP00000311809,Q05707,COL14A1,0.2427
ENSP00000323929,P01023,A2M,0.2378
ENSP00000176643,P51648,ALDH3A2,0.2276
ENSP00000343924,P51888,PRELP,0.209
ENSP00000448785,Q9H8H3,METTL7A,0.208
ENSP00000234701,A8K7I4,CLCA1,0.2035
ENSP00000302100,P56470,LGALS4,0.2027
ENSP00000399397,Q8WVR3,C7orf43,0.1999
ENSP00000280154,Q53EL6,PDCD4,0.1968
ENSP00000399421,P16671,CD36,0.1905
ENSP00000300119,Q9UBC5,MYO1A,0.1818
ENSP00000295834,P07148,FABP1,0.1773
ENSP00000221347,Q9Y6R7,FCGBP,0.1753
ENSP00000383563,O60844,ZG16,0.1749
ENSP00000340684,P21397,MAOA,0.1741
ENSP00000300900,P22748,CA4,0.1671
ENSP00000199936,P37059,HSD17B2,0.1633
ENSP00000377939,Q16851,UGP2,0.1616
ENSP00000178638,O43570,CA12,0.1575
ENSP00000319393,Q9Y241,HIGD1A,0.1563
ENSP00000316786,P80365,HSD11B2,0.1538
ENSP00000052754,P07585,DCN,0.1515
ENSP00000296046,P15088,CPA3,0.1345
ENSP00000319501,O60701,UGDH,0.1329
ENSP00000412409,Q15661,TPSAB1,0.1143
ENSP00000357861,Q13228,SELENBP1,0.1143
ENSP00000364694,Q9BXN1,ASPN,0.1125
ENSP00000358414,P54868,HMGCS2,0.1036
ENSP00000250378,P23946,CMA1,0.099
ENSP00000345873,P40879,SLC26A3,0.0964
ENSP00000286298,P50443,SLC26A2,0.0926
ENSP00000438950,Q14165,MLEC,0.0449
