identifier,uniprot,gene,invratio
ENSP00000338200,P02751,FN1,176.7698
ENSP00000265131,P24821,TNC,27.331
ENSP00000219022,Q6UX06,OLFM4,20.1456
ENSP00000325146,Q99715,COL12A1,19.2107
ENSP00000372139,P59665,DEFA1,17.0693
ENSP00000344419,P05164,MPO,14.7623
ENSP00000231751,P02788,LTF,14.328
ENSP00000233997,P20160,AZU1,13.6697
ENSP00000355645,P68133,ACTA1,11.8434
ENSP00000393525,P12268,IMPDH2,11.6193
ENSP00000263621,P08246,ELANE,10.4656
ENSP00000338095,P07910,HNRNPC,9.9675
ENSP00000434657,P50454,SERPINH1,9.781
ENSP00000392718,P0CG38,POTEI,9.6829
ENSP00000380950,P05107,ITGB2,9.313
ENSP00000296435,P49913,CAMP,9.268
ENSP00000351094,Q9NZM1,MYOF,7.9823
ENSP00000346762,Q7KZF4,SND1,7.4767
ENSP00000261615,P16444,DPEP1,7.1996
ENSP00000262461,P55011,SLC12A2,5.8143
ENSP00000335294,Q8TCT9,HM13,5.7488
ENSP00000357727,P06702,S100A9,5.4435
ENSP00000264832,P05362,ICAM1,4.7671
ENSP00000262982,P55060,CSE1L,4.5994
ENSP00000357722,P05109,S100A8,4.585
ENSP00000221992,P06731,CEACAM5,4.256
ENSP00000353224,P02786,TFRC,4.2516
ENSP00000362413,P00558,PGK1,4.2075
ENSP00000425956,Q63HN8,RNF213,4.1723
ENSP00000335321,O75533,SF3B1,3.8539
ENSP00000261267,P61626,LYZ,3.7933
ENSP00000313420,P78527,PRKDC,3.6118
ENSP00000358019,Q9NXX6,NSMCE4A,3.5301
ENSP00000357077,P37802,TAGLN2,3.5132
ENSP00000407516,NA,NA,3.3206
ENSP00000345656,Q9P0L0,VAPA,3.2637
ENSP00000367851,P04839,CYBB,3.2387
ENSP00000418401,Q9Y5M8,SRPRB,3.2123
ENSP00000310572,P62195,PSMC5,3.1661
ENSP00000304350,Q6P2Q9,PRPF8,3.1521
ENSP00000303623,NA,NA,3.1256
ENSP00000346206,Q03518,TAP1,3.0844
ENSP00000346088,P35268,RPL22,3.0797
ENSP00000416706,Q562R1,ACTBL2,2.7865
ENSP00000221975,P39019,RPS19,2.7032
ENSP00000368031,Q9NVI7,ATAD3A,2.6706
ENSP00000345494,O15162,PLSCR1,2.6131
ENSP00000297185,P38646,HSPA9,2.5862
ENSP00000395337,P00338,LDHA,2.5827
ENSP00000233596,Q96HR9,REEP6,2.5161
ENSP00000384863,O14980,XPO1,2.4675
ENSP00000249442,O75431,MTX2,2.4501
ENSP00000219252,P19387,POLR2C,2.3765
ENSP00000000412,P20645,M6PR,2.3632
ENSP00000366525,P02792,FTL,2.2773
ENSP00000356856,Q9UM00,TMCO1,2.2577
ENSP00000312235,Q9H3R2,MUC13,2.248
ENSP00000284240,P04216,THY1,2.2385
ENSP00000216181,P35579,MYH9,2.2382
ENSP00000346483,Q96HY6,DDRGK1,2.2042
ENSP00000265631,Q9UJS0,SLC25A13,2.1707
ENSP00000300289,P30101,PDIA3,2.1487
ENSP00000429374,P60866,RPS20,2.1163
ENSP00000432660,P23528,CFL1,1.9675
ENSP00000273986,Q8N5K1,CISD2,1.8973
ENSP00000401802,P62333,PSMC6,1.8315
ENSP00000359297,Q15738,NSDHL,1.7055
ENSP00000358857,P50402,EMD,1.6534
ENSP00000338461,P00387,CYB5R3,1.6271
ENSP00000272227,Q15084,PDIA6,0.6187
ENSP00000381736,P25705,ATP5A1,0.6166
ENSP00000356465,Q13637,RAB32,0.6098
ENSP00000374777,P01834,IGKC,0.6063
ENSP00000268379,P22695,UQCRC2,0.5979
ENSP00000355180,P12109,COL6A1,0.5944
ENSP00000320236,Q9Y584,TIMM22,0.5904
ENSP00000450120,O75908,SOAT2,0.5887
ENSP00000407984,Q9BV40,VAMP8,0.5821
ENSP00000290299,P48047,ATP5O,0.5723
ENSP00000378577,O15551,CLDN3,0.5675
ENSP00000354376,P57735,RAB25,0.5618
ENSP00000355124,P08727,KRT19,0.5616
ENSP00000378887,Q6IAN0,DHRS7B,0.5516
ENSP00000299767,P14625,HSP90B1,0.5479
ENSP00000256366,P57105,SYNJ2BP,0.5466
ENSP00000351035,Q8NBQ5,HSD17B11,0.5448
ENSP00000371230,Q9UIJ7,AK3,0.5433
ENSP00000333277,Q71DI3,HIST2H3A,0.5418
ENSP00000325562,Q5TGZ0,MINOS1,0.5374
ENSP00000269321,P52565,ARHGDIA,0.537
ENSP00000364699,O14521,SDHD,0.5302
ENSP00000203407,P31930,UQCRC1,0.5269
ENSP00000264265,Q9BS40,LXN,0.5268
ENSP00000349142,P36542,ATP5C1,0.5234
ENSP00000307387,Q8WUM4,PDCD6IP,0.4996
ENSP00000436051,P02511,CRYAB,0.4944
ENSP00000369176,O95139,NDUFB6,0.4934
ENSP00000273075,Q9ULA0,DNPEP,0.482
ENSP00000374989,P01876,IGHA1,0.4641
ENSP00000361841,P18206,VCL,0.4599
ENSP00000263100,P04217,A1BG,0.4591
ENSP00000315774,O00217,NDUFS8,0.455
ENSP00000396211,Q9Y6W5,WASF2,0.452
ENSP00000357357,P04062,GBA,0.447
ENSP00000356574,O00391,QSOX1,0.4362
ENSP00000440348,O75251,NDUFS7,0.4352
ENSP00000355781,P84243,H3F3A,0.4351
ENSP00000322450,P49821,NDUFV1,0.426
ENSP00000363855,Q8WWI5,SLC44A1,0.4246
ENSP00000350364,Q7Z3B1,NEGR1,0.4224
ENSP00000367195,Q9H4G4,GLIPR2,0.4212
