Protein.IDs,Gene.name,Uniprot,Median.Ratio.C.N
IPI00386755;IPI00872773,ERO1L;UNQ434/PRO865,Q96HE7,4.1835
IPI00549205;IPI00305282;IPI00107531;IPI00658205;IPI00894448;IPI00798033,RAD50,Q92878-2;Q92878;Q92878-1;Q32P42;Q92878-3;A5D6Y3;A8K3I2,4.18077
IPI00216694;IPI00947227;IPI00908503;IPI00947454;IPI00947292,PLS3;hCG_18485,P13797;A8K579;B4DPW9;B7Z6M1;Q53GY0;Q96HI1;A7E2S2;B4DG31;B4DGB4;B4DI60,4.17488
IPI00915008;IPI00290184;IPI00792463,C12orf1;METTL1,Q9UBP6,4.16893
IPI00005154;IPI00556260,FACT80;SSRP1,Q08945,4.16551
IPI00021320;IPI00924881,BCDIN3;MEPCE,Q7L2J0;A8K5Q1;B3KP86,4.14053
IPI00480142;IPI00643885;IPI00179057;IPI00644450,CUL4B;KIAA0695,Q13620-2;Q13620;B3KVX4;Q13620-1;B7Z5K8,4.13935
IPI00000030;IPI00946908;IPI00219543;IPI00219544;IPI00946763;IPI00947369,PPP2R5D,Q14738-1;Q14738;A8K6Y2;B4DSD7;Q14738-2;Q14738-3;Q59EF0;C9JE04,4.13785
IPI00183500;IPI00784189;IPI00927860;IPI00789410;IPI00924867;IPI00385050;IPI00927631,CBP20;NCBP2;PIG55;hCG_40296,P52298-1;P52298;B4DJM2;P52298-2;B3KSB0;C9JQX9,4.13423
IPI00013895,MLN70;S100A11;S100C,P31949;B2R5H0,4.13112
IPI00395694;IPI00455127;IPI00872398;IPI00455125;IPI00944945;IPI00946283,IPO12;TNPO3,Q9Y5L0-2;Q9Y5L0;Q9Y5L0-3;Q9Y5L0-1;B5MD86;B2R6H7;C9J7E5;C9IZM0;B3KM69;B3KMX1,4.12661
IPI00456940,RPL7L1,Q6DKI1;A8K5J5;B3KMP5;B7Z4G0;B7Z652,4.11438
IPI00044761;IPI00945342;IPI00945494,KIAA1897;PUS7,Q96PZ0;B3KRB2;B3KY42,4.08957
IPI00013256;IPI00607841;IPI00909622;IPI00902991,CSTF2,P33240-1;P33240;P33240-2;B4DUD5;B3V096,4.08865
IPI00013860;IPI00879284;IPI00915850,HIBADH;hCG_39034;NS5ATP1;tcag7.211,P31937;Q546Z2,4.06106
IPI00604620;IPI00444262;IPI00183526;IPI00916188;IPI00917429;IPI00916991;IPI00916036,NCL;hCG_33980,P19338;B3KM80;B3KTP9;Q6ZS99;C9JWL1;Q9BQ02;C9JFE9,4.05663
IPI00179298;IPI00456919;IPI00643153;IPI00445401;IPI00746059;IPI00642197;IPI00646975;IPI00889615;IPI00889722;IPI00847271;IPI00942719,HSPC272;HUWE1;KIAA0312;KIAA1578;UREB1;RP3-339A18.4-005;RP3-339A18.4-002,Q7Z6Z7-1;Q7Z6Z7;Q7Z6Z7-3;Q7Z6Z7-2;B4DGF6;Q3B7K0;Q53FW4;Q5H935;Q5H924,4.05191
IPI00023014;IPI00788786;IPI00654729,F8VWF;VWF,P04275;A8K7V7;B4DMS3;B4DNX0;C9J2Y6,4.05144
IPI00022145;IPI00844197;IPI00910634;IPI00514586,JC7;NUCKS;NUCKS1,Q9H1E3-1;Q9H1E3;Q54AC0;Q6IA16;Q9H1E3-2;B4DTY3,4.04933
IPI00795107;IPI00012463;IPI00792405;IPI00790602;IPI00792229;IPI00793548;IPI00788602,CDA11;TATDN1,Q6P1N9-1;Q6P1N9;Q6P1N9-2,4.04525
IPI00001738,NUP88,Q99567;B4DP20;B7Z5I6,4.03777
IPI00305163;IPI00216734;IPI00645209;IPI00748308;IPI00922307;IPI00922130;IPI00402055;IPI00472118;IPI00645737;IPI00641727;IPI00910852;IPI00645933;IPI00641170;IPI00647365;IPI00916698;IPI00761134;IPI00607791;IPI00829871;IPI00941050;IPI00887061;IPI00930190;IPI00645695;IPI00646395;IPI00887136;IPI00884935;IPI00916179;IPI00930449;IPI00916476;IPI00747256;IPI00930135;IPI00946074;IPI00930631;IPI00947327;IPI00945702;IPI00646408;IPI00642692;IPI00647878;IPI00643232;IPI00643534,CBWD1;CBWD2;CBWD3;CBWD5;CBWD6;RP11-460E7.3-008;RP11-561O23.4-002;RP11-460E7.3-011;BX255923.2-007;BX255923.2-014,Q9BRT8-1;Q9BRT8;Q8IUF1;Q9BRT8-3;Q9BRT8-2;B7Z4F3;B7Z8M0;Q5JTY5;A8K970;Q6VB91;Q5RIA9-1;Q5RIA9;Q4V339;Q5RIB0;B4DNG9;Q5JTY2;Q5RIB3;Q4V338;Q9HAZ6;C9J3G2;C9JX56;Q9BRT8-5;C9JGY1;Q4V342,4.02965
IPI00217223;IPI00815732,ADE2;AIRC;PAICS;PAIS;DKFZp781N1372,P22234;B4DGX3;Q68CQ5,4.00654
IPI00023555;IPI00167053;IPI00162669;IPI00162670;IPI00169299;IPI00169296;IPI00375694;IPI00375695;IPI00789184;IPI00167804;IPI00220568;IPI00908339;IPI00385134;IPI00915900;IPI00915756,KIAA0704;ORP3;OSBP3;OSBPL3,Q9H4L5-1;Q9H4L5;A4D167;Q9H4L5-2;A4D169;Q9H4L5-3;A4D168;Q9H4L5-4;A4D170;Q9H4L5-5;A4D171;Q9H4L5-6;A4D172,3.95751
IPI00219005,FKBP4;FKBP52,Q02790;B2R9U2,3.95723
IPI00026089;IPI00917430;IPI00479561;IPI00917674,SAP155;SF3B1;DKFZp434M052,O75533;A0JLT9;A0PJH5;Q32Q20;Q7Z497;Q9NTB4,3.94931
IPI00299086;IPI00478874;IPI00910606;IPI00794699,MDA9;SDCBP;SYCL;hCG_1787561,O00560-1;O00560;B2R5Q7;O00560-3;B4DQ93;B4DHN5,3.94252
IPI00746934;IPI00843999;IPI00646605;IPI00640981;IPI00180305;IPI00942028;IPI00942168;IPI00386907;IPI00514902,KIAA0462;KIAA1307;RBAF600;UBR4;ZUBR1,Q5T4S7-2;Q5T4S7;Q5T4S7-1;Q5T4S7-3;Q5T4S7-4,3.93193
IPI00828150;IPI00791573;IPI00001672,SUGT1,Q9Y2Z0-1;Q9Y2Z0;A8K5T7;Q9Y2Z0-2;A8K7W3;B4DYC6,3.92992
IPI00794613;IPI00793999;IPI00154645;IPI00795659;IPI00945751;IPI00945555;IPI00945742;IPI00793927,TBC1D15;hCG_25175;DKFZp761D0223,Q8TC07-2;Q8TC07;B9A6L6;A8K8E1;B4DMT9;Q9NSR4;Q8TC07-1;C9JA93,3.92502
IPI00024368;IPI00220239,ATP9A;ATPIIA;KIAA0611,O75110-1;O75110;B4DR18;Q2NLD0;O75110-2,3.919
IPI00059292;IPI00745029;IPI00797788;IPI00789807;IPI00872105,MAGOH2;MAGOHB,Q96A72;A6NEC0,3.91621
IPI00302829,RB1,P06400;B4DRB3;B4DTN0;P78495;Q59HH0;Q6DUF0;Q6LE65;Q6LE77;Q6LE79;Q6LE80;Q6LE81;Q6LE82;Q7KZ60;Q7KZ61;Q7Z5Q6;Q7Z7J0;Q86WG4,3.90163
IPI00292499;IPI00641176,HSP60;HSP70L1;HSPA14,Q0VDF9;A8K8F8;B0YIY9;B4DYI5,3.89865
IPI00015018;IPI00643288;IPI00878867,IOPPP;PP;PPA1,Q15181,3.88847
IPI00306280;IPI00940755;IPI00909445,DENR;DRP1;H14,O43583;C9JW58;B4DRW7,3.86569
IPI00942549,NA,C9J062,3.85338
IPI00034069,NS5ATP5;TFB2M,Q9H5Q4;B4DTJ4,3.84848
IPI00472160;IPI00643259;IPI00291316;IPI00940816;IPI00941678;IPI00908313,ARHGEF2;KIAA0651;LFP40;RP11-336K24.3-004,Q92974-2;Q92974;B7Z977;Q5VY93;Q92974-1;Q92974-3,3.83795
IPI00025244;IPI00657912;IPI00657874,ZNF259;ZPR1,O75312;B4DVT8;C9JH53;C9JRL8,3.83077
IPI00031820;IPI00909657,FARS;FARSA;FARSL;FARSLA;hCG_172485,Q9Y285;Q6IBR2;B4E363,3.80159
IPI00328658;IPI00333837;IPI00328659,ASH2L;ASH2L1,Q9UBL3-1;Q9UBL3;A8K6T5;Q9UBL3-3;A8K7C3;B4DEM3;B4DPT1;Q9UBL3-2,3.79758
IPI00000162;IPI00410360;IPI00902438,C14orf120;NGDN,Q8NEJ9-1;Q8NEJ9;Q8NEJ9-2,3.78773
IPI00294610;IPI00179187;IPI00910442,DNAJA3;HCA57;TID1;hCG_15165,Q96EY1-1;Q96EY1;B3KM81;Q53G26;Q59E88;Q96EY1-2,3.78704
IPI00020128,C17orf40;HCA66;MHAT;UTP6,Q9NYH9;B3KQ21;B3KX32;B4DSL9;B7Z9G4;Q9P1J8,3.78475
IPI00031526,C19orf43,Q9BQ61;B2RE11,3.76453
IPI00234252;IPI00797830;IPI00793678;IPI00925226,BAF155;SMARCC1,Q92922;B4DYF9;B4DYQ1;Q05BW5;Q05CR1;Q58EY4,3.76121
IPI00031556;IPI00830039,U2AF2;U2AF65,P26368-1;P26368;B5BU25;P26368-2,3.75694
IPI00009540;IPI00183015;IPI00941629,MALT1;MLT,Q9UDY8-1;Q9UDY8;A8K5S1;Q9UDY8-2;C9J072,3.74341
IPI00871827;IPI00472171;IPI00030179;IPI00872387;IPI00794746;IPI00941488;IPI00940164;IPI00790291;IPI00878826;IPI00793342;IPI00929412,RPL7,A8MVV7;P18124;A8MY04;A8MUD9,3.73418
IPI00783781;IPI00925259;IPI00925071;IPI00909446,C7orf14;KIAA0225;NUP205,Q92621;A6H8X3;B4DE72;Q4VBX7;Q6DKH1;Q6P486,3.73268
IPI00026970;IPI00878978,FACT140;FACTP140;SUPT16H,Q9Y5B9;Q0VGA3,3.71498
IPI00219420,BAM;BMH;CSPG6;SMC3;SMC3L1,Q9UQE7;B0AZQ4;Q86VX4,3.7024
IPI00642971;IPI00789435;IPI00023048;IPI00796284;IPI00795920;IPI00793083;IPI00792430,EEF1D;EF1D,P29692-2;P29692;B2RAR6;Q71RH4;Q9BW34;Q9H7G6;P29692-1;B4DDU4,3.70032
IPI00848334;IPI00867746;IPI00010368;IPI00867529,KIF2;KIF2A;KNS2,O00139-4;O00139;B4DM85;O00139-3;O00139-1;B0AZS5;O00139-2,3.69847
IPI00784119;IPI00852864;IPI00552748,ATP6AP1;ATP6IP1;ATP6S1;VATPS1;XAP3;FLJ00383;DKFZp434B0535,Q15904;A6ZKI4;B3KR70;B4DWM8;Q8NBT4;Q8NF19;Q9H0C7,3.69432
IPI00298058;IPI00903259;IPI00655641;IPI00911042,SPT5;SPT5H;SUPT5H;hCG_43350,O00267-1;O00267;B4DZJ7;O00267-2;B4DJK4;B4E0Q4,3.69101
IPI00216592;IPI00477313;IPI00909232;IPI00759596;IPI00759822;IPI00027569;IPI00911096;IPI00735540;IPI00887991;IPI00868835;IPI00910718;IPI00910666;IPI00877664;IPI00790685;IPI00166137,HNRNPC;HNRPC;HNRNPCL1;HNRPCL1;LOC440563,P07910-2;P07910;B2R5W2;B3KX96;P07910-1;A8K9A4;B2R603;B4DY08;P07910-4;P07910-3;O60812;B2RP44;B7ZW41;Q6PKD2;B4DQQ2,3.68281
IPI00329536;IPI00941708,EEA1;ZFYVE2,Q15075;A8K7J3;Q05D76;C9JSL9,3.67786
IPI00026833;IPI00878313;IPI00641992;IPI00167065;IPI00170914,ADSS;ADSS2,P30520;B1AQM5;B4E1L0,3.67736
IPI00220581;IPI00007138;IPI00411461;IPI00942560;IPI00654770;IPI00946931,DAP4;DLGAP4;KIAA0964;SAPAP4,Q9Y2H0-2;Q9Y2H0;Q9Y2H0-1;Q9Y2H0-3;C9JT78;C9JVU5,3.66118
IPI00306369,NSUN2;SAKI;TRM4;hCG_18368,Q08J23;A8K529;B3KP09;B4DQW2,3.65801
IPI00940798;IPI00029159;IPI00218853,HNGS1;MRE11;MRE11A,P49959-1;P49959;B3KTC7;P49959-2;Q05D78;Q9BS79,3.64865
IPI00297211,SMARCA5;SNF2H;WCRF135,O60264;B4DZC0;B7ZAX9;Q4W5G3;Q4W5H1,3.64218
IPI00719680;IPI00411453;IPI00289608;IPI00411677;IPI00413686,AP3D1;PRO0039,O14617-5;O14617;O14617-1;Q6PK82;O14617-2;O14617-4;O14617-3;B0AZV8;B3KSV6;Q9UEA9;Q9UEB0,3.61708
IPI00059279;IPI00655649,EXOC4;KIAA1699;SEC8;SEC8L1,Q96A65;B3KTF7;B7Z321;B7Z4J9;B7Z502;B7Z689;Q541U8;Q6NX51;Q6PJ82;Q8TAR2,3.61438
IPI00099996;IPI00946039,MRPP1;RG9MTD1,Q7L0Y3;C9JVB6,3.61202
IPI00010105;IPI00375391;IPI00640731;IPI00893107;IPI00893507;IPI00892804,EIF3A;EIF6;ITGB4BP;OK/SW-cl.27;RP4-614O4.1-005,P56537;B7ZBG9,3.61033
IPI00305545;IPI00790744;IPI00787976;IPI00946473,DBR1,Q9UK59-1;Q9UK59,3.60581
IPI00479306;IPI00910237;IPI00383971,LMPX;MB1;PSMB5;X,P28074,3.60328
IPI00171665,NUP37,Q8NFH4;B4DKV8,3.59982
IPI00413611;IPI00911056,TOP1,P11387;B9EG90;Q6NWZ5;Q6PK95;Q9BVT2,3.58078
IPI00009946;IPI00844363,TOMM34;URCC3,Q15785;B4DXU3,3.57447
IPI00641990;IPI00645869;IPI00009917;IPI00152781;IPI00922715,LAS1L;MSTP060,Q9Y4W2-1;Q9Y4W2;A9X410;Q9Y4W2-2;Q9Y4W2-3;A9X412;B3KNR6;B3KUJ7,3.5659
IPI00412441;IPI00744918;IPI00375330;IPI00103263;IPI00910256,FOE;KIAA0261;WAPAL;WAPL;RP11-396M20.1-004,Q7Z5K2-3;Q7Z5K2;B3Y1W5;Q7Z5K2-2;B2RTX8;B3Y1X2;B3Y1X4;B3Y1X5;B3Y1X6;Q7Z5K2-1;A8K273;Q8WVX6,3.56056
IPI00900269;IPI00029822;IPI00293426;IPI00923468;IPI00900285;IPI00900328;IPI00900338;IPI00645885;IPI00643691;REV__IPI00916634,hCG_29955;SMARCA4;BAF190A;BRG1;SNF2B;SNF2L4,Q9HBD4;B1A8Z6;P51532;A7E2E1;B4DSI8;B9EGQ8;B1A8Z5;A5D6X0;B1A8Z4;Q59FZ6;B1A8Z7;B3KNW7;B4E0F1,3.55125
IPI00296337;IPI00376215;IPI00786995,HYRC;HYRC1;PRKDC,P78527-1;P78527;P78527-2;B4DL41,3.55047
IPI00166394;IPI00420025;IPI00217968;IPI00855858;IPI00926087;IPI00787987;IPI00887754;IPI00555667;IPI00888349;IPI00930356;IPI00925913;IPI00926510,ARMC10;PSEC0198;SVH,Q8N2F6-1;Q8N2F6;Q8N2F6-2;Q8N2F6-3;Q8N2F6-4;B4DWJ8;C9IYK4,3.54629
IPI00398009;IPI00156374;IPI00744488,IMP4B;IPO4;RANBP4,Q8TEX9-2;Q8TEX9;B3KQ33;Q59FI4;Q8TEX9-1;B3KPS9;B3KPY9;B3KSQ4;B3KT38;B3KTB3;B4DXR7;Q6I9Y8;Q59H62,3.54618
IPI00409671;IPI00829889,DDX42,Q86XP3-1;Q86XP3;B3KMI4;B3KTL4;B3KV84;B3KX23;Q86XP3-2,3.54078
IPI00472303,KLC;KLC1;KNS2,Q07866-6;Q07866;Q7RTQ0,3.52454
IPI00100151;IPI00788157,XRN2,Q9H0D6-1;Q9H0D6;B3KMC9;B4DZC3;B4E0B9;Q9H0D6-2,3.5169
IPI00000041;IPI00893313,ARH6;ARHB;RHOB;hCG_31737,P62745;B2R692;B4DMJ8,3.51178
IPI00294229;IPI00646397;IPI00647354;IPI00479685;IPI00477560,HSPC338;RCL1;RNAC;RPC2;RPCL1;RTC2,Q9Y2P8,3.50682
IPI00008708;IPI00642046,CATX11;CSIG;L12;PBK1;RSL1D1,O76021;A0PJ87;B4DJ58;Q32Q62;A0PJ61,3.50642
IPI00216260;IPI00021016;IPI00910455;IPI00916739;IPI00916152;IPI00917718,TSFM;hCG_40154,P43897-2;P43897;P43897-1;B4E391;B4DHY8;C9JT21,3.47919
IPI00385042;IPI00645138,CRFG;GTPBP4;NOG1,Q9BZE4;B3KMC5;B4DHR2;B4DY13;B7Z7A3;Q53GS0;Q8N4P8,3.47851
IPI00788907;IPI00936922;IPI00063242;IPI00888849,PGAM5;PGAM5-L;PXMP2,Q96HS1-1;Q96HS1;A9LN06;C9IZY7;Q96HS1-2,3.46299
IPI00926122;IPI00477577;IPI00061793;IPI00900281;IPI00787549;IPI00921885;IPI00923523;IPI00953656;IPI00923573;IPI00923611;IPI00747799;IPI00953589;IPI00903306;IPI00922463;IPI00924446;IPI00382710;IPI00924645;IPI00900295;IPI00941528;IPI00927243;IPI00926362,ARGBP2;KIAA0777;SORBS2;hCG_1787337,B3KPQ7;O94875-1;O94875;O94875-3;O94875-4;O94875-2;B7Z1G5;C9JKR5;C9IZ89;C9JKV9;B7Z3X6;B7Z997;O94875-5;C9IYD6;B3KPU4,3.45991
IPI00033130;IPI00640965;IPI00647006,AOS1;SAE1;SUA1;UBLE1A;hCG_20373,Q9UBE0;B4DY66;B3KMQ2;B3KNJ4,3.45815
IPI00419258;IPI00645948;IPI00644653;IPI00872915;IPI00943040;IPI00018755;IPI00742929;IPI00022796;IPI00643746;IPI00903004;IPI00886784;IPI00788220;IPI00737736;IPI00879051,HMG1;HMGB1;RP11-550P23.1-002;RP11-550P23.1-003;HMG1L10;HMGB1L10;HMG1L1;HMGB1L1;RP11-550P23.1-005,P09429;Q5T7C6;B7Z965;Q59GW1;Q5T7C4;Q9UGV6;B2RPK0;Q5T7C0;Q9NYD7;B3KQ05,3.44952
IPI00852685;IPI00936125;IPI00935307;IPI00924442;IPI00936881;IPI00884341,DIAP1;DIAPH1;hCG_42523,O60610-1;O60610;B4E2I7;Q6URC4;A0RZB7;A0RZB8;B4DVR3;Q17RN4;Q96IL1;Q6UUU0;Q7KZJ7;B9ZVX0;O60610-2,3.43663
IPI00647217,KIAA0052;SKIV2L2,P42285;A8K6I4;B4E3M6,3.42926
IPI00008998;IPI00938044;IPI00787433,BIND1;PTPLAD1,Q9P035;B4DRF4,3.42486
IPI00018522;IPI00942520;IPI00382516;IPI00215734;IPI00914913;IPI00909470;IPI00549813;IPI00747005;IPI00795978,HMT2;HRMT1L2;IR1B4;PRMT1,Q99873-1;Q99873;B4E3C3;C9J957;Q8WUW5;Q99873-2;Q99873-3;Q5U8W9;B4DJ87,3.42413
IPI00291939;IPI00922333;IPI00553151;IPI00385082,DXS423E;KIAA0178;SB1.8;SMC1;SMC1A;SMC1L1;DKFZp686L19178,Q14683;A8K7A6;Q68EN4;Q6MZR8;Q6P2R1;B7Z709,3.42347
IPI00742682;IPI00514531,TPR;Tpr;tpr,P12270;A0PJC9;Q15624;Q504U6;Q58F23;Q99968;Q9UE33,3.41849
IPI00012079;IPI00942600;IPI00908588;IPI00798302;IPI00910983;IPI00788971;IPI00797648,EIF4B,P23588;B4DRM3;B4DEP6;B4DS13;Q7Z5Y0,3.41711
IPI00005657;IPI00639894,HKE2;PFD6;PFDN6;DADB-159G18.5-004;DAMC-227D19.11-004;DAQB-193B15.2-001;hCG_17527;XXbac-BCX165D10.2-004;XXbac-BPG185D15.3-004,O15212;Q5STK2,3.41623
IPI00022694;IPI00216247;IPI00853509;IPI00853609;IPI00853415,MCB1;PSMD4;hCG_1741224;RP11-126K1.1-002;RP11-126K1.1-014;RP11-126K1.1-008,P55036-1;P55036;P55036-2;Q5VWC4;A6PVX3;A6PVX4,3.39867
IPI00031812;IPI00643351;IPI00450235;IPI00479509;IPI00643807;IPI00784202;IPI00556023;IPI00790453,NSEP1;YB1;YBX1,P67809;A0JLU4;Q05D43;Q6PKI6;Q7KZ24;Q2VIK8,3.38944
IPI00181617;IPI00658072;IPI00930315;IPI00930357;IPI00514231;IPI00945774,KIAA0117;RBM34;RP11-739C15.1-008;RP11-739C15.1-007,P42696-1;P42696;A2A2V2;P42696-2;Q5TCT4,3.38008
IPI00784154;IPI00917575;IPI00880053;IPI00917983;IPI00915941;IPI00916653;IPI00917686;IPI00916167;IPI00954209;IPI00917789,HSP60;HSPD1,P10809;B3GQS7;B7Z4F6;B7Z532;B7Z597;Q53QD5;Q96RI4;B7Z5E7;C9JCQ4,3.37711
IPI00032140;IPI00910487,CBP1;CBP2;HSP47;PIG14;SERPINH1;SERPINH2;ra-a47,P50454;A8K259;Q9NPA9;B4DN87,3.37389
IPI00015195;IPI00382661,CSTF3,Q12996;B4DFQ5;B4DMA4,3.36232
IPI00783271;IPI00917568;IPI00917844;IPI00917676;IPI00917975;IPI00784076;IPI00181047;IPI00952690;IPI00925582;IPI00924920,LRP130;LRPPRC,P42704;B4DSR0,3.35153
IPI00015602;IPI00793189;IPI00791887,KIAA0719;TOMM70A,O94826;B3KQK5;B4DZ87,3.34976
IPI00100313;IPI00941197;IPI00478550;IPI00395420;IPI00072541,HT004;PCID2,Q5JVF3-4;Q5JVF3;A8K097;C9J439;Q5JVF3-2;A6NM51;Q5JVF3-1;Q5JVF3-3;A6NC39,3.34144
IPI00792352;IPI00795671;IPI00643041;IPI00796462;IPI00795109;IPI00044779;IPI00792120;IPI00794138,hCG_1744585;RAN;ARA24;OK/SW-cl.81,B5MDF5;P62826;A8K3Z8;B4DV51,3.34071
IPI00018146;IPI00796727;IPI00651755,YWHAQ,P27348;B4DMT8;B4DY04;Q53S41;Q53RR5,3.33821
IPI00002408;IPI00448515;IPI00924947,RPAP3,Q9H6T3-1;Q9H6T3;Q9H6T3-2;B4DRW9,3.33732
IPI00020021;IPI00909779;IPI00942944;IPI00425937,DEK,P35659;B2R6K6;B4DNW3;B4DFG0;B4DN37,3.33397
IPI00386189;IPI00032158,GA19;NAA15;NARG1;NATH;TBDN100,Q9BXJ9-1;Q9BXJ9;B2RBE5;B4E2T6;Q9BXJ9-4;Q58F05,3.33275
IPI00414676;IPI00555614;IPI00515119;IPI00640129;IPI00746291;IPI00411633;IPI00555915,HSP90AB1;HSP90B;HSPC2;HSPCB,P08238;A8K3W9;B4DGL0;B4DMA2;Q6PK50;Q9H6X9,3.3255
IPI00019380;IPI00513689,CBP80;NCBP;NCBP1,Q09161,3.31789
IPI00396387;IPI00384745;IPI00479495;IPI00893424;IPI00942020;IPI00908311;IPI00943277;IPI00892665,GNL1;HSR1;DAAP-394O23.2-001,P36915-1;P36915;B0S838;B4DYK6;B7ZAS6;Q6P458;Q0EFC6;Q86Z07;P36915-2;B4DNS8;A8MPZ0;Q96QB8;B4DWZ0;B0V0L0;B4DEF1,3.31551
IPI00219445;IPI00030243;IPI00795743;IPI00922362,PSME3,P61289-2;P61289;P61289-1;B3KQ25;Q6FHK7,3.3144
IPI00217686,FTSJ3;SB92,Q8IY81;B4DKU3,3.30138
IPI00003588;IPI00913838,AIMP3;EEF1E1;P18,O43324;C9JLK5,3.30104
IPI00019148;IPI00737431,IBP1;IGBP1,P78318,3.29264
IPI00395865;IPI00879702;IPI00552530;IPI00647914;IPI00947544,RBAP46;RBBP7;RP11-716A19.5-006;hCG_20110;RP11-716A19.5-010;RP11-716A19.5-004,Q16576;Q5JNZ9;Q6FHQ0;B0R0W4;Q5JP01,3.27639
IPI00477355,KBP;KIAA1279,Q96EK5,3.27558
IPI00018627;IPI00793985;IPI00945622;IPI00470922;IPI00952974;IPI00946830;IPI00947437;IPI00946268;IPI00946447,MAK3;NAA50;NAT13;NAT5,Q9GZZ1-1;Q9GZZ1;C9J5D1;Q9GZZ1-2;C9J2S9;B0AZT5,3.26252
IPI00549357;IPI00922390;IPI00827653;IPI00908741,FOXRED1;FP634,Q96CU9-1;Q96CU9;B4DHU2;B4DQI0;B4DXM1;B4DI59;Q96CU9-2,3.25247
IPI00009841;IPI00872855;IPI00879259;IPI00879242;IPI00065554;IPI00953325;IPI00293254;IPI00878484;IPI00335961,EWSR1;hCG_2010995;EWS;AC002059.7-002;AC002059.7-007;AC002059.7-008,Q96MX4;Q01844-1;Q01844;Q96FE8;B0QYK0;B0QYK1;Q96MN4;C9JGE3;Q01844-2;C9JSG3,3.21751
IPI00017617;IPI00798375,DDX5;G17P1;HELR;HLR1;DKFZp686J01190,P17844;B4DN41;B5BUE6;Q59E92;Q7Z2V5;B4DLW8;B4DNG2,3.21362
IPI00004655;IPI00001076;IPI00937544;IPI00930492;IPI00941871;IPI00387140;IPI00935165;IPI00942046;IPI00807669,FRG1;C20orf80;FRG1B,Q14331;Q9BZ01;C4AME5,3.2078
IPI00216919;IPI00009326,YAP1;YAP65;DKFZp451O0517,B4DTY1;B4E2Y3;B7ZA01;Q7Z574;Q86T74;Q8IUY9;P46937,3.20297
IPI00220834;IPI00871391;IPI00925823;IPI00926445,G22P2;XRCC5,P13010;Q53T09;Q53TC2,3.20237
IPI00646058;IPI00300631;IPI00942963;IPI00925702;IPI00941773,SAFB;HAP;HET;SAFB1;DKFZp779C1727,A0AV56;A8K329;B7Z1C7;B7Z2F6;B7Z5X3;B7ZLP6;Q15424;B7Z959;B7ZLP5;Q68DW3;B7Z5B6;B7Z2Z1,3.18624
IPI00008240;IPI00910687;IPI00185398;IPI00789865;IPI00792878;IPI00793986,MARS,P56192;A8K492;B3KVK7;B4DF61;B4E0E9,3.16835
IPI00219757;IPI00793319;IPI00554769,FAEES3;GST3;GSTP1,P09211;C7DJS1;C7DJS2;A8MX94;B2C310,3.15963
IPI00011662;IPI00909783,HAI2;KOP;SPINT2;hCG_42856,O43291;Q6LEU8;B4DLU1,3.15121
IPI00789551;IPI00017297;IPI00470923,MATR3;KIAA0723;DKFZp686K0542;DKFZp686K23100,A8MXP9;P43243;B3KM87;B4DF66;B4DRS1;B7ZAV5;Q5CZA7;Q68D11;Q9H4N1,3.14333
IPI00073713;IPI00910884;IPI00792475;IPI00167806;IPI00908857;IPI00455161;IPI00001007;IPI00798190,MSI2,Q96DH6-1;Q96DH6;B4DHE8;Q96DH6-2;B4DM51;Q96DH6-3,3.13059
IPI00005158;IPI00334291;IPI00642982,LONP1;PRSS15,P36776;B3KPH8;B3KU28;B3KXS5;B4DPX0;Q2VPA0;Q8N8K8;A4VCH6,3.12501
IPI00023234,HRIHFB2115;SAE2;UBA2;UBLE1B,Q9UBT2;B2RDF5;B3KMZ6;B3KNA3;B3KWB9;B7Z5X0,3.11576
IPI00030131;IPI00791301;IPI00830089;IPI00795693;IPI00795286,LAP2;TMPO,P42167-1;P42167;A2T926,3.10244
IPI00221106;IPI00477803,SAP145;SF3B2;DKFZp781L0540,Q13435;A8K485;B4DT19;Q7L4T5;Q7Z627;Q9BWD2;Q7Z3K9;Q96CM6,3.09328
IPI00748807;IPI00930629;IPI00221235,KIAA0197;NUP120;NUP160,Q12769-1;Q12769;C9JIP0,3.08785
IPI00022239,KIAA0094;METAP1;DKFZp781C0419,P53582;Q5CZ91,3.08749
IPI00291755;IPI00871723,KIAA0906;NUP210;PSEC0245,Q8TEM1-1;Q8TEM1;Q8TEM1-2,3.07187
IPI00329692;IPI00218830;IPI00922811;IPI00844539,NMT;NMT1,P30419-1;P30419;Q96HI4;Q9Y465;P30419-2,3.06922
IPI00023322;IPI00908945,BAF45D;DPF2;REQ;UBID4,Q92785;B4DT58,3.06865
IPI00093057;IPI00794067,CPO;CPOX;CPX,P36551;B4DSD5,3.06734
IPI00917298;IPI00848331;IPI00026302;IPI00856058;IPI00916315;IPI00915795;IPI00916572;IPI00917675;IPI00736955;IPI00878870,RPL31;hCG_27618,B7Z4C8;B7Z4K2;P62899;B2R4C1;Q76N53;Q6IRZ0;B7Z4E3;C9JU56;C9JQ13;B8ZZK4,3.06198
IPI00003865;IPI00037070;IPI00939595;IPI00910870;IPI00880019;IPI00844513;IPI00844564,HSC70;HSP73;HSPA10;HSPA8,P11142-1;P11142;A8K7Q2;B3KTV0;B4E1Q1;Q53GZ6;Q96BE0;Q96H53;Q96IS6;Q9NWW3;Q9NZ87;P11142-2;Q53HF2,3.0521
