Protein.IDs,Gene.name,Uniprot,Median.Ratio.C.N
IPI00154590;IPI00916807;IPI00916663;IPI00908705;IPI00915819;IPI00916514,MKI67IP;NIFK;NOPP34,Q9BYG3;C9J808;C9J6C5,7.19303
IPI00005677;IPI00640892;IPI00514057,DAPAT;DHAPAT;GNPAT;RP5-876B10.1-002,O15228;B2RAG5;B3KN78;B4DNM9;Q53FI2;Q53H08;Q59EC9;Q71V38;Q5TBH8,7.1603
IPI00288941;IPI00647587,KIAA1637;NCOA5,Q9HCD5;B2RTV9,7.07137
IPI00640703;IPI00747670;IPI00549861;IPI00872800;IPI00553171;IPI00640551,KIAA1291;RANBP21;XPO5;RP3-337H4.5-003,Q9HAV4-1;Q9HAV4;A8K5Y7;B3KPQ5;Q9HAV4-2;C9J4N8;B3KNC6;Q5JTE8,6.98309
IPI00737638,FAM169A;KIAA0888,Q9Y6X4-1;Q9Y6X4,6.95084
IPI00260715;IPI00221354;IPI00941083;IPI00645208;IPI00909890;IPI00428056;IPI00854677,FUS;TLS,P35637-1;P35637;Q13344;P35637-2;B4DR70;Q70T18;A6NMX6,6.90347
IPI00550882;IPI00941557;IPI00376503;IPI00793698;IPI00922289;IPI00260769;IPI00902651;IPI00930393,PYCR1;PIG45;hCG_38803,B4DMU0;P32322;Q2TU78;Q8TBX0;A6NFM2;B7Z8T1,6.88499
IPI00217477;IPI00640781;IPI00643317;IPI00411540;IPI00376756;IPI00744556;IPI00787656;IPI00374293;IPI00936241;IPI00006437;IPI00888596;IPI00941696,HMG2A;HMG4;HMGB3;DKFZp779G118,O15347;Q16466;Q7Z684,6.82108
IPI00009010;IPI00106374,AD-001;HSPC152;HSPC170;TRMT112,Q9UI30,6.76355
IPI00003419;IPI00917641,C11orf58;SMAP,O00193,6.75238
IPI00306049;IPI00855996;IPI00856007;IPI00642805;IPI00856061;IPI00908498,LST005;MSTO1;SLTP005,Q9BUK6-1;Q9BUK6;Q9BUK6-2;A8K3J5;Q9BUK6-3;Q9BUK6-7;Q9BUK6-5;B4DLS9;B4DF47,6.73392
IPI00010746;IPI00794618;IPI00910621,KIAA0024;PSSA;PTDSS1,P48651;A8KAH1;Q9BSY0;Q9BUQ5;B4DE85,6.70727
IPI00939163;IPI00218993;IPI00513743;IPI00514983;IPI00908988;IPI00910755;IPI00794417;IPI00910341;IPI00924863;IPI00152661,HSP105;HSP110;HSPH1;KIAA0201;hCG_32198,Q92598-1;Q92598;B4DF68;Q92598-2;Q92598-3;B4DYH1;B4DY72;B4DZB4,6.64278
IPI00026689;IPI00908424;IPI00073536,CDC2;DKFZp686L20222,P06493-1;P06493;Q5H9N4;C9J497;P06493-2;B7Z3D6,6.63756
IPI00101186;IPI00294794;IPI00940901,KIAA0690;RRP12,Q5JTH9-1;Q5JTH9;B3KMR5;B3KPQ2;B3KY97;B4DK00;Q5JTH9-2,6.61641
IPI00556645;IPI00807514;IPI00844216;IPI00100910;IPI00303372,FOXK1;MNF,P85037-1;P85037;P85037-2;B3KV39;B4DY33,6.59932
IPI00922181;IPI00184330;IPI00795155;IPI00791616,MCM2;BM28;CCNL1;CDCL1;KIAA0030,B7Z8Z6;Q9BWF4;P49736;B3KXZ4;B4DSV5,6.5856
IPI00291646;IPI00939493;IPI00552054;IPI00644940;IPI00647214;IPI00940262;IPI00643337;IPI00374525;IPI00884217;IPI00643937;IPI00646698,MTHFD1L;RP1-292B18.2-008;FTHFSDC1,B7ZM99;Q5JYA1;Q6UB35-1;Q6UB35;B2RD24,6.52694
IPI00005179;IPI00217386;IPI00645499;IPI00552946;IPI00911024;IPI00552334;IPI00552677,POLR1C;POLR1E;RP3-337H4.4-009;RP3-337H4.4-004;RP3-337H4.4-005,O15160-1;O15160;Q96HT3;O15160-2;Q5JTE4;Q5JTE0;Q5JTD9,6.47449
IPI00022744;IPI00219994;IPI00910737;IPI00910298;IPI00219762,CAS;CSE1L;XPO2;CSE1L-2,P55060-1;P55060;B4DUC5;P55060-3;A3RLL6;B4DM67;B4DPS6;B4DM31,6.46502
IPI00304232;IPI00926172,WDR12;hCG_1779944,Q9GZL7;B4DRY7;Q53T99,6.45064
IPI00303300;IPI00909121;IPI00334818;IPI00184854;IPI00794022,FKBP10;FKBP65;PSEC0056;DKFZp666D193,Q96AY3;Q658U4;Q6ZME7;B4DJJ5;Q8NAG5,6.32482
IPI00924769;IPI00013810;IPI00456055;IPI00910635;IPI00926136;IPI00925314;IPI00927642;IPI00925119,WBSCR22;HUSSY-03;PP3381;hCG_18991,C9K060;O43709-1;O43709;A8K501;Q75ME3;O43709-2;B4DK37;C9JIS9;C9JAZ9;C9JJT1;C9IZB8,6.21361
IPI00299904;IPI00376143;IPI00219740;IPI00925989,CDC47;MCM2;MCM7;hCG_2023614;tcag7.648,P33993-1;P33993;A4D2A1;B2RBA6;B3KUD7;B4DDF5;C6EMX8;A4D2A2;Q9H4N9,6.19784
IPI00398922,PLCB3N;PNG;PPP1R14B,Q96C90,5.93543
IPI00007402,IPO7;RANBP7,O95373;B3KNG9;B3KQG6,5.8804
IPI00651738;IPI00470791;IPI00893165,ADI1;HMFT1638;MTCBP1,Q9BV57-1;Q9BV57;Q9BV57-2,5.80113
IPI00215790;IPI00792410,RPL38,P63173;B2R5A8,5.76709
IPI00031109,NDUFA12L;NDUFAF2,Q8N183,5.73221
IPI00103026;IPI00401321;IPI00922411;IPI00909714,PRMT3;HRMT1L3,Q8WUV3;O60678;B4DP44;B4DWB1;B4DUC7,5.71964
IPI00944960;IPI00896419;IPI00218192;IPI00896413;IPI00922043;IPI00791097;IPI00556036;IPI00798006,ITIH4;IHRP;ITIHL1;PK120;PRO1851;DKFZp686G21125,B2RMS9;B7ZKJ8;Q14624-1;Q14624;B7Z545;B7Z551;Q68DH2;Q14624-2;B7Z544,5.66454
IPI00021728;IPI00176637;IPI00816442,EIF2B;EIF2S2;hCG_2018881,P20042;B5BU01;Q3B7I9;Q6IBR8;Q96I16;A6NK07,5.63271
IPI00514234;IPI00910275,LAD;LAD1;DKFZp686M21196,O00515;Q63HQ8;Q6IPJ9,5.62553
IPI00006952,CGI-83;LACTB2,Q53H82;A8K2D6,5.59273
IPI00060627,CCDC124,Q96CT7,5.56787
IPI00297900;IPI00908600,DDX10,Q13206;Q59EC7;Q86VR6;B4DKX3,5.54686
IPI00002214;IPI00789457,KPNA2;RCH1;SRP1,P52292;A8K7D9;B9EJD6;Q53YE3;Q6NVW7;Q7Z726,5.53265
IPI00185919;IPI00643027;IPI00411690;IPI00856120;IPI00855786;IPI00855812;IPI00855721,KIAA0731;LARP;LARP1,Q6PKG0-1;Q6PKG0;Q6PKG0-2;Q6PKG0-3,5.52174
IPI00166704;IPI00908537;IPI00552228,C9orf105;TOM5;TOMM5;RP11-613M10.3-002,Q8N4H5;C9JD66;Q5JRT7,5.50894
IPI00297579;IPI00917509;IPI00917646;IPI00869133,CBX3;CCDC32;hCG_1745364;hCG_1999239;tcag7.173,Q13185;A4D177;B8ZZ43;C9JMM0,5.49584
