Entry,Gene.Symbol,ACP.NNCM,CIS.NNCM,ICC.NNCM
P06702,S100A9,10.26,7.13,18.71
P35579,MYH9,3.94,11.12,13.51
P24821,TNC,2.14,23.99,12.71
P11021,HSPA5,8.42,6.56,10.81
P11678,EPX,16.67,16.07,8.78
P05109,S100A8,9.35,6.14,8.63
Q9P2E9,RRBP1,4.97,5.8,8.07
Q07065,CKAP4,2.96,4.02,7.79
P07237,P4HB,8.1,7.88,7.28
P30101,PDIA3,4.56,2.21,6.03
Q96AG4,LRRC59,4.74,4.11,5.68
P13667,PDIA4,4.33,1.57,5.34
P04843,RPN1,3.48,3.91,4.61
P27824,CANX,4.46,3.65,4.56
P52209,PGD,5.22,4.73,4.53
Q15063,POSTN,0.67,6.95,4.41
P11142,HSPA8,3.23,2.44,4.42
P67936,TPM4,1,4.07,4.31
P14618,PKM,1.68,2.4,4.18
P68104,EEF1A1,6.59,5.35,4.03
Q8NBS9,TXNDC5,6.78,4.32,3.93
P13639,EEF2,5.86,6.05,3.86
Q14764,MVP,5.34,4.39,3.87
P29692,EEF1D,2.75,4.42,3.81
P14625,HSP90B1,6.1,5.37,3.78
Q00341,HDLBP,1.95,2.49,3.78
O43852,CALU,1.74,3.18,3.48
Q15149,PLEC,0.97,2.86,3.48
P27797,CALR,5.67,2.14,3.05
Q9Y4L1,HYOU1,4.47,2.52,3
P11940,PABPC1,2.78,3.03,2.96
Q7KZF4,SND1,2.11,2.84,2.89
Q15293,RCN1,3.44,2.94,2.84
P46777,RPL5,2.79,1.95,2.52
P10809,HSPD1,5.08,2.17,2.49
P04844,RPN2,3.28,2.95,2.34
P00338,LDHA,3.97,6.08,2.27
P24534,EEF1B2,2.08,2.33,2.26
Q9Y6C2,EMILIN1,0.74,2.78,2.16
P31949,S100A11,4.88,2.41,2.05
O75369,FLNB,2.5,2.45,1.95
P53621,COPA,2.5,3.39,1.88
P02792,FTL,4.76,3.63,1.87
P26641,EEF1G,3.8,4.43,1.72
Q15582,TGFBI,1.03,2.54,1.65
P46060,RANGAP1,1.58,1.35,1.57
Q00610,CLTC,2.36,2.14,1.4
Q08211,DHX9,2.89,2.49,1.32
P08238,HSP90AB1,2.13,3.01,1.1
P02675,FGB,0.21,0.73,10.57
P02679,FGG,0.21,0.59,9.32
P02671,FGA,0.2,0.44,7.79
P00751,CFB,0.27,0.49,6.34
P35580,MYH10,0.2,1.99,5.64
Q99715,COL12A1,0.33,3.5,5.53
P0CG05,IGLC2,0.82,0.81,4.88
P21810,BGN,0.48,1.73,4.35
P08603,CFH,0.55,0.63,4.18
P0C0L4,C4A,0.5,0.44,4.07
P04196,HRG,0.46,0.44,3.86
P02751,FN1,0.12,2.33,3.37
P01024,C3,0.16,0.38,3.32
P02452,COL1A1,0.18,0.45,3.19
P01042,KNG1,0.5,0.43,3.11
P08123,COL1A2,0.18,0.56,2.93
P00488,F13A1,0.26,0.56,2.83
P02787,TF,0.23,0.14,2.84
P02790,HPX,0.39,0.31,2.32
P01011,SERPINA3,0.13,0.24,2.21
P04083,ANXA1,0.31,0.6,2.14
P02647,APOA1,0.25,0.5,1.83
P51884,LUM,0.12,0.29,1.58
P04004,VTN,0.11,0.58,1.34
Q14195,DPYSL3,0.22,1.17,1.3
Q05707,COL14A1,0.11,0.2,1.29
P02763,ORM1,0.21,0.15,1.3
P01009,SERPINA1,0.08,0.11,1.29
P23142,FBLN1,0.24,1.2,1.28
P26038,MSN,0.25,0.73,1.27
P12110,COL6A2,0.17,0.61,1.27
P08670,VIM,0.4,0.68,1.24
P19823,ITIH2,0.35,0.44,1.23
P02765,AHSG,0.26,0.28,1.23
P02545,LMNA,0.19,0.18,1.09
P20774,OGN,0.08,0.07,1.05
P12109,COL6A1,0.12,0.58,1.03
Q16555,DPYSL2,0.37,0.4,1.02
P06396,GSN,0.27,0.2,0.99
P07585,DCN,0.12,0.18,0.98
P10909,CLU,0.09,0.5,0.94
P22105,TNXB,0.31,0.45,0.93
Q02952,AKAP12,0.18,0.5,0.92
P27816,MAP4,0.26,0.7,0.91
P51888,PRELP,0.12,0.17,0.9
P12111,COL6A3,0.07,0.27,0.8
Q9BXN1,ASPN,0.12,0.2,0.67
Q09666,AHNAK,0.1,0.23,0.61
O95994,AGR2,10.62,1.43,1.45
P35900,KRT20,6.73,2.97,1.3
Q12864,CDH17,3.33,1.23,1.04
P30740,SERPINB1,2.51,1.64,0.96
Q14697,GANAB,2.75,1.71,0.87
P42704,LRPPRC,2.84,3.59,0.87
P35221,CTNNA1,2.35,1.19,0.78
P48735,IDH2,5.7,3.07,0.59
Q06323,PSME1,3.39,1.06,0.54
P06733,ENO1,2.3,1.35,0.53
P07954,FH,1.2,0.56,0.53
P37837,TALDO1,1.13,0.72,0.52
Q16762,TST,2.18,0.46,0.51
P40926,MDH2,1.71,0.52,0.47
Q02817,MUC2,1.46,0.37,0.47
P06576,ATP5B,1.44,0.43,0.46
P42765,ACAA2,2.45,0.55,0.41
Q9Y6R7,FCGBP,2.23,0.71,0.39
O43707,ACTN4,1,1.87,0.36
P17931,LGALS3,1.27,0.66,0.35
P05783,KRT18,4.9,2.53,0.34
P05787,KRT8,4.82,2.42,0.29
P04406,GAPDH,1.02,0.36,0.29
P21796,VDAC1,2.14,0.86,0.28
A8K7I4,CLCA1,7.37,1.26,0.26
P11216,PYGB,1.27,0.71,0.26
P62937,PPIA,1.94,0.51,0.25
Q16836,HADH,1.67,0.61,0.25
P56470,LGALS4,3.75,0.99,0.2
P08727,KRT19,2.76,1.21,0.2
P07737,PFN1,0.76,0.73,0.19
P10606,COX5B,0.91,0.56,0.18
P63104,YWHAZ,1.02,0.97,0.17
P06703,S100A6,1.84,0.59,0.17
P07602,PSAP,0.43,0.83,0.15
P10599,TXN,1.58,0.63,0.15
P62158,CALM1,1.13,0.55,0.12
P16402,HIST1H1D,1.51,0.52,0.08
P16403,HIST1H1C,1.93,0.62,0.06
P12277,CKB,0.42,0.16,0.05
P10412,HIST1H1E,1.15,0.49,0.02
Q16181,SEPT7,0.44,0.55,0.79
Q15019,SEPT2,0.35,0.43,0.67
Q03252,LMNB2,0.29,0.26,0.62
P30041,PRDX6,0.73,0.45,0.51
Q99536,VAT1,0.42,0.25,0.49
Q15404,RSU1,0.22,0.37,0.47
O00159,MYO1C,0.44,0.42,0.44
P08758,ANXA5,0.16,0.29,0.43
P09382,LGALS1,0.25,0.3,0.43
Q13813,SPTAN1,0.45,0.34,0.41
Q01082,SPTBN1,0.45,0.44,0.4
P81605,DCD,0.27,0.1,0.33
P0DMV8,HSPA1A,0.38,0.29,0.32
P07305,H1F0,0.28,0.12,0.27
P11766,ADH5,0.33,0.36,0.24
O95810,SDPR,0.14,0.1,0.22
P10645,CHGA,0.09,0.07,0.22
Q6NZI2,PTRF,0.05,0.08,0.22
Q15661,TPSAB1,0.16,0.09,0.12
Q13642,FHL1,0.09,0.12,0.12
P41219,PRPH,0.04,0.09,0.09
P00738,HP,0.16,0.04,3.06
P61604,HSPE1,2.79,0.53,2.48
P20700,LMNB1,2.56,0.73,2.07
P69905,HBA1,1.45,0.07,1.91
P00558,PGK1,2.23,0.54,1.86
Q99497,PARK7,1.53,0.4,1.85
P01008,SERPINC1,0.59,0.18,1.33
P07355,ANXA2,0.32,0.17,1.19
P38646,HSPA9,2.23,0.68,1.06
P04264,KRT1,0.61,0.34,0.93
P01023,A2M,0.22,0.13,0.86
P62979,RPS27A,0.64,0.15,0.73
O43491,EPB41L2,0.51,0.28,0.67
P07339,CTSD,0.97,0.29,0.57
