IPI.ID,Gene.name,Rsca,UniProt
IPI00000075,TGFB1,3.405,Q5PY19;Q7Z488;Q49IK8;Q9UCG4;Q671V1;Q49IL8;A8K792;Q7Z487;Q86YU2;Q671U8;P01137
IPI00000860,FMOD,1.986,Q8IV47;Q15331;Q06828;Q12833
IPI00004114,RNASE6,-1.694,Q93091;Q6IB39
IPI00004372,MEP1A,-2.554,Q9H1R1;Q8TDC9;Q16819
IPI00004480,ADAMDEC1,-3.407,O15204;B7ZAK5;B7Z6V5
IPI00007047,S100A8,4.277,Q9UCJ0;Q9UC92;A8K5L3;Q9UCM6;Q9UC84;P05109;Q5SY70
IPI00007118,SERPINE1,3.211,P05121;B7Z4S0
IPI00007221,SERPINA5,1.608,P05154;Q9UG30;Q07616
IPI00007244,MPO,3.807,P05164;Q4PJH5;Q9UCL7;Q16771;A1L4B8;Q14862
IPI00007427,AGR2,-1.912,O95994;Q4JM46;Q4JM47;Q53G64
IPI00008561,MMP1,6.12,B4DN15;P08156;Q53G96;Q53FK3;Q5TZP0;Q53G95;Q53G97;Q96DZ4;Q53G75;P03956
IPI00009720,LIF,3.125,Q52LZ2;P15018;B2RCW7
IPI00009890,SERPINE2,2.662,Q5D0C4;Q53S15;B4DIF2;B2R6A4;P07093
IPI00010471,LCP1,-3.239,Q53FI1;Q5TBN4;Q5TBN5;B2R613;Q59GX5;Q5TBN3;P13796
IPI00010949,SIAE,-1.404,Q8IUT9;Q9NT71;B3KPB0;Q9HAU7;Q9HAT2
IPI00011643,SPINT1,-2.881,Q7Z7D2;O43278
IPI00011937,PRDX4,-1.576,Q6FHT3;Q13162
IPI00012347,MXRA5,4.564,Q9Y3Y8;Q9NR99;Q6P1M7
IPI00012887,CTSL1,2.796,Q5K630;Q96QJ0;Q9HBQ7;P07711;Q6LAF7;Q6IAV1;Q5T8F0;Q8NG13
IPI00013405,MMP10,4.896,B2R9X9;Q53HH9;P09238
IPI00013808,ACTN4,1.137,O76048;Q96BG6;O43707
IPI00013937,CMA1,-7.154,B5BUM8;Q4FEB5;Q3SY37;Q16018;Q9UDH5;P23946;Q4FEB3;Q3SY36
IPI00013955,MUC1,-4.483,Q7Z540;Q7Z541;Q7Z542;Q16437;Q16442;Q7Z537;Q14877;Q7Z536;Q7Z539;Q7Z538;Q14876;Q7Z552;Q9BXA4;Q7Z550;Q0VAP5;Q7Z551;Q6S4Y3;Q9UE76;Q9UE75;Q16615;P15942;P15941;Q9Y4J2;Q9UQL1;Q14128;P17626;Q7Z549;Q7Z548;Q7Z547;B1AVR0;Q9UMI8;Q7Z546;Q0VAP6;P13931;Q7Z545;Q7Z544;Q7Z543
IPI00014572,SPARC,4.196,Q6IBK4;P09486;Q6QE20
IPI00014625,CLCA1,-3.676,Q9UNF6;Q9UPC6;O95151;Q5TDF4;B2RAV5;A8K7I4
IPI00016112,PXDN,3.097,Q96GF5;A8QM65;Q92626;Q4KMG2
IPI00016915,IGFBP7,3.396,Q16270;Q9UCA8;Q53YE6;Q07822
IPI00017557,SFRP4,3.729,B4DYC1;Q05BG7;O14877;Q6PD64;Q6FHM0;Q6FHJ7;Q4G124;Q1ZYW2
IPI00017696,C1S,1.011,Q9UM14;Q9UCV5;Q9UCV4;Q9UCV1;Q9UCV0;Q9UCV3;Q9UCV2;P09871;Q9UCU9;Q9UCU8;Q9UCU7
IPI00018219,TGFBI,7.187,O14471;O14472;O14476;Q53XM1;Q59F63;Q53GU8;O43219;O43217;Q15582;O43218;O43216
IPI00018769,THBS2,8.881,P35442;Q5RI53;Q5RI52;A6H8N1;Q6MZL6;A7E232
IPI00020019,ADIPOQ,-1.313,A8K660;Q15848;Q58EX9
IPI00020599,CALR,-1.899,Q6IAT4;P27797;Q9UDG2;Q53G71
IPI00020982,ABP1,-1.868,Q6GU42;Q16683;P19801;Q16684;Q9HBM7;Q56II4
IPI00020987,PRELP,-2.216,Q7Z4B2;P51888;Q6FHG6;Q6FG38
IPI00021033,COL3A1,1.642,Q53S91;Q6LBY7;P78429;Q16403;Q6LDJ2;Q15112;Q6LDJ3;P02461;Q9UC88;Q541P8;Q9UC89;Q9UC91;Q9UC90;Q7KZ56;Q6LDB3;Q8N6U4
IPI00021842,APOE,2.747,Q6LBZ1;P02649;C0JYY5;Q8TCZ8;Q9P2S4;Q13791;B2RC15;Q6LA97
IPI00021997,CREG1,-2.455,O75629;B2RDD4;Q8N9A3
IPI00022200,COL6A3,-7.276,Q8N4Z1;Q6MZG6;A8MT30;P12111;B7ZW00;B4E3U5;B7ZMJ7;Q59F25;Q16501;Q53QF6;Q53QF4;Q63HQ4
IPI00022246,AZU1,5.24,P80014;Q52LG4;P20160;Q86SR2;Q9UCT5;Q9UCM1
IPI00022255,OLFM4,4.688,Q6UX06;Q5VWG0;O95362;Q86T22
IPI00022395,C9,-2.781,P02748;Q9UGI4
IPI00023648,ISLR,5.622,O14498
IPI00023673,LGALS3BP,-1.403,Q9UCI0;Q7M4S0;Q9UCH9;Q9UCH8;Q08380
IPI00023824,FBLN2,2.69,Q9Y3V7;B7Z9C5;Q86V58;Q8IUI1;Q8IUI0;P98095
IPI00024284,HSPG2,1.17,Q2VPA1;Q9H3V5;Q5SZI3;Q5SZI5;Q8TEU3;Q59EG0;Q16287;P98160
IPI00024657,GZMA,-3.749,P12544;A4PHN1;Q6IB36
IPI00025204,CD5L,-2.458,Q6UX63;O43866;A8K7M5
IPI00025276,TNXB,-1.763,P22105
IPI00025465,OGN,-2.11,Q9UNK5;A8K0R3;P20774;Q9UF90;Q7Z4E0;Q7Z532;Q6FIB0
IPI00025864,BCHE,-3.254,A8K7P8;Q96HL2;P06276
IPI00026182,CAPZA2,-2.2,P47755;A4D0V4;Q53GE2;Q53GC7
IPI00026314,GSN,-1.539,A8MYN7;Q5T0H8;P06396;Q69YR8;B7Z373;Q5T0I0;A8MUD1;Q8WVV7;Q5T0I1;Q5T0I2;A2A418;Q5T0H7
IPI00026975,CD163L1,-3.996,Q9NR16;Q6UWC2;Q2M3B7
IPI00027192,PLOD1,5.457,Q02809;Q9H132;Q5JXB9;Q5JXB8;Q5JXB7;Q96AV9;Q9UL44
IPI00027201,MUC2,-1.699,Q99322;Q9UMI9;Q14884;Q14883;Q02817;Q9HBC6;Q14878;Q9HBC5;Q9HBC7
IPI00027444,SERPINB1,-2.314,Q9UDF8;Q53FB9;P30740;Q5W0E1;A8K5L2
IPI00027462,S100A9,5.032,P06702;Q9UCJ1;Q9NYM0;Q6FGA1
IPI00027497,GPI,-2.852,Q9BRD3;Q9BSK5;Q9UHE6;P06744;Q59F85
IPI00027509,MMP9,4.816,Q9Y354;Q9UCL1;B2R7V9;Q9H4Z1;P14780;Q8N725;Q9UCJ9;Q3LR70
IPI00027769,ELANE,3.678,P08246;Q6LDP5;P09649;Q6B0D9
IPI00027780,MMP2,4.391,B2R6U1;P08253;Q9UCJ8;Q2EF79
IPI00027846,MMP8,3.669,P22894;Q45F99
IPI00028064,CTSG,-2.293,Q9UCU6;P08311;Q9UCA5;Q6IBJ6
IPI00028908,NID2,3.997,Q14112;O43710;Q5CZI2;Q8IV28
IPI00028911,DAG1,-1.39,Q969J9;Q14118;A8K6M7
IPI00029260,CD14,1.007,Q96FR6;Q96L99;Q9UNS3;P08571;Q53XT5
IPI00029647,ZG16,-5.608,B9EK72;O60844;B2R4Z3
IPI00029658,EFEMP1,5.151,Q53TA7;A8K3I4;Q59G97;Q12805;Q580Q6;Q541U7
IPI00032292,TIMP1,2.627,Q5H9A7;P01033;Q14252;Q9UCU1;Q58P21;Q6FGX5
IPI00032293,CST3,-4.566,B2R5J9;Q6FGW9;P01034
IPI00045512,HMCN1,3.786,Q96SC3;Q96DN8;Q5TYR7;Q96DN3;Q96K89;Q96RW7;Q69YJ3;Q5TCP6;A6NGE3
IPI00045839,LEPRE1,3.169,Q9H6K3;Q9HC87;Q96SN3;Q96SL5;Q96SK8;Q68CW0;Q9HC86;Q96BR8;Q7KZR4;Q32P28
IPI00060423,CTHRC1,6.814,Q8IX63;Q96CG8;Q6UW91
IPI00103436,ITLN2,-2.834,Q17RR2;Q5VYI0;Q8WWU7
IPI00152418,CD55,1.222,P08174-6
IPI00168520,MATN2,-2.77,O00339;Q9NSZ1;Q7Z5X1;Q96AA0;Q8NDE6;Q96FT5;Q8N2G3;Q6UWA5
IPI00218725,LAMA2,-3.246,Q93022;Q59H37;Q5VUM2;Q14736;P24043
IPI00219219,LGALS1,1.479,B2R5E8;Q9UDK5;P09382;Q15954
IPI00259102,EPDR1,-1.262,Q9UM22;A4D1W8;Q96J80;A8K4C0;Q06BL0;Q99M77
IPI00260630,CCDC80,4.04,Q76M96;Q8NHY8;Q5PR20;Q8NBV1;Q6GPG9;Q8IVT6
