"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"Q6V1X1;Q6V1X1-3;Q6V1X1-5;Q6V1X1-2;C9JSG1;Q6V1X1-6;Q6V1X1-4","+","","+",-0.58,-0.04,-0.62
"Q86TI2;Q86TI2-4;Q86TI2-3","","+","",-0.31,0.75,0.44
"Q07507","+","","+",-3.42,0.05,-3.37
"Q12882","+","","+",-1.34,-0.94,-2.28
"Q9Y295","","+","+",0.35,0.46,0.81
"P55039;A8MZF9","+","","",-0.48,0.44,-0.04
"Q08554-2;Q08554","+","+","",-1.42,1.35,-0.07
"F8W7U2;Q02487;Q68DY8","+","+","",0.58,-1.12,-0.53
"Q9BVC3","","","+",0.7,0.74,1.44
"Q02413","+","+","",-1.76,1.72,-0.04
"Q14126","+","+","",1.77,-1.56,0.21
"P15924","+","","",0.72,-0.45,0.28
"E7ERU2;Q03001;E9PEB9;F8W9J4;E9PHM6;E7ERU0","+","+","",0.73,-0.69,0.04
"Q8TEA8","+","+","",-0.79,1.47,0.68
"Q86UW9;F5GX89;E7ET89;Q86UW9-2","","+","",0.61,-1.65,-1.04
"P23919","+","+","",-0.47,0.96,0.48
"Q9NRD8","+","+","",2.11,-2.41,-0.29
"Q1HG44","+","","",2.12,-2.19,-0.07
"Q6P1R4;F5H0Q0;H0YGW8","+","","",1.18,-0.12,1.06
"Q96G46;Q96G46-2","+","","+",1.2,0.54,1.74
"O75319;C9JYA6;C9JGC8;O75319-2","+","","+",1.54,0.25,1.79
"P51452;Q8IYJ9","+","+","",-0.74,0.91,0.17
"Q14204","","+","",0.28,-0.64,-0.37
"Q13409-2;F8W8S0;Q13409;Q13409-5;E7EV09;E7ETL8","+","+","",0.55,-0.95,-0.4
"O43237;B4DZP4","","+","+",-0.03,-0.9,-0.92
"A8K9T0;Q9ULG6;Q9ULG6-2;Q9ULG6-4;Q9ULG6-3","+","+","",0.74,-0.87,-0.13
"O00716;Q68DT0","","","+",0.39,1,1.39
"Q5JPH6","+","+","",-2.19,2.18,-0.02
"Q99848","+","","+",2.18,-0.43,1.76
"O60344;O60344-4","","+","",-0.65,1.56,0.91
"Q13011","+","","",-0.83,0.12,-0.71
"Q86YB7-2;Q86YB7;B7Z7N0;F5GWU3","","","+",-1.16,-1.08,-2.24
"P42126;P42126-2","","+","",0.4,-0.85,-0.45
"O75521;O75521-2;F1LLU7;C9JB63","+","+","+",-0.7,-0.95,-1.65
"Q9H8V3-3;Q9H8V3;G5E9L8;Q9H8V3-2","","+","+",0.63,2.04,2.67
"Q6P2E9;Q6P2E9-2","+","","+",0.48,0.16,0.63
"Q9BZQ6;B7ZLZ2","","","+",-0.76,-0.1,-0.85
"O43854;O43854-2","+","","",-1.16,0.16,-1
"Q15075","+","","",0.9,-0.28,0.61
"O75530-2;O75530;O75530-3;E9PJK2","","","+",0.34,0.53,0.87
"P68104;Q5VTE0;Q6IQ15;F8W6I0","+","+","",-0.69,0.65,-0.04
"E9PRY8;P29692-2","+","+","",-0.58,0.65,0.07
"O43324;D6RBD7;C9JLK5","","+","",-0.14,0.47,0.33
"P26641;B4DTG2","+","+","",-0.33,0.42,0.1
"P13639;B4DPU3;F5H370","+","+","",-0.43,0.57,0.14
"Q9BSW2-2;D7UEQ6;Q9BSW2","","+","+",-0.27,-1.46,-1.74
"O95967;E9PRU1;H0YET5","","","+",-0.98,-0.23,-1.21
"Q96C19","+","","+",-0.54,-0.08,-0.62
"P52799","","+","",0.3,-1.29,-0.99
"Q7Z2Z2;Q7Z2Z2-2","+","+","",0.48,-0.65,-0.18
"Q15029;B4DK30","+","","+",0.6,0.24,0.85
"P00533;E9PFD7;Q504U8;H0Y3N3;P00533-3;P00533-4","","+","+",0.19,-1.35,-1.16
"Q8N3D4;E9PIH6","+","+","",0.48,-1.03,-0.55
"Q9H4M9;F5H5B6;B4DZH9;C9JC03;C9J2Z4","+","","+",-0.95,0.17,-0.78
"Q9NZN4;F5H559;F5H1J1;B4DNU6;F5GXL2","+","+","+",-1.52,-1.16,-2.68
"Q9H223","+","","",-0.63,0.12,-0.51
"Q08426;B4DWG3;F5GWL9","","+","+",0.03,-0.69,-0.66
"Q9H9B1;Q9H9B1-3;Q9H9B1-4","+","","+",1.41,-0.15,1.27
"A2ABF9;B0UZY1;A2ABF8;B0UZY0;Q96KQ7;B0UZY3;Q96KQ7-2;H0YHA9;H0YIM0;A2BED7;A2BED6","+","","+",1.42,-0.13,1.29
"O14681;A6NES3;E9PS58;E9PM05;E9PL33","","+","",-0.85,1.74,0.9
"P19525;E9PC80;Q05CP4","","+","+",-0.34,1.3,0.96
"Q9UKV8;Q9UKV8-2","","","+",0.34,0.22,0.56
"P05198;G3V4T5;H0YJS4","","+","",-0.16,0.69,0.53
"P20042","","+","+",-0.24,0.69,0.46
"P41091;Q2VIR3;F8W810;Q2VIR3-2","","+","+",0.18,0.54,0.72
"B3KSH1;O00303;B4DMT5","","+","",-0.6,0.64,0.04
"Q7L2H7;B4E2Q4;H0YCQ8","+","+","",-0.7,0.9,0.2
"P60842","+","+","",-0.54,0.84,0.3
"Q14240-2;Q9NZE6","+","+","",-1.91,1.22,-0.69
"P38919","","+","+",-0.31,1.1,0.78
"P06730-2;P06730;D6RBW1;B7Z6V1","","+","+",0.07,0.33,0.4
"E7EUU4;G5E9S1","","+","+",0.15,0.42,0.57
"P78344;P78344-2;D3DQV9;H0Y3P2;H0YCH5","","+","",-0.18,0.57,0.39
"O60841","","+","+",0.21,0.73,0.94
"P56537;B7ZBG9","","+","+",0.36,1.18,1.54
"Q9H777","+","+","",1.78,-1.75,0.02
"Q9BQ52;B4DPL9;E9PGJ0;G5E9D5;E7ES68;Q9BQ52-3","","","+",0.27,0.32,0.59
"P08246","","+","",-1.16,3.31,2.15
"Q15717","","+","+",-0.03,0.89,0.86
"P19419","","","+",0.52,1.5,2.01
"Q92556;B4DJV6;Q92556-3","+","","+",-1.25,-0.16,-1.41
"G5E9D4;Q96EB1-2;Q96EB1;B4E3W0","","+","",0.74,-1.16,-0.41
"Q9ULC0;B4E347;Q9ULC0-2;D6RHW5","","","+",-0.94,-0.09,-1.03
"P50402;Q5HY57","+","+","",-0.45,1.15,0.7
"Q92979","+","+","+",0.65,0.7,1.35
"Q9Y6C2","+","","+",-1.19,-0.67,-1.86
"O95834-2;F5GYW5;C9JRL6","","+","+",0.07,-1.28,-1.21
"B7WPE2;Q32P44;Q32P44-2;H0Y3M3;G3V195;G3V1D0","","","+",-0.4,-0.41,-0.82
"O94919","","+","+",-0.13,-1.52,-1.65
"Q14249","+","","+",-1.38,-0.02,-1.4
"Q8NFI3","+","","",0.62,0.26,0.88
"Q9UHY7;F5GW88","","+","",-0.61,0.95,0.34
"Q7L5Y1;A6NMP3","+","","",-0.78,-0.26,-1.05
"Q9Y6X5","+","","",-1.36,1.01,-0.35
"G3XAF6;P49961-2;P49961;B7Z599;P49961-3;Q86VV3","","","+",-0.67,-0.45,-1.11
"O75356;G3V4I0","+","+","+",-1.17,-1.55,-2.72
"F5H1Q0;H0Y3D0;Q5QPI9","+","","+",1,0.63,1.62
"Q9NPA8;E5RHX8;G3V117;E5RJ84;E5RHT9;E5RI00","","+","",-0.36,0.85,0.5
"Q96L91;Q96L91-2;Q96L91-5;Q96L91-3;Q96L91-4","+","","+",1.32,-0.34,0.98
"Q9H4G0","+","","",0.57,-0.5,0.06
"O43491","+","","+",1.29,-0.53,0.76
"E9PHY5;E9PPD9;E9PK52;Q68DV2;E9PII3;B4DHI8","+","","",3.39,-1.58,1.81
"Q9Y2J2-2;A8K968;Q9Y2J2-3","+","","+",-1.77,-0.41,-2.18
"P21709","+","","",1.15,-0.98,0.17
"P29323;P29323-3;P29323-2;B1AKC9;A6NJM0;Q6NVW1","+","+","",1.22,-1.01,0.21
"P54753","+","+","+",2.03,-1.09,0.94
"P54760;Q96L35","+","","",1.3,-0.99,0.31
"P07099","+","","+",-1.33,-0.23,-1.56
"P34913;E5RFU2;B4E1M2;E5RFH6","","+","+",-0.38,-1.31,-1.69
"Q9H201;F6QWW5;E7EQK8;B4DIQ9;Q9H201-2;D6REL6;D6RFG3","","+","",0.39,-1.44,-1.05
"P58107","+","+","",0.81,-0.86,-0.04
"P07814;F5H7I7","+","","",0.44,0.04,0.48
"P42566;B1AUU8;P42566-2","","+","",0.3,-0.7,-0.4
"Q12929;F5H819;B4DX66","+","+","+",0.48,1.01,1.49
"Q96J88-3;Q96J88;Q96J88-2","","","+",0.56,0.86,1.42
"P11678","+","","+",-2.55,-0.07,-2.62
"O75616;O75616-2","+","","+",1.23,-0.2,1.03
"P04626-4;P04626;B4DTR1;P04626-2;P04626-3","","+","",0.29,-0.8,-0.51
"E9PCR8;Q96RT1;Q96RT1-2;E7EQW9;Q96RT1-3;Q96RT1-5;Q96RT1-7;Q96RT1-4;Q96RT1-6","+","","",1.15,-0.5,0.65
"P21860;P21860-4;B4DGQ7;P21860-5","+","+","",1.7,-1.49,0.21
"Q8IUD2;Q8IUD2-3;G8JLD3;G8JLM9;Q8IUD2-2;F5H185;Q8IUD2-4;G8JLA4;Q8IUD2-5;F5GZU8","+","","",0.98,-0.46,0.52
"P18074;A8MX75;E7EVE9;E9PM96;Q7KZU6","+","","+",1.27,0.2,1.47
"P19447;G3V1S1","","","+",0.57,0.83,1.39
"F8W7K7","+","","+",1.5,0.5,2
"Q03468;F5H493","+","+","",1.14,-0.66,0.48
"Q2NKX8;B5MDQ0","+","+","+",0.91,1.48,2.39
"Q969X5;Q969X5-2","","+","+",-0.44,-0.86,-1.29
"P84090;G3V279","","+","+",0.36,0.47,0.83
"Q8IV48","+","","",1.42,-0.41,1.01
"Q96DZ1;B5MC72;Q96DZ1-2","","","+",-0.6,-0.18,-0.77
"O75477;B0QZ43","+","+","",0.94,-0.95,-0.01
"O94905;E5RHW4;E5RJ09","+","+","",0.88,-1.44,-0.55
"Q76MJ5;E7ETG2","+","+","+",-0.84,-2.21,-3.05
"Q96HE7","","+","",-0.26,0.67,0.41
"P30040;F8VY02","","","+",-0.37,-0.36,-0.74
"Q9BS26","+","","",-0.61,0.38,-0.23
"Q9H501","+","","+",1.31,0.43,1.74
"Q9BSJ8;B3KY56","+","+","",0.7,-0.48,0.22
"P62495;B7Z7P8","","+","",-0.23,0.47,0.24
"P38117;P38117-2","","+","",-0.02,-0.53,-0.55
"Q16134;C9JT69","","+","+",-0.35,-1.19,-1.54
"O95571","+","","+",-1.02,-0.36,-1.38
"B7Z4A7;P34910","+","","+",-2.9,-0.55,-3.45
"Q9UI08-2;F5GX15;Q9UI08;B7Z3I5;H0YJN0","","","+",-0.43,-1.17,-1.6
"Q92817","+","+","",1.77,-1.29,0.49
"G5E947;Q9NVH0","","","+",-0.27,-0.2,-0.48
"Q9NV70;Q9NV70-2","+","+","",0.41,-0.51,-0.09
"Q96A65;B7Z321;F5H222;E9PED2","+","+","",0.68,-0.45,0.23
"Q8TAG9;E7EW84;F2Z2Q3;E9PHI3","+","","",0.58,-0.25,0.33
"Q9UPT5;Q9UPT5-6;Q9UPT5-5;Q9UPT5-1;Q9UPT5-2;F5H1P1;F8W6Q7","+","+","",0.35,-0.52,-0.17
"Q9Y3B2;B1AMU4;B1AMU7;B1AMU3","+","","+",1.04,0.06,1.1
"Q01780;Q01780-2;B4DKG8","+","","+",1.05,-0.26,0.79
"Q13868;A3KFL5;A3KFL2;B4DKK6;A3KFL4;A3KFL1","+","","+",1.42,0.02,1.44
"Q9NQT5;A8K0K6","+","+","+",0.65,0.57,1.22
"Q9NPD3;E9PI41","","+","+",0.45,0.7,1.15
"Q5RKV6","+","+","+",0.43,0.45,0.88
"Q15024","","","+",0.56,0.32,0.87
"Q96B26;Q5JXM0","","+","+",0.46,0.68,1.14
"Q06265-2;Q06265;D6RIY6;D6RA17","+","","+",0.92,0.12,1.03
"Q8NEV8-2;Q8NEV8;E7ENT4;E9PC93;E9PPH6;F5GXG5","","+","",0.31,-0.81,-0.51
"Q15910-2;Q15910;Q15910-4;Q15910-3;Q15910-5","","+","+",0.41,1.2,1.62
"B7Z5W1;Q9Y624;B7Z941","+","","",-0.5,0,-0.5
"P00748","+","","",0.95,0.42,1.37
"P00488;F5H080","+","","+",-2.66,-0.5,-3.16
"P00734;E9PIT3","+","+","",-1.16,1.3,0.14
"Q7L5A8","+","","",1.26,-0.49,0.77
"P12104","+","+","+",-1.24,-2.97,-4.2
"P15090","+","","+",-3.48,1.23,-2.26
"P51161-2;P51161","+","","+",3.37,0.8,4.17
"Q9BTL3","","","+",0.19,0.59,0.79
"Q96BN8","","+","",-0.58,1.15,0.57
"Q9H098-2;Q9H098;C9JW51;C9JQ40;C9J6N5;C9J3Q3;C9JP05","+","","+",-1.09,-0.5,-1.59
"Q6SJ93;Q6SJ93-2","","+","+",0.49,1.29,1.78
"Q8IWE2","+","+","+",-1.04,-0.93,-1.98
"Q9NRY5;E7ESJ7;B3KTE4","+","+","+",-0.76,-0.51,-1.27
"Q7Z309-2;Q7Z309;Q7Z309-3;Q7Z309-4;Q7Z309-5","","","+",1.53,1.05,2.58
"Q9BZQ8","+","","+",-1.56,-0.59,-2.15
"Q96TA1-2;Q96TA1","+","","+",-0.48,-0.16,-0.64
"Q96C01;E7EQY1","+","","",0.6,-0.12,0.48
"Q96A26;F8W7Q4;E9PH05","+","","+",-0.92,-0.55,-1.48
"Q9Y6X4;D6RB01","+","","+",2.01,-0.63,1.38
"Q6UWZ7;D6REL5","","","+",0.25,0.78,1.02
"Q8IYM0;B4DZ15;F8VRJ5","+","","",-2.39,1.31,-1.08
"Q9GZU8;F5GY57","+","","+",1,0.11,1.11
"C9JLW8","+","","",0.82,-0.89,-0.06
"P0CB43;Q9BTY7","","+","+",0.15,0.9,1.05
"Q9UK61;Q9UK61-3;Q9UK61-4","+","","",1.08,-0.7,0.38
"Q96ND0","+","","",-0.88,0.55,-0.33
"Q5SNT6;F5H046","+","+","",0.81,-0.61,0.21
"Q92520;C9JMN4;C9JP35","+","","",-0.46,-0.56,-1.02
"Q96BQ1","","+","+",-0.78,-2.4,-3.18
"Q14320;B0S8I6","+","","+",0.89,0.29,1.18
"Q6P444;E9PN39","","+","",-0.48,2.42,1.94
"Q8N323;Q8N323-2;F5H6W7","+","+","+",-1.37,-1.52,-2.89
"Q6UWF7","+","","+",-1.84,-0.16,-2
"Q8N5J2-3;Q8N5J2;Q8N5J2-4;Q8N5J2-2","+","","+",-0.88,-0.89,-1.77
"Q96LZ7;Q96LZ7-2;E2QRD6;Q96LZ7-4;C9JGB2;C9K0K8;Q96LZ7-3","+","","+",-1.03,-0.46,-1.49
"Q96DB5;B4DZW6;E7EVI2;E5RH53;H0YB83;H0YB03;H0YC67","","+","",0.15,-0.57,-0.43
"Q5T0W9","+","+","",0.68,-0.52,0.15
"Q2M2I3","","","+",-0.72,-0.98,-1.7
"Q96KN4","","+","",0.55,-0.89,-0.34
"Q9UBU6","+","","",0.59,-0.54,0.05
"Q658Y4;E7ER68","","","+",0.34,0.4,0.74
"Q9BXW9;Q9BXW9-2;Q9BXW9-3","","","+",0.48,1.09,1.57
"Q9NVI1;Q9NVI1-1;Q9NVI1-2;F8W7R3","","","+",0.86,1.28,2.14
"Q12884;B4DLR2","","","+",0.65,1.06,1.71
"O94887;O94887-2;F5GZ84","","+","+",0.17,-0.91,-0.73
"P25445;P25445-6;F5GWX3;F5H078","","+","+",-0.88,-2.64,-3.52
"P49327","","+","+",0.36,0.62,0.98
"Q9NYY8;Q9NYY8-2","","+","+",0.49,0.63,1.12
"Q14CZ7","","+","",0.09,1.35,1.45
"Q14517","+","","+",1.09,0.22,1.3
"B1AHL2;P23142-4","+","","",-1.49,0.99,-0.49
"P23142;P23142-3;F8W7M9;B1AHL4;P23142-2","+","","",-0.95,0.8,-0.14
"G3V4U0;Q9UBX5;G3XA98;H0YJ31","","+","+",-0.57,-1.23,-1.8
"Q9HCM7","+","","",1.12,-0.2,0.92
"Q96ME1-4;Q96ME1;F5H4Z4;Q96ME1-2;H0Y6I6","","+","",-0.38,1.23,0.85
"Q9UK22;A6NNP0","","+","",-0.59,2.47,1.88
"Q8NEZ5;Q8NEZ5-3","+","","",0.72,-0.13,0.59
"Q9Y3I1;Q9Y3I1-2;Q5TI86","","+","",-1.35,1.77,0.42
"Q9Y324;G3V1S4;G3V5S9","+","","+",0.99,-0.02,0.97
"Q9Y6R7","+","+","+",-1.67,-2.84,-4.51
"B4DHX5;E7EQC1;P22570;B7Z7G2;P22570-2","+","","",0.76,-0.5,0.26
"P22830-2;P22830","","+","+",-0.33,-1.21,-1.54
"P39748","","+","+",0.16,0.8,0.95
"P16591;P16591-2","","+","",-0.43,1.5,1.07
"Q2WGJ9","+","","+",-2.5,-0.16,-2.66
"Q9BQL6;F8W9F0;Q9BQL6-2;Q9BQL6-4","","+","+",0.52,0.99,1.51
"Q86UX7;Q86UX7-2;F5H1C6","","+","+",-0.53,-1.09,-1.62
"Q9UHY8-2;Q9UHY8;G3V0F5","+","","",-1,0.14,-0.86
"P02671;P02671-2","+","","",-0.86,0.31,-0.56
"P02675;B4E1D3","+","","",-0.8,0.75,-0.04
"F8VWL3;E9PJX4;B7Z493","+","+","+",-0.52,-0.69,-1.21
"O95684;O95684-2;E7ET71","+","","",0.71,-0.23,0.48
"P02679;P02679-2;C9JC84;C9JEU5","+","","",-0.92,0.69,-0.23
"Q96C11-3;Q96C11;B1AK94;F2Z2V1;Q96C11-4;Q96C11-2","","+","",1.62,-1.73,-0.11
"Q14314","+","","+",-0.82,-1.14,-1.96
"P07954;P07954-2","+","","",-0.65,0.19,-0.47
"B7Z5T4;B7Z5V0;Q5JXI2","+","+","+",-1.15,-2.18,-3.33
"Q13643","+","","",1.14,-0.01,1.13
"Q9Y613;B4DVN5","","+","+",-0.02,-0.81,-0.83
"Q96AY3;F5H1P8;F8WA23;H0Y827;Q9H6J3","","+","+",0.06,1.88,1.95
"Q5T1M5;Q5T1M5-2","+","+","",0.77,-1.33,-0.57
"P62942;Q5W0X3","+","","",-0.57,0.2,-0.37
"P26885;F5H0N4","+","","+",-1.61,0.16,-1.45
"Q13451;B7Z7Z8;F5H7R1;H0Y3A5","+","+","",-0.51,0.58,0.07
"O95302;B7Z1U8;B7Z230","","+","+",-0.07,1.29,1.22
"Q8NFF5;Q8NFF5-2;Q8NFF5-3;Q5T196","+","","",0.99,-0.3,0.69
"CON__P20930;P20930","+","+","",-1.4,1.27,-0.13
"CON__Q5D862;Q5D862","+","+","",-1.85,2.12,0.27
"Q13045;F5H407","+","","",0.39,-0.27,0.12
"B2ZZ83","+","+","",0.57,-0.9,-0.33
"Q14315;Q14315-2","+","","+",-1.22,-0.22,-1.44
"O75955;B4DVY7;B0V109;F8VSI6;A2AB09;B0V111;A2AB10;B0S8A9","+","+","",0.59,-0.64,-0.05
"E7EMK3;Q14254;E7EMK1","+","+","",0.75,-0.53,0.22
"P17948","","","+",1.32,1.92,3.24
"Q68DA7-5;Q68DA7;H0YM30","","+","+",-0.28,-1.18,-1.46
"O95466-2;O95466;F5H0J2","+","","+",-1.36,-0.01,-1.37
"Q96PY5-3;Q96PY5","","","+",0.29,0.27,0.56
"P49326;C9JJD1;Q8IV22;E9PJF3;E9PP51;E9PQ84","+","+","+",-2.04,-1.32,-3.36
"Q06828;F5H5M2","+","","+",-3.39,0.95,-2.44
"Q06787-6;Q06787-7;Q06787-4;G8JLE9","","+","+",0.23,0.89,1.11
"P02751;P02751-3;P02751-15;P02751-7;E9PE77;P02751-8;P02751-14;E7ERA1;P02751-11;P02751-5;F8W7G7;P02751-6;P02751-9;P02751-10;P02751-13;P02751-4;P02751-12","+","+","+",-0.81,2.3,1.49
"Q96RU3;Q96RU3-2;E9PGQ4;Q96RU3-3;Q96RU3-4;H0Y7W6;F2Z2U3","+","","+",-0.9,-0.68,-1.58
"Q5T0N5;Q5T0N5-5;Q5T0N5-2;Q5T0N5-4;Q5T0N5-3","+","","",0.74,-0.59,0.15
"Q8N3X1-2;Q8N3X1","","","+",0.77,0.24,1.01
"E9PCH4;Q8TEU7;E7EWD4;Q8TEU7-3;A3KN82;Q8TEU7-2;D6RE77;B7Z7Y1","","","+",0.89,-0.11,0.78
"Q9P278;Q9P278-2","","+","",1.29,-2.44,-1.15
"P14207;E7EU04;F5H3Z4;F5GZ45;F5H4Z6;F5GXV3","+","","+",-1.83,-0.06,-1.89
"P15408;P15408-3;C9JCN8;P15408-2","+","","+",0.98,0.36,1.34
"Q9UPW0;Q9UPW0-2;C9JVP0","+","+","",1.01,-1.17,-0.16
"P85037;F5H8G8;P85037-2","","+","+",0.28,1.07,1.35
"Q8IVH2;Q7Z7F8;B7ZBM3;Q8IW55","+","","",1.51,-0.28,1.23
"P42685;B4DY49","","+","",-0.66,1.23,0.57
"Q9BXM9;F8W946;Q9BXM9-2;B7Z3W5;C9JD05;Q8N450","+","","+",1.44,0.8,2.24
"P02794;G3V192;G3V1D1","+","+","",1.11,-1.63,-0.52
"P02792;F5H1X1","","+","",1.02,-1.54,-0.52
"Q9C0B1","+","","+",0.6,0.35,0.95
"Q8IY81","+","+","+",2.02,-0.68,1.34
"Q8IYT2","","","+",0.69,0.52,1.22
"Q8N1G2","+","","+",1.09,-0.02,1.08
"Q96I24;A6NJ37;Q96I24-2","","+","+",0.14,0.7,0.83
"P04066","+","","+",-2.52,-0.13,-2.66
"Q9BWH2","+","+","",-1.07,1.65,0.58
"P35637;P35637-2;E7EUX0;B4DR70;A6NMX6","","+","",0.25,0.75,0.99
"Q9BYC5;Q9BYC5-2","","+","",0.71,-0.94,-0.23
"P51114;P51114-2;E9PFF5","","","+",0.54,0.4,0.94
"B7ZKT7;Q9BQS8","+","+","",1.76,-1.74,0.02
"Q9UM11;Q9UM11-2;Q9UM11-3","","+","+",-0.05,1.27,1.22
"Q13283;F5H4D6;F8W7N6","","+","+",-0.26,1.28,1.02
"Q9UN86;Q9UN86-2;D6RFJ8","","+","",0.13,0.47,0.6
"P11413-2;P11413-3;P11413;E9PDV8;E7EUI8","+","+","",-0.59,1.06,0.47
"P10253","+","","",-0.96,0.19,-0.77
"Q13480-2;Q13480;B7Z3B9","","+","+",0.1,-1.07,-0.97
"B4E0Y7;Q9H0R8;F5GZY7","+","","",-1.12,0.58,-0.54
"P60520","+","+","+",-1.96,1.51,-0.45
"Q06546","+","","",0.94,-0.37,0.57
"Q8TAE8","+","","",0.99,-0.47,0.52
"O14976;E9PGR2","+","+","",0.37,-0.74,-0.37
"Q9H3Q3","","","+",-1.28,-0.95,-2.23
"Q96RP7;B4DWL8","","+","",0.21,-1.41,-1.21
"P54803;P54803-4;E7EPA4;P54803-3;F5H642;G3V255;G3XAI6","","+","",0.58,-1.69,-1.1
"Q96C23;F8WB82","","","+",-0.28,-0.51,-0.79
"Q8IXK2;Q8IXK2-2","+","","+",-1.52,-0.94,-2.46
"Q7Z7M9","","","+",-0.49,-1.01,-1.5
"Q8NCL4;F5H5H1","+","+","",1.35,-0.99,0.37
"Q86SF2;H0YAH3","","+","+",-0.24,-0.86,-1.1
"Q9H2C0","+","","",0.98,-0.39,0.6
"Q14697;F5H6X6","+","+","",-0.9,0.59,-0.32
"A8K0Y4;P17677","+","+","+",-2.86,-1.33,-4.18
"P04406;E7EU54","+","+","",-0.87,0.89,0.02
"Q9NY12;Q9NY12-2","","","+",0.43,0.62,1.06
"P41250","","","+",0.33,0.56,0.89
"P22102;B4DJ93","+","","+",0.45,0.15,0.6
"O60861;A8KAC2;H0Y751;O60861-1;O60861-2","","","+",-0.86,-0.89,-1.75
"B5MC40;Q86YP4;Q86YP4-2;B4DKZ7","+","","",0.64,0.03,0.67
"P50440;P50440-2;P50440-3","+","","",-1.46,0.71,-0.76
"A6NHX0;A6NNH0","","","+",0.49,0.57,1.06
"P04062;P04062-2;F5GYD8;F5H241","+","","",-0.81,0.29,-0.52
"F5H7P6;Q9HCG7;Q9HCG7-2;Q9HCG7-3","+","+","+",-0.91,-0.6,-1.51
"Q04446;E9PGM4;F5H378","+","","",-0.49,0.4,-0.08
"D6RAK8;D6RF35;D6RBJ7","+","+","",-1.03,1.23,0.2
"P28676;C9JIZ3","+","+","",-1.26,1.46,0.21
"Q8IWJ2;B8ZZW2","+","+","",1.43,-1.55,-0.12
"Q9Y5B6;Q9Y5B6-2","+","","",1.13,-0.17,0.97
"P16383;P16383-2","","+","+",-0.17,1.24,1.07
"P01275;A8MRR8","+","","+",-6.94,1.12,-5.82
"Q92616","+","","",0.33,-0.21,0.12
"Q02742","+","","",-0.85,0.13,-0.72
"Q9Y2T3;Q9Y2T3-2","+","+","",1.74,-2.45,-0.71
"Q99988","","+","+",0.07,1.58,1.65
"E7EU23;P50395;Q5SX88","+","+","",-0.44,0.32,-0.12
"P57678","","+","+",0.17,0.76,0.93
"Q8TEQ6","+","+","+",0.89,0.54,1.43
"Q7L5D6;Q7L5D6-2","","+","+",-0.02,1.08,1.06
"Q06210-2;Q06210","+","","",-0.9,0.56,-0.34
"Q6IC75;Q9UJY5;Q86YA9;Q9UJY5-2;B0QYR7;B0QYR6","","","+",-0.12,-0.72,-0.84
"Q9NZ52;Q9NZ52-2;G3V1K5;B7Z456","+","","",0.44,-0.33,0.1
"O75223;E7EU55;B8ZZN4","","+","",-0.46,1.15,0.69
"Q6GMP0;P36269;P36269-2;E7EUG3;B4DND4","+","","+",-2.16,-0.06,-2.22
"O75420","+","","",1.03,-0.45,0.58
"Q8WWP7","","","+",-0.77,-0.45,-1.22
"Q9NUV9;G5E9W9;B4DWN0","","","+",-1.02,-1.18,-2.2
"Q8NHV1","","","+",-0.66,-1.45,-2.12
"Q8ND71","","+","+",-0.25,-1.04,-1.29
"Q9Y248","","+","+",0.04,1.95,1.99
"Q9BRX5;E9PB21","","+","+",0.48,2.5,2.98
"Q9BRT9;E5RFF9","","+","+",-0.12,2.43,2.32
"A6NJP5;P32189-1;P32189;P32189-2;F8W7S9;Q14409","","+","+",0.46,1.4,1.85
"P06280","","+","",-0.78,1.54,0.77
"Q9H4G4;A6NKU3;Q5VZR0","+","+","+",-0.95,-1.69,-2.64
"Q04760;Q04760-2","","","+",0.46,0.4,0.85
"O76003","","+","+",0.17,0.79,0.96
"Q8NBJ5","","+","+",-0.01,0.83,0.82
"Q9NZD2;F5H0U5","+","","+",-0.98,-0.52,-1.5
"Q5TA50","+","","+",-2.02,0.24,-1.78
"Q9NZM5;F8WDM9;B4DVK1","","","+",0.88,0.49,1.38
"P17900;H0YBY3","+","+","",-1.46,0.98,-0.49
"O60547;E9PI88","","+","+",0.3,-1.26,-0.96
"E7EWZ9;P60983;G3V4P8","","+","",0.32,-0.83,-0.51
"O60234","+","","",-1.09,-0.19,-1.29
"Q96IJ6-2;Q96IJ6","+","","+",-1.38,-0.11,-1.48
"Q9Y5P6;Q9Y5P6-2","+","","+",-1.06,-0.46,-1.52
"Q9P2T1-2;Q9P2T1;H0YLV5;H0YMB3;H0YNJ6;Q6PKC0;Q86T14","","","+",-0.17,-0.33,-0.5
"P49915;B4DUT7;F8W720","+","+","+",0.45,0.71,1.16
"P29992","+","","+",-0.83,0.08,-0.75
"Q14344;F8W818","+","","+",-0.61,0.02,-0.59
"P63096;B4E2V1","","+","+",-0.14,-1.48,-1.62
"P04899;F5H4U5;B3KTZ0;B4DYA0;B4E2X5;F5GZL8","+","","+",-0.58,0.03,-0.56
"P08754","","+","",0.3,-0.72,-0.42
"P50148","","+","+",0,-0.96,-0.96
"Q5JWF2;A6NI00;P63092","+","+","",0.72,-0.58,0.14
"Q9BYB4;Q9BYB4-2","","","+",0.31,1.22,1.54
