"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"P55263;B7Z783;P55263-2;B7Z800","","+","+",-0.06,0.75,0.69
"Q9H2P0","+","+","+",0.85,0.61,1.45
"Q96SZ5","","+","+",0.47,0.67,1.13
"Q16186;E9PEC0","","+","+",-0.28,0.74,0.45
"P30520","+","","+",0.92,0.03,0.94
"Q8IUX7;Q8IUX7-2","","+","+",0.07,1.72,1.79
"Q08117;Q14CJ1","+","","",-2.81,1.72,-1.08
"E9PDT7;Q8N556","+","+","",1.8,-1.57,0.23
"Q8N4X5-4;H0Y3K9;Q8N4X5-2","+","+","",1.65,-2.32,-0.67
"Q9Y4W6;Q8TA92","","+","+",-0.15,-0.67,-0.82
"Q63HM1-2;Q63HM1;E7EMT3;B8ZZB1;B8ZZ62;F8WB15;B8ZZP1","","+","+",0.1,-1.38,-1.29
"Q6ULP2;Q6ULP2-4;Q6ULP2-2;Q6ULP2-5;Q6ULP2-3;B8ZZI9","","+","",0.39,-0.65,-0.26
"O95081;O95081-2","","+","",0.09,-0.8,-0.71
"P35573;P35573-3;P35573-2","","","+",-0.04,-0.48,-0.52
"O15120;O15120-2","","","+",0.8,1.02,1.82
"O95994;B5MC07;C9J3E2","","+","+",-0.45,-1.61,-2.06
"Q8TD06;B5MC62","","+","+",-0.96,-2.34,-3.3
"Q8IUZ5","+","","+",-1.04,-0.7,-1.75
"Q8WYP5-2;Q8WYP5","+","","+",1.53,-0.48,1.05
"P23526","","+","+",-0.19,1.31,1.12
"Q96HN2;Q96HN2-2;H0Y8B3;D7UEQ7;B4DIZ5;D9N155","+","+","+",-0.86,-0.49,-1.35
"Q09666","","+","+",0.3,-1.69,-1.4
"O95433;B4DUR9;H0YJG7;G3V438","","","+",0.14,0.45,0.59
"F5H0Q5;P02765;C9JV77","+","","",-1,0.91,-0.1
"P55008;Q5STX8","","+","+",-0.55,-1.41,-1.95
"Q9Y4K1","+","","",1.04,-0.38,0.66
"Q12904-2;Q12904;B4DNK3","+","","+",0.37,0.03,0.4
"O00170;E9PPD7;E9PMH2","+","","+",0.64,0.12,0.76
"Q92667;Q92667-2","+","","",0.43,0.12,0.55
"Q02952;Q02952-2;Q02952-3","+","","+",-1.93,-0.53,-2.46
"Q12802-2;Q12802;Q12802-4;H0Y4V5;H0YMW2","+","+","",0.51,-0.8,-0.3
"Q02040;Q02040-3;Q02040-2","+","","",1.09,-0.1,0.99
"P24588","","+","+",-0.75,-1.84,-2.59
"O43687;O43687-2","","","+",-0.71,-1.77,-2.48
"Q9ULX6","","","+",0.77,0.58,1.35
"Q99996-6;Q99996;Q99996-2;Q99996-3;F5H3X5;Q99996-5","+","+","",1.44,-1.5,-0.06
"Q7Z591;Q7Z591-2;Q7Z591-7;Q7Z591-3;H0Y3M1;Q7Z591-8","","","+",-1.38,-0.23,-1.62
"P14550","","+","+",-0.12,-0.68,-0.8
"P15121;E9PCX2","+","","+",-1.52,0.5,-1.02
"O60218","","+","+",-0.46,-2.54,-3
"Q04828;H0Y804;A6NHU4","+","","",-1.7,0.35,-1.35
"P42330","+","","",-1.34,0.21,-1.13
"O43488","","","+",-0.31,-0.34,-0.65
"O95154","","+","+",0.35,-1.31,-0.96
"P31749;B7Z5R1","+","","",0.56,-0.44,0.12
"P13716-2;P13716","+","","",-1.28,0.48,-0.8
"P54886-2;P54886","","+","+",0.2,0.64,0.83
"P00352;E7ER57;H0Y4S2","+","","",-0.86,-0.5,-1.36
"O94788;F5H2Y9;F5H3R1;H0YMG7;H0YM00;O94788-2","+","+","",-1.73,2.88,1.16
"P47895;E7ENA1;H0Y2X5","+","","",-1.14,0.45,-0.69
"O75891;E9PBX3","","+","+",-0.07,-2.27,-2.34
"Q3SY69","+","","+",-1.94,-0.09,-2.03
"H0Y3F3;P30838;E7ERM4;E9PNN6;C9JMC5;A8MYB8;C9JKT2","","+","",0.42,-2.54,-2.12
"P51648-2;P51648","","+","",0.1,-0.76,-0.66
"P30038;B4DGE4;D2D4A3","","","+",0.51,0.75,1.26
"Q02252;G3V4Z4","","+","+",-0.56,-1.09,-1.65
"P49189;B4DXY7","+","","",-0.35,-0.14,-0.49
"P04075","+","+","",-0.67,0.83,0.16
"P09972;A8MVZ9;B7Z1N6;B7Z3K7;C9J8F3","","+","",-0.18,1.12,0.94
"Q9NP73-2;Q9NP73;D6RE84","+","","+",-1.36,-0.01,-1.37
"Q9H553;Q9H553-2","+","","+",-1.19,0.45,-0.74
"Q9Y673;Q9Y673-2","+","","",-0.89,0.33,-0.57
"Q96Q83;E9PSA5;E9PN35;Q96Q83-2","","+","",-0.44,0.94,0.5
"Q9NXW9","+","","",-0.71,0.76,0.05
"F5H0G8;P16050","","+","+",-0.49,-2.12,-2.61
"P09917;B7ZLS0","","+","",0.41,-1.42,-1.01
"P20292","+","","",-1,0.83,-0.17
"P02760;B7Z8R6","","+","",-0.7,1.11,0.41
"Q9BXJ7;B3KP64","+","","",-1.1,0.4,-0.7
"Q4VCS5","","","+",1.05,0.1,1.15
"A0AUX0","","+","+",-0.02,-0.69,-0.71
"P48728;B4DJQ0;E9PBG1;H0Y695;P48728-2;B3KRJ7;B4DGG9","","+","",0.45,-1.07,-0.63
"Q9H1A4;H0Y564","","","+",0.75,0.22,0.97
"P03950","+","","+",-1.88,0.07,-1.81
"P16157-14;E7EVE3;P16157-12;P16157;P16157-3;P16157-16;P16157-5;P16157-8;P16157-10;P16157-21;P16157-15;P16157-13;P16157-4;P16157-7;P16157-6;P16157-9;P16157-11;E7EVX7;P16157-2;H0YBS0","","+","",0.97,-1.35,-0.38
"Q12955","","+","",0.33,-0.63,-0.3
"Q8IV38;G3V0G5","","+","+",0.1,-0.79,-0.69
"Q8IZ07;H0YIN8;E9PGV0","+","","+",-0.43,-0.42,-0.85
"Q8N8A2;Q8N8A2-2;Q8N8A2-4;Q8N8A2-3;F5H682","+","","+",-0.94,-0.12,-1.06
