IPI.number,UniProt,Ratio..cancer.normal.
IPI00293276.9,P14174,9.95
IPI00399234.3,Q16280;B3KXY3;A0AVD0,6.91
IPI00304925.3,Q9UQC1;P08107;Q5JQI4;Q59EJ3;Q5SP17;Q9UQL9;B3KTT5;P19790;Q9UQM0;A8K5I0,4.89
IPI00218200.7,Q53HT6;Q96CF0;B3KQ79;P51572;Q13836;Q53G72,4.72
IPI00018465.1,B7Z4Z7;Q6FI26;B7Z4T9;B7WNW9;Q6IBT3;A8MWI8;A8K7E6;Q99832;Q53HV2;O14871,4.57
IPI00216308.4,B3KVK4;Q9UPL0;Q5FVE7;Q9UIQ5;P21796,4.55
IPI00023004.6,Q9BS77;O14602,4.39
IPI00220642.6,O70457;Q9UDP2;P35214;Q6FH52;Q9UN99;P61981,4.35
IPI00555692.2,P09525,4.19
IPI00010896.2,O00299;Q502X1;Q53FB0;Q15089;Q5SRT3,4.12
IPI00550363.2,Q9BUH5;Q6FGI1;Q5JRQ6;Q5JRQ7;P37802;Q9H4P0,4.05
IPI00604620.3,Q8NB06;Q9UCF0;Q53SK1;B3KM80;Q9UDG1;Q9BQ02;Q6ZS99;P19338,3.85
IPI00026167.2,Q6FHM6;P55769;C9J9R8,3.75
IPI00216318.5,Q4VY19;Q9Y649;A8K9K2;P31946;Q59EQ2;Q4VY20,3.71
IPI00220362.4,P61604;O95421;Q53X54;Q9UDH0;Q04984;Q9UNM1,3.7
IPI00007765.5,B2RCM1;P31932;Q53H23;Q9BWB7;P30036;Q8N1C8;Q9UC56;Q2F839;Q6GU03;Q1HB43;P38646,3.56
IPI00027463.1,P06703;Q5RHS4,3.56
IPI00216319.3,Q9H4N8;Q04917,3.55
IPI00005198.2,Q9BWD4;Q12905;Q7L7R3;B2R8G7;A6NDB0;Q5SR11;Q5SR10;Q9P1N0;Q53FG3,3.37
IPI00025512.2,Q9UC31;B2R4N8;Q9UC34;Q9UC35;Q6FI47;Q9UC36;Q96C20;P04792;Q96EI7,3.21
IPI00022649.3,P55011;Q8N713;Q8WWH7;Q53ZR1;Q59GB7,3.16
IPI00397864.3,NA,3.14
IPI00472102.3,P10809,2.97
IPI00410714.4,Q96KF1;P69905;Q9NQT3;Q9BX83;Q1HDT5;Q6J1Z9;P78461;Q9UCM0;Q7Z6G4;Q86YL2;Q9NYR7;Q7Z7B4;Q3MIF5;P01922;Q96T46;Q53F97;Q86YQ5;Q86YQ4;Q4ZGM8;Q86YQ1,3.08
IPI00171087.7,Q8N5C6;Q53T56;Q9NW11;Q96TA4,3.07
IPI00031804.1,Q9UIS0;Q9Y277,3.04
IPI00016513.5,Q6IA52;Q9UL28;Q53T70;Q9D7X6;P61026;Q53SX4;O88386;Q9H0T3,3.03
IPI00006510.1,Q9H4B7,3
IPI00184195.2,NA,3.12
IPI00008433.4,B2R4T2;Q96BN0;Q53G25;P46782,2.98
IPI00029048.2,Q9UGU3;Q20WK5;Q14166;Q9BR23,2.94
IPI00013860.3,Q546Z2;P31937;Q9UDN3,2.78
IPI00007188.4,P05141;Q6NVC0;O43350,2.76
IPI00018146.1,P27348;Q53S41;Q5TZU8;Q9UP48;Q567U5;Q53RR5,2.74
IPI00002520.1,Q53ET4;O00740;Q5BJF5;Q8N1A5;B4DJQ3;P34897;Q5HYG8;B7Z9F1,2.73
IPI00218448.4,P0C0S5;Q6I9U0;B2RD56;P17317,2.68
IPI00102165.3,Q9NV63;Q9BTM1,2.68
IPI00298363.2,Q92945,2.6
