IPI.number,UniProt,Ratio..cancer.normal.
IPI00647012.2,P0DMV8,2.57
IPI00167368.2,Q8N870;Q6P2D5;Q9P166;Q8N5J3;Q8N352;Q5VSP9;A4FU51;Q96AH6;Q9H6N3;B0QZ59;Q6N069,2.52
IPI00465430.5,NA,2.52
IPI00067659.1,NA,2.5
IPI00009901.1,P61970;P13662;B2R4G7;Q6IB67,2.5
IPI00788181.1,NA,2.41
IPI00218097.3,Q86WC7;Q86WC8;Q3KQU8;Q7Z5Q8;O60271;O60905;Q96II0;Q3MKM7;A6H8U5;Q8IZX7;Q5JB53;Q9H811;A6NJ20;Q719J0;A8MSX0,2.4
IPI00444262.1,Q8NB06;Q9UCF0;Q53SK1;B3KM80;Q9UDG1;Q9BQ02;Q6ZS99;P19338,2.36
IPI00215884.4,Q13809;Q07955;Q59FA2;B2R6Z7,2.36
IPI00154668.5,Q9NV15;Q53TJ2;Q567U6;Q9H6R5;Q4LE78;Q8TBX5;A8K3V7;Q4ZG73,2.35
IPI00013079.2,Q53SY9;Q9UG76;Q96IH6;Q9Y6C2;A5PL03;Q96G58,2.34
IPI00759644.1,P62942,2.33
IPI00735531.1,NA,2.32
IPI00513791.2,Q9C092;Q96NI0;Q00M63;Q6ZV32;Q96N67;Q5T1C0;Q45RE9;Q45RE8;Q96NG6;Q8TB82;Q5T1B9;Q2PPY7,2.32
IPI00009150.1,NA,2.26
IPI00010402.2,Q9H299;Q5T122;Q86Z22,2.2
IPI00453473.5,Q6FGB8;Q6DRA9;P02304;Q6NWP7;P02305;B2R4R0;A2VCL0;Q6B823;Q0VAS5;P62805,2.18
IPI00008575.3,Q6PJX7;Q99760;Q07666;Q8NB97,2.17
IPI00021828.1,P04080;Q76LA1,2.16
IPI00014424.1,Q05639;P54266;Q0VGC7;Q59GP5;B5BUF3,2.14
IPI00010720.1,Q9BU08;Q96GI1;P48643;Q9HB74;A8JZY8,2.12
IPI00219005.2,Q9UCV7;Q9UCP1;Q02790,2.12
IPI00305031.6,Q6ZNU2;Q96S68;P15391;Q71UW0;Q9BRD6;A0N0P9,2.09
IPI00455457.4,NA,2.09
IPI00255145.5,NA,2.08
IPI00298743.4,Q13467;Q53R22,2.06
IPI00414127.3,P43487;Q53EY3,2.06
IPI00171134.5,Q9ULK8;Q6DCA5;Q6PAV0;Q581G3;Q9UI01;A1IGE7;Q86YH1;Q5HYD0;Q7Z339;Q7Z3C5;Q3V6T2;Q9NW05;Q53SF1,2.05
IPI00418497.1,Q96FJ5;Q96GY2;Q0VAB1;Q3ZCQ8;Q330K1;Q6QA00;Q9H370,2.01
IPI00216071.2,Q0VDE3;Q05315;C5HZ13,0.49
IPI00217966.7,Q6ZNV1;Q6IBM7;B4DKQ2;A8MXQ4;P00338;B7Z5E3;Q9UDE8;Q53G53;Q9UDE9,0.49
IPI00018783.1,Q9BYX0;Q9BYN1;Q5JWH4;B2BCH7;A4UIM5;Q5NT82;Q8WWI0;O14878;Q9BY32;Q9H3H8,0.49
IPI00016321.2,Q6UX41;B7Z5B1;A4QMZ8;Q9H730;B7Z409,0.49
IPI00442073.5,B4E2T4;Q6AWD1;Q6ZMS3;Q59EQ5;Q9BTA4;Q6AI18;Q5U0J2;P21291,0.48
IPI00747752.1,Q6GMW3;Q8N5F4;Q5NV69;Q5NV84;Q5NV63;Q8N355;Q6GMW4;Q5NV81;P80423;Q6PJR7;A0M8Q4;Q6IN99;Q8TCJ5;Q567P1;Q5FWF9;Q6IPQ0;Q96SB0;Q6NS95;Q5NV74;Q6GMX4;Q6GMX3;Q6PIK1;Q8NEJ1;Q6PIQ7;P01842,0.48
IPI00023598.2,Q969E5;P04350;B3KQP4,0.48
IPI00072955.2,Q96RY5,0.47
IPI00008934.1,P54868;B7Z8R3;Q6IBF4;Q5SZU2,0.46
IPI00012493.1,P60866;B4DW28;B2R4F4;P17075;Q5M8S9,0.46
IPI00395769.2,A8KA31;Q6I9V2;Q8TAS0;Q96AS8;Q5VYP3;P36542,0.46
IPI00022228.2,Q9UCY3;Q2HJC8;Q9P1C0;Q53QU2;Q6ZN49;Q5HYC5;Q6ZS03;Q96CF6;Q00341,0.45
IPI00012303.1,B4DKP6;Q9H8A8;Q96GX7;A6NML9;Q49AQ8;B2RDR3;Q13228,0.45
IPI00553177.1,Q9P1P0;Q5U0M1;Q9UCE6;Q9UCM3;Q2L9S7;Q96BF9;B2RDQ8;Q9P173;Q13672;A6PX14;Q53XB8;P01009;Q86U18;Q7M4R2;Q0PVP5;Q96ES1;Q86U19;Q3I0J7;Q13747,0.45
IPI00293853.3,Q5VZP6;Q99795,0.44
IPI00217185.1,Q15413;Q15412;O15175,0.44
IPI00430820.1,P01602,0.44
IPI00010099.1,Q9NZN0;Q2M3U3;Q9NP60,0.43
IPI00015671.3,Q4QQJ5;Q9H6Z0;B4DKL2;A6NHL2,0.43
IPI00007321.1,O43202;Q6IAQ1;O75608;Q9UQF9,0.42
IPI00147874.1,Q9NR45;B2RE98;Q8WUV9;Q9P0B2;Q9NVD4;Q9BWS6,0.39
IPI00215780.4,B0ZBD0;Q8WVX7;P39019,0.38
IPI00016862.1,P00390;Q9NP63;Q7Z5C9;Q03504,0.39
IPI00031410.1,Q4LE76;Q9Y4I3;Q5TER1;Q6LE87;Q96QW8;P42345;Q96QG3,0.39
IPI00028888.1,Q14100;Q14101;Q14102;Q4W5A1;Q12771;Q9UCE8;Q9UCE9;A8K9J2;Q14103;Q01858;P07029,0.39
IPI00008438.1,P46783;Q5TZC0;B2R4E3;Q59GE4;Q14489,0.38
IPI00796600.1,Q9BX98;Q8WYN8;Q6LDU5;Q5U5U6;Q91888;P02249;Q9BQ77;Q91887;B2RDW1;P02248;Q29120;Q9UPK7;Q9UEK8;P14798;P62979;P62988;Q9BWD6;Q6LBL4;P02250;Q9UEF2;Q7Z4P3;Q3MIH3;Q9UEG1,0.38
IPI00792693.1,Q9UKH1;Q6IBR1;O14744;A8MZ91;B5BU10,0.37
IPI00215804.4,NA,0.37
IPI00217469.2,Q3MJ34;Q02539,0.37
IPI00217467.2,P10412;A3R0T8;Q4VB24;Q4VB25,0.37
IPI00022793.4,Q9H3F5;O14969;Q53TA6;P55084;Q9T2V8;B2RB16;Q96C77,0.36
IPI00060143.1,Q547G2;Q96BQ1,0.36
IPI00009407.7,P61803;O08552;Q6FGA3;P46968;P46966;Q53G02;Q96GB7;O70364,0.36
IPI00396174.4,Q9NV98;Q0VGD4;Q7Z5U5;Q0P663;Q96SI2;Q6PK69;Q86WR0,0.36
IPI00009822.1,B4DUW6;P61011;P13624;B2R759,0.35
IPI00383046.3,Q8TED6;Q96DG6,0.35
IPI00031045.3,P60981,0.34
IPI00020986.2,P51884;Q96QM7;Q53FV4;B2R6R5,0.33
IPI00478114.2,NA,0.33
IPI00221093.6,P08708;B2R4U4,0.33
IPI00414603.3,NA,0.33
IPI00473014.4,Q5W166;B2R6N2;P18282;Q6IAW2;P60981;B4DYA6,0.33
IPI00478733.1,NA,0.31
IPI00009750.1,P56470;Q6FHZ4,0.31
IPI00304962.3,Q7Z5S6;Q16511;Q9UEB6;Q14038;Q15947;Q15177;Q9UMM6;Q7KZ71;P08123;Q9UML5;Q9UM83;P02464;Q9UPH0;Q14036;Q9UEF9;Q13997;Q14057;Q13998;Q75N18;Q9UMI1;Q16480;Q13897,0.31
IPI00152584.1,Q8TE09,0.31
IPI00017926.1,NA,0.31
IPI00382751.1,P20231;Q6B051;Q9UQI1;Q6NZY1;Q86TM8;Q9UQI7;P15157;Q9UQI6;O95827;Q9H2Y4;Q15664;Q6B052;Q15663;Q96RZ7;Q6FHB8;Q9H2Y5;Q96RZ6;Q15661;Q86UA5,0.3
IPI00009790.1,Q01813;Q49A78;Q5VSR8;Q5VSR7;Q5VSR6;Q5VSR5;Q8WTZ9;B3KS15,0.3
IPI00413826.2,NA,0.3
IPI00141938.4,A6NFA8;Q71UI9;Q6PK98;A8MQC5;A6NN01;A6NKY0;Q59GV8,0.28
IPI00219037.5,Q6IAS5;Q4ZGJ7;P16104,0.28
IPI00000848.4,Q1RMF8;Q96JY8;Q9BYE2;Q9BYE1;Q86YM4,0.28
IPI00027201.1,Q99322;Q9UMI9;Q14884;Q14883;Q02817;Q9HBC6;Q14878;Q9HBC5;Q9HBC7,0.28
IPI00152409.1,A4D120;Q8TD06,0.27
IPI00007427.2,O95994;Q4JM46;Q4JM47;Q53G64,0.27
IPI00013809.1,A6NNB8;O75430;Q9BV63;Q59FU9;O15308;A8MWD7;O43708;Q7Z610;A6NED0;Q6IB17,0.27
IPI00787105.1,NA,0.27
IPI00171438.2,NA,0.23
IPI00020131.1,Q8NIA3;Q9UKX9;Q59GG9;Q53SF8;A8K2G3;Q07889,0.23
IPI00019449.1,Q9UCG7;Q52M39;P10153;Q9H2B7,0.2
IPI00012912.1,Q5SW68;B2R6S0;Q53G79;P23786;Q9BQ26,0.19
IPI00215983.2,P00915,0.19
IPI00218414.4,Q96ET9;Q6FI12;B2R7G8;P00918;Q6LD99,0.18
IPI00074957.1,A8K5S0;Q8WWY4;Q9UFE2;Q9BV14;Q96KS0,0.17
IPI00423462.5,Q96DK0;Q9UP60;P01876;Q8NCL6;Q96K68;Q6ZW64;Q6ZW65;Q8WY24,0.15
IPI00166866.3,P01876,0.15
IPI00216271.4,Q01968,0.15
IPI00015911.1,Q59EV8;B2R5X0;Q8WTS4;Q14131;P09622;Q14167,0.08
