"Gene name","Entry","Entry name","Adenoma","stage I","stage II","stage III","stage IV"
"FLNA","P21333","FLNA_HUMAN",0.696,1,1.8,1,0.569
"PAFAH1B3","Q15102","PA1B3_HUMAN",1,1,1.8,1,1
"TPM4","P67936","TPM4_HUMAN",1,1,1.8,1,1
"BGN","P21810","PGS1_HUMAN",0.505,1,1.79,1,0.61
"DES","P17661","DESM_HUMAN",0.336,0.477,1.79,0.538,0.391
"MX1","P20591","MX1_HUMAN",1,1,1.79,1,1
"SERPINH1","P50454","SERPH_HUMAN",1,1,1.79,1.549,1
"HSD17B10","Q99714","HCD2_HUMAN",1,1,1.77,1,1
"SLC2A1","P11166","GTR1_HUMAN",1,1,1.77,1.477,1
"CEACAM5","P06731","CEAM5_HUMAN",1,2.954,1.75,2.901,1
"PGM5","Q15124","PGM5_HUMAN",1,1,1.75,0.637,1
"GPX3","P22352","GPX3_HUMAN",1,1,1.72,1,1
"FBLN5","Q9UBX5","FBLN5_HUMAN",1,1,1.71,1,1
"BXDC1","Q9H7B2","RPF2_HUMAN",1,1,1.7,1,1
"HIST1H3A","P68431","H31_HUMAN",1.498,1,1.7,1,1
"PDLIM4","P50479","PDLI4_HUMAN",1,1,1.7,1,1
"CYB5B","O43169","CYB5B_HUMAN",1,1,1.69,1,1
"ACTN1","P12814","ACTN1_HUMAN",1,1,1.68,1.324,1
"ELN","P15502","ELN_HUMAN",0.365,1,1.68,0.657,1
"HMGB1","P09429","HMGB1_HUMAN",1,1.395,1.68,1,2.08
"DPY30","Q9C005","DPY30_HUMAN",1,1,1.66,1,1
"EMILIN1","Q9Y6C2","EMIL1_HUMAN",1,1,1.66,1,1
"AIFM1","O95831","AIFM1_HUMAN",1,1,1.65,1,1
"CALD1","Q05682","CALD1_HUMAN",1,1,1.64,1,0.555
"POSTN","Q15063","POSTN_HUMAN",0.621,0.521,1.64,0.56,0.467
"HSPB1","P04792","HSPB1_HUMAN",1,1,1.63,1,1
"ILK","Q13418","ILK_HUMAN",1,1,1.63,1,1
"TUBB6","Q9BUF5","TBB6_HUMAN",1,1,1.61,1,1
"CSE1L","P55060","XPO2_HUMAN",1,1,1.59,1,1
"DPEP1","P16444","DPEP1_HUMAN",1,1,1.59,1.824,1
"TGFB1I1","O43294","TGFI1_HUMAN",1,1,1.59,1,0.699
"IPO5","O00410","IPO5_HUMAN",1,1,1.58,1,1
"FERMT2","Q96AC1","FERM2_HUMAN",1,1,1.57,1,1
"FLNC","Q14315","FLNC_HUMAN",0.648,1,1.57,1,0.59
"GTF2I","P78347","GTF2I_HUMAN",1,1,1.56,1,1
"CALU","O43852","CALU_HUMAN",1,1,1.54,1.445,1
"NUP93","Q8N1F7","NUP93_HUMAN",1,1,1.54,1,1
"PRKG1","Q13976","KGP1_HUMAN",1,1,1.54,1,1
"ZYX","Q15942","ZYX_HUMAN",1,1,1.54,1.496,1
"BCAT2","O15382","BCAT2_HUMAN",1,1,1.53,1,1
"MYH11","P35749","MYH11_HUMAN",0.339,0.373,1.53,0.669,0.354
"MYH10","P35580","MYH10_HUMAN",1,1,1.52,1,1
"PHGDH","O43175","SERA_HUMAN",1,1,1.52,1,1
"PLG","P00747","PLMN_HUMAN",0.579,1,1.52,1,1
"SORD","Q00796","DHSO_HUMAN",1.537,1.658,1.52,1,1
"ACAD9","Q9H845","ACAD9_HUMAN",1,1,1.51,1,1
"HSPE1","P61604","CH10_HUMAN",1.511,1.341,1.5,1,1
"NOL5","Q9Y2X3","NOP58_HUMAN",1,1,1.5,1,1
"PEA15","Q15121","PEA15_HUMAN",1,1,1.5,1,1
"RPS4Y2","Q8TD47","RS4Y2_HUMAN",1,1,1.5,1,1
"LYPLA1","O75608","LYPA1_HUMAN",1,1.57,1.49,1,1
"RAB31","Q13636","RAB31_HUMAN",1,1,1.49,1,1
"RCC2","Q9P258","RCC2_HUMAN",1,1,1.49,1.408,1
"TUBA1A","Q71U36","TBA1A_HUMAN",1.272,1,1.49,1,1
"ANXA5","P08758","ANXA5_HUMAN",1,1,1.48,1,0.772
"DEFA3","P59666","DEF3_HUMAN",1,1,1.48,1,1
"NPM1","P06748","NPM_HUMAN",1.556,1.292,1.47,1.705,1
"PARP1","P09874","PARP1_HUMAN",1,1,1.47,1,1
"PLOD3","O60568","PLOD3_HUMAN",1,1,1.47,1,1
"NOL5A","O00567","NOP56_HUMAN",1,1,1.46,1,1
"RSL1D1","O76021","RL1D1_HUMAN",1,1,1.46,1,1
"SPTB","P11277","SPTB1_HUMAN",1,1,1.46,1,1
"HIBADH","P31937","3HIDH_HUMAN",1.4,1,1.45,1,1
"SSB","P05455","LA_HUMAN",1,1,1.45,1.504,1
"HNRNPUL2","Q1KMD3","HNRL2_HUMAN",1,1,1.44,1,1
"LGALS1","P09382","LEG1_HUMAN",1,0.712,1.43,1.391,1
"PGRMC1","O00264","PGRC1_HUMAN",1,0.723,1.43,1.625,1
"SLC25A5","P05141","ADT2_HUMAN",1,1,1.43,1,1
"TARDBP","Q13148","TADBP_HUMAN",1,1,1.43,1,1
"TOMM40","O96008","TOM40_HUMAN",1,1,1.43,1,1
"AHCY","P23526","SAHH_HUMAN",1,1.294,1.42,1.506,1
"PRTN3","P24158","PRTN3_HUMAN",1,2.27,1.42,2.681,1
"TRIM28","Q13263","TIF1B_HUMAN",1,1,1.42,1,1
"MRPL19","P49406","RM19_HUMAN",1,1,1.41,1,1
"HNRNPU","Q00839","HNRPU_HUMAN",1,1,1.4,1,1
"LPP","Q93052","LPP_HUMAN",0.611,1,1.4,1,1
"MYL9","P24844","MYL9_HUMAN",1,1,1.4,1,0.592
"PRKDC","P78527","PRKDC_HUMAN",1,1,1.4,1.21,1
"ANXA6","P08133","ANXA6_HUMAN",0.724,1,1.39,1,1
"NONO","Q15233","NONO_HUMAN",1,1,1.39,1.255,1
"SF3B3","Q15393","SF3B3_HUMAN",1,1,1.39,1,1
"ALDH18A1","P54886","P5CS_HUMAN",1,1,1.38,1,1.4
"C4B","P0C0L5","CO4B_HUMAN",1,1,1.38,1,1
"MYBBP1A","Q9BQG0","MBB1A_HUMAN",1,1,1.38,1.339,1
"FGB","P02675","FIBB_HUMAN",0.618,1,1.37,1.47,1
"TGM2","P21980","TGM2_HUMAN",1,1,1.37,1,1
"TLN1","Q9Y490","TLN1_HUMAN",1,0.808,1.37,1,1
"ATAD3A","Q9NVI7","ATD3A_HUMAN",1,1.39,1.36,1,1
"OPA1","O60313","OPA1_HUMAN",1,1,1.36,1,1
"HSPH1","Q92598","HS105_HUMAN",1,1,1.35,1,1
"RNH1","P13489","RINI_HUMAN",1,1,1.34,1,1
"PRDX5","P30044","PRDX5_HUMAN",1.224,1,1.33,0.631,1
"UBA1","P22314","UBA1_HUMAN",1,1,1.33,1.192,1
"XRCC5","P13010","XRCC5_HUMAN",1,1,1.33,1.291,1
"COL5A2","P05997","CO5A2_HUMAN",0.429,0.681,1.32,1,1
"HNRNPA3","P51991","ROA3_HUMAN",1,1,1.32,1,1
"HSPD1","P10809","CH60_HUMAN",0.721,1.286,1.32,1.232,1
"COL1A2","P08123","CO1A2_HUMAN",0.308,0.621,1.31,0.581,0.532
"COL4A2","P08572","CO4A2_HUMAN",1,0.743,1.31,1,1
"HSPG2","P98160","PGBM_HUMAN",0.659,0.65,1.29,1,0.559
"ACTA2","P62736","ACTA_HUMAN",0.425,1,1.28,1,1
"DHX9","Q08211","DHX9_HUMAN",1,1,1.28,1.264,1
"VTN","P04004","VTNC_HUMAN",0.741,0.643,1.28,1,1
"APOB","P04114","APOB_HUMAN",1,1,1.27,1,1
"COL1A1","P02452","CO1A1_HUMAN",0.289,0.604,1.27,0.575,0.485
"MDH2","P40926","MDHM_HUMAN",1.581,1,1.27,1,1
"VARS","P26640","SYVC_HUMAN",1,1,1.27,1.271,1
"PGK1","P00558","PGK1_HUMAN",1.268,1,1.25,1,1.46
"FGA","P02671","FIBA_HUMAN",0.67,1,1.23,1.378,0.725
"VCL","P18206","VINC_HUMAN",0.788,1,1.22,1,0.743
"HNRNPA1","P09651","ROA1_HUMAN",1,1,1.2,1,1
"HNRNPA2B1","P22626","ROA2_HUMAN",0.804,1,1.19,1,1
"COL6A3","P12111","CO6A3_HUMAN",0.786,0.739,1.18,1,0.45
"ACTG1","P63261","ACTG_HUMAN",1,1,0.87,1,1
"CLTC","Q00610","CLH1_HUMAN",1,1,0.869,1.207,1
"IQGAP1","P46940","IQGA1_HUMAN",1,1,0.855,1,1
"ATP5B","P06576","ATPB_HUMAN",1.18,1,0.832,1,1
"HADHA","P40939","ECHA_HUMAN",1,1,0.827,1,1
"HBA1","P69905","HBA_HUMAN",1,0.663,0.821,1,1
"PDIA3","P30101","PDIA3_HUMAN",1,0.749,0.82,1,0.822
"MYH14","Q7Z406","MYH14_HUMAN",1,1,0.814,1,1.44
"PPIA","P62937","PPIA_HUMAN",1.235,1,0.813,1,1.23
"EIF4A1","P60842","IF4A1_HUMAN",1,1,0.804,1,1
"RPN2","P04844","RPN2_HUMAN",1,1,0.795,1,1
"PDIA6","Q15084","PDIA6_HUMAN",1,1,0.793,1,1
"ANXA2","P07355","ANXA2_HUMAN",1,1,0.79,1.183,1
"ANXA2P2","A6NMY6","AXA2L_HUMAN",1,1,0.784,1,1
"PEBP1","P30086","PEBP1_HUMAN",1,1,0.782,1,1
"PSME1","Q06323","PSME1_HUMAN",1,0.779,0.771,1,1
"TKT","P29401","TKT_HUMAN",1,1,0.765,1,1
"TST","Q16762","THTR_HUMAN",1,1,0.765,1,1
"CFL1","P23528","COF1_HUMAN",1,1,0.761,1,1
"EEF2","P13639","EF2_HUMAN",0.683,1,0.761,1,1
"NP","P00491","PNPH_HUMAN",1,1,0.756,1,1
"SEC23B","Q15437","SC23B_HUMAN",1,1,0.753,1,1
"PSME2","Q9UL46","PSME2_HUMAN",1,1,0.748,1,1
"CNDP2","Q96KP4","CNDP2_HUMAN",1.708,1,0.746,1,1
"HIST1H2BL","Q99880","H2B1L_HUMAN",1,1,0.746,1,1
"COX6B1","P14854","CX6B1_HUMAN",2.593,0.42,0.74,1,1
"GAPDH","P04406","G3P_HUMAN",1.205,1,0.74,1.298,1.49
"PPIB","P23284","PPIB_HUMAN",1,1,0.74,1,1
"ACO1","P21399","ACOC_HUMAN",1.328,1,0.739,1,1
"ACTBL2","Q562R1","ACTBL_HUMAN",0.835,1,0.738,1,1
"PPP2CA","P67775","PP2AA_HUMAN",1,1,0.738,1,1
"EIF5A","P63241","IF5A1_HUMAN",1,0.723,0.737,1,1
"ERP29","P30040","ERP29_HUMAN",1,1,0.737,1,1
"AHNAK","Q09666","AHNK_HUMAN",0.774,1,0.734,1,1
"ATP1A1","P05023","AT1A1_HUMAN",1,1,0.734,1,1
"GMDS","O60547","GMDS_HUMAN",1.373,1,0.732,1,1
"PDCD6IP","Q8WUM4","PDC6I_HUMAN",1,1,0.73,1,1
"ECHS1","P30084","ECHM_HUMAN",1.366,1,0.728,1,1
"IGHM","P01871","IGHM_HUMAN",1,1,0.728,1,1
"EPPK1","P58107","EPIPL_HUMAN",1,1,0.725,1,1
"MYO1D","O94832","MYO1D_HUMAN",1,1,0.724,1,1
"LGALS9","O00182","LEG9_HUMAN",1,1,0.722,1,1
"LCP1","P13796","PLSL_HUMAN",1,1,0.721,1,0.678
"LRRC59","Q96AG4","LRC59_HUMAN",1,1,0.717,1,1
"CKMT1A","P12532","KCRU_HUMAN",1.458,1.56,0.712,1,1.42
"TMPO","P42167","LAP2B_HUMAN",1,1,0.71,1.359,1
"EZR","P15311","EZRI_HUMAN",1,1,0.707,1,1
"EEF1AL3","Q5VTE0","EF1A3_HUMAN",1,1,0.705,1,1
"CALM1","P62158","CALM_HUMAN",1,1,0.703,1,1
"SUCLG2","Q96I99","SUCB2_HUMAN",1,1,0.7,1,1
"ALDOA","P04075","ALDOA_HUMAN",1,0.7,0.69,1.499,1.4
"RRBP1","Q9P2E9","RRBP1_HUMAN",1,1,0.687,1,1
"CAT","P04040","CATA_HUMAN",1.308,1,0.686,1,1
"PDIA4","P13667","PDIA4_HUMAN",1,0.774,0.686,1.352,1
"HSD17B11","Q8NBQ5","DHB11_HUMAN",1,1,0.685,1,1
"LOH11CR2A","O00534","VMA5A_HUMAN",1,1,0.685,1,1
"BAT1","Q13838","DX39B_HUMAN",1,1,0.683,1,1
"ACSL5","Q9ULC5","ACSL5_HUMAN",1,1,0.681,0.597,1
"ASL","P04424","ARLY_HUMAN",1,1,0.681,1,1
"PFN1","P07737","PROF1_HUMAN",1,1,0.68,1,1
"VASP","P50552","VASP_HUMAN",1,1,0.679,1,1
"HADH","Q16836","HCDH_HUMAN",1,1,0.677,1,1
"MT-CO2","P00403","COX2_HUMAN",1.3,1,0.677,1,1
"NACA","Q13765","NACA_HUMAN",1,1,0.674,1,1
"CKB","P12277","KCRB_HUMAN",1.622,0.691,0.673,1,1.99
"P4HB","P07237","PDIA1_HUMAN",1,0.743,0.662,1,1
"HMGCS2","P54868","HMCS2_HUMAN",1,1,0.66,0.488,1
"CTSD","P07339","CATD_HUMAN",1,1,0.658,1,1
"ABHD14B","Q96IU4","ABHEB_HUMAN",1,1,0.656,1,1
"ETFA","P13804","ETFA_HUMAN",1,1.472,0.656,1,1
"KRT19","P08727","K1C19_HUMAN",1,0.679,0.654,1,1.27
"PLD3","Q8IV08","PLD3_HUMAN",1,0.574,0.654,0.604,1
"PYGB","P11216","PYGB_HUMAN",1,1.428,0.652,1,1
"FABP5","Q01469","FABP5_HUMAN",1,1,0.65,1,1
"GSTP1","P09211","GSTP1_HUMAN",1,1.291,0.65,1.403,1
"HSP90B1","P14625","ENPL_HUMAN",1,0.757,0.648,1,1
"PDXDC1","Q6P996","PDXD1_HUMAN",1,1,0.648,1,1
"DDT","P30046","DOPD_HUMAN",1,1,0.647,1,1
"SCP2","P22307","NLTP_HUMAN",1,1,0.646,1,1
"ABP1","P19801","AOC1_HUMAN",1,1,0.64,1,1
"MAOA","P21397","AOFA_HUMAN",1,0.747,0.64,0.497,1
"RPS7","P62081","RS7_HUMAN",1,1,0.638,1,1
"FLNB","O75369","FLNB_HUMAN",1,0.822,0.635,1,1
"KRT8","P05787","K2C8_HUMAN",1.268,1,0.634,1,1.71
"SERPINB6","P35237","SPB6_HUMAN",1,1,0.633,1,1
"CAP1","Q01518","CAP1_HUMAN",0.708,1,0.631,1,1
"GALNT7","Q86SF2","GALT7_HUMAN",1,1,0.627,1,1
"ASAH1","Q13510","ASAH1_HUMAN",0.756,0.754,0.623,1,1
"TXNDC5","Q8NBS9","TXND5_HUMAN",1,0.707,0.62,1,0.601
"COX5A","P20674","COX5A_HUMAN",1.774,0.683,0.619,1,1
"UGP2","Q16851","UGPA_HUMAN",1,0.76,0.619,1,1
"C19orf21","Q8IVT2","MISP_HUMAN",1,1,0.616,1,1
"MVP","Q14764","MVP_HUMAN",1,0.659,0.616,1,1
"AKR1B1","P15121","ALDR_HUMAN",1,1,0.614,1,1
"GFPT1","Q06210","GFPT1_HUMAN",1,1,0.614,1,1
"ETHE1","O95571","ETHE1_HUMAN",1.349,0.563,0.613,1,1
"GOT1","P17174","AATC_HUMAN",1,1,0.612,1,1
"CA1","P00915","CAH1_HUMAN",1,1,0.611,1,1
"VIL1","P09327","VILI_HUMAN",1,0.683,0.611,1,1
"PDCD4","Q53EL6","PDCD4_HUMAN",1,1,0.601,1,1
"ETFDH","Q16134","ETFD_HUMAN",1,1,0.598,1,1
"HSPA5","P11021","GRP78_HUMAN",0.777,0.845,0.598,1,1
"HIST1H1D","P16402","H13_HUMAN",1,1,0.596,1,1
"CDH17","Q12864","CAD17_HUMAN",1,1.248,0.595,1,1
"HSD11B2","P80365","DHI2_HUMAN",1,0.574,0.594,0.533,1
"VILL","O15195","VILL_HUMAN",1,1,0.59,1,1
"CPT1A","P50416","CPT1A_HUMAN",1,1,0.587,1,1
"NDRG1","Q92597","NDRG1_HUMAN",1,1,0.577,1,1
"HLA-A","P05534","1A24_HUMAN",1,1,0.576,1,1
"CALR","P27797","CALR_HUMAN",1,0.79,0.572,1.541,1
"IGHA1","P01876","IGHA1_HUMAN",1,1.623,0.571,1,1
"MYO1A","Q9UBC5","MYO1A_HUMAN",1,1,0.569,1,1
"S100A10","P60903","S10AA_HUMAN",1,1,0.566,1,1
"PACAP","Q8WU39","MZB1_HUMAN",1,0.739,0.564,1,0.693
"ACADS","P16219","ACADS_HUMAN",1,1,0.561,1,1
"AIF1","P55008","AIF1_HUMAN",1,0.431,0.559,1,1
"NANS","Q9NR45","SIAS_HUMAN",1,1,0.557,1,1
"RBM47","A0AV96","RBM47_HUMAN",1,1,0.524,1,1
"SQRDL","Q9Y6N5","SQRD_HUMAN",1,1,0.518,0.66,1
"H3F3A","P84243","H33_HUMAN",1,1,0.514,1,1
"AKR7A3","O95154","ARK73_HUMAN",1,1,0.507,1,1
"RNASE3","P12724","ECP_HUMAN",1,0.526,0.491,1,1
"LGALS3","P17931","LEG3_HUMAN",0.804,0.755,0.49,0.588,1
"CA12","O43570","CAH12_HUMAN",1,1,0.489,0.618,1
"HSP90AB3P","Q58FF7","H90B3_HUMAN",1,1,0.483,1,1
"UGDH","O60701","UGDH_HUMAN",1,0.572,0.481,1,1
"CES2","O00748","EST2_HUMAN",0.747,0.614,0.474,0.546,1
"REG4","Q9BYZ8","REG4_HUMAN",1,1,0.473,0.663,1
"PRG2","P13727","PRG2_HUMAN",1,1,0.471,1,1
"PLS1","Q14651","PLSI_HUMAN",1,0.723,0.469,0.566,1
"UBE2L3","P68036","UB2L3_HUMAN",1,1,0.469,1,1
"EPHX2","P34913","HYES_HUMAN",1,1,0.464,0.612,1
"PAPSS2","O95340","PAPS2_HUMAN",1,0.524,0.459,0.669,1
"EPX","P11678","PERE_HUMAN",1.358,0.498,0.449,1,1
"ADH1B","P00325","ADH1B_HUMAN",0.622,1,0.447,0.545,1
"RPS15","P62841","RS15_HUMAN",1,1,0.438,1,1
"PADI2","Q9Y2J8","PADI2_HUMAN",1,0.648,0.437,0.564,1
"IGHA2","P01877","IGHA2_HUMAN",1,1,0.436,0.47,1
"ITLN1","Q8WWA0","ITLN1_HUMAN",1,0.552,0.431,1,1
"PIGR","P01833","PIGR_HUMAN",1.232,1.231,0.431,1,1
"LGALS4","P56470","LEG4_HUMAN",0.749,0.701,0.423,0.399,1
"SULT1B1","O43704","ST1B1_HUMAN",1,1,0.409,1,1
"RNASE2","P10153","RNAS2_HUMAN",1,0.363,0.393,0.472,1
"TPSAB1","Q15661","TRYB1_HUMAN",1,1,0.388,0.548,1
"CTSC","P53634","CATC_HUMAN",1,0.502,0.384,1,1
"KRT20","P35900","K1C20_HUMAN",1,0.567,0.373,0.387,1
"ADH1C","P00326","ADH1G_HUMAN",1,0.28,0.368,0.318,1
"NMES1","Q9C002","NMES1_HUMAN",1,0.54,0.366,0.542,1
"CLC","Q05315","LEG10_HUMAN",1,0.46,0.363,1,1
"SELENBP1","Q13228","SBP1_HUMAN",1.393,1,0.361,0.534,1.43
"AGR2","O95994","AGR2_HUMAN",0.793,0.706,0.358,0.592,1
"AKR1B10","O60218","AK1BA_HUMAN",1,0.657,0.331,0.516,1
"UGT2B17","O75795","UDB17_HUMAN",1,0.26,0.322,0.631,1
"UGT2B15","P54855","UDB15_HUMAN",1,1,0.321,1,1
"ST6GALNAC1","Q9NSC7","SIA7A_HUMAN",1,1,0.318,0.596,1
"FCGBP","Q9Y6R7","FCGBP_HUMAN",1.413,0.319,0.31,0.451,2.08
"TFF3","Q07654","TFF3_HUMAN",1.55,0.442,0.306,1,1
"CA2","P00918","CAH2_HUMAN",0.726,0.328,0.301,0.46,1
"MUC2","Q02817","MUC2_HUMAN",1.246,0.381,0.293,1,1
"CLCA1","A8K7I4","CLCA1_HUMAN",1.352,0.807,0.29,0.51,1
"ZG16","O60844","ZG16_HUMAN",0.74,0.361,0.284,0.46,1
"FABP1","P07148","FABPL_HUMAN",1,0.633,0.258,0.465,1
"TNC","P24821","TENA_HUMAN",1,1,0.24,1.701,1
"FUCA1","P04066","FUCO_HUMAN",0.574,0.28,0.199,0.254,0.535
"ABHD10","Q9NUJ1","ABHDA_HUMAN",1.464,1.691,1,1,1
"ACADVL","P49748","ACADV_HUMAN",1,1.49,1,1,1
"ACAT2","Q9BWD1","THIC_HUMAN",1,0.673,1,1,1
"ACLY","P53396","ACLY_HUMAN",1,1,1,1.398,1
"ACO2","Q99798","ACON_HUMAN",1.459,1.364,1,1,1
"ACTA1","P68133","ACTS_HUMAN",1,1,1,1.735,1
"ACTB","P60709","ACTB_HUMAN",0.83,1,1,1.341,1
"ACTR2","P61160","ARP2_HUMAN",1,1,1,1.385,1
"ANXA1","P04083","ANXA1_HUMAN",1,1,1,1.401,1
"ANXA3","P12429","ANXA3_HUMAN",1,1.719,1,1.53,1
"ANXA4","P09525","ANXA4_HUMAN",1.298,1,1,1,1
"AOC3","Q16853","AOC3_HUMAN",0.473,0.571,1,0.579,0.461
"APCS","P02743","SAMP_HUMAN",0.62,1,1,1,1
"APEX1","P27695","APEX1_HUMAN",1.448,1,1,1,1
"APOA1","P02647","APOA1_HUMAN",1,1,1,1.495,0.7
"ASAH1","Q13510","ASAH1_HUMAN",1,1,1,1,1
"ATIC","P31939","PUR9_HUMAN",1,1.28,1,1,1
"ATP5A1","P25705","ATPA_HUMAN",1.485,1,1,1,1
"ATP5H","O75947","ATP5H_HUMAN",1.438,1,1,1,1
"BCAR1","P56945","BCAR1_HUMAN",1,1,1,1.593,1
"BCLAF1","Q9NYF8","BCLF1_HUMAN",1,1,1,1.552,1
"BDH1","Q02338","BDH_HUMAN",1.575,1,1,1,1
"BPHL","Q86WA6","BPHL_HUMAN",1,1.677,1,1,1
"C11","Q9H0W9","CK054_HUMAN",1,0.653,1,1,1
"C1QBP","Q07021","C1QBP_HUMAN",1.501,1,1,1,1
"C21","P30042","ES1_HUMAN",1.385,1,1,1,1
"C3","P01024","CO3_HUMAN",0.748,1,1,1,1
"C4BPA","P04003","C4BPA_HUMAN",1,1.554,1,1,1
"CAD","P27708","PYR1_HUMAN",1,1,1,1.445,1
"CADPS","Q9ULU8","CAPS1_HUMAN",2.028,1,1,1,1
"CANX","P27824","CALX_HUMAN",1,1,1,1.482,1
"CAPG","P40121","CAPG_HUMAN",1,1.553,1,1,1
"CCT2","P78371","TCPB_HUMAN",1,1,1,1.244,1
"CCT3","P49368","TCPG_HUMAN",1,1,1,1.348,1
"CDC2","P06493","CDK1_HUMAN",1,1,1,2.088,1
"CDC42","P60953","CDC42_HUMAN",1,1,1,1.521,1
"CHD4","Q14839","CHD4_HUMAN",1,1,1,2.031,1
"CHDH","Q8NE62","CHDH_HUMAN",1.662,1,1,1,1
"CHDH","Q8NE62","CHDH_HUMAN",1,1.41,1,1,1
"CHGA","P10645","CMGA_HUMAN",0.34,1,1,1,1
"CMPK1","P30085","KCY_HUMAN",1.387,1.264,1,1,1
"CNN2","Q99439","CNN2_HUMAN",1,1,1,1.645,1
"COL11A2","P13942","COBA2_HUMAN",1,1,1,0.342,1
"COL14A1","Q05707","COEA1_HUMAN",0.355,0.669,1,0.564,0.499
"COL2A1","P02458","CO2A1_HUMAN",0.413,1,1,0.559,1
"COL3A1","P02461","CO3A1_HUMAN",0.237,0.641,1,0.388,1
"COL5A1","P20908","CO5A1_HUMAN",0.35,1,1,1,1
"COL6A1","P12109","CO6A1_HUMAN",1,0.769,1,1,0.684
"COL6A2","P12110","CO6A2_HUMAN",0.692,0.706,1,1,0.592
"COMT","P21964","COMT_HUMAN",1.635,1,1,1,1.65
"COX4I1","P13073","COX41_HUMAN",1.784,1,1,1,1
"COX6A1","P12074","CX6A1_HUMAN",1.349,1,1,1,1
"CP","P00450","CERU_HUMAN",0.724,1,1,1,1
"CPS1","P31327","CPSM_HUMAN",1,2.167,1,1,1
"CS","O75390","CISY_HUMAN",1,1.319,1,1,1
"CSTF2T","Q9H0L4","CSTFT_HUMAN",0.616,1,1,1,1
"CTNNB1","P35222","CTNB1_HUMAN",1,1.444,1,1,1
"CTSB","P07858","CATB_HUMAN",1.45,1,1,1,1
"CTSG","P08311","CATG_HUMAN",1,1,1,1.708,0.628
"CTTN","Q14247","SRC8_HUMAN",1,1,1,1.755,1
"CYC1","P08574","CY1_HUMAN",1.864,1,1,1,1
"DBNL","Q9UJU6","DBNL_HUMAN",1,1,1,1.426,1
"DCN","P07585","PGS2_HUMAN",0.613,0.561,1,0.554,0.574
"DENND4C","Q5VZ89","DEN4C_HUMAN",1.707,1,1,1,1
"DMBT1","Q9UGM3","DMBT1_HUMAN",1,4.238,1,1,1
"DPP7","Q9UHL4","DPP2_HUMAN",1,0.631,1,1,1
"DSG2","Q14126","DSG2_HUMAN",1,1.465,1,1,1
"DSP","P15924","DESP_HUMAN",1,1.34,1,1,1
"DYNC1H1","Q14204","DYHC1_HUMAN",1.275,1,1,1,1
"EEF1A1","P68104","EF1A1_HUMAN",1.296,1,1,1,1
"EEF1D","P29692","EF1D_HUMAN",1,1,1,1.519,1
"EEF1G","P26641","EF1G_HUMAN",1,0.755,1,1.46,1
"EHD2","Q9NZN4","EHD2_HUMAN",1,0.769,1,1,1
"EHHADH","Q08426","ECHP_HUMAN",1,1,1,0.529,1
"ENO1","P06733","ENOA_HUMAN",1,1,1,1.338,1
"EPRS","P07814","SYEP_HUMAN",1.406,1,1,1,1
"ERAP1","Q9NZ08","ERAP1_HUMAN",1,0.757,1,1,1
"ERAP2","Q6P179","ERAP2_HUMAN",1,1,1,1.528,1
"ERP44","Q9BS26","ERP44_HUMAN",1.595,1,1,1,1
"ETFB","P38117","ETFB_HUMAN",1.597,1,1,1,1
