"Gene name","Entry","Entry name","Adenoma","stage I","stage II","stage III","stage IV"
"SAA1","P0DJI8","SAA1_HUMAN",1,1,2.98,1,1
"EFEMP1","Q12805","FBLN3_HUMAN",1,1.453,2.81,1,1
"FBLN1","P23142","FBLN1_HUMAN",1,1.358,2.61,1,1
"CEACAM3","P40198","CEAM3_HUMAN",1,1,2.57,1,1
"CNN1","P51911","CNN1_HUMAN",0.549,0.663,2.32,1,0.604
"TAGLN","Q01995","TAGL_HUMAN",0.51,0.772,2.32,1,0.482
"VCAN","P13611","CSPG2_HUMAN",1,1,2.29,1.418,1
"FN1","P02751","FINC_HUMAN",0.806,1,2.25,1.499,1
"OLFM4","Q6UX06","OLFM4_HUMAN",1.227,1.731,2.19,1,1
"TGFBI","Q15582","BGH3_HUMAN",1,1.59,2.19,1.295,1
"PRELP","P51888","PRELP_HUMAN",1,1,2.15,0.642,1
"APOE","P02649","APOE_HUMAN",1,1,2.13,1,1
"FBN1","P35555","FBN1_HUMAN",1.54,0.796,2.09,1,1.43
"IRS2","Q9Y4H2","IRS2_HUMAN",1,1,2.08,1,1
"ALDH1A1","P00352","AL1A1_HUMAN",1.344,1.523,2.07,0.639,1
"CPNE1","Q99829","CPNE1_HUMAN",1.395,1.619,2.07,1.393,1
"ACTG2","P63267","ACTH_HUMAN",0.737,1,2.02,0.626,1
"FTL","P02792","FRIL_HUMAN",1,1,1.97,1.359,1
"ACTC1","P68032","ACTC_HUMAN",1,1,1.96,1,0.686
"THY1","P04216","THY1_HUMAN",1,1,1.94,1,1
"ASPN","Q9BXN1","ASPN_HUMAN",1,1,1.93,1,1
"TUBB3","Q13509","TBB3_HUMAN",1,1,1.91,1,1
"COL12A1","Q99715","COCA1_HUMAN",1.59,1.419,1.9,2.08,1
"COL8A1","P27658","CO8A1_HUMAN",1,1,1.87,1,1
"HNRNPUL1","Q9BUJ2","HNRL1_HUMAN",1,1,1.86,1,1
"ACOT9","Q9Y305","ACOT9_HUMAN",1,1,1.8,1,1
"COL18A1","P39060","COIA1_HUMAN",1,1,1.8,1,1
