Swiss.ID,Gene,AD.NC.FC,AD.NC.FDR,AC.AD.FC,AC.AD.FDR,AC.NC.FC,AC.NC.FDR
P04792,HSPB1,1.09,0.175,1.85,0,2.02,0
Q8NE71,ABCF1,1.09,0.418,1.59,0,1.74,0
Q92945,KHSRP,1.1,0.503,1.87,0.006,2.05,0.056
Q13308,PTK7,1.1,0.629,1.88,0,2.07,0.004
P14780,MMP9,1.1,0.607,3.64,0,4,0
P09382,LGALS1,1.11,0.09,1.97,0,2.19,0
Q16643,DBN1,1.12,0.139,2.26,0,2.54,0
P05198,EIF2S1,1.13,0.456,1.57,0,1.78,0
P55060,CSE1L,1.13,0.19,1.56,0,1.77,0
P49736,MCM2,1.14,0.205,2.06,0,2.34,0
Q14517,FAT1,1.15,0.151,1.68,0.007,1.92,0.029
Q70UQ0,IKIP,1.15,0.229,2.01,0,2.31,0
P13611,VCAN,1.15,0.654,5.6,0.002,6.44,0.003
Q01085,TIAL1,1.15,0.043,1.99,0.003,2.3,0.002
Q9BWF3,RBM4,1.16,0.057,1.86,0,2.16,0
P26599,PTBP1,1.16,0.461,1.78,0,2.07,0.001
O95302,FKBP9,1.17,0.209,2.14,0.003,2.5,0
Q14103,HNRNPD,1.17,0.028,1.61,0,1.88,0
Q9Y383,LUC7L2,1.17,0.09,1.69,0,1.98,0
Q96EP5,DAZAP1,1.17,0.116,2.26,0,2.65,0
P31943,HNRNPH1,1.18,0.048,1.52,0,1.79,0
O15460,P4HA2,1.18,0.268,1.76,0.001,2.08,0.001
P12004,PCNA,1.18,0.137,1.63,0,1.93,0
Q68CZ2,TNS3,1.19,0.444,2.38,0,2.83,0.009
Q96T88,UHRF1,1.19,0.19,2.05,0,2.45,0.001
O75718,CRTAP,1.2,0.583,2.53,0,3.03,0.012
Q9NR99,MXRA5,1.21,0.065,4.01,0,4.84,0
Q08J23,NSUN2,1.21,0.186,1.58,0,1.92,0.001
O60841,EIF5B,1.21,0.163,1.64,0,1.99,0
P12268,IMPDH2,1.22,0.108,1.88,0.004,2.29,0.002
P35251,RFC1,1.23,0.163,1.75,0.001,2.15,0.012
Q13283,G3BP1,1.26,0.164,1.61,0,2.02,0
P35249,RFC4,1.26,0.151,1.67,0,2.1,0.006
P29372,MPG,1.26,0.244,1.8,0,2.27,0.017
Q99873,PRMT1,1.27,0.081,1.69,0,2.15,0
Q71RC2,LARP4,1.27,0.236,1.9,0.001,2.42,0.005
Q9UNF1,MAGED2,1.28,0.093,1.74,0.002,2.23,0.007
O15226,NKRF,1.28,0.055,1.52,0.005,1.95,0.001
P33121,ACSL1,1.29,0.065,1.73,0,2.24,0.001
Q9UKN8,GTF3C4,1.3,0.045,1.5,0.01,1.95,0.014
P37802,TAGLN2,1.31,0.107,1.52,0,1.99,0
Q8IVF2,AHNAK2,1.33,0.614,1.54,0.003,2.04,0.35
P05455,SSB,1.36,0.011,1.63,0,2.21,0
Q9H0S4,DDX47,1.36,0.034,1.53,0.001,2.09,0.001
P06731,CEACAM5,1.37,0.036,2.39,0,3.26,0
P33993,MCM7,1.37,0.045,1.75,0,2.4,0.005
P50281,MMP14,1.38,0.101,2.63,0.008,3.63,0.001
Q01130,SFRS2,1.39,0.046,2.04,0,2.84,0
Q14192,FHL2,1.4,0.218,1.74,0.001,2.44,0.005
O95816,BAG2,1.41,0.014,1.58,0.006,2.23,0
O00461,GOLIM4,1.43,0.082,1.52,0.001,2.17,0.003
P16422,EPCAM,0.67,0.027,0.61,0,0.4,0
Q6XQN6,NAPRT1,0.67,0.025,0.66,0,0.44,0.002
Q01524,DEFA6,0.77,0.121,0.39,0.003,0.3,0
P80404,ABAT,0.77,0.317,0.5,0,0.39,0.008
Q96N66,MBOAT7,0.77,0.026,0.57,0.001,0.44,0
P25445,FAS,0.82,0.531,0.53,0.001,0.44,0.02
P25092,GUCY2C,0.82,0.041,0.59,0.008,0.48,0.002
O95169,NDUFB8,0.83,0.068,0.51,0.006,0.42,0.011
O75489,NDUFS3,0.85,0.1,0.56,0,0.47,0
Q6ZMB0,B3GNT6,0.85,0.034,0.28,0,0.23,0
O14975,SLC27A2,0.86,0.041,0.65,0,0.56,0
P12532,CKMT1A,0.86,0.012,0.58,0,0.5,0
Q16795,NDUFA9,0.86,0.108,0.58,0.004,0.5,0
O43181,NDUFS4,0.86,0.146,0.53,0,0.46,0
Q99795,GPA33,0.88,0.331,0.56,0,0.49,0
P19404,NDUFV2,0.88,0.066,0.56,0,0.49,0
P05141,SLC25A5,0.89,0.036,0.66,0,0.59,0
Q9P0J0,NDUFA13,0.89,0.036,0.53,0,0.48,0
Q9Y6W5,WASF2,0.89,0.141,0.67,0,0.59,0
P01591,IGJ,0.9,0.844,0.29,0,0.26,0.011
Q16853,AOC3,0.9,0.15,0.4,0,0.36,0
Q9BSE5,AGMAT,0.91,0.806,0.56,0.008,0.51,0.092
Q16836,HADH,0.91,0.303,0.43,0,0.39,0
Q9Y6M9,NDUFB9,0.91,0.19,0.64,0,0.58,0
P49821,NDUFV1,0.92,0.199,0.52,0,0.48,0
P06576,ATP5B,0.92,0.039,0.67,0,0.61,0
O95571,ETHE1,0.92,0.559,0.61,0,0.56,0
O95049,TJP3,0.93,0.483,0.66,0,0.61,0
P22033,MUT,0.94,0.236,0.6,0,0.56,0
P27216,ANXA13,0.94,0.514,0.55,0,0.52,0
O43520,ATP8B1,0.95,0.407,0.59,0,0.56,0
P55268,LAMB2,0.95,0.154,0.42,0,0.4,0
P07954,FH,0.95,0.533,0.66,0,0.63,0
Q9BUP3,HTATIP2,0.96,0.832,0.66,0.008,0.64,0.008
Q53EL6,PDCD4,0.96,0.37,0.6,0,0.58,0
Q96I99,SUCLG2,0.97,0.761,0.47,0,0.45,0
P01625,,0.97,0.827,0.66,0.001,0.64,0
Q9NZ45,CISD1,0.98,0.945,0.43,0,0.42,0
P50895,BCAM,0.98,0.773,0.65,0.004,0.64,0.001
P07919,UQCRH,0.98,0.946,0.59,0,0.57,0.006
O95299,NDUFA10,0.98,0.817,0.52,0,0.51,0
Q9UI09,NDUFA12,0.98,0.811,0.62,0.006,0.61,0.002
Q9NSC7,ST6GALNAC1,0.98,0.871,0.32,0,0.32,0
Q8NEG4,FAM83F,0.99,0.916,0.62,0.004,0.61,0.005
O94760,DDAH1,0.99,0.943,0.54,0,0.54,0
P10620,MGST1,0.99,0.966,0.59,0.003,0.59,0.245
O75306,NDUFS2,1,0.999,0.54,0,0.54,0
P51970,NDUFA8,1,0.967,0.53,0,0.53,0
O15438,ABCC3,1.01,0.931,0.56,0,0.56,0
O00217,NDUFS8,1.01,0.932,0.46,0,0.46,0
O94919,ENDOD1,1.01,0.93,0.6,0,0.61,0
P12236,SLC25A6,1.01,0.874,0.64,0,0.64,0
P25705,ATP5A1,1.01,0.799,0.59,0,0.6,0
P01834,IGKC,1.01,0.875,0.62,0,0.62,0
Q96IX5,USMG5,1.02,0.915,0.55,0,0.56,0
P42765,ACAA2,1.02,0.806,0.6,0,0.62,0
Q16698,DECR1,1.02,0.805,0.47,0,0.48,0
Q8NFW8,CMAS,1.02,0.612,0.65,0,0.66,0
O75947,ATP5H,1.03,0.816,0.49,0,0.51,0
O75380,NDUFS6,1.03,0.948,0.52,0.008,0.53,0.007
Q9NQX7,ITM2C,1.04,0.489,0.63,0,0.65,0
Q643R3,LPCAT4,1.04,0.578,0.52,0.001,0.54,0.001
Q9NUP9,LIN7C,1.05,0.749,0.62,0.001,0.65,0.004
Q07812,BAX,1.05,0.819,0.63,0.002,0.66,0.009
Q9UQ90,SPG7,1.05,0.508,0.57,0,0.6,0
P12235,SLC25A4,1.06,0.441,0.62,0,0.65,0
Q99798,ACO2,1.07,0.429,0.48,0,0.51,0
P50440,GATM,1.07,0.625,0.51,0.001,0.54,0.027
Q16762,TST,1.07,0.386,0.49,0,0.53,0
O95810,SDPR,1.08,0.723,0.22,0.001,0.24,0
Q9BVV7,C18orf55,1.08,0.422,0.57,0.003,0.62,0
P24539,ATP5F1,1.08,0.193,0.66,0.001,0.72,0.003
Q9NX63,CHCHD3,1.09,0.515,0.57,0,0.62,0
Q5K4L6,SLC27A3,1.09,0.616,0.57,0.001,0.62,0.021
Q13724,MOGS,1.09,0.179,0.64,0.001,0.69,0.008
P13073,COX4I1,1.09,0.303,0.47,0,0.51,0
Q99959,PKP2,1.09,0.087,0.46,0,0.5,0
O15484,CAPN5,1.09,0.032,0.57,0,0.62,0
Q8IVH4,MMAA,1.09,0.303,0.45,0,0.49,0
P12110,COL6A2,1.1,0.015,0.59,0,0.65,0
P82650,MRPS22,1.1,0.413,0.59,0,0.65,0.001
Q86U28,ISCA2,1.1,0.433,0.65,0,0.72,0.006
O75363,BCAS1,1.1,0.633,0.51,0.002,0.56,0.005
Q8NBS9,TXNDC5,1.11,0.487,0.66,0,0.73,0
Q8TD06,AGR3,1.12,0.024,0.44,0,0.5,0
O43676,NDUFB3,1.13,0.069,0.42,0,0.47,0
Q9NQX4,MYO5C,1.13,0.01,0.62,0,0.7,0
Q6YN16,HSDL2,1.14,0.1,0.58,0,0.66,0
O75521,PECI,1.14,0.207,0.29,0,0.33,0
Q96K19,RNF170,1.15,0.061,0.52,0.006,0.59,0.001
Q13232,NME3,1.15,0.011,0.59,0,0.68,0
P49189,ALDH9A1,1.15,0.236,0.58,0,0.67,0
Q13825,AUH,1.15,0.187,0.4,0.002,0.46,0.011
P82914,MRPS15,1.15,0.22,0.58,0,0.67,0.016
P47985,UQCRFS1,1.16,0.169,0.51,0,0.6,0
Q13011,ECH1,1.16,0.021,0.56,0,0.65,0
P30085,CMPK1,1.16,0.508,0.59,0,0.69,0.077
Q9Y2Q3,GSTK1,1.17,0.272,0.61,0,0.71,0
P31930,UQCRC1,1.17,0.016,0.5,0,0.59,0
Q8IXI1,RHOT2,1.17,0.018,0.6,0,0.7,0
Q03135,CAV1,1.18,0.155,0.66,0,0.78,0.141
Q8TCD5,NT5C,1.19,0.25,0.49,0.001,0.59,0.002
O75396,SEC22B,1.19,0.021,0.59,0,0.71,0
O14936,CASK,1.2,0.093,0.53,0,0.63,0
P49590,HARS2,1.2,0.016,0.65,0,0.78,0.007
P20674,COX5A,1.2,0.206,0.45,0,0.54,0
P10606,COX5B,1.2,0.042,0.45,0,0.54,0
P13804,ETFA,1.21,0.023,0.48,0,0.58,0
P00403,MT-CO2,1.22,0.017,0.36,0,0.44,0
Q96BQ1,FAM3D,1.22,0.041,0.45,0,0.54,0
Q6NUK1,SLC25A24,1.22,0.017,0.53,0,0.65,0
P11532,DMD,1.23,0.077,0.28,0.001,0.35,0
Q9BYD3,MRPL4,1.23,0.035,0.53,0,0.66,0.005
P18859,ATP5J,1.23,0.07,0.61,0,0.75,0.016
P01876,IGHA1,1.23,0.135,0.48,0,0.59,0
P38117,ETFB,1.24,0.066,0.47,0,0.58,0
O15061,SYNM,1.24,0.158,0.49,0,0.6,0
Q9H2W6,MRPL46,1.24,0.486,0.59,0,0.73,0.32
P42126,DCI,1.24,0.072,0.51,0,0.64,0
P68871,HBB,1.25,0.02,0.42,0,0.52,0
P82675,MRPS5,1.25,0.082,0.46,0.002,0.58,0.043
P55789,GFER,1.26,0.401,0.51,0.001,0.65,0.153
Q9NVS2,MRPS18A,1.26,0.485,0.6,0,0.75,0.238
P80303,NUCB2,1.28,0.133,0.59,0,0.76,0.147
Q8NBL1,KTELC1,1.28,0.09,0.61,0.006,0.78,0.092
Q9UBQ7,GRHPR,1.29,0.063,0.63,0,0.81,0.027
P35914,HMGCL,1.29,0.188,0.35,0,0.46,0
P17540,CKMT2,1.31,0.522,0.64,0,0.84,0.595
Q8NBX0,SCCPDH,1.32,0.021,0.5,0,0.66,0
P82932,MRPS6,1.32,0.369,0.53,0,0.69,0.088
Q9BPW8,NIPSNAP1,1.32,0.157,0.59,0.003,0.78,0.06
Q01581,HMGCS1,1.32,0.204,0.4,0.001,0.53,0
Q9NUB1,ACSS1,1.33,0.021,0.56,0,0.74,0.002
Q9NR45,xS,1.34,0.013,0.57,0,0.77,0.003
Q9NP92,MRPS30,1.35,0.027,0.56,0.002,0.75,0.048
P14927,UQCRB,1.36,0.046,0.41,0,0.56,0.001
P01877,IGHA2,1.37,0.096,0.41,0,0.56,0.003
Q9Y676,MRPS18B,1.39,0.098,0.56,0.002,0.77,0.191
Q9BZE1,MRPL37,1.39,0.021,0.47,0,0.65,0.003
Q86TX2,ACOT1,1.39,0.011,0.4,0,0.55,0.004
P02042,HBD,1.39,0.027,0.48,0,0.67,0
Q9HD33,MRPL47,1.4,0.089,0.61,0.002,0.86,0.405
O75208,COQ9,1.41,0.474,0.47,0.002,0.67,0.152
Q8N983,MRPL43,1.43,0.259,0.64,0.01,0.92,0.667
Q9UGM6,WARS2,1.43,0.028,0.54,0,0.78,0.123
Q96DB5,FAM82B,1.44,0.03,0.59,0.001,0.85,0.213
P30042,C21orf33,1.45,0.12,0.5,0.003,0.72,0.012
P14854,COX6B1,1.47,0.02,0.37,0.002,0.55,0.001
Q9H4G0,EPB41L1,1.48,0.049,0.61,0,0.9,0.402
Q9UKU7,ACAD8,1.48,0.083,0.42,0,0.62,0.015
Q9NTG7,SIRT3,1.48,0.039,0.66,0.006,0.97,0.902
Q9NUQ2,AGPAT5,1.5,0,0.61,0,0.92,0.018
P42166,TMPO,1.52,0,0.66,0,1.01,0.89
Q99569,PKP4,1.53,0.001,0.55,0.001,0.84,0.143
O95716,RAB3D,1.53,0,0.63,0,0.97,0.751
Q9H845,ACAD9,1.54,0,0.63,0,0.96,0.614
Q96SQ9,CYP2S1,1.54,0,0.49,0,0.76,0.001
Q53H12,AGK,1.55,0,0.57,0,0.88,0.061
P11678,EPX,1.55,0,0.29,0,0.45,0
Q86UP2,KTN1,1.55,0,0.59,0,0.92,0.086
Q8N0X4,CLYBL,1.56,0,0.35,0,0.54,0
Q9NXH8,C9orf167,1.57,0,0.52,0,0.81,0.001
Q13405,MRPL49,1.57,0.001,0.59,0,0.92,0.522
P22105,TNXB,1.57,0,0.34,0,0.54,0
Q6P587,FAHD1,1.58,0.002,0.43,0,0.68,0
Q15582,TGFBI,1.59,0,0.63,0,0.99,0.91
Q05707,COL14A1,1.61,0,0.65,0,1.04,0.265
P26440,IVD,1.62,0,0.43,0,0.71,0.004
Q96RQ3,MCCC1,1.63,0,0.55,0,0.89,0.135
P42167,TMPO,1.63,0,0.53,0,0.86,0.013
Q96JB5,CDK5RAP3,1.63,0.002,0.6,0,0.98,0.889
Q9NX40,OCIAD1,1.64,0,0.52,0,0.85,0.063
Q9H2U2,PPA2,1.64,0,0.46,0,0.76,0.012
Q9BX68,HINT2,1.64,0,0.53,0,0.87,0.135
Q6UXV4,APOOL,1.64,0,0.48,0,0.79,0
Q15031,LARS2,1.64,0,0.62,0,1.02,0.766
O75746,SLC25A12,1.65,0,0.58,0,0.95,0.579
Q9Y446,PKP3,1.65,0,0.6,0,0.99,0.86
P23434,GCSH,1.66,0.001,0.61,0,1.02,0.863
Q99714,HSD17B10,1.66,0,0.64,0.002,1.06,0.686
P49411,TUFM,1.66,0,0.56,0,0.93,0.027
Q9Y2H5,PLEKHA6,1.66,0,0.52,0,0.86,0.049
P01833,PIGR,1.67,0,0.5,0,0.84,0
Q02252,ALDH6A1,1.68,0,0.44,0,0.73,0.008
Q9UKV3,ACIN1,1.69,0,0.64,0,1.09,0.338
Q07021,C1QBP,1.69,0,0.59,0,1,0.992
P51649,ALDH5A1,1.72,0,0.48,0,0.82,0.152
Q8IYB8,SUPV3L1,1.72,0.002,0.53,0,0.92,0.398
O94875,SORBS2,1.72,0,0.65,0,1.12,0.075
Q96JQ2,CLMN,1.73,0,0.47,0,0.82,0.015
Q00059,TFAM,1.73,0,0.45,0,0.79,0
P00505,GOT2,1.74,0,0.61,0,1.06,0.669
Q02338,BDH1,1.75,0,0.29,0,0.5,0
P40926,MDH2,1.75,0,0.6,0,1.06,0.074
P12277,CKB,1.76,0,0.6,0,1.06,0.419
Q8N442,GUF1,1.76,0,0.6,0.001,1.06,0.553
Q13228,SELENBP1,1.77,0,0.27,0,0.48,0
P02549,SPTA1,1.77,0,0.32,0,0.56,0
P30044,PRDX5,1.78,0,0.52,0,0.92,0.453
P13861,PRKAR2A,1.78,0,0.59,0,1.05,0.615
P11277,SPTB,1.78,0,0.36,0,0.63,0
Q8N2S1,LTBP4,1.79,0,0.62,0,1.1,0.135
Q8TB22,SPATA20,1.79,0,0.5,0.005,0.89,0.572
P29323,EPHB2,1.81,0.002,0.62,0.001,1.13,0.417
P19367,HK1,1.81,0,0.61,0,1.1,0.012
Q9BX66,SORBS1,1.82,0,0.48,0,0.87,0
Q02127,DHODH,1.84,0,0.49,0,0.9,0.261
Q08AM6,VAC14,1.85,0,0.46,0,0.86,0.001
Q11206,ST3GAL4,1.87,0,0.49,0,0.93,0.404
Q5JRX3,PITRM1,1.87,0,0.66,0,1.23,0.028
O95479,H6PD,1.88,0.002,0.55,0,1.02,0.894
Q16798,ME3,1.89,0.008,0.48,0,0.91,0.582
Q96HY6,DDRGK1,1.9,0,0.58,0,1.1,0.3
P21953,BCKDHB,1.91,0,0.42,0.003,0.81,0.413
Q9NNW7,TXNRD2,1.92,0.008,0.46,0,0.89,0.483
Q9NUJ1,ABHD10,1.94,0,0.58,0,1.11,0.328
P02730,SLC4A1,1.94,0,0.28,0,0.55,0
Q6UXG2,KIAA1324,1.95,0,0.52,0,1.02,0.862
P98082,DAB2,1.97,0,0.52,0,1.02,0.75
Q02388,COL7A1,1.97,0,0.63,0,1.23,0.015
Q96FF7,,1.97,0,0.56,0,1.11,0.53
Q8NFH5,NUP35,1.98,0.001,0.55,0.001,1.09,0.539
Q9UFN0,NIPSNAP3A,2.04,0,0.4,0,0.82,0
P31937,HIBADH,2.05,0,0.43,0,0.89,0.395
Q63ZY3,KANK2,2.06,0,0.58,0,1.2,0.05
P35612,ADD2,2.1,0.004,0.32,0.002,0.67,0.031
Q9NWU1,OXSM,2.1,0,0.45,0.002,0.94,0.523
P16157,ANK1,2.11,0,0.3,0,0.63,0
Q8TB37,NUBPL,2.12,0,0.32,0,0.68,0.14
O14639,ABLIM1,2.13,0,0.65,0,1.38,0
Q53FZ2,ACSM3,2.16,0,0.33,0,0.7,0
P54762,EPHB1,2.16,0.006,0.53,0.009,1.14,0.577
Q8NE62,CHDH,2.16,0,0.42,0,0.91,0.224
Q5T440,C1orf69,2.23,0.007,0.42,0.005,0.93,0.725
P30837,ALDH1B1,2.34,0,0.54,0,1.27,0.001
P55011,SLC12A2,2.35,0,0.54,0,1.26,0
Q9NVH6,TMLHE,2.35,0,0.33,0,0.78,0.004
P82979,SARNP,2.38,0.005,0.54,0,1.28,0.256
Q5JTJ3,C1orf31,2.52,0.001,0.28,0,0.7,0.041
Q7Z3D6,C14orf159,2.59,0.003,0.45,0,1.16,0.376
P33316,DUT,2.63,0,0.38,0,0.99,0.933
Q9H019,FAM54B,2.64,0.001,0.3,0,0.78,0.289
P02792,FTL,2.87,0.001,0.27,0,0.78,0.341
Q5T7N2,L1TD1,2.96,0,0.39,0,1.17,0.125
Q6UX06,OLFM4,3.74,0,0.33,0,1.23,0
P51911,CNN1,4.09,0,0.29,0,1.17,0.23
P16444,DPEP1,0.1,0,2.72,0,0.28,0
P13688,CEACAM1,0.18,0,3.12,0,0.56,0.007
Q14002,CEACAM7,0.2,0,2.39,0,0.47,0
P09327,VIL1,0.23,0,1.57,0,0.37,0
O95395,GCNT3,0.28,0.008,3.23,0,0.92,0.644
O43272,PRODH,0.3,0,1.95,0.006,0.58,0.027
O95340,PAPSS2,0.3,0,1.99,0,0.6,0.001
P09093,CELA3A,0.3,0.003,5.88,0,1.79,0.014
Q9H3R2,MUC13,0.31,0,1.97,0,0.61,0.024
P19440,GGT1,0.32,0.002,1.63,0.001,0.52,0.016
Q7L5L3,GDPD3,0.32,0,2.53,0,0.82,0.006
P00738,HP,0.33,0,2.09,0,0.69,0.032
Q460N5,PARP14,0.35,0,1.86,0.004,0.65,0
P01861,IGHG4,0.37,0,1.76,0.001,0.66,0.151
P02763,ORM1,0.38,0,2.93,0,1.12,0.258
P42224,STAT1,0.39,0,2.2,0,0.87,0.271
P52815,MRPL12,0.41,0.009,3.58,0,1.48,0.228
P02679,FGG,0.42,0,4.1,0,1.72,0
Q9HCY8,S100A14,0.43,0,1.57,0,0.68,0.003
P01857,IGHG1,0.43,0,2.11,0,0.91,0.342
P02675,FGB,0.45,0,3.87,0,1.73,0
Q8TDB6,DTX3L,0.45,0,1.64,0.005,0.74,0
P60953,CDC42,0.46,0.001,1.79,0.001,0.82,0.271
P01860,IGHG3,0.48,0,2.01,0,0.96,0.815
P21283,ATP6V1C1,0.48,0,1.63,0,0.78,0.021
P38606,ATP6V1A,0.48,0,1.59,0,0.76,0
P35555,FBN1,0.49,0,2.86,0,1.4,0.001
Q9NUQ6,SPATS2L,0.5,0,1.68,0.001,0.84,0.208
Q9H444,CHMP4B,0.5,0,2.24,0,1.12,0.021
P54707,ATP12A,0.51,0,1.56,0,0.79,0.266
Q06210,GFPT1,0.52,0,1.73,0,0.9,0.113
Q8IXQ6,PARP9,0.52,0,1.59,0.003,0.83,0.145
P09972,ALDOC,0.53,0.01,1.92,0.002,1.02,0.92
Q9BUF5,TUBB6,0.53,0,2.6,0,1.39,0.011
Q9NZZ3,CHMP5,0.54,0,1.61,0.002,0.87,0.054
P23381,WARS,0.54,0,1.51,0,0.82,0.042
P02671,FGA,0.56,0,2.89,0,1.62,0
Q9Y3Z3,SAMHD1,0.56,0,1.52,0,0.86,0.014
P05186,ALPL,0.57,0.002,1.58,0.001,0.9,0.06
Q63HN8,RNF213,0.57,0,1.58,0,0.91,0.093
P02787,TF,0.59,0,1.65,0,0.97,0.725
P19105,MYL12A,0.59,0,1.54,0,0.91,0.03
O14950,MYL12B,0.59,0,1.53,0,0.91,0.024
Q15392,DHCR24,0.59,0,1.77,0,1.05,0.521
Q9H4M9,EHD1,0.6,0.01,1.93,0,1.15,0.206
P08195,SLC3A2,0.61,0.001,1.7,0,1.03,0.812
P36269,GGT5,0.61,0.002,1.59,0,0.98,0.892
Q16555,DPYSL2,0.61,0,1.72,0,1.06,0.68
P24844,MYL9,0.62,0,1.6,0,0.99,0.855
Q15063,POSTN,0.62,0,2.56,0,1.59,0
Q9NP79,VTA1,0.62,0.001,1.66,0,1.04,0.644
Q9BRK5,SDF4,0.63,0.008,1.5,0,0.94,0.747
P53396,ACLY,0.63,0,1.82,0,1.14,0.143
P04083,ANXA1,0.64,0,1.88,0,1.21,0.019
Q9P289,MST4,0.64,0,1.55,0.005,1,0.993
Q13162,PRDX4,0.65,0.001,1.5,0,0.97,0.697
Q14764,MVP,0.65,0,1.66,0,1.08,0.095
P84243,H3F3A,0.66,0,1.66,0,1.09,0.591
P31146,CORO1A,0.66,0,1.55,0,1.03,0.815
