Swiss.ID,Gene,AD.NC.FC,AD.NC.FDR,AC.AD.FC,AC.AD.FDR,AC.NC.FC,AC.NC.FDR
P53634,CTSC,0.49,0.001,1.87,0.151,0.92,0.689
Q5VV41,ARHGEF16,0.51,0.006,1.64,0.515,0.84,0.509
Q3SYC2,MOGAT2,0.14,0.002,0.5,0.214,0.07,0.037
P58499,FAM3B,0.21,0,0.56,0.051,0.12,0
P35503,UGT1A3,0.28,0,0.66,0.166,0.19,0.001
P22310,UGT1A4,0.28,0,0.66,0.166,0.19,0.001
P19224,UGT1A6,0.28,0,0.66,0.166,0.19,0.001
Q9HAW8,UGT1A10,0.3,0,0.6,0.04,0.18,0
Q6UX53,METTL7B,0.45,0.005,0.47,0.077,0.21,0.02
Q6IC98,GRAMD4,0.63,0.009,0.66,0.027,0.42,0.003
Q96DH6,MSI2,1.52,0.037,2.1,0.001,3.19,0.001
P49913,CAMP,1.57,0.074,4.24,0,6.66,0.003
P46063,RECQL,1.61,0.016,2.39,0.003,3.85,0
P08174,CD55,1.62,0.074,2.65,0,4.29,0.005
P41227,ARD1A,1.63,0.358,1.73,0.005,2.82,0.108
Q9C075,KRT23,1.65,0.309,2.88,0,4.76,0.009
Q14766,LTBP1,1.68,0.256,2.35,0,3.95,0.016
Q6P5R6,RPL22L1,2.18,0.015,5.58,0.001,12.15,0.002
Q14134,TRIM29,2.41,0.105,1.51,0.001,3.62,0.068
P49406,MRPL19,1.51,0.013,0.58,0,0.88,0.443
Q8N4Q0,ZADH2,1.51,0.065,0.39,0.001,0.6,0.079
Q5HYK3,COQ5,1.51,0.029,0.51,0.001,0.78,0.258
Q92665,MRPS31,1.52,0.057,0.66,0.002,1,1
P08559,PDHA1,1.52,0.018,0.57,0.003,0.86,0.163
Q9H9P8,L2HGDH,1.56,0.018,0.65,0.001,1.02,0.932
Q9BYD6,MRPL1,1.6,0.01,0.52,0.002,0.83,0.255
Q9NZJ6,COQ3,1.6,0.042,0.48,0.005,0.78,0.105
O43824,GTPBP6,1.6,0.037,0.5,0,0.8,0.08
Q9HAU0,PLEKHA5,1.6,0.065,0.55,0.007,0.88,0.39
P12694,BCKDHA,1.62,0.012,0.66,0.006,1.06,0.491
Q8IVS2,MCAT,1.63,0.011,0.53,0,0.87,0.143
Q86WV6,TMEM173,1.73,0.015,0.54,0.008,0.94,0.434
Q96AB3,ISOC2,1.83,0.071,0.39,0.003,0.71,0.16
Q7L3T8,PARS2,1.88,0.067,0.41,0.002,0.78,0.349
