Accession.No.,Gene.Symbol,UniProt,Log2.I.N,Log2.II.N
IPI00007765,HSPA9,B2RCM1;P31932;Q53H23;Q9BWB7;P30036;Q8N1C8;Q9UC56;Q2F839;Q6GU03;Q1HB43;P38646,0.84,1.28
IPI00472102,HSPD1,NA,1.39,1.47
IPI00220362,HSPE1,P61604;O95421;Q53X54;Q9UDH0;Q04984;Q9UNM1,1.44,1.43
IPI00218993,HSPH1,O95739;Q9UPC4;Q5TBM8;Q5TBM7;Q5TBM6;Q92598,2.84,4.31
IPI00000877,HYOU1,Q6IN67;A8C1Z0;Q53H25;Q05D91;Q9BST8;Q2I204;Q9Y4L1;Q68D25,1.22,0.96
IPI00011107,IDH2,Q13584;Q53GL5;P48735;B2R6L6;Q96GT3,0.98,NA
IPI00030702,IDH3A,Q9H3X0;Q53GF8;P50213;Q68D72,NA,-1.13
IPI00008922,IFITM2,Q6IBB0;Q6FH82;Q01629;Q96DA8;Q14617,NA,6.4
IPI00386879,IGHA1,Q96DK0;Q9UP60;P01876;Q8NCL6;Q96K68;Q6ZW64;Q6ZW65;Q8WY24,-3.11,-0.51
IPI00168728,IGHM,NA,-1.68,-0.47
IPI00845354,IGKC,NA,NA,-0.59
IPI00719373,IGL@,NA,-3.06,-1.35
IPI00291510,IMPDH2,Q6QE17;Q6LEF3;Q6RUP8;Q6RUP9;P12268,3.2,2.61
IPI00304082,ISOC1,Q96CN7;Q7Z770;Q9Y3B5,1.32,0.76
IPI00010697,ITGA6,Q9UN03;Q86VL6;Q14646;Q0MRC7;Q59HB7;B4DG69;B2RMU9;C4AM96;B4DKB8;Q9UCT1;P23229;Q08443;Q53RX7;Q16508,NA,1.37
IPI00645194,ITGB1,NA,-2,0.57
IPI00291737,ITLN1,Q9NP67;Q8WWA0;Q6YDJ3;Q5IWS4;Q5VYI4;Q5IWS5,NA,-3.67
IPI00060715,KCTD12,Q96CX2,NA,-1.32
IPI00479786,KHSRP,Q9UQH5;Q9UNT5;Q5U4P6;Q59EZ9;Q92945;O00301,2.69,3.78
IPI00001639,KPNB1,Q14974;Q14637;Q96J27;Q53XN2,NA,5.05
IPI00217963,KRT16,Q9UBG8;Q16195;Q16402;P08779;A8K488;P30654,4.39,NA
IPI00784347,KRT18,NA,1.18,1.9
IPI00794644,KRT19,Q5XG83;Q9BYF9;Q96FV1;P08727;Q96A53;Q9P1Y4;Q6NW33;Q7L5M9;B2R874,NA,6.84
IPI00021298,KRT20,P35900;B2R6W7,-1.27,-3.22
IPI00293665,KRT6B,P04259;P48669,NA,4.33
IPI00019359,KRT9,Q0IJ47;Q14665;P35527;O00109,1.48,0.74
IPI00328753,KTN1,Q86W57;Q3SWV9;Q14707;Q13999;Q5GGW3;Q6NZ46;Q6PDF7;Q17RZ5;Q15387;Q86UP2,NA,1.33
IPI00419237,LAP3,B3KMQ3;Q6IAM6;Q9UQE3;Q6P0L6;P28838,1.37,NA
IPI00299547,LCN2,Q5SYW0;P80188;P30150;Q92683;Q6FGL5;Q5SYV9,6.56,4.6
IPI00010471,LCP1,Q53FI1;Q5TBN4;Q5TBN5;B2R613;Q59GX5;Q5TBN3;P13796,1.61,4.11
IPI00465431,LGALS3,Q96J47;Q9H2J6;Q6FGL0;Q16005;Q9H2J5;Q6IBA7;Q86TY5;B2RC38;Q8IXB9;P17931;Q6NVH9;Q6MZI9,NA,-1.46
IPI00023673,LGALS3BP,Q9UCI0;Q7M4S0;Q9UCH9;Q9UCH8;Q08380,NA,2.7
IPI00009750,LGALS4,P56470;Q6FHZ4,NA,-1.14
IPI00010477,LGALS9,O14532;Q9NQ58;O00182;O75028;A7VJG6;Q3B8N1;Q53FQ0;Q8WYQ7,NA,2.41
IPI00741973,LOC131691,NA,NA,2.94
IPI00399212,LOC389842,P43487;Q53EY3,1.63,NA
IPI00297579,LOC653972,Q96CD7;Q9P0Z6;Q13185;A4D177;Q9BVS3;Q99409,4.54,NA
IPI00013862,LOC727761,B7ZW70;Q6FGU2;Q53F55;P23919;Q6FGX1;Q8WY85;Q9BUX4,4.81,2.62
IPI00022417,LRG1,P02750;Q96QZ4;Q8N4F5;Q68CK4,-1.47,-1.64
IPI00783271,LRPPRC,Q7Z7A6;Q6ZUD8;Q96D84;P42704;A8K1V1;Q53QN7;Q53PC0;A0PJE3,3.17,4.43
IPI00032460,LSM2,Q6FGG1;Q9Y333,0.39,NA
IPI00219871,LSM8,O95777;A4D0W0,0.84,NA
IPI00298860,LTF,Q8IU92;Q8TCD2;P02788;Q16789;Q8IZH6;Q8IX02;Q5EK51;Q5DSM0;Q16786;Q16785;Q8IWS6;Q96KZ4;Q16780;Q19KS2;Q96KZ5;Q2TUW9;Q9H1Z3;O00756,NA,5.53
IPI00020986,LUM,P51884;Q96QM7;Q53FV4;B2R6R5,-1.55,-1.99
IPI00019038,LYZ,Q13170;B2R4C5;P61626;P00695;Q9UCF8,3.56,3.49
IPI00030919,MAP2K1IP1,Q96JR7;B2R4A1;Q53FH6;Q9H364;Q9UHA4,2.14,3.08
IPI00017596,MAPRE1,Q3KQS8;Q15691;B2R6I7,NA,3.47
IPI00291005,MDH1,NA,2.25,NA
IPI00291006,MDH2,Q75MT9;Q6FHZ0;B2RE78;Q0QF37;P40926;O43682;Q75MP7;A8K414,1.11,0.58
IPI00021805,MGST1,Q6LET6;A8K533;P10620,NA,3.01
IPI00007244,MPO,P05164;Q4PJH5;Q9UCL7;Q16771;A1L4B8;Q14862,7.38,6.85
IPI00005537,MRPL12,NA,NA,1.71
IPI00032881,MRPS23,B2R6V3;Q9P053;Q96Q24;Q9Y3D9;Q9BWH8,NA,1.31
IPI00011307,MTHFD2,P13995;Q53GV5;Q7Z650;Q53S36;Q53G90,NA,3.89
IPI00847945,MUC2,NA,-2.61,-3.32
IPI00027201,MUC2,Q99322;Q9UMI9;Q14884;Q14883;Q02817;Q9HBC6;Q14878;Q9HBC5;Q9HBC7,NA,-4.04
IPI00023748,NACA,Q53A18;Q3KQV4;Q13765;Q53G46;A8MTN7;B2R4P8,1.69,1.56
IPI00183500,NCBP2,Q7Z3W9;P52298;Q2TS50;Q14924;B4DMK7;B2RE91,NA,2.61
IPI00444262,NCL,Q8NB06;Q9UCF0;Q53SK1;B3KM80;Q9UDG1;Q9BQ02;Q6ZS99;P19338,2.64,2.76
IPI00029561,NDUFA10,Q7Z518;Q59FM0;O95299;Q8N1B9;Q8WXC9;Q53SW4;Q53QE8,NA,-0.95
IPI00329301,NDUFA11,NA,2.73,NA
IPI00219381,NDUFA2,Q6IAY8;O43678,NA,-0.46
IPI00011770,NDUFA4,A4D109;O00483;Q6FHN5,1.12,1.15
IPI00452731,NDUFA7,Q32Q14;Q6IB89;Q6FG42;O95182,-1.35,NA
IPI00074489,NDUFB10,NA,-0.67,NA
IPI00029558,NDUFC2,Q6FIH8;O95298;Q549M5;Q9UBJ9;Q8NI46,NA,-4.77
IPI00604664,NDUFS1,Q8TCC9;P28331;Q53TR8;Q8N1C4;Q9P1A0,-1.74,-1.04
IPI00025796,NDUFS3,Q9UNQ8;Q53FM7;O75489;B2R9J1;Q9UF24,NA,0.41
IPI00010845,NDUFS8,Q53G17;Q0VDA8;B2RB86;O00217;Q08E91,NA,-1.2
IPI00028520,NDUFV1,Q6IBR3;P49821;Q96HS7;O60924;Q16104;O60940;Q96ID4;Q53G70;Q96BF8,NA,2.5
IPI00020008,NEDD8,Q15843;Q3SXN8;Q6LES6,NA,1.41
IPI00026167,NHP2L1,Q6FHM6;P55769;C9J9R8,NA,1.69
IPI00004845,NIPSNAP3A,Q9BRV7;Q9UFN0;Q9P083;Q5VX32;Q9H843;A6NM55,NA,1.13
IPI00549467,NIT2,B2R9A3;Q9NQR4;Q8WUF0,NA,2.01
IPI00027681,NNMT,Q6FH49;P40261,NA,3.74
IPI00304596,NONO,Q15233;Q12786;B7Z4C2;O00201;P30807;Q9BQC5;Q15559,3.69,2.91
IPI00006379,NOP5/NOP58,Q9UFN3;Q9Y2X3;Q6PK08;Q9P036;Q53SA4,6.62,5.95
IPI00026216,NPEPPS,Q9UEM2;Q9NP16;Q6P145;P55786,NA,4.77
IPI00220740,NPM1,Q5EU94;Q6V962;Q9NX34;Q96EA5;Q12826;Q96DC4;Q13441;P06748;Q13440;Q9BYG9;A8K3N7;Q8WTW5;Q96AT6;Q14115;Q5EU99;Q5EU97;P08693;Q5EU98;Q9BTI9;Q5EU95;Q5EU96,1.5,4.07
IPI00022830,NSFL1C,Q5JXA5;Q9UNZ2;Q5JXA4;Q9UI06;Q53FF5;B2RD74;A2A2L1;Q53FE8;Q9NVL9;Q7Z533;Q9H102,NA,3.42
IPI00295542,NUCB1,Q02818;Q9BUR1;Q7Z4J7;Q53GX6;Q15838;B2RD64;Q96BA4,1.22,1.24
IPI00646917,NUDT21,Q6NE84;O43809;Q6IB85;Q5HYH5,NA,1.98
IPI00296913,NUDT5,A8K516;Q9UH49;Q6IAG0;Q9UKK9,NA,2.94
IPI00025465,OGN,Q9UNK5;A8K0R3;P20774;Q9UF90;Q7Z4E0;Q7Z532;Q6FIB0,-1.4,-4.54
IPI00022255,OLFM4,Q6UX06;Q5VWG0;O95362;Q86T22,3.47,4.23
IPI00000581,OTUB1,Q9NXQ4;B3KUV5;Q9P0B8;Q659F9;Q96FW1;Q96II3;Q32Q78,0.87,3.72
IPI00299000,PA2G4,Q6PIN5;Q13548;Q05D08;Q9UQ80;O43846;Q9UM59,1.77,1.75
IPI00008524,PABPC1,P11940;Q93004;Q15097,1.18,2.4
IPI00018873,PBEF1,Q8WW95;P43490;Q3KQV0;A4D0Q9;A4D0R0,2.3,3.64
IPI00016610,PCBP1,Q14975;Q13157;Q53SS8;Q15365,3.29,NA
IPI00021700,PCNA,Q6FI35;Q6FHF5;Q7Z6A3;Q7Z6A1;Q7Z6A2;P12004;Q7Z6A0;B2R897,2.88,3.52
IPI00023640,PDCD5,O14737;Q53YC9;Q6IB70;Q3HM38,2.14,3.24
IPI00025277,PDCD6,Q5TZS0;Q9ULI6;Q53FC3;A7MBN5;Q9HAZ3;Q2YDC2;B2RD16;Q6ZRP2;O75340;Q86W51;C9J5V5;A9YTQ3,NA,0.99
IPI00246058,PDCD6IP,Q9BX86;Q9NUN0;Q8WUM4;Q9UKL5;Q9P2H2;Q6NUS1;Q4W4Y1,2.04,1.86
IPI00003925,PDHB,P11177;Q6FH45;Q59G68;Q9UFK3;Q9BQ27;B2R7L0,1.14,NA
IPI00025252,PDIA3,Q8IYF8;Q14255;P30101;Q9UMU7;Q13453,NA,0.36
IPI00009904,PDIA4,P13667;Q549T6,NA,0.95
IPI00010414,PDLIM1,Q9BPZ9;B2RBS6;O00151;Q5VZH5,NA,0.62
IPI00006052,PFDN2,Q9UHV9;B1AQP2;Q9UN05;Q9P0P7,NA,1.82
IPI00218570,PGAM2,P15259,-1.26,NA
IPI00169383,PGK1,Q5J7W1;Q8NI87;P00558;Q6IBT6;A8K4W6,0.9,1.4
IPI00029997,PGLS,O95336,NA,0.62
IPI00217872,PGM1,Q9H1D2;Q9NTY4;Q86U74;Q16106;P36871;Q16105;Q96J40;B2R5N9;Q6NW22;Q5BKZ9,3.68,NA
IPI00220739,PGRMC1,Q9UGJ9;O00264;Q6IB11,NA,2.28
IPI00005202,PGRMC2,Q8NB07;Q569H1;O15173,NA,0.74
IPI00011200,PHGDH,Q96RV5;Q96RV6;Q96RV7;Q9UMY2;Q9UMY3;Q96RV8;Q5SZU1;Q96RV9;Q5SZU3;Q8N5M8;O43175;Q9BQ01;B2RD08,2.41,2.61
IPI00004573,PIGR,Q8TE27;Q68D81;Q8IZY7;P01833,NA,2.03
IPI00479186,PKM2,Q9BWB5;B4DFX8;Q504U3;B3KRY0;Q53GK4;Q9UCV6;Q9UPF2;Q9UKK4;Q9UK31;P14786;P14618;Q9NYI7;A6NFK3;B2R5N8;Q96E76;Q8WUW7,1.75,1.58
IPI00026952,PKP3,Q9Y446;Q53EX8,NA,5.25
IPI00216694,PLS3,Q96HI1;Q86YI6;B1AQ09;Q53GY0;A8K579;P13797,NA,2.01
IPI00103242,POF1B,Q9H738;Q5H9E9;Q9H744;Q8WVV4;A8K2U5;Q9H5Y2;Q5H9F0;Q8NG12,NA,2.69
IPI00058192,POFUT1,A8K4R8;Q9H488;Q14685;Q9BW76;Q5W185,NA,3.9
IPI00007960,POSTN,Q3KPJ5;Q5VSY5;Q29XZ0;Q15063;Q15064;Q8IZF9,-2.39,-1.42
IPI00015018,PPA1,Q5SQT6;Q9Y5B1;Q5SQT7;Q2M348;Q9UQJ5;Q6P7P4;Q15181,3.24,2.53
IPI00419585,PPIA,Q3KQW3;Q9BTY9;Q71V99;P62937;Q96IX3;A8K220;P05092;Q6IBU5;Q9UC61;Q9BRU4;Q567Q0,1.06,1.07
IPI00024129,PPIC,A4LBB5;P45877,NA,1.76
IPI00007346,PPIH,Q6FH36;Q6FH57;O43447,NA,2.14
IPI00033600,PPP1R7,Q9Y6K4;Q15435;B4DFD4;Q9UQE5;Q9UQE6,NA,2.05
IPI00008380,PPP2CA,Q6I9T8;B3KUN1;P67775;P05323;P13197,NA,0.85
IPI00554737,PPP2R1A,Q6ICQ3;Q96DH3;Q13773;A8K7B7;P30153;Q8NB89,NA,4.57
IPI00000874,PRDX1,P35703;Q5T155;Q5T154;Q2V576;Q06830;B5BU26,NA,1.4
IPI00024919,PRDX3,Q5T5V2;Q53HC2;B2R7Z0;Q13776;P30048;Q9UHU0;Q0D2H1;P35690;Q96HK4;Q14579,NA,0.84
IPI00220301,PRDX6,P30041;Q5ZEZ8;Q5TAH4;P32077;A8JZY7,NA,-1.11
IPI00018522,PRMT1,Q5U8W9;Q15529;Q6LEU5;Q99874;Q8WUW5;Q9NZ05;Q99873;Q2VP93;Q9NZ04;Q99872;Q9NZ06,NA,6.7
IPI00219616,PRPS1,Q6P5P6;B1ALA8;P09329;P60891;Q15244;P21108;Q53FW2,NA,1.65
IPI00016832,PSMA1,B4E0X6;Q9BRV9;Q53YE8;P25786;A8K400,1.9,NA
IPI00219622,PSMA2,P25787;Q6ICS6;Q53GF5;Q9BU45;Q6MZI6,0.75,NA
IPI00291922,PSMA5,B2R8F6;Q5U0A0;Q6IBF7;Q3T1C1;P28066,0.96,1.48
IPI00029623,PSMA6,B2R7J9;Q6IB60;P60900;Q9BZ93;P34062,0.74,1.18
IPI00025019,PSMB1,P20618;Q9BWA8;Q53FT8;B5BU76;Q59GN1,NA,1.21
IPI00028006,PSMB2,P31145;Q9BWZ9;Q59FJ0;P49721,1.74,NA
IPI00555956,PSMB4,B2R9L3;Q5SZS5;Q969L6;P31148;P28070;Q6IBI4,1.26,NA
IPI00000811,PSMB6,Q96J55;Q6IAT9;P28072,1.63,NA
IPI00000787,PSMB9,NA,0.04,1.32
IPI00023919,PSMC5,P47210;A8K763;P52916;O43208;O35051;P52915;P62195,NA,6.38
IPI00021926,PSMC6,P49719;Q92524;P62333;Q6IBU3;B2R975,NA,1.03
IPI00105598,PSMD11,Q53FT5;A8K3I7;O00495;O00231,2.49,3.11
IPI00549672,PSMD13,Q53XU2;Q9UNM7;Q9UNM6;Q5HYL3;B3KT15;Q9Y6E3;Q53GN6;O75831;Q9UNV3,NA,5.19
IPI00024821,PSMD14,Q4ZG77;Q96DE8;Q53TH1;O00176;B3KNW2;Q59G89;O00487,2.22,1.03
IPI00019927,PSMD7,Q6PKI2;P51665;Q96E97,4.73,1.7
IPI00030154,PSME1,NA,NA,1.49
IPI00030243,PSME3,Q9BQD9;P61289;Q6FHK7;Q6MZZ1;Q13172;Q12920;O35563;A8K9A3;P97373,NA,4.66
IPI00179964,PTBP1,Q9BUQ0;P26599;Q59H49;A6NLN1,NA,2.87
IPI00303568,PTGES2,Q53EW9;Q96GI0;Q9H7Z7;Q5SYV6;Q96GL2,1.71,0.69
IPI00176903,PTRF,Q6NZI2;Q6GMY1;Q9BT85;O00535;B2RAW7;Q9HAP4;Q96H74,NA,-3.89
IPI00014439,QDPR,Q53F52;A8K158;P09417;Q9H3M5,NA,2.5
IPI00291928,RAB14,Q5JVD4;P61106;Q6Q7K5;B3KR31;Q969L0;P35287;Q9UI11,NA,1
IPI00008964,RAB1B,A8K7S1;Q92927;Q9H1C9;Q9H0U4;Q6FIG4,NA,1.04
IPI00031169,RAB2A,B2R5W8;P61019;P08886,NA,1.54
IPI00023510,RAB5A,P20339;Q6FI44,NA,1.95
IPI00017344,RAB5B,A8K982;Q6FI54;P35277;P35239;Q86TH0;P61020;Q8IXL2;Q9H2I5;Q6PIK9,NA,0.81
IPI00016339,RAB5C,Q9P0Y5;Q6FH55;P51148,2.13,1.07
IPI00023526,RAB6A,Q9UL29;Q53S08;Q5U0A8;Q1W5D8;Q9P128;Q9UBE4;Q9H0N0;Q53RU3;A8K133;Q6FGX3;Q6FIF7;Q9UL30;P20340;Q53ET8,3.13,NA
IPI00217943,RAB6A,Q9UL29;Q53S08;Q5U0A8;Q1W5D8;Q9P128;Q9UBE4;Q9H0N0;Q53RU3;A8K133;Q6FGX3;Q6FIF7;Q9UL30;P20340;Q53ET8,NA,1.55
IPI00008223,RAD23B,Q5W0S5;P54727;Q5W0S4;Q53F10;B3KWK8;Q8WUB0;Q7Z5K8,NA,3.84
IPI00004397,RALB,Q53T32;Q6ZS74;P11234,3.65,1.66
IPI00011268,RALY,Q53GL6;Q14621;Q5QPL8;Q9UJE3;Q9UKM9;Q5QPM2;Q5QPM1;Q5QPL9;Q2M365;Q9BQX6,NA,3.03
IPI00643041,RAN,Q9CWI7;Q9CZA2;P17080;Q9UEU9;Q6IPB2;Q9UDJ5;Q86V08;A8K3Z8;P28747;P62826;Q8NI90;Q9CSP3;P28746,NA,2.1
IPI00024320,RBM3,Q6ZPC8;Q9H5V0;Q6XYB6;P98179,3.28,5.8
IPI00304692,RBMX,Q8N8Y7;Q5JQ65;Q969R3;Q5JQ67;B4E3U4;P38159,1.97,3.36
IPI00015842,RCN1,Q5J7V8;Q15293,2.47,NA
IPI00027500,RHOA,NA,NA,2.85
IPI00642211,RNPEP,Q9H4A4;Q7RU04;Q9NPT7;Q9H1D4;Q9BVM9,1.3,NA
IPI00030179,RPL7,Q6IBM9;Q15289;P18124;A8K504;Q5I0X1;Q3KQU0,1.75,3.44
IPI00031691,RPL9,Q69YS1;Q53Z07;P32969,1.37,2.19
IPI00008530,RPLP0,Q6NSF2;Q9BVK4;Q8NHW5;Q3B7A4;P05388;Q53HK9;Q53HW2;Q9BZT1;Q3MHV2,1.32,1.03
IPI00025874,RPN1,Q6IBR0;Q96HX3;Q53EP4;P04843;B2R5Z0;Q68DT1,2.51,3.69
IPI00028635,RPN2,Q96E21;Q6IBA5;Q9BUQ3;Q5JYR7;Q5JYR4;Q5JYR6;Q9UBE1;P04844,2.65,NA
IPI00383680,RPN2,Q96E21;Q6IBA5;Q9BUQ3;Q5JYR7;Q5JYR4;Q5JYR6;Q9UBE1;P04844,NA,2.3
IPI00221091,RPS15A,Q3MHD9;Q8C023;Q9BV24;B2R4W8;P39027;P62244;P39031,5.08,3.27
IPI00013296,RPS18,Q5SUJ3;P62269;Q5GGW2;P25232;Q6IPF8,4.75,NA
IPI00215780,RPS19,B0ZBD0;Q8WVX7;P39019,-0.76,-1.07
IPI00013485,RPS2,Q6IPX5;Q8NI62;Q3KQT6;P15880;Q8NI61;Q3MIB1;Q9BSW5;Q8J014;Q8N5L9;B2R5G0,3.83,4.39
IPI00017448,RPS21,Q6FGH5;P35265;Q8WVC2;P63220;Q13666,NA,1.94
IPI00012750,RPS25,P25111;B2R4M7;P62851,3.11,2.72
IPI00011253,RPS3,B2R7N5;Q498B5;Q8NI95;Q9NQS8;Q53G83;P23396,1.2,1.55
IPI00008433,RPS5,B2R4T2;Q96BN0;Q53G25;P46782,8.57,1.79
IPI00013415,RPS7,Q6IPH1;P24818;P62081;Q57Z92;P23821,-2.82,NA
IPI00216587,RPS8,Q5JR95;P09058;Q9P1D6;P62241;Q9BS10;Q6IRL7;Q5JR94,NA,7.25
IPI00221088,RPS9,Q4QRK7;Q9BVZ0;A9C4C1;P46781,1.55,2.67
IPI00017256,RSU1,Q6FI17;A8KA46;Q15404;Q32Q10,NA,-0.37
IPI00021187,RUVBL1,Q53Y27;P82276;B2R5S0;Q53HL7;Q9BSX9;Q9Y265;Q1KMR0;Q53HK5,3.44,1.46
IPI00009104,RUVBL2,Q6FIB9;Q6PK27;Q9Y230;Q9Y361,2.63,0.92
IPI00013895,S100A11,Q5VTK0;P31949,2.23,2.65
IPI00027463,S100A6,P06703;Q5RHS4,NA,1.34
IPI00007047,S100A8,Q9UCJ0;Q9UC92;A8K5L3;Q9UCM6;Q9UC84;P05109;Q5SY70,5.01,6.66
IPI00027462,S100A9,P06702;Q9UCJ1;Q9NYM0;Q6FGA1,4.82,5.64
IPI00017526,S100P,Q5J7W2;P25815,7.26,NA
IPI00002149,SAR1B,Q9H029;Q567T4;Q53F37;Q9Y6B6,NA,2.18
IPI00006252,SCYE1,B4DNK3;B3KTR2;Q12904;Q6FG28;B4E1S7;Q96CQ9,NA,3.22
IPI00217143,SDHA,Q9UMY5;Q8IW48;P31040;Q0QF12;Q16395;A8K5J6;Q59GW8,-1.13,NA
IPI00219436,SEC11C,Q9BY50;B2RAA3,-4.22,-5.07
IPI00006865,SEC22B,NA,NA,2.12
IPI00012303,SELENBP1,B4DKP6;Q9H8A8;Q96GX7;A6NML9;Q49AQ8;B2RDR3;Q13228,-1.08,-2.32
IPI00029056,SEPHS1,Q5T5U6;Q5T5U7;P49903;Q9BVT4;Q5T5U8;Q5T5U9,NA,1.55
IPI00027444,SERPINB1,Q9UDF8;Q53FB9;P30740;Q5W0E1;A8K5L2,1.32,NA
IPI00032179,SERPINC1,Q8J001;Q13815;Q9UE54;Q8TCE1;Q8J000;P78439;B2R6P0;Q7KYY4;P78447;Q9UBW9;Q7KYQ5;Q7KZ97;P01008;Q5TC78;Q7KZ43;Q8IZZ8;Q8IZZ9;Q9UC78,1.29,NA
IPI00032140,SERPINH1,Q9NP88;Q5XPB4;B3KVJ3;Q9NPA9;Q6NSJ6;Q8IY96;P50454;P29043,2.55,3.85
IPI00072377,SET,Q5VXV1;Q5VXV2;Q5VXV3;Q15541;Q01105;A5A5H4;Q6FHZ5,NA,2.48
IPI00032827,SF3B14,Q9Y3B4;Q53TM1,0.93,NA
IPI00301503,SFRS10,Q8N1H4;Q68DZ9;Q15815;Q64283;Q59GA1;P62995;O15449;B4DVK2,NA,1.51
IPI00005978,SFRS2,Q8NAK9;Q6NXQ0;B3KWD5;Q53FN0;Q01130;Q8N220,NA,0.95
IPI00012345,SFRS6,Q9Y3N7;B7Z6J3;Q96J06;Q13245;Q13247;Q13244;Q9UJB8;Q59GY3,1.71,2.36
IPI00003377,SFRS7,Q8NB80;Q9UL60;Q16629;Q564D3,1.74,NA
IPI00012340,SFRS9,Q52LD1;Q13242,1.53,3.36
IPI00013949,SGTA,Q9BTZ9;Q6FIA9;O43765,NA,6.21
IPI00002520,SHMT2,Q53ET4;O00740;Q5BJF5;Q8N1A5;B4DJQ3;P34897;Q5HYG8;B7Z9F1,1.2,4.14
IPI00022649,SLC12A2,P55011;Q8N713;Q8WWH7;Q53ZR1;Q59GB7,NA,4.84
IPI00007188,SLC25A5,P05141;Q6NVC0;O43350,NA,2.16
IPI00291467,SLC25A6,Q6I9V5;Q96C49;P12236;Q59EI9,2.79,2.8
IPI00140420,SND1,Q13122;Q7KZF4;Q59FF0;Q96AG0;Q86UF7,5.1,3.3
IPI00012382,SNRPA,P09012,1.6,NA
IPI00302850,SNRPD1,Q7Z5A3;P13641;P62314;B5BTZ1,2.2,NA
IPI00017964,SNRPD3,B5BU13;P62318;P43331,NA,1.11
IPI00022314,SOD2,Q9UG59;Q7Z7M7;Q7Z7M6;B2R7R1;Q4ZJI1;Q9P2Z3;Q7Z7M5;Q7Z7M4;Q6LE88;Q96EE6;P78434;Q5TCM1;Q5TCM0;Q6LEN1;B4DL20;P04179;Q16792;Q96AM7,1.84,1.41
IPI00017469,SPR,Q93041;Q53GI9;P35270;A8K741;Q9UEC5;Q9UBB1,NA,1.33
IPI00005614,SPTBN1,Q53R99;Q01082;Q8WYB3;B2ZZ89;Q59FA9;Q59ER3;Q53RC4;Q16057;Q8IX99;O60837;B2RP63,NA,2.77
IPI00292020,SRM,Q15511;B1AKP9;P19623,1.71,2.48
IPI00009032,SSB,Q2F832;Q14730;P05455;Q9UMH5;Q15367;Q53XJ4;Q9UMH7;Q9UMH6,3.4,3.4
IPI00029744,SSBP1,Q567R6;Q04837;Q75MV9;A4D1U3;Q96QL6,1.04,1.61
IPI00019385,SSR4,Q53XY1;A8K378;P51571,NA,1.51
IPI00013894,STIP1,Q3ZCU9;Q5TZU9;P31948,1.53,1.72
IPI00219682,STOM,Q9H376;Q5VX96;Q96FK4;P27105;Q14087;Q15609;B1AM77,3.17,NA
IPI00334190,STOML2,Q53G29;Q9P042;Q6ZNW0;O60376;Q9UJZ1;Q96FY2,NA,1.66
IPI00294536,STRAP,Q9Y3F4;Q9NTK0;Q9UQC8;B2R5S5;Q5TZT4,NA,3.4
IPI00217232,SUCLA2,O95194;Q7Z503;Q9Y4T0;Q6N0B1;B2RDE7;Q9NV21;Q5T9Q4;Q5T9Q5;Q9P2R7;Q5T9Q6;Q9NVP7,NA,1.87
IPI00096066,SUCLG2,Q6NUH7;O95195;Q9Y436;Q8WUQ1;Q96I99;Q3ZCW5;Q86VX8,-1.05,-1.06
IPI00791573,SUGT1,Q6VXY6;Q9P1S2;Q9Y2Z0;Q5TAM6;A2A303;Q5JAK5,NA,6.03
IPI00300026,SULT1A1,Q9UMT9;Q86U58;Q59GG0;Q92818;Q9BVU6;P50225;Q9UGG7;Q2NL71,NA,-2.41
IPI00018140,SYNCRIP,Q9Y583;Q53H05;Q05CK9;Q8IW78;B7Z645;Q5TCG3;Q59GL1;Q5TCG2;Q96LC1;Q8N599;Q5TCG1;Q96LC2;O60506,NA,2.14
IPI00744692,TALDO1,O00751;B2R8M2;P37837;Q8WZ45;Q8WV32;Q9UMF8,3.37,1.91
IPI00025815,TARDBP,A4GUK5;Q53H27;Q9H256;Q6FI92;Q96DJ0;Q13148,NA,1.83
IPI00005585,TAX1BP3,O14907;B2RD53;Q7LCQ4,NA,1.81
IPI00217236,TBCA,O75347;Q6FGD7,NA,1.61
IPI00290566,TCP1,Q5TCM3;P17987;Q15556,2.02,1.9
IPI00022463,TF,Q9NQB8;Q1HBA5;P02787;Q9UHS1;O43890;Q53H26;Q06AH7;Q9UHV0;A0PJA6,-1.06,-0.97
IPI00294578,TGM2,Q9UH35;Q9BTN7;P21980;Q6DKH2;Q16436;Q9H035;Q9BXQ0;Q6B838,NA,2.39
IPI00296099,THBS1,Q59E99;B9EGH6;Q15667;A8K6H4;Q7KYY3;P07996,NA,1.89
IPI00418497,TIMM50,Q96FJ5;Q96GY2;Q0VAB1;Q3ZCQ8;Q330K1;Q6QA00;Q9H370,NA,3.23
IPI00298994,TLN1,A6NMY0;Q9Y490;Q9H3E8;Q9NZQ2;Q5TCU5;Q9UPX3;Q9UHH8;Q86YD0;Q5TCU6,NA,0.65
IPI00031697,TMEM109,Q9BVC6,1.07,0.78
IPI00031008,TNC,Q14583;P24821;Q15567;Q6MZI1;Q5T7S3;Q4LE33,NA,6.03
IPI00024976,TOMM22,Q9NS69;Q53GB0;Q549C5,1.56,NA
IPI00465028,TPI1,P60174;P00938;Q6IS07;Q96AG5;Q8WWD0;Q53HE2;Q2QD09;Q6FHP9,NA,0.55
IPI00010779,TPM4,Q9H8Q3;Q5U0D9;Q15659;Q9BU85;P67936;Q9UCS3;Q9UCS4;Q9UCS1;P07226;Q9UCS2,NA,5.71
