Accession.No.,Gene.Symbol,UniProt,Log2.I.N,Log2.II.N
IPI00395769,ATP5C1,A8KA31;Q6I9V2;Q8TAS0;Q96AS8;Q5VYP3;P36542,NA,-1.15
IPI00024920,ATP5D,P30049;Q6FG90,NA,-0.93
IPI00220487,ATP5H,B2R5L6;Q9H3J4;O75947;A0PJH2,NA,-2.53
IPI00002521,ATP5J,Q6IB54;Q6NZ59;P18859,-1.6,NA
IPI00219291,ATP5J2,NA,-0.83,-1.28
IPI00003856,ATP6V1E1,A8MUE4;A8MUN4;Q53Y06;P36543,NA,1.09
IPI00019906,BSG,A6NJW1;Q7Z796;P35613;Q8IZL7;Q54A51,0.61,NA
IPI00296190,C10orf58,Q96JR0;Q8TBM7;Q5JTC1;Q5JTC0;Q6UW08;Q6IA45;Q5JTB8;Q53HP4;Q8NBK9;Q9H8S6;Q9BRX8;Q8N2K3,NA,1.67
IPI00061507,C11orf54,Q96IX1;Q9Y6B4;Q6FI88;Q96EI3;Q6XYB0;Q9H0W9;A8K850,-0.96,NA
IPI00016670,C11orf59,Q6IAA8;Q8WZ09;Q9NWT0,NA,1.39
IPI00299193,C14orf112,Q49SH3;Q96IA4;P57105,NA,0.47
IPI00031772,C15orf48,Q9C002,-2.17,NA
IPI00014230,C1QBP,Q9NQ45;Q07021;Q2HXR8;Q9NNY8,NA,2.97
IPI00031131,C20orf3,Q9NUB2;Q9GZS8;A8K514;B4DXG1;Q6UVZ8;Q9HDC9,NA,1.7
IPI00031564,C7orf24,O75223;B2RDN0;Q9BS37,NA,3.05
IPI00022395,C9,P02748;Q9UGI4,NA,4.16
IPI00215983,CA1,P00915,-0.98,-3.62
IPI00218414,CA2,Q96ET9;Q6FI12;B2R7G8;P00918;Q6LD99,-1.99,-4.9
IPI00395627,CACYBP,B2ZWH2;O60666;Q5R371;Q5R370;Q6NVY0;Q9HB71;B3KSF1,4.31,3.54
IPI00014537,CALU,NA,2.41,NA
IPI00008274,CAP1,Q6I9U6;Q5T0S1;Q5T0S2;Q01518;Q5T0R7;Q5T0R6;Q5T0R9;Q5T0R8;Q5T0R3;Q5T0R1;Q53HR7;Q5T0R2;Q5T0R5;Q5T0R4,NA,1.18
IPI00848090,CAPG,Q53SA7;P40121,NA,1.79
IPI00025084,CAPNS1,Q96EW0;P04632;A8K0P1;Q8WTX3,NA,1.59
IPI00218782,CAPZB,Q5U0L4;Q32Q68;P47756;Q7L4N0;Q9NUC4;Q8TB49,NA,1.38
IPI00465436,CAT,B2RCZ9;Q2M1U4;Q9UC85;Q9BWT9;P04040;Q8TAK2;Q4VXX5;A8K6C0,NA,1.23
IPI00009236,CAV1,Q9UQH6;Q71VB8;Q9UNG1;Q59E85;Q7Z4F3;Q2TNI1;Q03135;Q9UGP1,NA,-3.07
IPI00010320,CBX1,P83916;P23197;Q9Y654;Q6IBN6,NA,1.91
IPI00297779,CCT2,Q6IAT3;P78371;Q9H369;Q14D36,1.69,1.75
IPI00290770,CCT3,A6NE14;P49368;Q2TU64;B3KX11;Q9BR64;Q5SZY1;Q59H77;Q5SZY0,NA,2.03
IPI00302927,CCT4,O14870;B2R6I3;Q53QP9;P50991;Q96C51,1.86,2.75
IPI00010720,CCT5,Q9BU08;Q96GI1;P48643;Q9HB74;A8JZY8,NA,1.94
IPI00027626,CCT6A,A6NCD2;P40227;Q75LP4;Q3KP28;Q59ET3;Q96S46,2.1,NA
IPI00018465,CCT7,B7Z4Z7;Q6FI26;B7Z4T9;B7WNW9;Q6IBT3;A8MWI8;A8K7E6;Q99832;Q53HV2;O14871,2.78,2.32
IPI00302925,CCT8,Q4VBP8;Q53HU0;P50990;A6NN54;Q7Z759,2.35,3.74
IPI00297160,CD44,Q86T72;Q9P2Z2;Q86UZ1;Q86Z27;Q13968;Q13967;Q9UCB0;Q13961;P22511;Q13960;Q15861;Q9UC30;O95370;Q9UJ36;Q9H5A6;Q13958;Q16522;Q9H5A7;Q96J24;Q13957;Q9H5A4;Q9H5A5;Q13959;Q9H5A3;A5YRN9;Q13419;Q13980;Q99900;Q16066;Q16065;Q16208;Q16064;P16070;Q92493;Q9UC28;Q04858;Q9UC29;Q8N694,NA,1.87
IPI00013122,CDC37,Q16543;Q6FG59;Q53YA2,NA,3.95
IPI00027412,CEACAM6,Q13774;Q53XP7;Q14921;Q13985;Q14922;P40199;Q14920,7.6,NA
IPI00029739,CFH,Q9NU86;Q8N708;Q5TFM2;Q5TFM3;Q2TAZ5;Q14570;P08603;Q38G77;Q14006;P78435;A5PL14,-1.3,NA
IPI00025974,CHMP4B,Q53ZD6;Q9H444,1.33,NA
IPI00022977,CKB,A8K236;P12277;Q6FG40;Q2LE07;B2R5R4;Q9UC66,NA,-3.74
IPI00658109,CKMT1B,NA,NA,-3.8
IPI00014625,CLCA1,Q9UNF6;Q9UPC6;O95151;Q5TDF4;B2RAV5;A8K7I4,NA,-3.08
IPI00003870,CLPP,Q16740;B2R4W5,2.9,2.98
IPI00024067,CLTC,Q6N0A0;Q86TF2;Q00610;Q49AL0,NA,2.72
IPI00383046,CMBL,Q8TED6;Q96DG6,1.22,NA
IPI00219953,CMPK,B2R6S5;Q96C07;Q5SVZ0;P30085;Q53GB7;Q9UBQ8;Q9UIA2,NA,0.7
IPI00302944,COL12A1,Q5VYK1;Q5VYK2;O43853;Q5TF09;Q86TG9;Q71UR3;Q99715;Q99716;Q15955,NA,5.15
IPI00176193,COL14A1,Q4G0W3;O00260;O00261;O00262;Q5XJ18;Q05708;B2RU07;Q05707;Q9UDF6;Q96C67,-1.45,-2.43
IPI00291136,COL6A1,Q9BSA8;Q14041;Q7Z645;Q14040;P12109;Q05BT9;Q16258;Q8TBN2;O00118;O00117,-2.56,NA
IPI00011284,COMT,Q6IB07;Q9BWC7;Q6ICE6;P21964;Q7KZP0;A8MPV9,NA,1.9
IPI00220219,COPB2,P35606,NA,3.13
IPI00456965,COQ5,Q96LV1;Q53HH0;Q32Q28;Q5HYK3;Q9BSP8;B4DEJ4,NA,2.09
IPI00470631,COQ9,A8K3L2;Q9P056;Q8NBL4;Q7Z5T6;Q9NTJ2;Q7L5V7;O75208,0.85,NA
IPI00017510,COX2,Q85KR6;Q85KV5;Q85KW8;Q85KT6;B4F438;Q7GXZ8;Q85KX8;Q85L00;A0S3D8;Q37526;Q85KS8;P00403;Q85KS5;Q2QDD3,NA,-1.66
IPI00006579,COX4I1,P13073;Q6P666;Q86WV2;B2R4J2,NA,-0.9
IPI00017601,CP,Q14063;Q1L857;Q6NSB2;P00450;Q2PP18;Q9UKS4;A5PL27,NA,-0.66
IPI00009829,CPA3,Q96E94;P15088,-2.89,-5.45
IPI00018452,CPNE1,Q99829;Q59EI4;Q9NTZ6;Q9NTZ7;O94865;Q9H196;Q5JX57;Q5JX58;B3KRU2;Q5JX59;Q6IBL3;Q5JX44;Q5JX53;Q5JX45;Q5JX54;Q5JX55;Q5JX56;B0QZ18;Q5JX52;Q69YJ7;Q9H243;Q8N3B1;Q5JX62;Q5JX60;Q5JX61,NA,2.43
IPI00011062,CPS1,B7Z818;Q59HF8;P31327;Q53TL5;Q7Z5I5;Q5R209;Q5R208;Q05CV6;Q6PEK7;Q5R207;Q5R206;Q5R210;O43774;Q5R211,NA,2.51
IPI00021369,CRYAB,P02511;B0YIX0;Q9UC37;O43416;Q9UC38;Q9UC41;Q9UC39;Q9UC40,-2.55,-6.08
IPI00025366,CS,Q7KZH0;Q0QEL2;Q9BWN8;Q96FZ8;O75390;Q71UT9,NA,2.81
IPI00215948,CTNNA1,Q12795;Q8N1C0;P35221,NA,3.15
