Accession,Gene.Symbol,Entry,"Entry name",,Fold.change,P.value
IPI00903112,LTF,P02788,TRFL_HUMAN,,34.16,4.7E-09
IPI00007244,MPO,P05164,PERM_HUMAN,,Inf,3.04E-08
IPI00329573,COL12A1,Q99715,COCA1_HUMAN,,20.05,6.33E-08
IPI00783625,SERPINB5,P36952,SPB5_HUMAN,,Inf,1.03E-07
IPI00374563,AGRN,O00468,AGRIN_HUMAN,,28.44,5.06E-07
IPI00005024,MYBBP1A,Q9BQG0,MBB1A_HUMAN,,Inf,2.58E-06
IPI00010951,EPPK1,P58107,EPIPL_HUMAN,,-8.85,3.86E-06
IPI00925034,TRRAP,Q9Y4A5,TRRAP_HUMAN,,88.11,8.4E-06
IPI00010397,HLA-DRB4,P13762,DRB4_HUMAN,,-Inf,1.03E-05
IPI00221226,ANXA6,P08133,ANXA6_HUMAN,,12.12,1.31E-05
IPI00028275,CKAP5,Q14008,CKAP5_HUMAN,,32.52,1.38E-05
IPI00026975,CD163L1,Q9NR16,C163B_HUMAN,,-13.75,2.25E-05
IPI00022255,OLFM4,Q6UX06,OLFM4_HUMAN,,89.94,2.65E-05
IPI00027509,MMP9,P14780,MMP9_HUMAN,,35.54,4.4E-05
IPI00018350,MCM5,P33992,MCM5_HUMAN,,Inf,4.54E-05
IPI00607818,MYH14,Q7Z406,MYH14_HUMAN,,-5.29,4.54E-05
IPI00156374,IPO4,Q8TEX9,IPO4_HUMAN,,24.93,4.93E-05
IPI00002606,SCIN,Q9Y6U3,ADSV_HUMAN,,-19.89,5.1E-05
IPI00894235,NBEAL2,Q6ZNJ1,NBEL2_HUMAN,,18.3,5.72E-05
IPI00795318,MCM4,P33991,MCM4_HUMAN,,Inf,5.75E-05
IPI00922181,MCM2,P49736,MCM2_HUMAN,,23.99,6.29E-05
IPI00002405,OAS3,Q9Y6K5,OAS3_HUMAN,,22.53,8.73E-05
IPI00021298,KRT20,P35900,K1C20_HUMAN,,-5.18,8.74E-05
IPI00013214,MCM3,P25205,MCM3_HUMAN,,26.42,0.000107
IPI00013933,DSP,P15924,DESP_HUMAN,,-5.84,0.000111
IPI00018968,NAE1,Q13564,ULA1_HUMAN,,Inf,0.000121
IPI00018553,CTRC,Q99895,CTRC_HUMAN,,-54.35,0.00013
IPI00027409,PRTN3,P24158,PRTN3_HUMAN,,67.91,0.000165
IPI00438229,TRIM28,Q13263,TIF1B_HUMAN,,7.04,0.000184
IPI00025276,TNXB,P22105,TENX_HUMAN,,-5.31,0.000188
IPI00221354,FUS,P35637,FUS_HUMAN,,8.42,0.000257
IPI00031820,FARSA,Q9Y285,SYFA_HUMAN,,Inf,0.00026
