ENSG,Gene,Uniprot,Nucleus,Nucleoplasm,Nuclear.bodies,Nuclear.speckles,Nuclear.membrane,Nucleoli,Nucleoli..Fibrillar.center.,Cytosol,Cytoplasmic.bodies,Rods.and.Rings,Lipid.droplets,Aggresome,Mitochondria,Microtubules,Microtubule.ends,Microtubule.organizing.center,Centrosome,Mitotic.spindle,Cytokinetic.bridge,Midbody,Midbody.ring,Intermediate.filaments,Actin.filaments,Focal.Adhesions,Endoplasmic.reticulum,Golgi.apparatus,Vesicles,Plasma.membrane,Cell.Junctions,Reliability,IF.location.score,IF.main.protein.location,IF.additional.protein.location,HyperLOPIT.location
ENSG00000198824,CHAMP1,Q96JM3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nucleoplasm: Validated;Nuclear bodies: Validated",Nucleoplasm,"Nuclear bodies",NUCLEUS
ENSG00000106153,CHCHD2,Q9Y6H1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Mitochondria: Validated",Mitochondria,,unknown
ENSG00000173575,CHD2,O14647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nucleus: Validated",Nucleus,,unknown
ENSG00000111642,CHD4,Q14839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nucleus: Validated",Nucleus,,NUCLEUS
ENSG00000127586,CHTF18,Q8WVB6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nucleoplasm: Validated;Cytosol: Approved",Nucleoplasm,Cytosol,NUCLEUS
ENSG00000168802,CHTF8,P0CG12;P0CG13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nucleoplasm: Validated",Nucleoplasm,,
ENSG00000160679,CHTOP,Q9Y3Y2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nuclear speckles: Validated","Nuclear speckles",,NUCLEUS
ENSG00000148337,CIZ1,Q9ULV3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nucleoplasm: Validated",Nucleoplasm,,NUCLEUS
ENSG00000136108,CKAP2,Q8WWK9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Microtubules: Validated;Cytosol: Supported",Microtubules;Cytosol,,unknown
ENSG00000104859,CLASRP,Q8N2M8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nucleus: Validated",Nucleus,,
ENSG00000121940,CLCC1,Q96S66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Validated,"Endoplasmic reticulum: Validated","Endoplasmic reticulum",,unknown
ENSG00000153132,CLGN,O14967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Validated,"Endoplasmic reticulum: Validated","Endoplasmic reticulum",,unknown
ENSG00000115295,CLIP4,Q8N3C7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Validated,"Vesicles: Validated",Vesicles,,
ENSG00000176444,CLK2,P49760,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nucleoplasm: Validated;Nuclear bodies: Supported",Nucleoplasm,"Nuclear bodies",
ENSG00000134852,CLOCK,O15516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nucleoplasm: Validated",Nucleoplasm,,
ENSG00000125656,CLPP,Q16740,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Mitochondria: Validated",Mitochondria,,MITOCHONDRIA
ENSG00000166855,CLPX,O76031,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Mitochondria: Validated",Mitochondria,,MITOCHONDRIA
ENSG00000092853,CLSPN,Q9HAW4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Validated,"Nucleoplasm: Validated;Golgi apparatus: Supported","Nucleoplasm;Golgi apparatus",,
ENSG00000141367,CLTC,Q00610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Validated,"Vesicles: Validated",Vesicles,,unknown
ENSG00000137200,CMTR1,Q8N1G2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nucleoplasm: Validated;Cytosol: Validated",Nucleoplasm,Cytosol,NUCLEUS
ENSG00000133313,CNDP2,Q96KP4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validated,"Nucleoplasm: Validated;Cytosol: Supported",Nucleoplasm;Cytosol,,CYTOSOL
ENSG00000117519,CNN3,Q15417,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Validated,"Actin filaments: Validated;Cytosol: Validated","Actin filaments;Cytosol",,unknown
ENSG00000148842,CNNM2,Q9H8M5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Validated,"Vesicles: Validated",Vesicles,,unknown
