"UniProt Accession","Primary Gene","LoS log2 FC","HiS log2 FC","LoT log2 FC","HiT log2 FC","Signif. LoS","Signif. HiS","Signif. LoT","Signif. HiT"
D4GQY3,mmsA,-0.411,0.455,-0.399,-0.66,0,0,0,1
D4GYU2,HVO_0097,-0.452,-0.606,-0.711,0.567,1,1,1,1
D4GRX1,HVO_0430,-0.712,-0.98,-0.849,-1.181,0,1,1,1
D4GSP8,bluB,0.413,-1.098,-0.844,-1.645,0,1,0,1
D4GRT7,HVO_A0629,-0.492,-0.595,-1.096,-0.377,0,0,1,0
D4GR21,HVO_A0346,0.186,1.206,1.041,-0.729,0,1,0,0
D4GZM8,HVO_1664,1.264,-0.185,0.895,1.872,0,0,0,1
D4GQK5,HVO_A0176,-0.77,-1.151,-0.863,0.733,0,1,0,0
D4GW54,HVO_2727,-0.056,-0.049,-0.096,0.553,0,0,0,1
D4GWR0,tef1a2,0.056,0.182,0.396,1.215,0,0,0,1
D4GQU5,HVO_A0268,-0.219,1.516,1.084,0.896,0,1,1,1
D4GTK3,HVO_1974,-0.745,0.294,-0.359,-0.027,1,0,1,0
D4GW30,HVO_1102,-0.671,0.957,0.388,0.361,1,1,0,1
D4GZA2,tbp1,-0.337,0.698,-0.044,0.415,0,1,0,0
D4GUE9,pchA2,-0.316,-0.457,-0.299,-0.619,1,1,1,1
D4GXJ6,HVO_1330,-0.883,-0.88,-1.303,-1.754,0,0,1,1
D4GYA0,HVO_3001,-0.181,-0.314,-0.189,-0.998,0,0,0,1
D4GPB7,HVO_B0116,-0.853,-0.662,-0.348,-0.227,1,1,0,0
D4GPP6,mobA1,-0.856,-0.757,-0.607,-1.042,1,1,0,1
D4GRB0,HVO_A0444,-0.582,-0.56,-0.379,-0.765,1,1,1,1
D4GSJ9,HVO_0604,-1.367,-0.248,-1.257,-1.605,1,0,1,1
D4GXY3,HVO_1407,-0.468,-0.203,-0.207,-0.045,1,0,0,0
D4GY77,pmm4,-0.976,-1.08,-0.976,-1.045,0,1,0,0
D4GZA6,HVO_0162,-0.747,-0.501,-0.732,-0.531,1,1,1,1
D4GTS4,jamm1,-0.97,-1.581,-0.88,-1.209,1,0,1,1
D4GV72,deoA,-0.497,-0.702,-0.584,-0.441,1,0,1,0
D4GXL1,glt,0.223,-1.267,0.043,-1.479,0,1,0,0
D4GPQ6,HVO_B0259,0.298,0.058,-0.139,1.411,0,0,0,1
D4GSA9,HVO_1785,0.293,0.315,0.279,0.812,0,0,0,1
D4GV59,cynT,0.693,0.211,0.067,0.963,0,0,0,1
D4GZV5,ribK,0.921,0.405,1.097,1.213,0,0,0,1
D4GPD7,HVO_B0136,0.592,0.843,-0.186,0.151,0,1,0,0
D4GXE8,HVO_1303,0.766,0.625,-1.058,0.947,0,0,0,1
D4GZ84,HVO_0140,0.411,0.324,-0.167,0.59,0,0,0,1
D4GYG3,aglJ,-0.255,-0.526,-0.868,-1.243,0,1,1,1
D4GZ39,HVO_1610,-0.969,-1.18,-1.239,-1.912,0,0,0,1
D4GRT4,HVO_A0626,-1.051,-1.687,-1.974,-0.719,0,1,1,0
D4GTL9,HVO_1991,-0.283,-0.415,-0.649,-0.557,0,0,1,0
D4GYV1,HVO_0105,-1.216,-1.151,-1.072,-0.68,1,1,1,1
D4GU56,orc4,-0.482,-0.391,-1.025,-0.729,0,0,1,1
D4GUE5,HVO_0820,-0.332,0.418,-0.53,-0.879,0,0,0,1
D4GQ00,HVO_B0353,-0.486,-0.328,-0.61,0.565,0,0,0,1
D4GU79,HVO_2066,-0.616,-0.576,-0.313,0.792,0,0,0,1
D4GRH1,paaC,-0.954,0.001,-0.418,-0.436,1,0,0,0
Q03301,sod2,-0.529,0.021,-0.912,-0.116,0,0,1,0
D4GRH0,paaB,-0.598,-0.342,-1.071,-1.413,0,0,1,1
D4GZX8,nusA,0.224,1.13,0.278,0.308,0,1,0,0
D4GP26,HVO_B0025,0.118,1.014,0.41,1.612,0,1,0,1
D4GXK1,lhr2,0.087,0.332,-0.036,0.482,0,0,0,1
D4GSA4,HVO_1780,-0.868,-0.718,-0.681,-0.351,1,0,0,0
D4GY33,HVO_2966,0.119,-0.524,-0.696,0.091,0,0,1,0
D4GR00,HVO_A0323,0.502,0.999,0.449,-0.06,0,1,0,0
D4GVZ2,HVO_2276,0.491,0.602,0.255,0.24,0,1,0,0
A0A1C9J6X7,HVO_2621A,-1.115,-0.141,0.673,-0.693,1,0,0,0
D4GP77,HVO_B0075,-0.691,-0.905,1.994,-0.573,1,1,1,1
D4GP79,HVO_B0077,0.116,0.08,1.866,-0.239,0,0,1,0
D4GP82,dppC11,-1.408,-1.443,0.651,-1.469,1,1,1,1
D4GP83,dppB11,-0.539,-0.889,1.373,-0.613,0,0,1,0
D4GPA4,HVO_B0102,-1.182,-1.534,0.633,-1.916,1,1,1,1
D4GPB1,tsgD8,-0.621,-0.413,1.355,-0.233,0,0,1,0
D4GPB2,HVO_B0110,-0.887,-0.007,0.849,-0.925,1,0,1,1
D4GPL2,HVO_B0211,-1.35,0.242,1.722,-0.926,1,0,1,0
D4GPU7,pucL1,-1.086,-0.624,0.202,-0.455,1,1,0,1
D4GQB5,HVO_A0083,-0.562,-1.377,0.294,-1.757,1,1,0,1
