SOM.Cluster,Protein.Name,NCBI.Ref.Seq,Entry,Entry.name,Day3,Day6,Day9
"Cluster 1",Htra2,NM_019752.3,Q9JIY5,HTRA2_MOUSE,-0.208,0.5,0.294
"Cluster 1",Pmvk,NM_026784.3,Q9D1G2,PMVK_MOUSE,0.528,0.729,0.854
"Cluster 1",Tecr,NM_134118.5,Q9CY27,TECR_MOUSE,0.058,0.12,0.369
"Cluster 1",Ipo5,NM_023579.4,Q8BKC5,IPO5_MOUSE,0.039,0.081,0.449
"Cluster 1",Picalm,NM_146194.3,Q7M6Y3,PICAL_MOUSE,0.323,0.17,0.523
"Cluster 1",Lipa,NM_021460.3,Q9Z0M5,LICH_MOUSE,0.156,0.412,0.69
"Cluster 1",Ipo11,NM_029665.3,Q8K2V6,IPO11_MOUSE,0.693,0.163,0.449
"Cluster 1",Gstp1,NM_013541.1,P19157,GSTP1_MOUSE,0.159,0.267,0.388
"Cluster 1",Acadvl,NM_017366.2,P50544,ACADV_MOUSE,0.257,0.498,0.147
"Cluster 1",Cpt2,NM_009949.2,P52825,CPT2_MOUSE,0.32,0.341,0.2
"Cluster 1",Peci,NM_001110331.1,Q9WUR2,ECI2_MOUSE,0.1,0.306,0.494
"Cluster 1",Fam114a2,NM_026342.3,Q8VE88,F1142_MOUSE,0.381,0.485,0.922
"Cluster 1",Cc2d1a,NM_145970.1,Q8K1A6,C2D1A_MOUSE,0.749,0.737,0.736
"Cluster 1",Hars2,NM_080636.1,Q99KK9,SYHM_MOUSE,0.515,0.309,0.265
"Cluster 1",Hdac2,NM_008229.2,P70288,HDAC2_MOUSE,-0.185,0.147,0.528
"Cluster 1",LOC637711,XM_913466.2,NA,NA,0.457,0.172,0.403
"Cluster 1",Akap2,NM_009649.2,Q8C9L6,Q8C9L6_MOUSE,0.271,0.431,0.629
"Cluster 1",Cyb5,NM_025797.3,P56395,CYB5_MOUSE,0.289,0.176,0.39
"Cluster 1",Itm2c,NM_022417.3,Q91VK4,ITM2C_MOUSE,-0.028,0.52,0.911
"Cluster 1",Arhgap18,NM_176837.2,Q8K0Q5,RHG18_MOUSE,0.067,0.175,0.301
"Cluster 1",Minpp1,NM_010799.2,Q9Z2L6,MINP1_MOUSE,0.262,0.447,0.759
"Cluster 1",Vps4a,NM_126165.1,Q8VEJ9,VPS4A_MOUSE,0.002,0.618,0.312
"Cluster 1",Mogs,NM_020619.2,Q80UM7,MOGS_MOUSE,0.254,0.226,0.439
"Cluster 1",Usp15,NM_027604.3,Q8R5H1,UBP15_MOUSE,-0.054,0.211,0.381
"Cluster 1",Hmox1,NM_010442.2,P14901,HMOX1_MOUSE,-0.024,0.467,0.421
"Cluster 1",Acadm,NM_007382.4,P45952,ACADM_MOUSE,0.238,0.666,0.124
"Cluster 1",Slc1a4,NM_018861.3,O35874,SATT_MOUSE,0.139,-0.107,0.597
"Cluster 1",Trpv2,NM_011706.2,Q9WTR1,TRPV2_MOUSE,0.081,0.587,0.305
"Cluster 1",Ankrd28,NM_001024604.2,Q505D1,ANR28_MOUSE,0.557,0.407,0.492
"Cluster 1",Cd276,NM_133983.4,Q8VE98,CD276_MOUSE,0.226,0.041,0.422
"Cluster 1",Pdxp,NM_020271.3,P60487,PLPP_MOUSE,-0.02,0.14,0.411
"Cluster 1",Adi1,NM_134052.2,Q99JT9,MTND_MOUSE,-0.113,0.511,0.324
"Cluster 1",Nif3l1,NM_022988.2,Q9EQ80,NIF3L_MOUSE,0.129,0.293,0.498
"Cluster 1",Rab34,NM_033475.3,Q64008,RAB34_MOUSE,0.445,0.361,0.561
"Cluster 1",Med20,NM_020048.3,Q9R0X0,MED20_MOUSE,0.342,0.433,0.467
"Cluster 1",Fis1,NM_025562.3,Q9CQ92,FIS1_MOUSE,0.223,0.445,0.268
"Cluster 1",Ttc27,NM_152817.4,Q8CD92,TTC27_MOUSE,0.042,0.268,0.411
"Cluster 1",Fam160b1,NM_145505.4,Q8CDM8,F16B1_MOUSE,0.318,0.167,0.399
"Cluster 1",Urod,NM_009478.3,P70697,DCUP_MOUSE,0.355,0.153,0.51
"Cluster 1",Gls,NM_001081081.2,D3Z7P3,GLSK_MOUSE,-0.077,0.435,0.284
"Cluster 1",Lancl1,NM_021295.2,O89112,LANC1_MOUSE,0.432,0.39,0.247
"Cluster 1",Rab31,NM_133685.2,Q921E2,RAB31_MOUSE,0.432,0.402,0.228
"Cluster 1",Etf1,NM_144866.3,Q8BWY3,ERF1_MOUSE,0.146,0.101,0.341
"Cluster 1",H13,NM_010376.4,Q9D8V0,HM13_MOUSE,-0.133,0.207,0.459
"Cluster 1",Mms19,NM_028152.3,Q9D071,MMS19_MOUSE,0.132,0.04,0.607
"Cluster 1",Atp6v1h,NM_133826.4,Q8BVE3,VATH_MOUSE,0.153,-0.22,0.585
"Cluster 1",Degs1,NM_007853.4,O09005,DEGS1_MOUSE,0.144,-0.088,0.562
"Cluster 1",Wfs1,NM_011716.2,P56695,WFS1_MOUSE,0.171,0.029,0.369
