SOM.Cluster,Protein.Name,NCBI.Ref.Seq,Entry,Entry.name,Day3,Day6,Day9
"Cluster 1",Sh3gl1,NM_013664.2,Q62419,SH3G1_MOUSE,0.417,0.092,0.39
"Cluster 1",Bcap31,NM_012060.4,Q61335,BAP31_MOUSE,0.06,0.102,0.432
"Cluster 1",Epha2,NM_010139.2,Q03145,EPHA2_MOUSE,0.314,0.22,0.407
"Cluster 1",Mesdc2,NM_023403.3,Q9ERE7,MESD_MOUSE,0.117,0.113,0.477
"Cluster 1",Clasp1,NM_001081276.1,Q80TV8,CLAP1_MOUSE,0.197,0.207,0.294
"Cluster 1",Rrm2,NM_009104.2,P11157,RIR2_MOUSE,-0.002,0.043,1.709
"Cluster 1",S100a5,NM_011312.2,P63084,S10A5_MOUSE,0.351,0.23,0.374
"Cluster 1",Pigs,NM_201406.1,Q6PD26,PIGS_MOUSE,0.065,0.095,0.52
"Cluster 1",Arl6ip1,NM_019419.2,Q9JKW0,AR6P1_MOUSE,0.116,0.195,0.527
"Cluster 1",Rbbp4,NM_009030.3,Q60972,RBBP4_MOUSE,0.171,-0.083,0.437
"Cluster 1",2210016L21Rik,NM_028211.1,Q3UY34,CL043_MOUSE,0.431,0.498,0.398
"Cluster 1",Gstm6,NM_008184.3,O35660,GSTM6_MOUSE,0.028,0.522,0.279
"Cluster 1",Ndnl2,NM_023239.4,Q9CPR8,NSE3_MOUSE,0.036,0.247,0.467
"Cluster 1",Polr2b,NM_153798.2,Q8CFI7,RPB2_MOUSE,0.203,0.234,0.301
"Cluster 1",Pold2,NM_008894.2,O35654,DPOD2_MOUSE,0.288,0.218,0.347
"Cluster 1",Akr1b3,NM_009658.3,P45376,ALDR_MOUSE,0.174,0.355,0.325
"Cluster 1",Uck2,NM_030724.3,Q99PM9,UCK2_MOUSE,0.397,0.335,0.666
"Cluster 1",Arl6,NM_019665.3,O88848,ARL6_MOUSE,0.304,-0.179,0.91
"Cluster 1",Gys1,NM_030678.3,Q9Z1E4,GYS1_MOUSE,0.306,0.269,0.505
"Cluster 1",Dhcr7,NM_007856.2,O88455,DHCR7_MOUSE,0.248,0.244,0.301
"Cluster 1",Htra1,NM_019564.3,Q9R118,HTRA1_MOUSE,0.355,0.238,0.251
"Cluster 1",Stk3,NM_019635.2,Q9JI10,STK3_MOUSE,0.498,0.337,0.437
"Cluster 1",Sbsn,NM_172205.3,E9QPB2,E9QPB2_MOUSE,0.614,0.569,0.991
"Cluster 1",Cpne1,NM_170588.3,Q8C166,CPNE1_MOUSE,0.088,0.138,0.332
"Cluster 1",Fars2,NM_024274.2,Q99M01,SYFM_MOUSE,0.302,0.103,0.391
"Cluster 1",Rras2,NM_025846.2,P62071,RRAS2_MOUSE,0.185,0.337,0.295
"Cluster 1",Capza1,NM_009797.2,P47753,CAZA1_MOUSE,0.3,0.209,0.316
"Cluster 1",Csnk2a2,NM_009974.3,O54833,CSK22_MOUSE,0.213,0.478,0.342
"Cluster 1",Bsdc1,NM_133889.2,Q80Y55,BSDC1_MOUSE,-0.055,0.57,0.644
"Cluster 1",Dcun1d1,NM_033623.5,Q3UT23,Q3UT23_MOUSE,0.248,0.272,0.245
"Cluster 1",Hsd17b7,NM_010476.3,O88736,DHB7_MOUSE,0.033,0.217,0.55
"Cluster 1",Slc4a7,NM_001033270.2,F8VQC9,F8VQC9_MOUSE,0.334,-0.144,0.553
"Cluster 1",Ndufa5,NM_026614.2,Q9CPP6,NDUA5_MOUSE,0.671,0.831,0.556
"Cluster 1",Fen1,NM_007999.3,Q91Z50,Q91Z50_MOUSE,0.272,0.335,0.326
"Cluster 1",B3galtl,NM_001081204.1,Q8BHT6,B3GLT_MOUSE,0.301,0.725,0.227
"Cluster 1",Surf4,NM_011512.3,Q64310,SURF4_MOUSE,0.614,-0.064,1.119
"Cluster 1",Txndc14,NM_025868.3,Q9D710,TMX2_MOUSE,0.247,0.382,0.466
"Cluster 1",Stk4,NM_021420.3,Q9JI11,STK4_MOUSE,0.109,0.272,0.261
"Cluster 1",LOC100044750,XM_001472851.1,NA,NA,-0.072,0.079,0.961
"Cluster 1",Hsph1,NM_013559.2,Q61699,HS105_MOUSE,0.257,0.275,0.256
"Cluster 1",Nptn,NM_009145.2,P97300,NPTN_MOUSE,0.593,0.313,0.346
"Cluster 1",Nup155,NM_133227.3,Q99P88,NU155_MOUSE,0.117,0.302,0.437
"Cluster 1",Lrpap1,NM_013587.2,P55302,AMRP_MOUSE,0.199,0.24,0.453
"Cluster 1",Dhfr,NM_010049.3,P00375,DYR_MOUSE,0.092,0.241,0.487
"Cluster 1",Neu1,NM_010893.3,O35657,NEUR1_MOUSE,0.15,0.109,0.53
"Cluster 1",Tgm2,NM_009373.3,P21981,TGM2_MOUSE,0.132,0.242,0.481
"Cluster 1",Lama5,NM_001081171.2,Q61001,LAMA5_MOUSE,-0.021,0.317,0.293
"Cluster 1",Ptplad1,NM_021345.2,Q8K2C9,HACD3_MOUSE,0.097,0.29,0.532
"Cluster 1",Vwa5a,NM_172767.3,Q99KC8,VMA5A_MOUSE,0.199,0.5,0.487
"Cluster 1",Arf4,NM_007479.3,P61750,ARF4_MOUSE,0.332,0.335,0.454
"Cluster 1",Slc12a4,NM_009195.2,Q9JIS8,S12A4_MOUSE,0.273,0.276,0.392
"Cluster 1",Fkbp14,NM_153573.1,P59024,FKB14_MOUSE,0.462,0.564,0.616
"Cluster 1",Fkbp7,NM_010222.2,O54998,FKBP7_MOUSE,0.151,0.246,0.427
"Cluster 1",Tmod3,NM_016963.2,Q9JHJ0,TMOD3_MOUSE,0.104,-0.042,0.521
"Cluster 1",Lpcat3,NM_145130.2,Q91V01,MBOA5_MOUSE,0.783,0.337,0.695
"Cluster 1",Isoc2a,NM_001101598.1,P85094,ISC2A_MOUSE,0.969,0.406,0.817
"Cluster 1",Tns1,NM_027884.3,E9Q0S6,E9Q0S6_MOUSE,0.192,0.385,0.219
"Cluster 1",Acbd3,NM_133225.3,Q8BMP6,GCP60_MOUSE,0.106,0.232,0.407
"Cluster 1",Ehd1,NM_010119.5,Q9WVK4,EHD1_MOUSE,0.556,0.375,0.471
"Cluster 1",Cttnbp2nl,NM_030249.4,Q99LJ0,CT2NL_MOUSE,0.467,0.211,0.359
"Cluster 1",Dph5,NM_027193.2,Q9CWQ0,DPH5_MOUSE,0.234,0.106,0.435
"Cluster 1",Me1,NM_008615.2,P06801,MAOX_MOUSE,0.341,0.077,0.328
"Cluster 1",Fxyd5,NM_008761.3,P97808,FXYD5_MOUSE,0.162,-0.115,0.739
"Cluster 1",Pawr,NM_054056.2,Q925B0,PAWR_MOUSE,1.054,0.371,0.936
"Cluster 1",Icam1,NM_010493.2,P13597,ICAM1_MOUSE,0.05,0.142,0.379
"Cluster 1",Atl3,NM_001163505.1,Q91YH5,ATLA3_MOUSE,0.133,0.095,0.447
"Cluster 1",Rprd1b,NM_027434.2,Q9CSU0,RPR1B_MOUSE,0.196,0.174,0.302
"Cluster 1",protein,proline-rich,NA,NA,0.538,0.8,0.752
"Cluster 1",Enah,NM_010135.2,E9QLZ9,E9QLZ9_MOUSE,0.161,0.191,0.383
"Cluster 1",Fam129b,NM_146119.2,Q8R1F1,NIBL1_MOUSE,0.155,0.238,0.306
"Cluster 1",Hip1r,NM_145070.3,Q9JKY5,HIP1R_MOUSE,0.268,0.35,0.201
"Cluster 1",Manf,NM_029103.3,Q3TMX5,Q3TMX5_MOUSE,0.224,-0.072,0.478
"Cluster 1",Pltp,NM_011125.2,P55065,PLTP_MOUSE,-0.355,0.251,0.881
"Cluster 1",Rcn3,NM_026555.2,Q8BH97,RCN3_MOUSE,0.326,0.221,0.751
"Cluster 1",Ppme1,NM_028292.2,Q8BVQ5,PPME1_MOUSE,0.068,0.163,0.432
"Cluster 1",Capza2,NM_007604.2,P47754,CAZA2_MOUSE,0.441,0.257,0.312
"Cluster 1",Calu,NM_184053.2,O35887,CALU_MOUSE,0.236,0.074,0.392
"Cluster 1",Acot13,NM_025790.2,Q9CQR4,ACO13_MOUSE,-0.037,0.239,0.471
"Cluster 1",Itgb1,NM_010578.2,P09055,ITB1_MOUSE,0.173,0.249,0.277
"Cluster 1",Rbpms,NM_019733.2,Q9WVB0,RBPMS_MOUSE,0.21,0.078,0.395
"Cluster 1",Ttf2,NM_001013026.2,Q5NC05,TTF2_MOUSE,0.091,0.337,0.267
"Cluster 1",Cdc27,NM_145436.2,A2A6Q5,CDC27_MOUSE,0.01,0.555,0.367
"Cluster 1",Sar1b,NM_025535.2,Q9CQC9,SAR1B_MOUSE,0.213,0.524,0.217
"Cluster 1",Dkk3,NM_015814.2,Q9QUN9,DKK3_MOUSE,0.482,0.316,0.562
"Cluster 1",Vps24,NM_025783.3,Q9CQ10,CHMP3_MOUSE,-0.018,0.344,0.314
"Cluster 1",Kcmf1,NM_019715.2,Q80UY2,KCMF1_MOUSE,0.296,0.67,0.35
"Cluster 1",Stxbp1,NM_009295.2,O08599,STXB1_MOUSE,-0.006,0.447,0.325
"Cluster 1",Csrp2,NM_007792.4,P97314,CSRP2_MOUSE,0.344,0.347,0.432
"Cluster 1",Isca2,NM_028863.1,Q9DCB8,ISCA2_MOUSE,0.127,0.044,0.361
"Cluster 1",LOC100046199,XM_001475833.1,NA,NA,-0.009,0.33,0.335
"Cluster 1",Sec61a1,NM_016906.4,P61620,S61A1_MOUSE,0.154,0.128,0.334
"Cluster 1",Ywhag,NM_018871.3,P61982,1433G_MOUSE,0.092,0.139,0.375
"Cluster 1",Wdr91,NM_001013366.1,Q7TMQ7,WDR91_MOUSE,0.279,0.611,0.211
"Cluster 1",Ccl2,NM_011333.3,P10148,CCL2_MOUSE,0.384,0.268,0.518
"Cluster 1",Isyna1,NM_023627.1,Q9JHU9,INO1_MOUSE,0.185,0.3,0.493
"Cluster 1",Glrx,NM_053108.4,Q9QUH0,GLRX1_MOUSE,0.259,0.226,0.335
"Cluster 1",Zc3h7a,NM_145931.2,Q3UBH9,Q3UBH9_MOUSE,0.245,0.535,0.27
"Cluster 1",Mecr,NM_025297.2,Q9DCS3,MECR_MOUSE,0.124,0.475,0.187
"Cluster 1",Ndufs4,NM_010887.2,Q9CXZ1,NDUS4_MOUSE,0.305,0.289,0.549
"Cluster 1",Asah1,NM_019734.2,Q9WV54,ASAH1_MOUSE,0.299,0.335,0.342
"Cluster 1",Uba3,NM_011666.2,Q8C878,UBA3_MOUSE,0.525,0.567,0.287
"Cluster 1",Cbr4,NM_145595.2,Q91VT4,CBR4_MOUSE,-0.056,0.334,0.369
"Cluster 1",Ppp1r8,NM_146154.2,Q8R3G1,PP1R8_MOUSE,0.062,0.237,0.582
"Cluster 1",Ndufs1,NM_145518.2,Q91VD9,NDUS1_MOUSE,0.046,0.412,0.231
"Cluster 1",Gstm5,NM_010360.2,P48774,GSTM5_MOUSE,-0.055,0.311,0.408
"Cluster 1",LOC676542,XM_990946.1,NA,NA,0.349,-0.042,0.317
"Cluster 1",Fabp4,NM_024406.2,P04117,FABP4_MOUSE,0.364,0.871,1.003
"Cluster 1",Eif2b2,NM_145445.3,Q99LD9,EI2BB_MOUSE,0.34,0.013,0.47
"Cluster 1",Nceh1,NM_178772.3,Q8BLF1,NCEH1_MOUSE,0.366,0.166,0.748
"Cluster 1",Psmb2,NM_011970.4,Q9R1P3,PSB2_MOUSE,0.119,0.141,0.388
"Cluster 1",Ckmt1,NM_009897.2,P30275,KCRU_MOUSE,0.26,0.467,0.306
"Cluster 1",Klc2,NM_008451.2,Q91YS4,Q91YS4_MOUSE,0.38,0.461,0.435
"Cluster 1",Spc24,NM_026282.5,Q9D083,SPC24_MOUSE,-0.074,0.142,0.83
"Cluster 1",Kifc1,NM_053173.2,Q9QWT9,KIFC1_MOUSE,-0.14,-0.094,2.091
"Cluster 1",Gpd1l,NM_175380.5,Q3ULJ0,GPD1L_MOUSE,0.323,0.512,0.394
"Cluster 1",Gorasp2,NM_027352.4,Q99JX3,GORS2_MOUSE,-0.132,0.484,0.449
"Cluster 1",Impa1,NM_018864.5,Q924B0,Q924B0_MOUSE,0.115,0.168,0.341
"Cluster 1",Cnpy3,NM_028065.3,Q9DAU1,CNPY3_MOUSE,0.293,0.119,0.593
"Cluster 1",Zmpste24,NM_172700.2,Q80W54,FACE1_MOUSE,0.32,0.35,0.278
"Cluster 1",Mypn,NM_182992.2,Q5DTJ9,MYPN_MOUSE,0.175,0.305,0.413
"Cluster 1",Cotl1,NM_028071.3,Q9CQI6,COTL1_MOUSE,0.179,0.325,0.299
"Cluster 1",Mgst1,NM_019946.4,Q91VS7,MGST1_MOUSE,0.182,0.254,0.926
"Cluster 1",Ccdc44,NM_027346.1,Q8K0Z7,TACO1_MOUSE,0.368,0.295,0.419
"Cluster 1",Tgoln1,NM_009443.3,Q62313,TGON1_MOUSE,0.51,0.265,0.274
"Cluster 1",Ssr4,NM_009279.3,Q62186,SSRD_MOUSE,0.193,0.306,0.442
"Cluster 1",Neo1,NM_008684.2,P97798,NEO1_MOUSE,0.258,0.484,0.595
"Cluster 1",Gstm1,NM_010358.5,P10649,GSTM1_MOUSE,0.013,0.324,0.452
"Cluster 1",Thoc2,NM_001033422.1,B1AZI6,THOC2_MOUSE,0.368,0.165,0.34
"Cluster 1",Mrpl13,NM_026759.3,Q9D1P0,RM13_MOUSE,0.479,0.232,0.855
"Cluster 1",Fstl1,NM_008047.5,Q62356,FSTL1_MOUSE,0.183,0.224,0.675
"Cluster 1",Ogfr,NM_031373.3,Q99PG2,OGFR_MOUSE,0.206,-0.038,0.526
"Cluster 1",Fasn,NM_007988.3,P19096,FAS_MOUSE,0.167,0.234,0.334
"Cluster 1",Lsm4,NM_015816.4,Q9QXA5,LSM4_MOUSE,0.107,-0.016,0.433
"Cluster 1",Aqp1,NM_007472.2,Q02013,AQP1_MOUSE,0.545,1.15,1.131
"Cluster 1",Gnaq,NM_008139.5,P21279,GNAQ_MOUSE,-0.019,0.344,0.384
"Cluster 1",Ermp1,NM_001081213.1,Q3UVK0,ERMP1_MOUSE,0.449,0.368,0.444
"Cluster 1",Gpx4,NM_001037741.2,O70325,GPX41_MOUSE,-0.108,0.501,0.515
"Cluster 1",Stt3a,NM_008408.4,P46978,STT3A_MOUSE,-0.007,0.239,0.34
"Cluster 1",Cyb5r3,NM_029787.2,Q9DCN2,NB5R3_MOUSE,0.32,0.282,0.384
"Cluster 1",Cuedc2,NM_001164290.1,Q9CXX9,CUED2_MOUSE,-0.052,0.304,0.463
"Cluster 1",Vezt,NM_172538.4,Q3ZK22,VEZA_MOUSE,0.402,0.303,0.431
"Cluster 1",Decr2,NM_011933.2,Q9WV68,DECR2_MOUSE,0.182,0.309,0.285
"Cluster 1",Arhgap24,NM_029270.2,Q8C4V1,RHG24_MOUSE,0.223,0.603,0.25
"Cluster 1",Slc25a20,NM_020520.4,Q9Z2Z6,MCAT_MOUSE,0.054,0.576,0.611
"Cluster 1",Sc5d,NM_172769.2,O88822,SC5D_MOUSE,0.194,0.203,0.702
"Cluster 1",Psmd5,NM_080554.2,Q8BJY1,PSMD5_MOUSE,0.408,0.234,0.359
"Cluster 1",LOC100047915,XM_001479122.1,NA,NA,-0.141,0.208,0.523
"Cluster 1",Crot,NM_023733.3,Q9DC50,OCTC_MOUSE,0.03,0.592,0.287
"Cluster 1",Arsa,NM_009713.4,P50428,ARSA_MOUSE,-0.081,0.027,1.006
"Cluster 1",Pum1,NM_030722.2,Q80U78,PUM1_MOUSE,0.398,0.676,0.115
"Cluster 1",Pdlim1,NM_016861.4,O70400,PDLI1_MOUSE,0.329,0.183,0.412
"Cluster 1",LOC634088,XM_908700.3,NA,NA,0.104,0.156,0.879
"Cluster 1",Rnf121,NM_029211.2,Q8R1Z9,RN121_MOUSE,0.256,0.049,0.321
"Cluster 1",Ctnnb1,NM_007614.3,Q02248,CTNB1_MOUSE,0.148,0.363,0.362
"Cluster 1",Nck1,NM_010878.2,Q99M51,NCK1_MOUSE,0.322,0.296,0.29
"Cluster 1",LOC100039155,XM_001472363.1,NA,NA,0.473,0.482,0.536
"Cluster 1",Serpine1,NM_008871.2,G5E899,G5E899_MOUSE,0.323,0.667,0.859
"Cluster 1",LOC100047211,XM_001477651.1,NA,NA,0.123,0.467,0.739
"Cluster 1",Col12a1,NM_007730.2,Q60847,COCA1_MOUSE,-0.135,-0.136,0.876
"Cluster 1",C1qbp,NM_007573.2,Q8R5L1,Q8R5L1_MOUSE,-0.001,0.111,0.472
"Cluster 1",Ptgr1,NM_025968.3,Q91YR9,PTGR1_MOUSE,0.101,0.334,0.662
"Cluster 1",Atp1a1,NM_144900.1,Q8VDN2,AT1A1_MOUSE,0.239,0.295,0.373
"Cluster 1",Hddc2,NM_027168.2,Q3SXD3,HDDC2_MOUSE,0.104,-0.009,0.559
"Cluster 1",Ccdc134,NM_172428.2,Q8C7V8,CC134_MOUSE,0.237,0.335,0.7
"Cluster 1",Myl12b,NM_023402.2,Q3THE2,ML12B_MOUSE,-0.027,0.101,0.634
"Cluster 1",capn5,NM_007602.3,O08688,CAN5_MOUSE,0.36,0.352,0.707
"Cluster 5",Itih5,NM_172471.2,Q8BJD1,ITIH5_MOUSE,-0.422,-0.112,-0.501
"Cluster 5",Scpep1,NM_029023.3,Q920A5,RISC_MOUSE,-0.023,-0.174,-0.47
"Cluster 5",Ccdc115,NM_027159.2,Q8VE99,CC115_MOUSE,-0.185,-0.053,-0.438
"Cluster 5",Fhl3,NM_010213.3,Q9R059,FHL3_MOUSE,-0.164,-0.273,-0.378
"Cluster 5",Gtf2b,NM_145546.1,P62915,TF2B_MOUSE,0.082,-0.701,0.052
"Cluster 5",Mapk14,NM_011951.3,P47811,MK14_MOUSE,0.088,-0.404,-0.404
"Cluster 5",Anapc7,NM_019805.4,Q9WVM3,APC7_MOUSE,-0.156,-0.32,-0.542
"Cluster 5",Cog8,NM_139229.4,Q9JJA2,COG8_MOUSE,0.002,-0.388,-0.624
"Cluster 5",Ncor2,NM_011424.2,E9PY55,E9PY55_MOUSE,-0.087,-0.527,-1.092
"Cluster 5",Gm2382,NM_001128601.1,L7N466,L7N466_MOUSE,-0.313,-0.677,-1.292
"Cluster 5",Cbr3,NM_173047.3,Q8K354,CBR3_MOUSE,-0.155,-0.297,-0.181
"Cluster 5",Ubtf,NM_001044383.1,A2AWT6,A2AWT6_MOUSE,-0.182,-0.269,-0.258
"Cluster 5",Rab32,NM_026405.3,Q9CZE3,RAB32_MOUSE,-0.075,-0.197,-0.391
"Cluster 5",Dnmt1,NM_010066.3,P13864,DNMT1_MOUSE,-0.218,-0.24,-0.21
"Cluster 5",Prkar2a,NM_008924.2,Q8K1M3,Q8K1M3_MOUSE,-0.295,-0.372,-0.338
"Cluster 5",Ppp4c,NM_019674.3,P97470,PP4C_MOUSE,-0.119,-0.142,-0.356
"Cluster 5",Tdp1,NM_028354.4,Q8BJ37,TYDP1_MOUSE,-0.077,-0.421,-0.67
"Cluster 5",Dclk1,NM_019978.3,Q9JLM8,DCLK1_MOUSE,-0.288,-0.492,0.024
"Cluster 5",2410091C18Rik,NM_028611.3,Q9CWG8,NDUF7_MOUSE,0.076,0.002,-0.594
"Cluster 5",Dnajc13,NM_001163026.1,NA,NA,-0.568,-0.109,-0.242
"Cluster 5",Gclc,NM_010295.1,P97494,GSH1_MOUSE,-0.038,-0.339,-0.595
"Cluster 5",Twsg1,NM_023053.3,Q9EP52,TWSG1_MOUSE,0.05,-0.556,-0.359
"Cluster 5",Nudt3,NM_019837.2,Q9JI46,NUDT3_MOUSE,0.043,-0.444,-0.228
"Cluster 5",Tubgcp2,NM_133755.2,Q921G8,GCP2_MOUSE,-0.125,-0.369,-0.567
"Cluster 5",Acot6,NM_172580.1,Q32Q92,ACOT6_MOUSE,-0.36,-0.103,-0.454
"Cluster 5",Vprbp,NM_001015507.2,Q80TR8,VPRBP_MOUSE,-0.488,-0.581,-0.663
"Cluster 5",2310011J03Rik,NM_025521.3,Q9D7E4,CS025_MOUSE,-0.365,-0.961,-0.442
"Cluster 5",2510049I19Rik,NM_026455.4,Q9CR80,FA32A_MOUSE,-0.247,-0.45,-0.309
"Cluster 5",Chmp2a,NM_026885.3,Q9DB34,CHM2A_MOUSE,0.119,-0.393,-0.592
"Cluster 5",Elac2,NM_023479.2,Q80Y81,RNZ2_MOUSE,-0.408,-0.379,-0.533
"Cluster 5",Vps53,NM_026664.3,Q8CCB4,VPS53_MOUSE,0.09,-0.122,-0.544
"Cluster 5",Akap8,NM_019774.4,Q9DBR0,AKAP8_MOUSE,0.013,-0.007,-1.042
"Cluster 5",Flot1,NM_008027.2,O08917,FLOT1_MOUSE,-0.12,-0.39,-0.296
"Cluster 5",Ralb,NM_022327.5,Q9JIW9,RALB_MOUSE,-0.632,-0.573,-0.303
"Cluster 5",2610204M08Rik,NM_198411.2,Q0GNC1,INF2_MOUSE,-0.534,-0.42,-0.261
"Cluster 5",Cd68,NM_009853.1,P31996,CD68_MOUSE,-0.132,-0.644,-0.75
"Cluster 5",Hdac4,NM_207225.1,Q6NZM9,HDAC4_MOUSE,-0.661,-0.372,-0.506
"Cluster 5",Ppfibp1,NM_026221.2,Q8C8U0,LIPB1_MOUSE,-0.399,-0.161,-0.202
"Cluster 5",Safb,NM_001163300.1,D3YXK2,SAFB1_MOUSE,-0.256,-0.401,-0.112
"Cluster 5",Mecp2,NM_001081979.1,Q9Z2D6,MECP2_MOUSE,-0.064,-0.456,-0.303
"Cluster 5",rp9,NM_018739.2,P97762,RP9_MOUSE,-0.5,-0.54,-0.639
"Cluster 5",Nup85,NM_001002929.3,Q8R480,NUP85_MOUSE,-0.023,-0.215,-0.453
"Cluster 5",Surf2,NM_013678.2,P09926,SURF2_MOUSE,-0.242,-0.164,-0.32
"Cluster 5",Endog,NM_007931.1,O08600,NUCG_MOUSE,-0.079,-0.432,-0.603
"Cluster 5",Rrp1,NM_010925.2,P56183,RRP1_MOUSE,-0.129,-0.434,-0.375
"Cluster 5",1110014N23Rik,NM_001081041.1,Q3UVL4,VPS51_MOUSE,-0.037,-0.363,-0.234
"Cluster 5",Ict1,NM_026729.1,Q8R035,ICT1_MOUSE,-0.311,-0.425,-0.05
"Cluster 5",Yars,NM_134151.4,Q91WQ3,SYYC_MOUSE,-0.129,-0.329,-0.131
"Cluster 5",Lmnb1,NM_010721.2,P14733,LMNB1_MOUSE,-0.161,-0.169,-0.278
"Cluster 5",Dnttip2,NM_153806.1,Q8R2M2,TDIF2_MOUSE,-0.437,-0.276,-0.445
"Cluster 5",Exosc5,NM_138586.3,Q9CRA8,EXOS5_MOUSE,-0.052,-0.247,-0.491
"Cluster 5",D8Ertd738e,XM_001471475.1,Q8R1F0,L10K_MOUSE,-0.221,-0.238,-0.383
