"gene number",Entry,"Entry name","transcriptomic suc/no stress","transcriptomic NaCl/ no stress","proteomic suc/ no stress","proteomic NaCl/ no stress"
CC_0797,Q9AA14,Q9AA14_CAUCR,2.49,3.37,,
CC_0968,Q9A9L2,Q9A9L2_CAUCR,,,2.26,1.99
CC_1057,Q9A9D1,Q9A9D1_CAUCR,1.42,1.33,1.48,1.31
CC_1135,Q9A959,Q9A959_CAUCR,5.54,,,
CC_1571,Q9A7Z6,Q9A7Z6_CAUCR,1.14,,,
CC_1630,Q9A7U0,Q9A7U0_CAUCR,1.94,,,
CC_1632,Q9A7T8,Q9A7T8_CAUCR,2.23,,,
CC_1635,Q9A7T5,Q9A7T5_CAUCR,2.13,,,
CC_1696,Q9A7M5,Q9A7M5_CAUCR,,,,
CC_2055,Q9A6N2,Q9A6N2_CAUCR,1.38,,1.43,1.37
CC_2057,Q9A6N0,Q9A6N0_CAUCR,,,1.02,1.14
CC_2282,Q9A613,Q9A613_CAUCR,,,2.4,
CC_3054,Q9A3Z6,Q9A3Z6_CAUCR,,,1.14,1.28
CC_3167,Q9A3N5,Y3167_CAUCR,,,,
CC_0047,Q9AC20,IPYR_CAUCR,,-2.02,,
CC_0365,Q9AB66,ATPF_CAUCR,,-1.66,,
CC_0366,Q9AB65,Q9AB65_CAUCR,,-1.7,,
CC_0368,Q9AB63,Q9AB63_CAUCR,-1.38,-2.2,,
CC_0472,Q9AAX0,Q9AAX0_CAUCR,,-1.16,,
CC_1471,Q9A891,Q9A891_CAUCR,-1.44,,-1.41,-1.64
CC_1495,Q9A869,Q9A869_CAUCR,,-1.37,,
CC_1496,Q9A868,Q9A868_CAUCR,,-1.36,,
CC_1724,Q9A7J9,ENO_CAUCR,,-1.84,,
CC_1726,Q9A7J7,Q9A7J7_CAUCR,,,-1.11,-1.06
CC_1727,Q9A7J6,Q9A7J6_CAUCR,,-1.77,-1.27,-1.37
CC_1729,Q9A7J4,Q9A7J4_CAUCR,,-1.6,,
CC_1731,Q9A7J2,Q9A7J2_CAUCR,,-1.64,,
CC_1770,Q9A7F3,Q9A7F3_CAUCR,-2.64,-2.84,,
CC_1771,Q9A7F2,Q9A7F2_CAUCR,-3.48,-3.94,,
CC_1772,Q9A7F1,Q9A7F1_CAUCR,-3.63,-4.4,,
CC_1906,Q9A720,Q9A720_CAUCR,,-1.78,,
CC_1938,Q9A6Y8,Q9A6Y8_CAUCR,,-1.39,,
CC_1939,Q9A6Y7,Q9A6Y7_CAUCR,,-1.3,,
CC_1940,Q9A6Y6,NUOK_CAUCR,,-1.27,,
CC_1942,Q9A6Y4,NUOI_CAUCR,,-1.25,,
CC_1950,Q9A6X6,Q9A6X6_CAUCR,,-1.26,,
CC_2261,Q9A634,GPMA_CAUCR,,-1.63,,
CC_3248,Q9A3F6,Q9A3F6_CAUCR,,-1.76,-1.07,
CC_3250,Q9A3F4,Q9A3F4_CAUCR,,-3.39,,
CC_3445,Q9A2W1,ATPE_CAUCR,,-1.68,,
CC_3447,Q9A2V9,ATPB_CAUCR,,,-1.75,-1.41
CC_3448,Q9A2V8,ATPG_CAUCR,,-1.79,,
CC_3449,Q9A2V7,ATPA_CAUCR,,-1.52,-1.04,
CC_1344,Q9A8K9,Q9A8K9_CAUCR,,1.96,,
CC_1634,Q9A7T6,Q9A7T6_CAUCR,,3.23,1.67,
CC_3428,Q9A2X8,Q9A2X8_CAUCR,,,2.7,
CC_3533,Q9A2M4,Q9A2M4_CAUCR,,1.31,,
CC_3759,Q9A212,Q9A212_CAUCR,,1.55,,
CC_0213,Q9ABL4,Q9ABL4_CAUCR,,-1.42,,
CC_0282,Q9ABE6,Q9ABE6_CAUCR,,-1.83,,
CC_0654,Q45972,FER1_CAUCR,,-2.26,,
CC_1119,Q9A975,Q9A975_CAUCR,,-5.43,,
CC_1121,Q9A973,Q9A973_CAUCR,,,,
CC_1295,Q9A8Q8,Q9A8Q8_CAUCR,,-1.72,,
CC_1482,Q9A882,Q9A882_CAUCR,,-3.66,,
CC_1483,Q9A881,CYSD_CAUCR,,-3.36,,
CC_1864,Q9A762,Q9A762_CAUCR,,-1.84,,
CC_2096,Q9A6J7,Q9A6J7_CAUCR,,-1.16,,
CC_3208,Q9A3J6,Q9A3J6_CAUCR,-1.53,-2.17,,
CC_3320,Q9A384,Q9A384_CAUCR,,-1.5,,
CC_3539,Q9A2L8,Q9A2L8_CAUCR,-1.54,,,
CC_2577,Q9A580,Q9A580_CAUCR,,2.57,,
CC_3303,Q9A3A1,Q9A3A1_CAUCR,1.13,,,
CC_0887,Q9A9S5,Q9A9S5_CAUCR,-2.15,-1.54,,
CC_1118,Q9A976,Q9A976_CAUCR,-3.19,-3.13,,
CC_1577,Q9A7Z0,Q9A7Z0_CAUCR,,-1.31,,
CC_1935,Q9A6Z1,COAX_CAUCR,,-1.22,,
CC_2140,Q9A6F4,Q9A6F4_CAUCR,-3.33,,,
CC_3355,Q9A351,Q9A351_CAUCR,-1.95,-2.57,,
CC_3630,Q9A2D5,Q9A2D5_CAUCR,,-1.42,,
CC_2274,Q9A621,Q9A621_CAUCR,,,1.4,1.54
CC_3143,Q9A3Q9,Q9A3Q9_CAUCR,,,2.54,2.52
CC_0050,Q9AC18,Q9AC18_CAUCR,-3.22,-4.75,,
CC_0193,Q9ABN3,LEU3_CAUCR,,-1.25,,
CC_0211,Q9ABL6,Q9ABL6_CAUCR,,-1.45,,
CC_0212,Q9ABL5,Q9ABL5_CAUCR,-1.12,-1.89,,
CC_0253,Q9ABH4,Q9ABH4_CAUCR,-1.44,-2.02,,
